,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,454.0,458.0,442.05,451.5,456.9,455.8,449.88,509.2,202.0,3425170,"1,540,927,599.15",35659,455.8,
1,02-Feb-2021,EQ,459.4,470.9,453.7,455.8,469.4,467.2,461.23,509.2,202.0,3939023,"1,816,790,837.85",41327,467.2,0.024703314702433588
2,03-Feb-2021,EQ,471.45,482.8,468.4,467.2,476.0,476.9,478.7,509.2,202.0,6399214,"3,063,304,521.35",73020,476.9,0.020549393790161297
3,04-Feb-2021,EQ,482.0,482.4,475.25,476.9,479.0,479.2,478.6,509.2,202.0,3872030,"1,853,153,602.45",44134,479.2,0.004811221497060814
4,05-Feb-2021,EQ,482.5,488.95,471.85,479.2,474.8,475.25,480.9,509.2,202.0,8272131,"3,978,035,020.10",89092,475.25,-0.008277065432700681
5,08-Feb-2021,EQ,478.0,479.9,472.65,475.25,473.8,473.45,475.35,509.2,202.0,3717127,"1,766,944,810.20",49126,473.45,-0.003794670939029743
6,09-Feb-2021,EQ,475.0,477.75,466.1,473.45,467.5,467.8,471.03,509.2,202.0,3261845,"1,536,432,424.05",56014,467.8,-0.012005456279430504
7,10-Feb-2021,EQ,470.0,471.25,459.8,467.8,469.8,469.5,466.63,509.2,202.0,3481108,"1,624,393,601.25",31065,469.5,0.0036274444982389298
8,11-Feb-2021,EQ,468.0,472.35,464.05,469.5,470.75,470.85,467.87,509.2,202.0,2204483,"1,031,403,272.30",24290,470.85,0.00287127330775494
9,12-Feb-2021,EQ,471.45,479.0,466.6,470.85,468.7,468.05,473.33,509.2,202.0,3029750,"1,434,075,287.00",41919,468.05,-0.0059644441383186475
10,15-Feb-2021,EQ,466.9,472.25,463.65,468.05,466.0,466.95,468.21,509.2,202.0,1809852,"847,391,523.55",19199,466.95,-0.002352942262026758
11,16-Feb-2021,EQ,466.0,474.45,463.35,466.95,468.5,468.9,469.01,509.2,202.0,3392787,"1,591,253,688.50",41711,468.9,0.004167340539813047
12,17-Feb-2021,EQ,470.0,471.5,460.7,468.9,464.15,463.7,464.85,509.2,202.0,2556360,"1,188,320,901.10",28431,463.7,-0.01115173469812536
13,18-Feb-2021,EQ,465.0,471.4,462.7,463.7,466.3,467.65,467.48,509.2,202.0,2556001,"1,194,888,327.75",18841,467.65,0.008482361483145517
14,19-Feb-2021,EQ,466.3,466.3,447.05,467.65,451.6,452.4,456.81,509.2,202.0,3283243,"1,499,810,528.35",41032,452.4,-0.033153408638594506
15,22-Feb-2021,EQ,450.0,451.0,431.25,452.4,433.55,434.45,441.17,509.2,202.0,2515498,"1,109,759,603.65",41983,434.45,-0.04048588095675054
16,23-Feb-2021,EQ,438.8,438.8,421.0,434.45,429.9,430.5,428.52,509.2,202.0,3853845,"1,651,458,288.45",56929,430.5,-0.009133539417430114
17,24-Feb-2021,EQ,430.5,437.35,427.65,430.5,432.6,433.45,433.27,509.2,202.0,1688256,"731,467,190.50",25641,433.45,0.006829125446864204
18,25-Feb-2021,EQ,441.0,444.4,436.15,433.45,438.0,438.05,440.06,509.2,202.0,3141003,"1,382,238,008.90",44362,438.05,0.01055660979772366
19,26-Feb-2021,EQ,434.2,443.8,430.1,438.05,434.0,435.2,438.53,509.2,202.0,3239469,"1,420,596,899.65",40391,435.2,-0.006527363570640432
20,01-Mar-2021,EQ,437.0,438.4,430.4,435.2,435.0,435.3,434.27,509.2,202.0,2015942,"875,462,821.50",31510,435.3,0.00022975301651939617
21,02-Mar-2021,EQ,437.35,442.5,434.9,435.3,441.3,441.2,439.14,509.2,202.0,1306991,"573,958,175.25",18454,441.2,0.01346283882109578
22,03-Mar-2021,EQ,441.5,447.55,439.2,441.2,445.4,445.6,444.56,509.2,202.0,1871926,"832,183,493.30",22746,445.6,0.009923401233726814
23,04-Mar-2021,EQ,442.0,453.5,440.8,445.6,450.1,449.05,448.71,509.2,202.0,2657329,"1,192,365,611.50",34165,449.05,0.0077125515038840575
24,05-Mar-2021,EQ,450.95,452.0,440.25,449.05,442.6,442.25,445.78,509.2,202.0,1925235,"858,227,785.50",23719,442.25,-0.015258907077064343
