,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,134.15,143.3,132.0,132.0,142.6,142.25,138.47,194.4,73.65,55609442,"7,700,121,169.85",198298,142.25,
1,02-Feb-2021,EQ,144.0,150.65,141.05,142.25,146.35,146.55,145.78,194.4,73.65,49809570,"7,261,326,488.25",173268,146.55,0.02978059415046186
2,03-Feb-2021,EQ,148.0,156.2,145.2,146.55,153.25,153.05,151.6,194.4,73.65,57336621,"8,692,021,258.35",209551,153.05,0.04339799823451962
3,04-Feb-2021,EQ,153.2,163.75,151.35,153.05,162.0,162.15,158.42,194.4,73.65,62137703,"9,844,126,146.10",219505,162.15,0.05775716736190528
4,05-Feb-2021,EQ,166.7,172.2,158.0,162.15,160.7,160.85,164.79,194.4,73.65,69090863,"11,385,255,856.05",262903,160.85,-0.008049579068291735
5,08-Feb-2021,EQ,162.4,163.75,157.55,160.85,158.0,158.45,160.13,191.8,73.65,21530215,"3,447,620,651.10",82549,158.45,-0.01503316754810502
6,09-Feb-2021,EQ,158.45,162.35,154.5,158.45,155.25,155.65,158.69,191.8,73.65,30125060,"4,780,437,007.20",112503,155.65,-0.017829189249312982
7,10-Feb-2021,EQ,156.5,161.45,153.8,155.65,160.9,160.65,157.17,191.8,73.65,32676392,"5,135,604,358.95",111841,160.65,0.03161818867425037
8,11-Feb-2021,EQ,160.0,161.35,157.05,160.65,157.45,157.8,158.99,191.8,73.65,17602651,"2,798,566,137.70",69381,157.8,-0.01789967715009322
9,12-Feb-2021,EQ,158.6,161.7,156.15,157.8,156.85,157.1,158.61,191.8,73.65,21225229,"3,366,440,849.95",77278,157.1,-0.004445863150198903
10,15-Feb-2021,EQ,158.85,164.3,157.5,157.1,162.5,162.55,160.94,181.3,73.65,22985109,"3,699,328,057.15",83399,162.55,0.034103101488339504
11,16-Feb-2021,EQ,164.6,165.95,160.1,162.55,162.35,162.6,163.03,181.3,73.65,28711074,"4,680,735,858.70",108559,162.6,0.00030755036379570555
12,17-Feb-2021,EQ,162.45,168.45,162.0,162.6,165.7,166.25,165.71,181.3,73.65,47451852,"7,863,228,690.75",170443,166.25,0.022199482422252892
13,18-Feb-2021,EQ,168.0,174.6,165.35,166.25,166.95,168.4,170.53,181.3,73.65,56552975,"9,644,110,058.75",198746,168.4,0.0128494222722626
14,19-Feb-2021,EQ,167.0,169.2,158.25,168.4,159.95,160.0,163.48,181.3,73.65,32282645,"5,277,493,372.85",119540,160.0,-0.051168286574399424
15,22-Feb-2021,EQ,160.0,161.0,153.5,160.0,154.35,154.7,157.53,174.6,73.65,16543568,"2,606,143,696.75",71666,154.7,-0.03368605765480659
16,23-Feb-2021,EQ,155.0,160.7,155.0,154.7,159.7,159.3,158.49,174.6,73.65,20224578,"3,205,427,993.05",71163,159.3,0.029301459336982916
17,24-Feb-2021,EQ,159.4,163.7,155.35,159.3,160.85,160.85,161.67,174.6,73.65,17241100,"2,787,364,727.15",57588,160.85,0.00968303676903215
18,25-Feb-2021,EQ,163.0,165.9,162.4,160.85,163.45,163.5,163.79,174.6,73.65,16849604,"2,759,745,981.35",59362,163.5,0.01634073665227298
19,26-Feb-2021,EQ,160.0,160.7,155.0,163.5,157.2,157.2,157.92,174.6,73.65,20458137,"3,230,740,283.50",81656,157.2,-0.03929411034220198
20,01-Mar-2021,EQ,159.25,160.0,155.1,157.2,156.85,156.75,157.27,174.6,73.65,13581503,"2,136,025,807.75",52620,156.75,-0.0028667004820759345
21,02-Mar-2021,EQ,157.9,162.2,156.9,156.75,159.05,158.75,159.43,174.6,73.65,17816299,"2,840,395,569.35",64132,158.75,0.012678458259770764
22,03-Mar-2021,EQ,160.0,167.0,159.7,158.75,165.6,165.8,164.95,174.6,73.65,26964801,"4,447,889,231.10",101829,165.8,0.04345160492839373
23,04-Mar-2021,EQ,163.5,172.45,161.8,165.8,168.5,168.55,168.06,174.6,73.65,31614453,"5,313,220,228.85",119525,168.55,0.016450198978875008
24,05-Mar-2021,EQ,167.0,167.2,157.25,168.55,160.35,159.6,161.38,174.6,73.65,31144582,"5,025,962,049.95",116636,159.6,-0.05456175666436103
25,08-Mar-2021,EQ,162.0,164.8,160.0,159.6,161.1,161.35,162.32,174.6,73.65,16272959,"2,641,507,452.65",74484,161.35,0.010905233482262133
26,09-Mar-2021,EQ,162.8,164.25,157.55,161.35,160.1,159.95,161.11,174.6,73.65,15122459,"2,436,400,930.15",58911,159.95,-0.008714652102443488
27,10-Mar-2021,EQ,161.4,162.75,159.75,159.95,161.1,161.2,161.33,174.6,73.65,9826429,"1,585,280,966.20",39722,161.2,0.0077845636770002
28,12-Mar-2021,EQ,162.75,164.2,155.55,161.2,157.1,157.0,160.1,174.6,73.65,15901414,"2,545,767,923.80",64682,157.0,-0.02640002472421976
29,15-Mar-2021,EQ,157.5,159.0,151.75,157.0,158.0,158.3,155.2,174.6,73.65,15611839,"2,422,893,217.05",65506,158.3,0.008246161538658647
30,16-Mar-2021,EQ,159.0,159.9,154.25,158.3,158.25,157.55,157.46,174.6,73.65,15486161,"2,438,383,277.75",58468,157.55,-0.004749098683682895
31,17-Mar-2021,EQ,157.1,158.15,149.2,157.55,149.5,150.25,153.71,174.6,73.65,17552475,"2,697,910,583.40",64032,150.25,-0.04744229478796669
32,18-Mar-2021,EQ,152.8,154.8,143.1,150.25,148.25,146.6,149.31,174.6,73.65,20262104,"3,025,269,357.10",73355,146.6,-0.024592783962765985
33,19-Mar-2021,EQ,144.5,152.4,141.4,146.6,150.4,151.0,147.37,174.6,73.65,23896696,"3,521,623,211.80",94132,151.0,0.02957204736237351
34,22-Mar-2021,EQ,151.0,154.25,147.5,151.0,150.2,150.0,150.99,174.6,73.65,19111354,"2,885,656,860.50",66935,150.0,-0.006644542718668767
35,23-Mar-2021,EQ,150.95,156.45,148.6,150.0,153.8,153.85,153.43,174.6,73.65,21421629,"3,286,764,717.70",78534,153.85,0.02534280767179542
36,24-Mar-2021,EQ,152.65,154.65,147.55,153.85,148.9,148.35,150.97,174.6,73.65,13974005,"2,109,650,961.40",53503,148.35,-0.03640375503121973
37,25-Mar-2021,EQ,148.6,150.5,137.05,148.35,143.45,143.4,142.06,174.6,73.65,33493070,"4,758,135,195.15",118353,143.4,-0.03393641857131158
38,26-Mar-2021,EQ,147.0,148.5,144.3,143.4,146.9,146.15,146.54,174.6,73.65,16574855,"2,428,908,994.95",64180,146.15,0.01899556339173536
39,30-Mar-2021,EQ,148.0,149.5,144.8,146.15,146.75,147.05,147.5,174.6,75.75,13091155,"1,930,896,013.65",49228,147.05,0.006139173442749168
40,31-Mar-2021,EQ,146.95,155.4,145.45,147.05,151.9,152.2,152.09,174.6,75.75,25075042,"3,813,615,753.85",102204,152.2,0.0344227804275814
41,01-Apr-2021,EQ,154.4,157.4,150.6,152.2,156.3,156.35,153.65,174.6,75.75,18668358,"2,868,361,072.65",71219,156.35,0.026901638476264367
42,05-Apr-2021,EQ,154.25,156.0,144.85,156.35,146.75,146.75,148.21,174.6,75.75,22534118,"3,339,887,168.80",91211,146.75,-0.06336662519564396
43,06-Apr-2021,EQ,148.0,149.9,145.65,146.75,148.0,148.0,147.96,174.6,75.75,14863502,"2,199,212,998.45",65281,148.0,0.008481815055908726
44,07-Apr-2021,EQ,147.5,153.0,147.15,148.0,149.15,149.65,150.8,174.6,75.75,19410024,"2,926,961,320.30",76900,149.65,0.011086960534592905
45,08-Apr-2021,EQ,150.8,151.4,146.55,149.65,147.0,147.2,149.15,174.6,75.75,13085830,"1,951,741,399.55",58822,147.2,-0.016507028003931445
46,09-Apr-2021,EQ,147.0,153.8,146.0,147.2,148.65,148.75,150.89,174.6,75.75,24984543,"3,769,932,788.00",88901,148.75,0.010474838130963171
47,12-Apr-2021,EQ,143.95,143.95,130.35,148.75,133.1,132.2,135.22,174.6,75.75,27939947,"3,778,014,562.20",121797,132.2,-0.11795111700815308
48,13-Apr-2021,EQ,135.0,137.95,131.55,132.2,137.4,137.35,135.05,174.6,75.75,20101923,"2,714,771,344.55",80739,137.35,0.03821648512369702
49,15-Apr-2021,EQ,136.3,139.3,133.6,137.35,135.35,135.75,136.06,174.6,75.75,15554952,"2,116,439,915.45",55825,135.75,-0.011717453727238869
50,16-Apr-2021,EQ,135.75,137.85,133.0,135.75,133.3,134.2,135.79,174.6,75.75,13887726,"1,885,837,860.75",49595,134.2,-0.011483734276462876
51,19-Apr-2021,EQ,128.0,129.8,124.3,134.2,128.9,129.3,127.0,174.6,75.75,20077732,"2,549,910,602.45",78653,129.3,-0.03719593875977001
52,20-Apr-2021,EQ,131.0,133.0,126.85,129.3,127.45,128.05,130.35,174.6,75.75,13038499,"1,699,596,594.50",49590,128.05,-0.009714473132277135
53,22-Apr-2021,EQ,125.8,131.25,125.1,128.05,129.85,130.25,129.27,174.6,75.75,13909497,"1,798,098,305.60",52348,130.25,0.017034867987941738
54,23-Apr-2021,EQ,128.5,134.8,128.35,130.25,129.9,130.5,132.14,174.6,75.75,20689949,"2,734,070,305.30",65295,130.5,0.0019175461292721963
55,26-Apr-2021,EQ,132.1,135.8,131.75,130.5,135.0,135.25,134.09,174.6,75.75,18837895,"2,525,917,158.00",59950,135.25,0.0357516909638429
56,27-Apr-2021,EQ,135.8,140.2,134.6,135.25,139.75,139.65,138.3,174.6,75.75,20065476,"2,775,010,111.35",60610,139.65,0.03201437466459467
57,28-Apr-2021,EQ,140.0,143.7,140.0,139.65,142.85,143.1,142.09,174.6,75.75,16724543,"2,376,421,120.95",51175,143.1,0.02440439417121887
58,29-Apr-2021,EQ,144.0,144.9,138.1,143.1,139.3,139.5,140.73,174.6,75.75,19044879,"2,680,145,871.85",66371,139.5,-0.02547908530098475
59,30-Apr-2021,EQ,137.4,143.9,136.5,139.5,138.3,138.75,140.87,174.6,75.75,18859850,"2,656,787,132.25",67305,138.75,-0.005390848634876377
60,03-May-2021,EQ,136.95,139.8,135.9,138.75,139.1,138.75,137.83,174.6,75.75,13682192,"1,885,780,755.65",50475,138.75,0.0
61,04-May-2021,EQ,140.0,148.3,139.6,138.75,141.6,141.35,144.7,174.6,75.75,37241287,"5,388,799,844.60",123685,141.35,0.01856533151305584
62,05-May-2021,EQ,143.7,147.9,142.4,141.35,145.6,145.6,145.72,174.6,75.75,22404765,"3,264,732,932.05",82558,145.6,0.02962405162298598
63,06-May-2021,EQ,147.0,147.0,142.4,145.6,143.55,143.45,143.69,174.6,75.75,11113538,"1,596,909,467.60",40654,143.45,-0.014876593335211297
64,07-May-2021,EQ,144.45,145.9,142.1,143.45,144.25,144.3,143.98,174.6,75.75,10974380,"1,580,093,254.80",38507,144.3,0.00590792335245105
65,10-May-2021,EQ,145.0,150.85,144.5,144.3,147.5,147.15,148.17,174.6,75.75,18713294,"2,772,772,717.95",64594,147.15,0.019558008899656976
66,11-May-2021,EQ,144.0,152.3,143.35,147.15,149.35,150.1,149.26,174.6,75.75,32755149,"4,889,153,368.15",105346,150.1,0.019849263959933694
67,12-May-2021,EQ,150.9,155.7,148.35,150.1,152.0,152.2,152.56,174.6,75.75,34387684,"5,246,202,881.80",116884,152.2,0.013893706788169702
68,14-May-2021,EQ,154.6,156.5,145.9,152.2,146.6,147.55,150.99,174.6,75.75,25644720,"3,872,221,023.20",103095,147.55,-0.031028344038636746
69,17-May-2021,EQ,149.0,154.0,149.0,147.55,153.7,153.5,151.84,174.6,75.75,16730937,"2,540,347,961.50",66584,153.5,0.03953346563830262
70,18-May-2021,EQ,155.9,157.65,145.15,153.5,147.05,146.65,151.33,174.6,75.75,46783413,"7,079,532,149.00",161231,146.65,-0.04565177160379097
71,19-May-2021,EQ,148.0,152.25,146.0,146.65,146.3,146.4,148.71,174.6,75.75,38781856,"5,767,238,074.00",137066,146.4,-0.00170619389624882
72,20-May-2021,EQ,147.9,149.6,146.4,146.4,147.7,147.4,147.87,174.6,75.75,15435022,"2,282,304,154.50",54428,147.4,0.006807378228024241
73,21-May-2021,EQ,148.95,153.5,148.5,147.4,153.05,152.85,151.31,174.6,75.75,33505835,"5,069,747,881.80",111676,152.85,0.036307068581607815
74,24-May-2021,EQ,154.45,159.8,152.8,152.85,153.75,154.35,156.37,174.6,77.25,50412614,"7,883,158,531.20",172274,154.35,0.009765702611324478
75,25-May-2021,EQ,155.8,156.2,150.0,154.35,151.0,150.45,152.28,174.6,77.25,23174514,"3,529,068,888.10",84475,150.45,-0.025591947872113607
76,26-May-2021,EQ,151.0,152.25,149.2,150.45,149.65,149.55,150.46,174.6,77.25,15494451,"2,331,339,126.40",57789,149.55,-0.00600001800009764
77,27-May-2021,EQ,150.65,155.4,148.65,149.55,154.6,153.65,151.75,174.6,77.25,33989972,"5,157,906,230.75",108585,153.65,0.027046503500536723
78,28-May-2021,EQ,156.1,162.9,154.8,153.65,161.45,161.9,159.0,174.6,77.25,60544144,"9,626,471,221.70",204690,161.9,0.05230157210709585
79,31-May-2021,EQ,162.0,163.65,158.1,161.9,160.5,160.8,161.32,174.6,82.25,25808993,"4,163,527,567.65",104382,160.8,-0.00681750393872349
80,01-Jun-2021,EQ,161.6,163.0,157.85,160.8,159.05,159.05,160.1,174.6,82.25,17526434,"2,806,037,651.65",70684,159.05,-0.01094273854971295
81,02-Jun-2021,EQ,159.0,164.4,158.3,159.05,163.35,163.8,162.42,174.6,82.25,23879440,"3,878,487,650.80",89864,163.8,0.029427553223816183
82,03-Jun-2021,EQ,165.0,165.75,162.65,163.8,162.75,163.25,164.11,174.6,82.25,16479664,"2,704,444,720.90",67471,163.25,-0.00336340326242901
83,04-Jun-2021,EQ,163.0,163.95,159.85,163.25,161.15,161.1,161.82,174.6,82.25,13841718,"2,239,807,465.95",56045,161.1,-0.01325747797361121
84,07-Jun-2021,EQ,162.0,162.8,160.05,161.1,160.7,160.9,161.31,174.6,82.25,9575778,"1,544,713,300.10",41241,160.9,-0.0012422361845914054
85,08-Jun-2021,EQ,161.0,161.5,155.75,160.9,157.95,157.95,158.13,174.6,82.25,16097874,"2,545,482,196.35",67994,157.95,-0.0185045267502435
86,09-Jun-2021,EQ,158.8,162.25,153.35,157.95,156.3,155.75,158.58,174.6,82.25,21646053,"3,432,557,606.20",86776,155.75,-0.014026369580531828
