,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,128.8,129.0,126.1,128.2,126.6,126.6,127.58,162.2,89.55,1635312,"208,625,566.00",15740,126.6,
1,02-Feb-2021,EQ,130.0,134.35,125.7,126.6,126.3,126.8,130.68,162.2,89.55,5817800,"760,296,315.20",40625,126.8,0.0015785322930490508
2,03-Feb-2021,EQ,127.0,129.85,126.05,126.8,128.9,129.1,128.28,162.2,89.55,2118457,"271,747,722.95",15010,129.1,0.01797625584947138
3,04-Feb-2021,EQ,129.5,132.2,129.0,129.1,130.9,130.9,131.11,162.2,89.55,1669919,"218,945,442.50",14823,130.9,0.01384637506325781
4,05-Feb-2021,EQ,132.6,132.6,128.7,130.9,129.9,129.6,130.49,162.2,89.55,2026880,"264,491,520.30",16462,129.6,-0.00998088899768046
5,08-Feb-2021,EQ,129.8,133.9,129.6,129.6,133.5,133.55,132.49,162.2,89.55,2169408,"287,418,649.85",30899,133.55,0.030023155637795895
6,09-Feb-2021,EQ,133.05,135.5,129.3,133.55,130.7,130.4,132.85,162.2,89.55,2714084,"360,568,104.65",22614,130.4,-0.023869290063417203
7,10-Feb-2021,EQ,130.4,132.5,129.5,130.4,130.1,130.05,130.52,162.2,89.55,824615,"107,627,085.85",8042,130.05,-0.0026876575978915795
8,11-Feb-2021,EQ,130.7,131.7,129.65,130.05,130.2,130.65,130.77,162.2,89.55,1192665,"155,969,737.95",8724,130.65,0.004603000071960572
9,12-Feb-2021,EQ,130.65,130.7,128.2,130.65,129.05,128.9,129.25,162.2,89.55,754413,"97,508,056.40",9125,128.9,-0.013485082021479577
10,15-Feb-2021,EQ,129.0,129.0,126.6,128.9,126.85,126.8,127.51,160.0,89.55,1267349,"161,596,168.40",11211,126.8,-0.016425867942016836
11,16-Feb-2021,EQ,127.05,128.2,125.15,126.8,126.7,126.65,126.32,160.0,89.55,1100161,"138,967,159.75",7847,126.65,-0.001183665555441138
12,17-Feb-2021,EQ,127.8,127.8,125.15,126.65,125.8,125.7,126.08,160.0,89.55,839832,"105,883,678.30",6702,125.7,-0.007529260851482533
13,18-Feb-2021,EQ,126.0,130.25,126.0,125.7,129.65,129.75,128.73,160.0,89.55,1489539,"191,749,207.00",10887,129.75,0.03171140644979609
