,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,402.0,448.9,402.0,397.85,442.15,442.95,428.71,464.85,117.4,10811519,"4,635,036,119.15",132493,442.95,
1,02-Feb-2021,EQ,447.05,475.0,434.0,442.95,440.75,439.1,454.13,475.0,117.4,10099741,"4,586,547,932.70",141588,439.1,-0.008729719290369253
2,03-Feb-2021,EQ,444.75,467.25,438.05,439.1,462.0,459.85,453.58,475.0,117.4,9972466,"4,523,322,910.55",110608,459.85,0.046173171781035194
3,04-Feb-2021,EQ,463.0,471.0,457.8,459.85,464.5,464.4,465.39,475.0,117.4,4931739,"2,295,171,979.00",78326,464.4,0.00984590047502909
4,05-Feb-2021,EQ,468.0,473.95,449.25,464.4,453.0,451.1,457.91,475.0,117.4,4324685,"1,980,323,214.75",53749,451.1,-0.02905720540938539
5,08-Feb-2021,EQ,455.0,468.55,454.0,451.1,461.9,460.6,461.15,475.0,117.4,2478180,"1,142,823,018.40",38486,460.6,0.020840942972234267
6,09-Feb-2021,EQ,464.0,470.9,455.0,460.6,460.65,459.05,462.85,475.0,117.4,4083298,"1,889,971,933.95",56574,459.05,-0.003370850796875935
7,10-Feb-2021,EQ,460.1,470.9,454.5,459.05,468.05,467.75,462.17,475.0,117.4,4986969,"2,304,850,984.20",72134,467.75,0.01877482856449042
8,11-Feb-2021,EQ,469.95,478.5,464.2,467.75,470.5,471.6,471.99,478.5,117.4,5781855,"2,728,995,095.85",85741,471.6,0.00819720350901676
9,12-Feb-2021,EQ,471.7,477.8,465.35,471.6,468.8,468.55,471.75,478.5,117.4,2572633,"1,213,630,642.80",36144,468.55,-0.006488349093383583
10,15-Feb-2021,EQ,472.05,538.0,472.05,468.55,531.5,532.75,518.81,538.0,117.4,31359318,"16,269,458,715.80",288050,532.75,0.12840945140889382
11,16-Feb-2021,EQ,528.5,537.0,517.05,532.75,527.5,528.05,529.41,538.0,117.4,10486006,"5,551,361,123.05",131327,528.05,-0.00886129478624298
12,17-Feb-2021,EQ,522.1,533.8,522.1,528.05,527.95,528.0,528.13,538.0,117.4,3658655,"1,932,230,998.50",70860,528.0,-9.469248622195892e-05
13,18-Feb-2021,EQ,530.0,536.55,526.1,528.0,527.5,527.7,529.06,538.0,117.4,5128060,"2,713,062,532.60",69176,527.7,-0.0005683432946392841
14,19-Feb-2021,EQ,526.8,535.6,517.8,527.7,534.4,530.35,527.54,538.0,117.4,8654199,"4,565,446,887.85",91245,530.35,0.005009225539857276
