,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,815.0,831.00,779.95,825.9,805.95,806.4,812.75,864.60,355.3,13856367,"11,261,783,138.50",202806,806.4,
1,02-Feb-2021,EQ,807.0,826.35,801.5,806.4,826.0,821.6,813.62,864.60,355.3,8486828,"6,905,067,694.75",118335,821.6,0.01867376129724363
2,03-Feb-2021,EQ,826.0,878.90,824.2,821.6,852.25,849.25,858.38,878.90,355.3,15674616,"13,454,708,049.65",234283,849.25,0.03309994842634545
3,04-Feb-2021,EQ,847.55,856.50,832.6,849.25,835.25,834.45,844.36,878.90,355.3,4639606,"3,917,492,519.00",79921,834.45,-0.017580781851281202
4,05-Feb-2021,EQ,839.6,854.90,830.5,834.45,848.0,847.7,844.64,878.90,355.3,7381183,"6,234,453,905.15",116960,847.7,0.01575397442494797
5,08-Feb-2021,EQ,852.0,859.25,841.05,847.7,846.05,847.25,850.7,878.90,355.3,4244906,"3,611,127,804.80",89383,847.25,-0.0005309891271991773
6,09-Feb-2021,EQ,848.0,856.85,839.0,847.25,841.7,841.75,848.13,878.90,355.3,4200281,"3,562,380,308.65",86900,841.75,-0.006512752445977377
7,10-Feb-2021,EQ,847.6,867.00,841.0,841.75,865.6,863.4,854.53,878.90,355.3,5665209,"4,841,082,010.80",107639,863.4,0.025395025080193534
8,11-Feb-2021,EQ,868.0,874.90,856.0,863.4,858.0,859.8,862.65,878.90,355.3,5347864,"4,613,322,913.80",91349,859.8,-0.004178279059195766
9,12-Feb-2021,EQ,859.0,864.35,845.5,859.8,850.0,848.55,854.71,878.90,355.3,2473012,"2,113,701,205.10",47896,848.55,-0.013170793604906805
10,15-Feb-2021,EQ,850.1,856.60,842.0,848.55,845.0,844.3,849.53,878.90,355.3,2531913,"2,150,948,023.60",42774,844.3,-0.005021128781820927
11,16-Feb-2021,EQ,850.0,852.25,841.25,844.3,849.0,848.35,847.24,878.90,355.3,2808115,"2,379,153,038.05",47110,848.35,0.004785404813494765
12,17-Feb-2021,EQ,849.45,854.70,833.0,848.35,834.6,835.7,842.11,878.90,355.3,2539649,"2,138,662,289.30",40035,835.7,-0.01502358948155802
13,18-Feb-2021,EQ,835.0,843.45,822.5,835.7,824.9,825.45,833.04,878.90,355.3,4114251,"3,427,330,047.30",80847,825.45,-0.012341004833513303
14,19-Feb-2021,EQ,823.8,825.45,799.0,825.45,808.8,807.35,813.12,878.90,355.3,3834443,"3,117,851,526.95",76673,807.35,-0.02217141284624713
15,22-Feb-2021,EQ,811.4,817.50,786.05,807.35,788.0,792.45,804.79,878.90,355.3,4090429,"3,291,936,116.30",82024,792.45,-0.0186278670491955
16,23-Feb-2021,EQ,795.0,803.15,788.4,792.45,792.0,790.95,795.18,878.90,355.3,3264477,"2,595,855,904.30",55287,790.95,-0.0018946576338461085
17,24-Feb-2021,EQ,794.0,798.10,776.25,790.95,784.0,789.05,790.51,878.90,355.3,1587082,"1,254,599,863.55",38817,789.05,-0.002405064450447192
18,25-Feb-2021,EQ,795.0,814.00,790.45,789.05,813.4,809.15,806.38,878.90,355.3,5478169,"4,417,462,361.30",99785,809.15,0.02515462376875277
19,26-Feb-2021,EQ,805.0,820.00,780.0,809.15,784.95,787.05,802.56,878.90,355.3,7549015,"6,058,510,362.85",139468,787.05,-0.027692535162064047
20,01-Mar-2021,EQ,795.0,800.50,782.0,787.05,789.5,789.8,790.62,878.90,355.3,2748271,"2,172,842,111.60",64872,789.8,0.0034879700517187473
21,02-Mar-2021,EQ,792.6,815.00,790.8,789.8,811.0,811.8,803.68,878.90,355.3,4275166,"3,435,846,455.75",95827,811.8,0.027474255552248472
22,03-Mar-2021,EQ,817.95,818.15,807.6,811.8,813.0,812.5,812.28,878.90,355.3,3265559,"2,652,563,520.35",69160,812.5,0.000861909799095173
23,04-Mar-2021,EQ,807.4,818.00,803.7,812.5,808.0,806.75,809.86,878.90,355.3,3640996,"2,948,688,564.10",71825,806.75,-0.007102083271821158
24,05-Mar-2021,EQ,806.5,812.00,800.25,806.75,806.0,805.15,807.14,878.90,355.3,3832170,"3,093,115,422.00",70610,805.15,-0.001985235468065838
25,08-Mar-2021,EQ,807.95,819.00,806.2,805.15,809.4,809.25,813.7,878.90,355.3,2915298,"2,372,171,350.60",57339,809.25,0.0050792973423483545
26,09-Mar-2021,EQ,812.6,816.70,792.1,809.25,799.2,797.0,801.86,878.90,355.3,2783825,"2,232,225,189.00",60843,797.0,-0.01525321401613855
27,10-Mar-2021,EQ,806.0,814.75,801.0,797.0,811.0,812.4,807.67,878.90,355.3,2512573,"2,029,319,225.35",50425,812.4,0.019138150916014673
28,12-Mar-2021,EQ,816.5,818.70,802.0,812.4,804.25,805.95,811.07,878.90,355.3,2082799,"1,689,289,459.90",53575,805.95,-0.007971123863289797
29,15-Mar-2021,EQ,807.9,808.90,790.0,805.95,803.35,805.5,799.38,878.90,362.9,2651062,"2,119,201,259.75",53714,805.5,-0.0005585032259114442
30,16-Mar-2021,EQ,805.1,808.50,787.0,805.5,792.85,792.3,795.26,878.90,362.9,3671229,"2,919,573,057.30",67773,792.3,-0.016523094645832792
31,17-Mar-2021,EQ,794.8,794.80,770.0,792.3,770.0,772.15,779.28,878.90,362.9,3246092,"2,529,602,963.75",55307,772.15,-0.02576127630218572
32,18-Mar-2021,EQ,776.0,778.45,750.85,772.15,758.0,755.15,763.23,878.90,362.9,2894624,"2,209,261,613.70",71821,755.15,-0.022262426656659784
33,19-Mar-2021,EQ,751.0,767.25,738.1,755.15,761.0,760.65,757.35,878.90,362.9,5262000,"3,985,174,228.60",87583,760.65,0.007256925896787614
34,22-Mar-2021,EQ,762.0,784.60,758.7,760.65,772.0,772.85,774.43,878.90,370.0,3563266,"2,759,513,577.60",88441,772.85,0.015911649689189566
35,23-Mar-2021,EQ,775.0,779.40,768.4,772.85,776.85,776.1,774.86,878.90,370.0,2118532,"1,641,558,986.60",56376,776.1,0.004196397261766016
36,24-Mar-2021,EQ,777.8,798.70,772.65,776.1,791.0,792.95,789.82,878.90,370.0,6904173,"5,453,024,598.75",118668,792.95,0.02147879008451614
37,25-Mar-2021,EQ,796.9,802.30,783.3,792.95,788.65,787.25,791.95,878.90,370.0,5292130,"4,191,119,320.20",105987,787.25,-0.0072143079634754415
38,26-Mar-2021,EQ,791.0,799.00,781.25,787.25,790.0,787.45,789.54,878.90,370.0,2934548,"2,316,946,351.35",59596,787.45,0.00025401663945512354
39,30-Mar-2021,EQ,790.25,815.90,790.25,787.45,810.0,812.2,808.03,878.90,407.65,4453933,"3,598,929,231.55",125974,812.2,0.03094673863160846
40,31-Mar-2021,EQ,811.0,823.95,805.0,812.2,813.95,815.1,817.28,878.90,407.65,3075406,"2,513,459,042.65",102145,815.1,0.003564189848214383
41,01-Apr-2021,EQ,819.5,824.00,811.6,815.1,818.0,818.3,818.32,878.90,407.65,1910949,"1,563,771,915.30",39715,818.3,0.00391821243292334
42,05-Apr-2021,EQ,825.0,827.00,806.1,818.3,820.0,819.75,815.61,878.90,452.0,2920638,"2,382,108,657.40",59161,819.75,0.0017703981914216627
43,06-Apr-2021,EQ,824.0,845.00,821.85,819.75,835.7,836.15,833.5,878.90,452.0,4569120,"3,808,341,443.75",96945,836.15,0.019808607102374864
44,07-Apr-2021,EQ,836.15,844.90,830.25,836.15,838.0,840.85,839.4,878.90,452.0,2404472,"2,018,308,718.80",71257,840.85,0.00560526214162671
45,08-Apr-2021,EQ,843.0,850.45,838.4,840.85,841.0,842.0,844.77,878.90,452.0,2459821,"2,077,988,300.30",54329,842.0,0.001366729273567735
46,09-Apr-2021,EQ,840.9,892.30,836.65,842.0,886.95,883.05,875.25,892.30,452.0,11189432,"9,793,506,835.20",176022,883.05,0.047601809900053915
47,12-Apr-2021,EQ,890.0,940.00,879.15,883.05,907.0,902.4,913.81,940.00,565.6,30141861,"27,544,017,319.30",516625,902.4,0.021676056601413585
48,13-Apr-2021,EQ,921.95,932.60,878.3,902.4,889.0,885.2,899.74,940.00,565.6,11667200,"10,497,456,751.45",185356,885.2,-0.019244272566899312
49,15-Apr-2021,EQ,898.8,925.40,883.9,885.2,914.0,914.2,912.14,940.00,565.6,13218002,"12,056,725,127.15",254586,914.2,0.03223575772074927
50,16-Apr-2021,EQ,919.75,944.25,910.9,914.2,940.1,938.05,929.61,944.25,565.6,13746268,"12,778,681,124.65",221996,938.05,0.02575388659197575
51,19-Apr-2021,EQ,945.25,955.00,924.0,938.05,950.0,946.3,945.66,955.00,565.6,17805574,"16,837,930,206.45",315326,946.3,0.008756391024567378
52,20-Apr-2021,EQ,965.1,966.35,941.1,946.3,951.0,949.3,951.8,966.35,565.6,10205616,"9,713,696,400.95",157298,949.3,0.0031652273735653935
53,22-Apr-2021,EQ,958.8,963.15,938.85,949.3,945.5,944.35,951.75,966.35,565.6,8522208,"8,111,022,828.80",153862,944.35,-0.0052280107458972935
54,23-Apr-2021,EQ,944.35,952.85,922.75,944.35,936.4,935.6,934.36,966.35,565.6,7972589,"7,449,235,489.55",139014,935.6,-0.009308825431831202
55,26-Apr-2021,EQ,935.6,940.00,902.15,935.6,907.95,905.4,914.11,966.35,565.6,10255697,"9,374,884,792.95",161321,905.4,-0.03281119970816615
56,27-Apr-2021,EQ,913.0,919.50,901.0,905.4,911.2,912.4,909.22,966.35,565.6,5669049,"5,154,419,938.00",120188,912.4,0.007701655408374641
57,28-Apr-2021,EQ,914.35,918.00,902.95,912.4,906.25,910.2,909.94,966.35,565.6,7251009,"6,597,970,442.40",134413,910.2,-0.00241413482769115
58,29-Apr-2021,EQ,911.95,917.40,904.0,910.2,906.0,906.5,910.22,966.35,565.6,4953091,"4,508,420,763.50",88604,906.5,-0.00407332538763594
59,30-Apr-2021,EQ,900.75,921.00,900.75,906.5,910.0,910.35,911.47,966.35,565.6,6459737,"5,887,824,394.60",121466,910.35,0.004238110755068192
60,03-May-2021,EQ,919.1,924.40,906.4,910.35,909.0,910.2,913.39,966.35,565.6,6330144,"5,781,867,441.80",108715,910.2,-0.00016478536743225192
61,04-May-2021,EQ,912.9,912.90,876.0,910.2,881.75,878.45,888.86,966.35,565.6,8347795,"7,420,006,578.45",150291,878.45,-0.035505364771478476
62,05-May-2021,EQ,885.0,899.00,869.0,878.45,891.1,888.65,886.82,966.35,565.6,10491085,"9,303,661,589.95",175836,888.65,0.011544466394937558
63,06-May-2021,EQ,907.0,916.70,880.9,888.65,885.5,884.3,897.07,966.35,565.6,17973153,"16,123,111,016.10",274733,884.3,-0.004907085624311414
64,07-May-2021,EQ,893.0,895.50,877.0,884.3,884.0,882.9,886.23,966.35,565.6,5479029,"4,855,658,305.15",108169,882.9,-0.0015844276741523444
