,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"1,604.00","1,613.30","1,571.90","1,603.30","1,600.00","1,599.10","1,593.83","1,676.00","1,065.00",776638,"1,237,830,428.20",26815,1599.1,
1,02-Feb-2021,EQ,"1,615.00","1,650.80","1,607.10","1,599.10","1,616.55","1,617.95","1,630.64","1,676.00","1,065.00",871671,"1,421,378,973.00",32845,1617.95,0.011718944826974997
2,03-Feb-2021,EQ,"1,630.00","1,634.90","1,599.80","1,617.95","1,606.10","1,609.10","1,611.46","1,676.00","1,065.00",677877,"1,092,371,375.05",32519,1609.1,-0.005484899327266923
3,04-Feb-2021,EQ,"1,606.10","1,626.90","1,592.55","1,609.10","1,626.70","1,621.40","1,611.35","1,676.00","1,065.00",325128,"523,894,590.05",15211,1621.4,0.007614957088502017
4,05-Feb-2021,EQ,"1,626.00","1,639.00","1,585.00","1,621.40","1,591.65","1,589.75","1,605.31","1,676.00","1,065.00",528936,"849,108,386.40",23470,1589.75,-0.019713202406089536
5,08-Feb-2021,EQ,"1,595.00","1,609.60","1,585.10","1,589.75","1,585.70","1,589.25","1,593.32","1,676.00","1,065.00",459410,"731,985,187.55",27179,1589.25,-0.0003145643309991897
6,09-Feb-2021,EQ,"1,589.25","1,619.00","1,581.00","1,589.25","1,585.00","1,585.40","1,598.67","1,676.00","1,065.00",631437,"1,009,459,061.65",29769,1585.4,-0.0024254654134621134
7,10-Feb-2021,EQ,"1,575.00","1,589.30","1,567.50","1,585.40","1,584.00","1,582.60","1,579.95","1,676.00","1,065.00",400583,"632,901,034.95",19845,1582.6,-0.0017676772279626718
8,11-Feb-2021,EQ,"1,579.00","1,612.00","1,575.55","1,582.60","1,603.30","1,607.05","1,596.95","1,676.00","1,065.00",370529,"591,717,237.30",15556,1607.05,0.015331135955181985
9,12-Feb-2021,EQ,"1,607.70","1,613.55","1,585.05","1,607.05","1,588.25","1,591.05","1,596.93","1,676.00","1,065.00",225028,"359,354,089.75",11353,1591.05,-0.01000602451068655
10,15-Feb-2021,EQ,"1,603.65","1,621.65","1,593.05","1,591.05","1,597.00","1,598.55","1,610.55","1,676.00","1,065.00",441024,"710,292,436.70",17948,1598.55,0.004702792715486126
11,16-Feb-2021,EQ,"1,597.10","1,607.65","1,567.95","1,598.55","1,583.90","1,581.05","1,584.84","1,676.00","1,065.00",298723,"473,428,243.90",16073,1581.05,-0.011007785072232323
12,17-Feb-2021,EQ,"1,583.95","1,601.65","1,577.25","1,581.05","1,589.25","1,594.25","1,591.28","1,676.00","1,065.00",390030,"620,645,284.80",14130,1594.25,0.008314222932538584
13,18-Feb-2021,EQ,"1,589.60","1,594.65","1,550.30","1,594.25","1,562.95","1,561.75","1,569.23","1,676.00","1,065.00",543931,"853,552,261.10",21359,1561.75,-0.020596418821701157
14,19-Feb-2021,EQ,"1,559.75","1,579.40","1,547.00","1,561.75","1,554.20","1,554.80","1,564.35","1,676.00","1,065.00",363060,"567,953,857.80",17149,1554.8,-0.0044600673956116665
15,22-Feb-2021,EQ,"1,555.25","1,579.90","1,536.40","1,554.80","1,540.00","1,545.95","1,563.45","1,676.00","1,065.00",464359,"726,002,800.90",23153,1545.95,-0.005708311880218808
16,23-Feb-2021,EQ,"1,545.95","1,573.00","1,544.00","1,545.95","1,558.65","1,554.85","1,558.80","1,676.00","1,065.00",478816,"746,378,703.35",20431,1554.85,0.005740469840120888
17,24-Feb-2021,EQ,"1,558.75","1,583.00","1,533.00","1,554.85","1,553.25","1,554.55","1,566.30","1,676.00","1,065.00",338317,"529,904,571.70",13120,1554.55,-0.00019296327325601936
18,25-Feb-2021,EQ,"1,558.75","1,576.60","1,543.10","1,554.55","1,567.00","1,570.90","1,558.74","1,676.00","1,065.00",758926,"1,182,970,805.05",29579,1570.9,0.010462588841179787
19,26-Feb-2021,EQ,"1,567.05","1,599.90","1,555.65","1,570.90","1,570.00","1,581.20","1,581.00","1,676.00","1,065.00",1417384,"2,240,886,428.90",48895,1581.2,0.00653534891663643
20,01-Mar-2021,EQ,"1,577.00","1,591.00","1,565.25","1,581.20","1,588.25","1,583.10","1,577.04","1,676.00","1,065.00",265854,"419,262,844.30",15321,1583.1,0.0012008976572017716
21,02-Mar-2021,EQ,"1,585.10","1,605.50","1,583.55","1,583.10","1,603.55","1,602.15","1,595.69","1,676.00","1,065.00",392377,"626,113,496.25",22557,1602.15,0.011961527124082494
22,03-Mar-2021,EQ,"1,610.00","1,621.00","1,604.00","1,602.15","1,616.00","1,616.80","1,615.02","1,676.00","1,065.00",401834,"648,970,478.55",21287,1616.8,0.009102409885596963
23,04-Mar-2021,EQ,"1,605.00","1,635.00","1,603.00","1,616.80","1,617.00","1,620.20","1,623.27","1,676.00","1,065.00",476559,"773,582,220.75",23703,1620.2,0.002100711306979086
24,05-Mar-2021,EQ,"1,626.40","1,649.75","1,616.65","1,620.20","1,632.35","1,633.90","1,637.55","1,676.00","1,065.00",980777,"1,606,072,898.50",38375,1633.9,0.008420196640387623
25,08-Mar-2021,EQ,"1,639.90","1,659.15","1,632.40","1,633.90","1,640.00","1,642.00","1,645.67","1,676.00","1,065.00",516286,"849,634,257.80",21739,1642.0,0.004945215975594941
26,09-Mar-2021,EQ,"1,642.00","1,652.30","1,615.00","1,642.00","1,639.95","1,635.75","1,632.48","1,676.00","1,065.00",278713,"454,993,181.55",12250,1635.75,-0.0038135962625247544
27,10-Mar-2021,EQ,"1,640.00","1,650.00","1,625.00","1,635.75","1,646.60","1,647.55","1,638.59","1,676.00","1,065.00",418778,"686,204,861.90",17970,1647.55,0.007187921179949264
28,12-Mar-2021,EQ,"1,646.00","1,648.15","1,618.20","1,647.55","1,625.00","1,621.95","1,630.27","1,676.00","1,065.00",539038,"878,776,412.05",18592,1621.95,-0.015660206870141913
29,15-Mar-2021,EQ,"1,625.00","1,625.05","1,585.90","1,621.95","1,603.00","1,598.60","1,600.69","1,676.00","1,065.00",375920,"601,733,169.70",19151,1598.6,-0.014500882867737097
30,16-Mar-2021,EQ,"1,598.60","1,619.85","1,595.15","1,598.60","1,618.00","1,613.35","1,609.87","1,676.00","1,065.00",345773,"556,649,004.40",14716,1613.35,0.009184516375801088
31,17-Mar-2021,EQ,"1,618.10","1,618.10","1,590.00","1,613.35","1,595.50","1,594.55","1,602.55","1,676.00","1,065.00",206352,"330,690,019.55",15862,1594.55,-0.011721197816841666
32,18-Mar-2021,EQ,"1,595.55","1,601.55","1,565.00","1,594.55","1,572.90","1,573.70","1,580.44","1,676.00","1,065.00",258831,"409,066,972.80",27739,1573.7,-0.013162030144059145
33,19-Mar-2021,EQ,"1,560.00","1,592.00","1,543.30","1,573.70","1,575.80","1,578.85","1,575.56","1,676.00","1,065.00",926972,"1,460,499,320.00",29575,1578.85,0.003267199302899648
34,22-Mar-2021,EQ,"1,577.75","1,589.00","1,560.25","1,578.85","1,579.90","1,578.10","1,572.35","1,676.00","1,080.00",871920,"1,370,967,670.65",38024,1578.1,-0.00047514215563193574
35,23-Mar-2021,EQ,"1,585.00","1,588.90","1,566.20","1,578.10","1,568.00","1,569.80","1,574.53","1,676.00","1,080.00",593680,"934,767,990.50",47648,1569.8,-0.005273369061373323
36,24-Mar-2021,EQ,"1,565.00","1,577.00","1,550.00","1,569.80","1,552.00","1,553.85","1,564.85","1,676.00","1,080.00",485513,"759,754,958.95",36878,1553.85,-0.010212500520492718
37,25-Mar-2021,EQ,"1,556.00","1,564.50","1,526.00","1,553.85","1,527.00","1,530.25","1,538.96","1,676.00","1,080.00",682360,"1,050,124,249.45",40983,1530.25,-0.015304601441041399
38,26-Mar-2021,EQ,"1,535.05","1,549.45","1,519.10","1,530.25","1,536.95","1,539.05","1,535.24","1,676.00","1,080.00",469032,"720,078,198.95",29321,1539.05,0.005734222208936046
39,30-Mar-2021,EQ,"1,540.00","1,561.75","1,529.85","1,539.05","1,550.20","1,552.70","1,548.58","1,676.00","1,130.75",509875,"789,583,787.00",26918,1552.7,0.008830008047008953
40,31-Mar-2021,EQ,"1,550.00","1,573.00","1,543.30","1,552.70","1,558.65","1,559.35","1,560.09","1,676.00","1,130.75",458760,"715,706,308.60",17200,1559.35,0.004273716760115676
41,01-Apr-2021,EQ,"1,555.35","1,578.00","1,555.35","1,559.35","1,560.70","1,562.95","1,567.94","1,676.00","1,130.75",228430,"358,163,425.50",14907,1562.95,0.002305993399277284
42,05-Apr-2021,EQ,"1,565.55","1,569.00","1,533.50","1,562.95","1,556.00","1,556.40","1,550.77","1,676.00","1,257.05",190999,"296,195,388.75",12382,1556.4,-0.004199599036118329
43,06-Apr-2021,EQ,"1,566.85","1,573.80","1,552.10","1,556.40","1,570.00","1,568.60","1,562.34","1,676.00","1,257.05",389788,"608,982,746.15",18875,1568.6,0.007808039668167233
44,07-Apr-2021,EQ,"1,570.00","1,575.00","1,547.05","1,568.60","1,551.00","1,550.85","1,559.41","1,676.00","1,257.05",627405,"978,381,511.20",27513,1550.85,-0.011380334077754739
45,08-Apr-2021,EQ,"1,558.90","1,592.80","1,554.75","1,550.85","1,590.00","1,590.10","1,581.87","1,676.00","1,257.05",508957,"805,105,202.25",25443,1590.1,0.024993739617539923
46,09-Apr-2021,EQ,"1,590.10","1,617.15","1,590.10","1,590.10","1,600.00","1,601.15","1,604.19","1,676.00","1,257.05",610142,"978,785,585.80",33601,1601.15,0.006925213732442259
47,12-Apr-2021,EQ,"1,590.00","1,602.00","1,554.00","1,601.15","1,559.00","1,559.20","1,574.85","1,676.00","1,257.05",398803,"628,054,918.35",23292,1559.2,-0.026549251857442613
48,13-Apr-2021,EQ,"1,555.00","1,588.95","1,534.25","1,559.20","1,537.10","1,539.65","1,557.06","1,676.00","1,257.05",590210,"918,990,765.20",27773,1539.65,-0.012617751343309003
49,15-Apr-2021,EQ,"1,545.00","1,565.00","1,531.55","1,539.65","1,560.00","1,555.45","1,544.08","1,676.00","1,257.05",728377,"1,124,673,686.15",32508,1555.45,0.010209774965876939
