,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,851.0,851.0,818.55,844.9,823.5,831.5,841.09,880.9,443.2,451439,"379,698,685.85",26738,831.5,
1,02-Feb-2021,EQ,851.0,852.0,775.5,831.5,788.0,789.4,810.88,880.9,443.2,1031538,"836,455,073.45",41625,789.4,-0.051958135404236216
2,03-Feb-2021,EQ,794.0,797.65,781.05,789.4,783.0,784.65,787.57,880.9,443.2,727193,"572,712,529.65",29396,784.65,-0.006035404744016759
3,04-Feb-2021,EQ,787.7,794.95,763.6,784.65,772.05,767.6,775.04,880.9,443.2,1413621,"1,095,607,040.80",49927,767.6,-0.021968994351184712
4,05-Feb-2021,EQ,779.9,779.9,752.8,767.6,754.0,754.95,759.9,880.9,443.2,1002631,"761,903,093.20",51329,754.95,-0.01661724224306571
5,08-Feb-2021,EQ,761.0,788.0,742.05,754.95,773.9,771.75,761.62,880.9,443.2,806110,"613,949,979.15",33355,771.75,0.022009141491789563
6,09-Feb-2021,EQ,778.65,784.0,766.15,771.75,771.0,770.1,775.24,880.9,443.2,290852,"225,480,699.25",16040,770.1,-0.0021402868370641315
7,10-Feb-2021,EQ,769.95,771.85,761.2,770.1,769.95,768.3,766.45,880.9,443.2,134306,"102,938,538.30",5597,768.3,-0.0023400946716156668
8,11-Feb-2021,EQ,768.3,774.25,757.0,768.3,761.9,759.6,763.1,880.9,443.2,473014,"360,957,337.55",15808,759.6,-0.011388302935458228
9,12-Feb-2021,EQ,765.4,767.85,752.0,759.6,756.0,756.25,758.71,880.9,443.2,197769,"150,049,600.00",9242,756.25,-0.004419969593079109
10,15-Feb-2021,EQ,763.8,777.0,756.25,756.25,774.0,774.05,770.91,880.9,443.2,384968,"296,777,126.05",18908,774.05,0.02326446164142304
11,16-Feb-2021,EQ,777.95,786.75,774.1,774.05,779.0,782.8,781.06,880.9,443.2,571802,"446,610,516.35",10997,782.8,0.011240764535446424
12,17-Feb-2021,EQ,783.8,783.8,766.05,782.8,779.9,779.1,776.4,880.9,443.2,257648,"200,036,647.55",13395,779.1,-0.004737828185108484
13,18-Feb-2021,EQ,782.6,783.85,763.15,779.1,780.0,774.8,769.52,880.9,443.2,300299,"231,087,405.30",16777,774.8,-0.00553447580397215
14,19-Feb-2021,EQ,778.5,789.0,763.5,774.8,765.25,768.4,776.12,880.9,443.2,327435,"254,128,139.25",15081,768.4,-0.008294500638438507
15,22-Feb-2021,EQ,763.0,766.5,748.1,768.4,750.25,756.05,757.37,880.9,443.2,277268,"209,994,839.05",11701,756.05,-0.01620291933572382
16,23-Feb-2021,EQ,753.05,762.3,743.5,756.05,758.0,759.0,754.0,880.9,443.2,280077,"211,177,789.35",9970,759.0,0.003894265836952293
17,24-Feb-2021,EQ,762.8,770.0,749.0,759.0,770.0,762.35,759.45,880.9,443.2,124483,"94,538,500.85",4726,762.35,0.004403990422285453
18,25-Feb-2021,EQ,769.95,787.0,764.4,762.35,781.35,779.1,776.42,880.9,443.2,356962,"277,151,163.70",11528,779.1,0.02173363951889673
19,26-Feb-2021,EQ,775.0,777.95,766.0,779.1,767.0,771.35,770.25,880.9,443.2,457579,"352,448,649.70",8432,771.35,-0.009997180878864143
20,01-Mar-2021,EQ,775.0,787.0,772.1,771.35,784.0,784.2,780.6,880.9,443.2,364847,"284,800,436.90",15831,784.2,0.016521863400282832
21,02-Mar-2021,EQ,789.2,791.8,775.25,784.2,784.0,782.15,783.19,880.9,443.2,248205,"194,391,270.10",8355,782.15,-0.0026175518504523154
