,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,426.0,426.0,408.5,427.75,411.9,416.45,415.17,456.0,177.3,1147767,"476,520,512.75",55474,416.45,
1,02-Feb-2021,EQ,411.35,420.45,403.2,416.45,413.2,414.7,410.9,456.0,177.3,1708220,"701,915,761.55",71973,414.7,-0.00421103912901355
2,03-Feb-2021,EQ,412.1,417.65,405.0,414.7,407.95,411.05,413.61,456.0,177.3,2580016,"1,067,125,713.95",54797,411.05,-0.008840505654193365
3,04-Feb-2021,EQ,409.7,422.95,402.1,411.05,412.4,413.2,409.64,456.0,177.3,2270501,"930,095,838.30",51593,413.2,0.00521687564734119
4,05-Feb-2021,EQ,414.5,421.0,406.65,413.2,408.45,410.05,413.98,456.0,177.3,1175415,"486,603,149.85",40497,410.05,-0.0076526337630635766
5,08-Feb-2021,EQ,414.45,416.65,406.4,410.05,407.6,408.2,411.61,456.0,177.3,902673,"371,548,426.05",31922,408.2,-0.004521853106675522
6,09-Feb-2021,EQ,401.0,410.5,397.3,408.2,405.6,406.5,401.43,456.0,177.3,6843035,"2,747,005,895.80",95404,406.5,-0.004173321387878737
7,10-Feb-2021,EQ,408.55,410.1,403.35,406.5,408.0,408.35,407.48,456.0,177.3,1335357,"544,128,232.85",45530,408.35,0.00454072081641943
8,11-Feb-2021,EQ,408.5,409.55,397.0,408.35,397.2,399.35,401.12,456.0,177.3,2979673,"1,195,217,416.35",75210,399.35,-0.02228642444088713
9,12-Feb-2021,EQ,399.75,399.75,391.5,399.35,394.95,398.9,395.26,456.0,177.3,2494865,"986,120,495.75",37460,398.9,-0.0011274664520373179
10,15-Feb-2021,EQ,399.85,400.8,392.25,398.9,393.0,394.95,398.49,456.0,177.3,1091933,"435,127,688.80",25240,394.95,-0.009951584300932126
11,16-Feb-2021,EQ,394.8,400.6,392.0,394.95,397.15,397.7,397.82,456.0,177.3,3872811,"1,540,684,740.60",51402,397.7,0.006938777603216373
12,17-Feb-2021,EQ,396.75,407.95,393.0,397.7,393.3,395.55,398.93,456.0,177.3,2446128,"975,829,095.75",43179,395.55,-0.005420750746239378
13,18-Feb-2021,EQ,397.45,404.8,397.1,395.55,397.65,398.7,400.24,456.0,177.3,2767448,"1,107,636,714.40",36188,398.7,0.007932052919903398
14,19-Feb-2021,EQ,399.5,402.5,393.7,398.7,396.15,396.65,398.76,456.0,177.3,1608670,"641,478,201.65",48320,396.65,-0.005154974639297372
15,22-Feb-2021,EQ,396.65,399.75,377.0,396.65,390.0,387.1,385.2,456.0,177.3,2132247,"821,333,082.25",42215,387.1,-0.024371222164409012
16,23-Feb-2021,EQ,390.95,390.95,378.35,387.1,380.45,382.2,386.4,456.0,177.3,1201021,"464,071,715.70",42584,382.2,-0.012739025777429802
17,24-Feb-2021,EQ,384.0,385.0,371.25,382.2,382.0,381.15,377.02,456.0,177.3,2486422,"937,418,889.15",33686,381.15,-0.002751033371890088
18,25-Feb-2021,EQ,384.5,388.65,380.0,381.15,385.8,383.6,384.24,456.0,177.3,2436161,"936,077,876.55",58518,383.6,0.006407344575000806
19,26-Feb-2021,EQ,380.9,389.6,376.7,383.6,382.0,385.15,383.26,456.0,177.3,2153518,"825,360,053.05",66331,385.15,0.004032525789691377
20,01-Mar-2021,EQ,388.0,399.7,382.1,385.15,384.95,386.5,389.85,456.0,177.3,2327986,"907,555,303.70",60411,386.5,0.0034989992285021643
21,02-Mar-2021,EQ,387.2,390.3,382.3,386.5,387.65,387.4,386.19,456.0,177.3,2417485,"933,609,910.95",53623,387.4,0.002325882945418911
22,03-Mar-2021,EQ,392.1,398.75,386.5,387.4,395.65,390.95,392.41,456.0,177.3,1738641,"682,253,676.30",55377,390.95,0.009121923597627202
23,04-Mar-2021,EQ,392.0,397.85,390.55,390.95,397.0,396.85,394.48,456.0,177.3,1537531,"606,517,909.60",40956,396.85,0.014978700966361558
24,05-Mar-2021,EQ,397.0,409.0,393.0,396.85,408.0,404.3,400.45,456.0,177.3,1420565,"568,860,309.20",32182,404.3,0.01859880110984058
25,08-Mar-2021,EQ,411.5,417.65,404.3,404.3,408.8,407.95,413.34,456.0,177.3,1518706,"627,741,115.35",62704,407.95,0.008987441228083703
26,09-Mar-2021,EQ,415.0,416.5,409.0,407.95,412.25,414.05,412.32,456.0,177.3,2339396,"964,576,335.55",31821,414.05,0.014842121604900171
27,10-Mar-2021,EQ,417.0,421.0,406.6,414.05,418.9,419.5,419.05,456.0,177.3,839464,"351,776,580.30",38436,419.5,0.01307678642755139
28,12-Mar-2021,EQ,418.55,421.25,401.25,419.5,408.5,410.25,410.39,456.0,177.3,1131935,"464,532,358.40",30971,410.25,-0.022296795937060132
29,15-Mar-2021,EQ,412.95,412.95,397.15,410.25,400.5,401.25,400.83,456.0,177.3,718993,"288,193,220.40",13552,401.25,-0.022182055525974853
30,16-Mar-2021,EQ,403.95,406.5,388.2,401.25,403.9,398.85,394.2,456.0,177.3,1328340,"523,634,277.35",43073,398.85,-0.00599926808708684
31,17-Mar-2021,EQ,402.95,408.55,380.15,398.85,386.95,386.1,393.45,456.0,177.3,1687009,"663,747,645.40",38806,386.1,-0.03248900308694758
