,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,170.05,173.45,167.05,169.25,172.1,172.4,170.69,239.15,110.0,2820784,"481,486,219.50",34646,172.4,
1,02-Feb-2021,EQ,174.9,182.0,173.1,172.4,181.7,181.6,178.66,239.15,110.0,3796147,"678,225,255.10",25920,181.6,0.05198910793760003
2,03-Feb-2021,EQ,182.0,183.3,178.05,181.6,182.7,182.55,182.03,239.15,110.0,2341714,"426,259,711.25",14173,182.55,0.005217641934452288
3,04-Feb-2021,EQ,180.8,180.8,174.35,182.55,175.75,175.85,176.22,239.15,110.0,4505182,"793,904,558.05",37863,175.85,-0.03739274918165414
4,05-Feb-2021,EQ,177.0,180.8,169.35,175.85,171.7,171.1,175.09,239.15,110.0,2486181,"435,316,010.80",23068,171.1,-0.027383178021843868
5,08-Feb-2021,EQ,173.0,175.25,171.2,171.1,172.45,171.9,173.62,236.0,110.0,1630051,"283,016,361.65",11041,171.9,0.004664731490656493
6,09-Feb-2021,EQ,173.6,174.45,166.25,171.9,167.0,166.65,168.55,236.0,110.0,4055863,"683,606,258.90",37944,166.65,-0.03101710763505494
7,10-Feb-2021,EQ,169.5,171.5,163.1,166.65,165.0,164.1,166.57,236.0,110.0,3118639,"519,460,495.00",25242,164.1,-0.015419806657703816
8,11-Feb-2021,EQ,164.9,168.65,163.5,164.1,163.75,164.0,165.32,236.0,110.0,2177753,"360,032,684.25",34624,164.0,-0.0006095702718464935
9,12-Feb-2021,EQ,165.0,166.65,161.5,164.0,162.95,162.95,164.19,236.0,110.0,2365065,"388,316,269.20",37241,162.95,-0.006423022540627876
10,15-Feb-2021,EQ,164.5,170.6,163.55,162.95,169.0,169.0,167.43,224.5,110.0,5375343,"900,017,133.70",37323,169.0,0.03645530963950261
11,16-Feb-2021,EQ,170.7,172.45,164.4,169.0,165.5,165.75,168.4,224.5,110.0,5645652,"950,752,206.60",25354,165.75,-0.019418085857101808
12,17-Feb-2021,EQ,165.45,168.65,164.4,165.75,166.6,166.65,166.12,224.5,110.0,1621176,"269,302,265.05",15810,166.65,0.005415175687777385
13,18-Feb-2021,EQ,167.65,169.6,165.35,166.65,166.35,167.0,167.48,224.5,110.0,1972436,"330,350,532.30",19155,167.0,0.002098007663006385
14,19-Feb-2021,EQ,166.9,167.35,163.4,167.0,165.0,164.45,165.14,224.5,110.0,1699902,"280,713,719.90",23824,164.45,-0.01538723978168921
15,22-Feb-2021,EQ,165.4,165.9,158.75,164.45,160.7,160.0,161.76,224.25,110.0,1979845,"320,254,985.80",25301,160.0,-0.027432757401239627
16,23-Feb-2021,EQ,160.0,163.95,160.0,160.0,161.6,161.15,161.57,224.25,110.0,1798376,"290,563,058.10",26303,161.15,0.007161793027620433
17,24-Feb-2021,EQ,162.0,166.2,160.05,161.15,164.95,164.95,163.54,224.25,110.0,1260888,"206,211,477.40",16696,164.95,0.02330678941314357
18,25-Feb-2021,EQ,167.9,170.3,166.75,164.95,167.45,167.5,168.47,224.25,110.0,5565970,"937,702,990.70",29488,167.5,0.015340953590530226
19,26-Feb-2021,EQ,163.5,166.25,162.6,167.5,165.65,165.3,164.62,224.25,110.0,1943754,"319,977,810.45",25472,165.3,-0.013221346438141879
20,01-Mar-2021,EQ,166.85,169.65,166.3,165.3,169.0,168.8,167.99,218.0,110.0,1461860,"245,577,754.30",26524,168.8,0.020952577334877986
21,02-Mar-2021,EQ,170.85,179.25,169.55,168.8,175.5,175.6,175.22,218.0,110.0,6863895,"1,202,662,428.05",48494,175.6,0.03949409903915946
22,03-Mar-2021,EQ,177.0,183.5,175.9,175.6,181.05,181.35,180.47,218.0,110.0,18275463,"3,298,206,494.00",65747,181.35,0.03222018452789488
23,04-Mar-2021,EQ,179.9,189.7,177.0,181.35,180.85,180.65,183.61,218.0,110.0,13975656,"2,566,065,429.00",75744,180.65,-0.003867408135262096
24,05-Mar-2021,EQ,180.9,182.7,172.45,180.65,173.8,173.4,176.81,218.0,110.0,4240564,"749,760,464.30",40227,173.4,-0.04096039324720735
25,08-Mar-2021,EQ,176.15,178.7,171.8,173.4,175.1,175.1,175.57,207.5,110.0,2460499,"431,978,096.25",27252,175.1,0.009756174945364293
26,09-Mar-2021,EQ,177.0,179.4,167.0,175.1,172.1,171.75,174.14,207.5,110.0,5746414,"1,000,674,116.00",37936,171.75,-0.01931730818934696
27,10-Mar-2021,EQ,173.0,174.55,168.0,171.75,172.35,172.4,171.48,207.5,110.0,3134003,"537,409,447.50",22855,172.4,0.0037774271271340254
28,12-Mar-2021,EQ,175.0,176.0,170.5,172.4,171.25,172.2,174.13,207.5,110.0,3870535,"673,988,051.20",24509,172.2,-0.0011607662359631732
29,15-Mar-2021,EQ,172.5,172.75,167.65,172.2,171.75,171.2,169.94,200.0,110.0,2147412,"364,927,970.75",19767,171.2,-0.00582412828598855
30,16-Mar-2021,EQ,171.45,172.8,169.5,171.2,170.3,170.2,170.41,200.0,110.0,1004833,"171,235,070.10",6461,170.2,-0.005858247568367503
31,17-Mar-2021,EQ,170.3,172.35,168.0,170.2,168.7,169.1,170.14,200.0,110.0,2078840,"353,694,888.20",16760,169.1,-0.006483960234739072
32,18-Mar-2021,EQ,170.0,173.2,160.05,169.1,167.5,167.3,168.35,200.0,110.0,4038162,"679,815,977.20",41170,167.3,-0.010701647911756318
33,19-Mar-2021,EQ,165.95,172.0,162.75,167.3,169.0,169.55,168.41,200.0,110.0,5772184,"972,079,219.15",23085,169.55,0.013359260578869048
34,22-Mar-2021,EQ,170.5,170.75,167.4,169.55,169.2,169.65,169.19,200.0,110.0,986324,"166,877,175.25",12090,169.65,0.0005896226585919706
35,23-Mar-2021,EQ,170.0,171.9,168.0,169.65,168.5,168.65,170.0,200.0,110.0,1331486,"226,349,715.85",15410,168.65,-0.005911929722580034
36,24-Mar-2021,EQ,168.0,169.0,162.85,168.65,164.4,163.85,166.52,200.0,110.0,2785434,"463,831,784.80",12326,163.85,-0.02887418636283634
37,25-Mar-2021,EQ,163.85,164.75,155.8,163.85,161.0,160.8,159.6,200.0,110.0,2878881,"459,480,534.95",17306,160.8,-0.018790018399957198
38,26-Mar-2021,EQ,161.0,165.0,158.75,160.8,160.7,159.6,161.55,200.0,110.0,1577014,"254,765,048.10",13405,159.6,-0.007490671729157405
39,30-Mar-2021,EQ,162.0,162.0,150.0,159.6,157.5,153.9,155.42,200.0,110.0,5510475,"856,447,402.70",33981,153.9,-0.036367644170875124
40,31-Mar-2021,EQ,155.7,160.0,154.65,153.9,155.95,155.95,157.51,200.0,110.0,3763648,"592,800,430.55",35117,155.95,0.013232402208978478
41,01-Apr-2021,EQ,156.45,161.95,156.45,155.95,161.3,161.1,159.21,200.0,110.0,1502566,"239,225,630.00",15143,161.1,0.032489847129117067
42,05-Apr-2021,EQ,161.1,161.8,155.1,161.1,156.4,156.3,157.01,200.0,110.0,1785738,"280,384,945.50",36094,156.3,-0.030248052755498023
43,06-Apr-2021,EQ,157.0,158.4,155.1,156.3,155.8,155.5,156.6,200.0,110.0,1206564,"188,951,164.10",17897,155.5,-0.005131505808142478
44,07-Apr-2021,EQ,157.5,166.5,156.95,155.5,165.45,165.45,163.41,200.0,110.0,5977836,"976,850,413.80",42230,165.45,0.06202330274833301
45,08-Apr-2021,EQ,167.45,168.7,165.2,165.45,166.65,166.1,167.07,200.0,110.0,2557930,"427,358,592.55",26965,166.1,0.003920982251627514
46,09-Apr-2021,EQ,166.45,168.4,163.1,166.1,166.5,165.55,166.26,200.0,110.0,1496054,"248,740,510.50",13364,165.55,-0.003316752625993402
47,12-Apr-2021,EQ,163.0,163.75,157.1,165.55,160.1,159.6,160.24,200.0,115.6,3582250,"574,010,044.05",29217,159.6,-0.03660257897754704
48,13-Apr-2021,EQ,159.0,164.6,158.95,159.6,162.5,162.45,162.68,200.0,115.6,1422539,"231,411,930.35",14049,162.45,0.01769957709940062
49,15-Apr-2021,EQ,161.0,165.5,158.85,162.45,161.8,162.0,162.14,200.0,115.6,2168104,"351,536,701.40",16083,162.0,-0.002773926882725597
50,16-Apr-2021,EQ,161.8,164.85,161.0,162.0,162.0,161.85,163.12,200.0,115.6,1619017,"264,087,571.30",10650,161.85,-0.0009263548601303739
51,19-Apr-2021,EQ,158.1,160.15,155.7,161.85,158.8,158.0,158.52,200.0,115.6,2111519,"334,718,823.25",15149,158.0,-0.024074947345286368
52,20-Apr-2021,EQ,159.05,161.0,157.9,158.0,158.65,158.3,159.09,200.0,115.6,1088175,"173,112,696.00",14105,158.3,0.00189693385999945
53,22-Apr-2021,EQ,155.05,160.0,155.05,158.3,159.7,159.5,158.76,200.0,115.6,1311193,"208,170,657.90",14259,159.5,0.007551955337932625
54,23-Apr-2021,EQ,159.0,168.5,158.7,159.5,165.1,165.6,165.08,200.0,115.6,4221417,"696,890,599.50",37115,165.6,0.037531319726260115
55,26-Apr-2021,EQ,166.75,167.7,163.2,165.6,164.45,164.95,165.57,200.0,115.6,3014688,"499,148,550.15",51945,164.95,-0.003932844276568481
56,27-Apr-2021,EQ,164.45,166.55,163.55,164.95,164.25,164.55,164.71,200.0,115.6,1019306,"167,891,876.25",14331,164.55,-0.0024279222852419124
57,28-Apr-2021,EQ,165.1,170.5,164.05,164.55,168.5,168.65,168.63,200.0,115.6,3881289,"654,484,048.20",24764,168.65,0.024611086118310865
58,29-Apr-2021,EQ,170.0,171.7,168.0,168.65,168.15,168.65,169.84,200.0,115.6,1789363,"303,912,173.80",16527,168.65,0.0
59,30-Apr-2021,EQ,167.4,169.35,165.5,168.65,165.8,166.75,167.25,200.0,115.6,1447507,"242,095,360.95",7799,166.75,-0.01132987671192609
60,03-May-2021,EQ,162.05,170.1,162.05,166.75,169.2,169.55,167.36,200.0,115.6,2052774,"343,553,759.60",11364,169.55,0.016652183775914153
61,04-May-2021,EQ,170.0,172.0,165.35,169.55,167.5,166.95,169.46,200.0,115.6,4528692,"767,443,664.20",10415,166.95,-0.015453502181983936
62,05-May-2021,EQ,168.95,170.9,166.0,166.95,169.2,169.8,168.77,200.0,115.6,3330540,"562,102,590.50",12659,169.8,0.01692690748758352
