,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,339.0,362.9,328.05,341.2,362.9,359.35,350.05,395.95,63.5,1183227,"414,194,227.15",22070,359.35,
1,02-Feb-2021,EQ,361.6,374.9,355.45,359.35,356.0,359.0,365.81,395.95,63.5,700125,"256,112,751.60",12201,359.0,-0.0009744554261734706
2,03-Feb-2021,EQ,363.0,363.0,342.4,359.0,350.0,345.8,349.71,395.95,63.5,720270,"251,885,510.50",10850,345.8,-0.0374618152390882
3,04-Feb-2021,EQ,348.5,357.1,337.6,345.8,338.0,341.55,346.5,395.95,63.5,703601,"243,800,079.15",13154,341.55,-0.012366492071332225
4,05-Feb-2021,EQ,344.25,352.0,338.0,341.55,341.8,343.0,344.66,395.95,63.5,444079,"153,054,975.00",14580,343.0,0.004236365988081303
5,08-Feb-2021,EQ,343.3,350.15,339.2,343.0,343.0,342.6,344.27,395.95,63.5,675216,"232,454,854.05",21076,342.6,-0.001166861275919473
6,09-Feb-2021,EQ,342.0,348.0,338.05,342.6,345.25,343.8,343.9,395.95,63.5,397073,"136,553,931.35",24049,343.8,0.003496507058728504
7,10-Feb-2021,EQ,345.7,364.75,345.7,343.8,361.0,361.25,358.01,395.95,63.5,1273631,"455,970,838.05",21568,361.25,0.049510146477893535
8,11-Feb-2021,EQ,359.0,362.85,351.0,361.25,354.3,353.3,356.57,395.95,63.5,565863,"201,769,130.00",14876,353.3,-0.022252685061542543
9,12-Feb-2021,EQ,355.4,373.0,354.0,353.3,364.25,362.7,364.8,395.95,63.5,847375,"309,121,313.65",19370,362.7,0.026258491923757177
10,15-Feb-2021,EQ,346.0,376.1,345.0,362.7,350.0,355.7,359.32,395.95,63.5,1319940,"474,279,173.40",22616,355.7,-0.019488367334447254
11,16-Feb-2021,EQ,361.05,370.0,355.05,355.7,362.8,364.95,361.94,395.95,63.5,978217,"354,055,072.10",12804,364.95,0.025672678943231553
12,17-Feb-2021,EQ,360.0,368.75,360.0,364.95,363.2,363.9,364.74,395.95,63.5,522730,"190,662,982.70",10239,363.9,-0.0028812532795265966
13,18-Feb-2021,EQ,362.1,366.7,349.1,363.9,352.5,352.8,357.14,395.95,63.5,682862,"243,878,682.05",12944,352.8,-0.030977780485478057
14,19-Feb-2021,EQ,346.2,375.0,346.2,352.8,357.0,357.05,365.06,395.95,63.5,2877948,"1,050,624,293.20",28288,357.05,0.011974503862482777
15,22-Feb-2021,EQ,357.25,364.0,350.5,357.05,353.0,354.25,357.83,395.95,63.5,804693,"287,940,845.55",12413,354.25,-0.007872949424329256
16,23-Feb-2021,EQ,356.0,356.65,335.6,354.25,339.0,339.35,348.11,395.95,63.5,659388,"229,536,676.70",11180,339.35,-0.042970855421022414
17,24-Feb-2021,EQ,339.9,365.0,338.0,339.35,362.0,358.55,353.36,395.95,63.5,709021,"250,539,362.65",10847,358.55,0.05503609717881641
18,25-Feb-2021,EQ,365.0,369.95,355.25,358.55,361.0,363.65,362.79,395.95,63.5,928468,"336,840,175.40",14708,363.65,0.014123746271965665
19,26-Feb-2021,EQ,355.5,368.0,345.0,363.65,365.0,362.0,357.36,395.95,63.5,1281657,"458,008,726.20",19615,362.0,-0.004547654774778032
20,01-Mar-2021,EQ,365.0,378.9,354.0,362.0,357.0,358.4,365.4,395.95,63.5,1585698,"579,420,791.20",27765,358.4,-0.009994530724996231
21,02-Mar-2021,EQ,359.65,363.95,346.45,358.4,348.5,349.0,353.55,395.95,63.5,904516,"319,793,700.50",18153,349.0,-0.026577758898348236
22,03-Mar-2021,EQ,352.0,359.7,342.1,349.0,345.5,345.8,350.47,395.95,63.5,2263952,"793,445,491.45",30044,345.8,-0.009211348953236609
23,04-Mar-2021,EQ,340.0,351.3,325.4,345.8,329.2,328.75,335.06,395.95,63.5,2996764,"1,004,105,996.80",33870,328.75,-0.05056298975721596
24,05-Mar-2021,EQ,330.95,337.6,319.2,328.75,321.5,322.05,326.4,395.95,63.5,982607,"320,724,961.00",29985,322.05,-0.02059077049907465
25,08-Mar-2021,EQ,324.65,324.65,310.0,322.05,312.0,312.05,315.78,395.95,63.5,1018056,"321,485,442.80",21677,312.05,-0.03154338161284809
26,09-Mar-2021,EQ,313.8,318.3,300.1,312.05,301.0,303.2,307.07,395.95,63.5,1237487,"379,997,955.65",44864,303.2,-0.028770777611835108
27,10-Mar-2021,EQ,305.6,305.6,288.05,303.2,293.8,294.35,294.74,395.95,63.5,2448102,"721,560,711.45",36710,294.35,-0.02962311829394615
28,12-Mar-2021,EQ,296.45,302.0,275.0,294.35,279.25,278.75,289.57,395.95,63.5,1681969,"487,041,379.65",54830,278.75,-0.054454212699941884
29,15-Mar-2021,EQ,281.0,281.7,231.6,278.75,257.0,261.65,263.84,395.95,63.5,3954272,"1,043,287,536.80",46506,261.65,-0.06330758995611152
30,16-Mar-2021,EQ,262.2,299.5,251.6,261.65,288.3,291.85,272.47,395.95,63.5,9002665,"2,452,987,385.45",90542,291.85,0.1092322388315834
31,17-Mar-2021,EQ,296.05,305.65,270.0,291.85,277.05,281.7,292.7,395.95,63.5,2816298,"824,319,347.45",40453,281.7,-0.035397296767473385
32,18-Mar-2021,EQ,282.9,287.7,262.6,281.7,267.9,267.3,274.21,395.95,63.5,2503276,"686,413,343.75",22277,267.3,-0.05247105173745403
33,19-Mar-2021,EQ,264.95,278.7,253.25,267.3,271.0,275.15,273.18,395.95,63.5,2767256,"755,955,046.65",29774,275.15,0.028944780360895095
34,22-Mar-2021,EQ,270.0,274.75,265.0,275.15,266.0,268.2,269.08,395.95,63.5,1507666,"405,681,221.15",16147,268.2,-0.025583432658190297
35,23-Mar-2021,EQ,266.0,274.35,258.8,268.2,262.5,263.1,266.95,395.95,63.5,1539861,"411,059,115.55",21308,263.1,-0.019198782801330694
36,24-Mar-2021,EQ,261.9,263.65,238.0,263.1,240.85,241.15,249.42,395.95,63.5,1544732,"385,284,303.75",25900,241.15,-0.08711504153126626
37,25-Mar-2021,EQ,241.15,243.85,209.0,241.15,209.5,217.3,222.47,395.95,63.5,4638483,"1,031,927,450.90",49949,217.3,-0.10414025925259729
38,26-Mar-2021,EQ,213.75,227.9,195.0,217.3,214.5,211.35,212.01,395.95,63.5,14769998,"3,131,376,403.95",153404,211.35,-0.027763360249585034
39,30-Mar-2021,EQ,215.5,219.7,180.3,211.35,183.3,186.75,198.6,395.95,63.5,7078719,"1,405,819,035.45",91460,186.75,-0.12374470299987195
40,31-Mar-2021,EQ,185.45,185.45,168.1,186.75,168.1,168.1,171.58,395.95,63.5,8201038,"1,407,123,383.90",52197,168.1,-0.10521178359835659
41,01-Apr-2021,EQ,163.95,184.9,155.1,168.1,171.8,172.35,172.09,395.95,63.5,10872520,"1,871,054,237.85",81918,172.35,0.02496825254830437
42,05-Apr-2021,EQ,171.4,174.65,156.35,172.35,161.95,163.7,164.81,395.95,63.5,3667729,"604,475,521.15",36156,163.7,-0.05149180858578539
43,06-Apr-2021,EQ,165.0,180.05,159.45,163.7,180.05,174.85,168.74,395.95,63.5,5264181,"888,299,722.95",59073,174.85,0.06589297913229597
44,07-Apr-2021,EQ,181.0,192.3,180.05,174.85,192.3,191.15,187.35,395.95,63.5,4214402,"789,561,516.55",35603,191.15,0.08912999663303722
45,08-Apr-2021,EQ,194.0,210.25,194.0,191.15,210.25,209.1,203.44,395.95,63.5,4353395,"885,641,371.20",49036,209.1,0.08975414629216605
46,09-Apr-2021,EQ,211.25,228.0,210.0,209.1,224.0,222.45,219.75,395.95,63.5,4244151,"932,643,462.05",45580,222.45,0.061889750817462286
47,12-Apr-2021,EQ,214.8,214.8,211.35,222.45,211.35,211.35,211.44,395.95,63.5,3842907,"812,536,926.80",9930,211.35,-0.05118683023925197
48,13-Apr-2021,EQ,206.05,208.85,200.8,211.35,202.25,204.1,202.53,395.95,63.5,3084719,"624,745,367.70",23435,204.1,-0.034905457196999556
49,15-Apr-2021,EQ,203.4,203.4,193.9,204.1,199.55,200.75,198.04,395.95,63.5,1651446,"327,053,626.05",17481,200.75,-0.016549716988928154
50,16-Apr-2021,EQ,204.8,209.65,201.55,200.75,203.0,204.4,205.43,395.95,63.5,988313,"203,027,000.40",10376,204.4,0.018018505502678472
51,19-Apr-2021,EQ,195.55,197.0,194.2,204.4,194.2,194.2,194.29,395.95,63.5,2010738,"390,656,830.70",6178,194.2,-0.05119030247232459
52,20-Apr-2021,EQ,198.0,199.85,185.5,194.2,188.0,187.05,191.48,395.95,63.5,1135889,"217,498,867.00",13118,187.05,-0.037512595063069476
53,22-Apr-2021,EQ,187.0,196.4,178.2,187.05,189.3,189.05,191.95,395.95,63.5,1624486,"311,825,069.25",14078,189.05,0.010635569542786882
54,23-Apr-2021,EQ,189.9,192.7,182.7,189.05,186.3,185.3,186.54,395.95,63.5,940344,"175,413,385.80",10804,185.3,-0.0200353970456284
55,26-Apr-2021,EQ,189.0,193.4,184.4,185.3,185.0,185.4,187.59,395.95,63.5,821022,"154,018,952.15",10042,185.4,0.0005395198404407608
56,27-Apr-2021,EQ,187.5,194.65,183.5,185.4,185.0,185.1,188.52,395.95,63.5,1912599,"360,556,576.75",15629,185.1,-0.0016194335523023184
57,28-Apr-2021,EQ,187.5,191.9,182.8,185.1,185.95,185.2,187.8,395.95,63.5,1490694,"279,957,157.75",16824,185.2,0.0005401026326268266
58,29-Apr-2021,EQ,187.35,188.85,176.75,185.2,177.6,179.55,184.33,395.95,63.5,2255123,"415,682,589.55",15341,179.55,-0.030982601539987442
59,30-Apr-2021,EQ,174.75,183.5,173.05,179.55,178.25,176.55,177.89,395.95,63.5,2216564,"394,307,955.35",11423,176.55,-0.01684959829769639
60,03-May-2021,EQ,178.7,179.65,172.85,176.55,173.0,173.6,175.83,395.95,63.5,630076,"110,787,639.95",6999,173.6,-0.016850320148145137
61,04-May-2021,EQ,175.9,177.55,165.5,173.6,167.0,167.2,170.91,395.95,63.5,893159,"152,645,577.55",10704,167.2,-0.037563101575648794
62,05-May-2021,EQ,168.95,175.5,165.45,167.2,169.5,169.35,169.91,395.95,63.5,823652,"139,944,579.85",9605,169.35,0.012776878613179221
63,06-May-2021,EQ,170.45,172.7,167.05,169.35,168.85,169.05,169.43,395.95,63.5,1438519,"243,721,261.00",10920,169.05,-0.0017730501098851548
64,07-May-2021,EQ,170.0,171.0,166.0,169.05,166.9,167.0,167.74,395.95,63.5,824512,"138,300,618.40",11419,167.0,-0.01220071673713985
65,10-May-2021,EQ,167.1,175.35,167.0,167.0,175.35,175.35,172.71,395.95,63.5,879502,"151,900,038.25",9137,175.35,0.04879016416943127
66,11-May-2021,EQ,176.1,182.0,176.0,175.35,180.55,180.85,179.48,395.95,63.5,858330,"154,052,305.95",10942,180.85,0.03088398181191998
67,12-May-2021,EQ,180.9,183.0,176.0,180.85,177.45,176.95,178.75,395.95,63.5,506093,"90,464,559.45",8704,176.95,-0.021800751606634527
68,14-May-2021,EQ,177.45,179.8,173.45,176.95,178.45,178.45,177.13,395.95,63.5,486063,"86,095,397.75",7432,178.45,0.008441243144696742
69,17-May-2021,EQ,179.9,184.0,178.8,178.45,181.0,180.75,181.48,395.95,63.5,440523,"79,946,718.85",5075,180.75,0.012806411102705084
70,18-May-2021,EQ,180.3,183.55,177.2,180.75,178.8,178.55,180.07,395.95,63.5,525583,"94,640,035.70",9371,178.55,-0.012246186998416064
71,19-May-2021,EQ,180.75,180.75,174.0,178.55,174.75,175.55,177.21,395.95,63.5,484710,"85,896,550.85",9220,175.55,-0.016944771426016914
72,20-May-2021,EQ,175.55,181.9,174.0,175.55,177.7,178.15,179.54,395.95,63.5,1369536,"245,893,304.75",15732,178.15,0.01470198943740364
73,21-May-2021,EQ,178.25,180.15,175.25,178.15,176.8,176.7,178.52,395.95,63.5,837647,"149,532,824.55",11133,176.7,-0.008172512726194014
74,24-May-2021,EQ,176.0,181.0,174.1,176.7,178.0,177.85,178.52,395.95,63.5,652588,"116,502,567.80",5731,177.85,0.006487119068813385
75,25-May-2021,EQ,179.9,180.35,175.5,177.85,175.6,175.8,177.43,395.95,63.5,620019,"110,011,626.05",7613,175.8,-0.011593513143387746
76,26-May-2021,EQ,176.0,180.15,174.3,175.8,178.2,178.75,178.23,395.95,63.5,975992,"173,954,832.25",13656,178.75,0.016641196323040397
77,27-May-2021,EQ,178.75,179.55,174.55,178.75,175.0,175.45,176.46,395.95,63.5,757152,"133,610,378.20",10625,175.45,-0.018634079544892934
78,28-May-2021,EQ,177.05,177.75,171.5,175.45,171.55,171.95,173.55,395.95,63.5,861704,"149,551,771.85",9741,171.95,-0.0201503651509487
79,31-May-2021,EQ,172.05,176.5,170.0,171.95,174.4,174.35,174.48,395.95,69.95,811882,"141,659,700.95",11968,174.35,0.013861036243385527
80,01-Jun-2021,EQ,175.0,175.8,170.5,174.35,171.3,171.4,172.1,395.95,69.95,462220,"79,549,114.40",8480,171.4,-0.017064766957981092
81,02-Jun-2021,EQ,172.0,172.5,167.3,171.4,169.05,168.95,169.16,395.95,69.95,775949,"131,262,100.30",17017,168.95,-0.01439719300338016
82,03-Jun-2021,EQ,170.0,177.35,169.0,168.95,177.35,177.35,172.92,395.95,69.95,1613276,"278,966,125.30",13808,177.35,0.04852236805933163
83,04-Jun-2021,EQ,180.0,186.2,179.9,177.35,186.2,186.2,183.82,395.95,69.95,758682,"139,463,831.50",4844,186.2,0.04869618362333572
84,07-Jun-2021,EQ,194.0,195.5,191.25,186.2,195.5,195.5,194.6,395.95,79.4,1561697,"303,905,497.25",7546,195.5,0.04873901458245378
85,08-Jun-2021,EQ,197.7,205.25,196.9,195.5,205.25,205.25,203.37,395.95,79.4,1460720,"297,068,096.10",10513,205.25,0.048668368907117454
86,09-Jun-2021,EQ,212.7,214.8,195.0,205.25,195.0,195.7,205.85,395.95,79.4,2797475,"575,846,491.05",30774,195.7,-0.047645873930507676
87,10-Jun-2021,EQ,199.0,205.45,197.1,195.7,203.0,203.8,203.5,395.95,79.4,2262613,"460,434,914.70",20589,203.8,0.040556246386594275
88,11-Jun-2021,EQ,206.9,207.7,198.65,203.8,201.6,201.5,202.39,395.95,79.4,1037984,"210,078,436.15",8309,201.5,-0.011349739401886438
89,14-Jun-2021,EQ,201.0,201.0,192.95,201.5,196.0,196.65,195.55,395.95,79.4,846943,"165,618,272.45",9932,196.65,-0.02436388250891941
90,15-Jun-2021,EQ,201.0,206.0,196.65,196.65,204.0,203.6,203.34,395.95,79.4,849762,"172,790,126.05",10633,203.6,0.03473178579854874
91,16-Jun-2021,EQ,203.7,204.5,196.65,203.6,197.95,198.15,199.4,395.95,79.4,787783,"157,084,009.05",11342,198.15,-0.027132965039923462
92,17-Jun-2021,EQ,195.7,203.0,194.2,198.15,194.3,195.3,198.87,395.95,79.4,593698,"118,067,604.30",11245,195.3,-0.014487481753810982
93,18-Jun-2021,EQ,197.0,197.8,185.55,195.3,185.55,186.1,186.7,395.95,79.4,1969878,"367,770,855.40",15918,186.1,-0.04825267423442803
94,21-Jun-2021,EQ,177.6,193.2,177.1,186.1,185.3,186.05,183.71,395.95,92.65,928027,"170,484,336.85",11262,186.05,-0.0002687088555735073
95,22-Jun-2021,EQ,186.45,191.0,181.6,186.05,183.25,183.0,186.43,395.95,92.65,423849,"79,017,742.55",6031,183.0,-0.01652930195121005
96,23-Jun-2021,EQ,185.5,191.0,179.5,183.0,179.5,180.2,184.35,395.95,92.65,921265,"169,832,988.65",10918,180.2,-0.015418807667184176
97,24-Jun-2021,EQ,182.0,182.65,176.0,180.2,177.5,177.45,178.48,395.95,92.65,530989,"94,770,865.85",7627,177.45,-0.015378466081731546
98,25-Jun-2021,EQ,177.5,180.5,174.6,177.45,176.8,177.3,178.11,395.95,92.65,383750,"68,349,038.45",6440,177.3,-0.0008456660123430382
99,28-Jun-2021,EQ,177.8,180.0,175.0,177.3,177.0,176.1,177.3,395.95,104.85,314710,"55,798,694.05",3661,176.1,-0.006791197578002617
100,29-Jun-2021,EQ,177.5,184.35,174.6,176.1,175.95,177.05,176.92,395.95,104.85,2670808,"472,508,612.60",14433,177.05,0.005380163055752618
101,30-Jun-2021,EQ,175.5,182.55,175.4,177.05,177.95,177.95,178.85,395.95,104.85,1016065,"181,719,496.60",7707,177.95,0.005070433398288721
102,01-Jul-2021,EQ,179.65,179.65,175.5,177.95,176.45,175.85,176.73,395.95,104.85,233212,"41,216,204.05",3612,175.85,-0.01187125303620995
103,02-Jul-2021,EQ,176.5,178.0,174.55,175.85,175.0,175.05,175.73,395.95,104.85,346962,"60,971,725.50",3913,175.05,-0.004559711519316778
104,05-Jul-2021,EQ,175.2,180.4,174.9,175.05,177.45,177.6,177.93,395.95,104.85,760595,"135,329,805.65",6591,177.6,0.014462183157395003
105,06-Jul-2021,EQ,177.0,182.0,172.4,177.6,174.5,174.15,174.66,395.95,104.85,8492649,"1,483,286,641.05",10423,174.15,-0.019616833746058937
106,07-Jul-2021,EQ,179.0,182.85,178.0,174.15,182.85,182.85,182.68,395.95,104.85,8529200,"1,558,154,367.00",5933,182.85,0.04874914778337924
107,08-Jul-2021,EQ,191.95,191.95,191.95,182.85,191.95,191.95,191.95,395.95,104.85,166055,"31,874,257.25",1211,191.95,0.04856877685141647
108,09-Jul-2021,EQ,201.5,201.5,191.25,191.95,201.5,201.5,199.53,395.95,104.85,4421893,"882,279,643.70",14537,201.5,0.04855445993993168
109,12-Jul-2021,EQ,207.9,207.9,193.6,201.5,194.55,195.3,200.41,395.95,104.85,2953801,"591,963,340.55",34734,195.3,-0.03125254350410511
110,13-Jul-2021,EQ,195.0,202.95,194.85,195.3,197.0,197.1,198.91,395.95,104.85,1795529,"357,140,577.25",17479,197.1,0.00917437627604123
111,14-Jul-2021,EQ,199.25,206.95,198.35,197.1,206.95,206.95,203.64,395.95,104.85,1493474,"304,123,968.90",10734,206.95,0.04876600403606712
112,15-Jul-2021,EQ,217.25,217.25,207.6,206.95,217.25,217.25,213.23,395.95,104.85,6817366,"1,453,642,111.10",26481,217.25,0.048571545950760076
113,16-Jul-2021,EQ,214.9,222.4,211.05,217.25,212.9,213.7,215.56,395.95,104.85,2385410,"514,197,200.25",29071,213.7,-0.016475601820399532
114,19-Jul-2021,EQ,209.0,212.45,207.0,213.7,211.55,211.3,210.24,395.95,104.85,1364790,"286,937,146.15",12101,211.3,-0.01129423770309046
115,20-Jul-2021,EQ,211.5,213.3,200.75,211.3,200.75,202.55,204.23,395.95,104.85,1844933,"376,783,917.50",17378,202.55,-0.04229215497331218
116,22-Jul-2021,EQ,202.95,209.5,199.85,202.55,202.5,202.1,205.58,395.95,104.85,1294244,"266,073,273.10",11584,202.1,-0.0022241452391238425
117,23-Jul-2021,EQ,202.5,212.2,199.0,202.1,210.7,210.4,208.69,395.95,104.85,2175073,"453,925,488.80",16616,210.4,0.04024785645397966
118,26-Jul-2021,EQ,210.0,220.9,209.05,210.4,220.9,219.2,216.65,395.95,104.85,1606964,"348,148,545.60",14635,219.2,0.040974074210305744
119,27-Jul-2021,EQ,220.9,228.7,210.65,219.2,226.25,226.9,222.02,395.95,104.85,2109438,"468,337,683.30",21906,226.9,0.034524836711935514
120,28-Jul-2021,EQ,227.0,236.45,217.45,226.9,235.0,234.35,228.79,395.95,104.85,2061765,"471,714,283.25",20587,234.35,0.032306332582918706
121,29-Jul-2021,EQ,234.0,242.9,230.7,234.35,233.1,234.55,235.74,395.95,104.85,1321884,"311,616,521.55",17221,234.55,0.0008530604057517266
122,30-Jul-2021,EQ,233.1,237.1,228.3,234.55,230.7,230.1,232.08,395.95,104.85,1361616,"316,009,161.70",11459,230.1,-0.019154787733146605
123,02-Aug-2021,EQ,232.1,238.45,230.0,230.1,233.1,234.15,234.41,395.95,112.0,1809850,"424,252,818.20",11058,234.15,0.017447938588230905
