,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,258.5,289.7,255.0,255.45,281.4,281.65,268.27,299.5,114.55,34749840,"9,322,321,076.35",210802,281.65,
1,02-Feb-2021,EQ,285.3,299.0,278.85,281.65,297.0,294.5,286.73,299.5,114.55,27644084,"7,926,374,471.85",170738,294.5,0.04461383775091843
2,03-Feb-2021,EQ,300.0,301.4,285.65,294.5,289.0,289.95,291.68,301.4,114.55,24568816,"7,166,174,352.30",148184,289.95,-0.015570508769191527
3,04-Feb-2021,EQ,287.0,312.3,285.75,289.95,304.9,304.75,304.49,312.3,114.55,43148676,"13,138,333,978.80",279447,304.75,0.04978327403893168
4,05-Feb-2021,EQ,307.65,314.9,298.1,304.75,305.8,305.3,306.28,314.9,114.55,29462092,"9,023,736,583.95",180195,305.3,0.001803131379451095
5,08-Feb-2021,EQ,316.05,318.9,309.5,305.3,312.15,313.05,313.78,318.9,114.55,24557444,"7,705,756,096.40",167222,313.05,0.025068022450486893
6,09-Feb-2021,EQ,314.5,321.0,304.2,313.05,307.05,307.0,314.37,321.0,114.55,21572096,"6,781,525,738.65",134651,307.0,-0.019515174604122443
7,10-Feb-2021,EQ,309.0,315.95,308.05,307.0,311.0,311.4,312.18,321.0,114.55,20575150,"6,423,106,892.45",120955,311.4,0.014230511812701074
8,11-Feb-2021,EQ,311.45,315.5,308.4,311.4,309.1,309.65,312.15,321.0,114.55,13808073,"4,310,257,758.75",85926,309.65,-0.005635632015827952
9,12-Feb-2021,EQ,312.0,316.4,308.6,309.65,311.25,311.75,312.86,321.0,114.55,16500467,"5,162,284,891.60",99162,311.75,0.006758957176075775
10,15-Feb-2021,EQ,314.5,325.8,312.0,311.75,317.35,317.25,319.68,325.8,114.55,23007953,"7,355,203,648.35",159725,317.25,0.01748852203435103
11,16-Feb-2021,EQ,318.95,328.2,315.5,317.25,318.6,319.0,321.05,328.2,114.55,19300639,"6,196,479,192.20",119353,319.0,0.005500996190347607
12,17-Feb-2021,EQ,318.7,321.55,313.2,319.0,314.9,314.9,317.55,328.2,114.55,12470386,"3,959,960,990.95",65987,314.9,-0.012935974677865225
13,18-Feb-2021,EQ,316.95,317.3,304.7,314.9,305.8,306.25,311.12,328.2,114.55,13038811,"4,056,692,273.10",78830,306.25,-0.027853366248042022
14,19-Feb-2021,EQ,306.7,311.0,293.05,306.25,300.4,300.6,304.36,328.2,114.55,20551420,"6,254,973,205.05",123212,300.6,-0.018621284540063066
15,22-Feb-2021,EQ,300.0,304.5,291.1,300.6,292.05,294.1,299.42,328.2,114.55,11647381,"3,487,477,983.90",75578,294.1,-0.021860631758924498
16,23-Feb-2021,EQ,296.3,310.7,296.2,294.1,307.15,305.4,305.61,328.2,114.55,21574486,"6,593,390,752.30",138108,305.4,0.03770254722458244
17,24-Feb-2021,EQ,307.4,316.0,307.05,305.4,312.8,313.2,313.02,328.2,114.55,11726034,"3,670,433,471.30",74214,313.2,0.02521957133211572
18,25-Feb-2021,EQ,317.0,319.0,313.35,313.2,314.2,314.7,316.25,328.2,114.55,10043934,"3,176,421,324.85",64783,314.7,0.004777839953713503
19,26-Feb-2021,EQ,304.0,310.7,300.3,314.7,302.0,302.5,304.28,328.2,114.55,16598725,"5,050,696,351.40",91689,302.5,-0.039538526599464774
20,01-Mar-2021,EQ,305.8,310.7,302.0,302.5,307.8,307.3,306.15,328.2,114.55,8238981,"2,522,380,122.75",60664,307.3,0.01574319166554261
21,02-Mar-2021,EQ,309.7,314.95,307.55,307.3,314.2,313.6,311.57,328.2,114.55,8429333,"2,626,295,808.60",55254,313.6,0.020293819339813446
22,03-Mar-2021,EQ,316.25,328.6,315.05,313.6,324.2,324.2,323.93,328.6,114.55,20023351,"6,486,094,266.90",120394,324.2,0.03324232082532319
23,04-Mar-2021,EQ,319.0,332.7,316.5,324.2,324.75,326.4,323.5,332.7,114.55,20355344,"6,584,975,873.80",104007,326.4,0.006763013788376071
24,05-Mar-2021,EQ,322.55,324.6,312.4,326.4,318.4,318.1,320.41,332.7,114.55,15748456,"5,046,026,126.30",85445,318.1,-0.025757824334853296
25,08-Mar-2021,EQ,320.8,323.25,314.4,318.1,316.4,316.25,318.15,332.7,114.55,6273645,"1,995,938,737.35",50091,316.25,-0.005832758713368413
26,09-Mar-2021,EQ,319.3,321.4,308.55,316.25,311.75,311.4,314.47,332.7,114.55,7976670,"2,508,438,646.20",62092,311.4,-0.015454780641832144
27,10-Mar-2021,EQ,314.4,316.4,311.5,311.4,315.4,314.25,313.78,332.7,114.55,4810951,"1,509,558,693.15",34187,314.25,0.009110588070458725
28,12-Mar-2021,EQ,317.1,322.25,306.15,314.25,307.7,308.5,314.89,332.7,114.55,9498938,"2,991,146,178.40",70556,308.5,-0.018467004124913977
29,15-Mar-2021,EQ,310.7,310.7,296.7,308.5,304.0,304.25,302.71,332.7,114.55,9489942,"2,872,694,422.25",67579,304.25,-0.01387211147780576
30,16-Mar-2021,EQ,305.8,306.75,301.6,304.25,303.2,304.2,303.99,332.7,114.55,5444765,"1,655,143,514.55",39802,304.2,-0.00016435204244480417
31,17-Mar-2021,EQ,304.2,306.2,289.5,304.2,291.05,291.15,296.92,332.7,114.55,7754321,"2,302,399,061.95",61025,291.15,-0.04384678154206334
