,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,496.0,503.3,467.0,483.05,470.0,478.3,483.14,504.0,130.95,1617199,"781,333,431.30",38145,478.3,
1,02-Feb-2021,EQ,481.95,484.35,472.1,478.3,476.0,479.65,477.44,504.0,130.95,801887,"382,851,967.25",17795,479.65,0.0028185205777049305
2,03-Feb-2021,EQ,478.25,493.4,475.05,479.65,482.25,486.1,484.31,504.0,130.95,1791401,"867,600,911.65",27962,486.1,0.013357692787453246
3,04-Feb-2021,EQ,481.0,512.0,478.6,486.1,509.6,501.9,490.11,512.0,130.95,1334573,"654,091,430.10",26238,501.9,0.03198653260947815
4,05-Feb-2021,EQ,504.45,514.95,486.0,501.9,505.0,502.7,499.77,514.95,130.95,643606,"321,656,592.65",26545,502.7,0.0015926740376421833
5,08-Feb-2021,EQ,505.05,519.95,502.0,502.7,502.0,505.25,510.35,519.95,130.95,617871,"315,331,638.00",31785,505.25,0.0050597855852005935
6,09-Feb-2021,EQ,508.0,508.95,486.25,505.25,489.0,490.6,501.57,519.95,130.95,627429,"314,698,495.35",18806,490.6,-0.029424224459341453
7,10-Feb-2021,EQ,492.9,500.15,473.3,490.6,490.0,489.65,486.61,519.95,130.95,710925,"345,941,834.35",22407,489.65,-0.0019382816575852502
8,11-Feb-2021,EQ,491.95,494.4,485.05,489.65,485.1,487.7,488.36,519.95,130.95,277380,"135,460,942.05",12722,487.7,-0.003990387450796717
9,12-Feb-2021,EQ,487.4,488.2,476.1,487.7,478.0,479.25,481.37,519.95,130.95,329562,"158,640,559.15",18888,479.25,-0.01747808079025326
10,15-Feb-2021,EQ,479.85,479.85,465.1,479.25,466.0,469.75,471.23,519.95,130.95,463051,"218,202,004.60",32089,469.75,-0.02002174363217879
11,16-Feb-2021,EQ,466.9,480.9,464.6,469.75,478.0,478.3,474.28,519.95,130.95,422475,"200,372,659.90",18540,478.3,0.01803751239267637
12,17-Feb-2021,EQ,479.95,485.0,467.95,478.3,468.0,469.2,473.37,519.95,130.95,323783,"153,268,525.45",14983,469.2,-0.019209033906930628
13,18-Feb-2021,EQ,469.0,473.0,461.25,469.2,467.0,467.9,468.12,519.95,130.95,280512,"131,312,802.25",17463,467.9,-0.002774518907149748
14,19-Feb-2021,EQ,466.25,479.95,457.55,467.9,471.0,473.9,468.76,519.95,130.95,358914,"168,242,850.80",18504,473.9,0.012741731101371556
15,22-Feb-2021,EQ,476.3,483.45,468.0,473.9,472.5,475.95,476.18,519.95,130.95,381439,"181,631,985.70",21671,475.95,0.004316477723771861
16,23-Feb-2021,EQ,474.75,482.2,467.8,475.95,468.85,470.05,472.34,519.95,130.95,416634,"196,792,628.20",22149,470.05,-0.012473734672754588
17,24-Feb-2021,EQ,471.4,472.8,461.65,470.05,469.75,469.4,469.59,519.95,130.95,290978,"136,639,833.50",3513,469.4,-0.0013837886076366601
18,25-Feb-2021,EQ,470.05,472.9,460.25,469.4,462.6,463.2,464.64,519.95,130.95,490072,"227,704,935.55",27616,463.2,-0.013296357158137262
19,26-Feb-2021,EQ,462.0,462.0,446.05,463.2,451.5,455.2,455.67,519.95,130.95,729977,"332,627,665.90",27407,455.2,-0.01742204344666476
20,01-Mar-2021,EQ,456.0,475.0,442.5,455.2,470.0,459.9,454.06,519.95,130.95,567521,"257,686,985.45",22548,459.9,0.010272191733757374
21,02-Mar-2021,EQ,462.3,467.95,445.0,459.9,445.5,448.2,451.42,519.95,130.95,803799,"362,852,830.70",24649,448.2,-0.02576951317905163
22,03-Mar-2021,EQ,448.2,460.0,445.6,448.2,448.7,450.65,449.8,519.95,130.95,705275,"317,235,040.35",19755,450.65,0.005451423635592256
23,04-Mar-2021,EQ,446.0,454.85,445.4,450.65,448.25,450.55,449.81,519.95,130.95,1367133,"614,944,391.40",19326,450.55,-0.00022192632137318924
24,05-Mar-2021,EQ,448.0,481.0,447.6,450.55,480.0,472.0,463.34,519.95,130.95,875873,"405,825,341.60",28394,472.0,0.04650992690450906
25,08-Mar-2021,EQ,480.0,489.45,478.05,472.0,481.0,481.8,484.12,519.95,130.95,829226,"401,442,249.95",23603,481.8,0.020550104595216112
26,09-Mar-2021,EQ,476.75,485.65,463.0,481.8,477.0,477.85,473.14,519.95,130.95,829743,"392,581,211.55",17832,477.85,-0.008232214468582022
27,10-Mar-2021,EQ,482.2,489.0,471.05,477.85,480.0,482.35,478.56,519.95,130.95,678320,"324,617,694.95",20664,482.35,0.009373115904373286
28,12-Mar-2021,EQ,489.0,489.0,478.15,482.35,486.95,487.35,485.18,519.95,130.95,313677,"152,189,212.00",11212,487.35,0.010312559166656854
29,15-Mar-2021,EQ,487.35,494.95,481.6,487.35,486.05,489.15,490.96,519.95,130.95,1469211,"721,321,874.80",22058,489.15,0.003686640120218243
30,16-Mar-2021,EQ,491.7,495.0,483.25,489.15,488.2,488.45,488.35,519.95,130.95,344559,"168,264,874.85",12770,488.45,-0.0014320788044859256
31,17-Mar-2021,EQ,494.3,494.95,470.0,488.45,487.75,484.75,483.22,519.95,130.95,360379,"174,142,617.30",10086,484.75,-0.0076038179761903635
32,18-Mar-2021,EQ,487.3,495.0,470.0,484.75,483.95,484.75,484.4,519.95,130.95,471084,"228,191,529.45",13739,484.75,0.0
33,19-Mar-2021,EQ,478.25,489.9,462.55,484.75,481.65,471.75,472.54,519.95,130.95,833464,"393,848,350.70",17633,471.75,-0.027184109874101914
34,22-Mar-2021,EQ,481.9,487.9,472.0,471.75,482.2,485.4,479.3,519.95,130.95,183674,"88,035,008.90",9880,485.4,0.028524109043841506
35,23-Mar-2021,EQ,489.0,489.0,476.0,485.4,477.0,479.75,480.31,519.95,130.95,2267257,"1,088,988,350.15",11047,479.75,-0.011708158404691638
36,24-Mar-2021,EQ,477.8,480.15,470.1,479.75,472.0,473.75,474.01,519.95,130.95,335633,"159,093,638.40",7586,473.75,-0.012585378491173138
37,25-Mar-2021,EQ,472.8,478.0,455.3,473.75,457.9,464.1,468.71,519.95,130.95,198966,"93,258,337.70",12199,464.1,-0.020579710149505992
38,26-Mar-2021,EQ,461.5,477.0,461.5,464.1,469.55,470.85,466.96,519.95,130.95,299793,"139,991,762.15",10635,470.85,0.014439525708942469
39,30-Mar-2021,EQ,476.5,501.1,473.0,470.85,485.15,493.35,488.65,519.95,130.95,785314,"383,745,578.45",33210,493.35,0.04667928934710286
40,31-Mar-2021,EQ,489.0,490.4,476.8,493.35,483.0,486.0,482.75,519.95,130.95,331755,"160,155,794.35",12933,486.0,-0.015010237402681703
41,01-Apr-2021,EQ,482.0,493.8,480.45,486.0,489.95,488.05,485.72,519.95,130.95,828339,"402,340,618.05",17831,488.05,0.0042092357204808195
42,05-Apr-2021,EQ,487.5,503.5,477.35,488.05,502.0,498.45,490.52,519.95,168.85,333102,"163,394,320.65",21581,498.45,0.021085423847738483
43,06-Apr-2021,EQ,501.1,515.9,498.15,498.45,505.4,505.95,508.6,519.95,168.85,588734,"299,431,120.15",38396,505.95,0.01493456670705573
44,07-Apr-2021,EQ,506.1,511.1,501.35,505.95,507.0,507.3,508.0,519.95,168.85,162109,"82,351,142.75",8202,507.3,0.0026646943968753334
45,08-Apr-2021,EQ,507.3,519.95,504.55,507.3,516.0,516.4,515.73,519.95,168.85,294747,"152,010,866.60",10878,516.4,0.017779114399843365
46,09-Apr-2021,EQ,516.4,526.0,507.7,516.4,518.75,516.8,515.76,526.0,168.85,827468,"426,775,899.20",15165,516.8,0.0007742934959047432
47,12-Apr-2021,EQ,519.8,519.8,496.05,516.8,506.0,505.9,502.65,526.0,168.85,428569,"215,421,113.85",10738,505.9,-0.02131693117050215
48,13-Apr-2021,EQ,508.0,519.5,494.35,505.9,515.0,516.05,515.96,526.0,168.85,505615,"260,878,826.85",14939,516.05,0.01986463871405242
49,15-Apr-2021,EQ,508.0,531.0,508.0,516.05,528.95,529.45,525.05,531.0,168.85,1310763,"688,210,790.05",18382,529.45,0.025635071864520853
50,16-Apr-2021,EQ,537.0,547.0,529.55,529.45,541.15,543.55,539.46,547.0,168.85,2495829,"1,346,410,068.30",20179,543.55,0.0262829667735458
51,19-Apr-2021,EQ,538.0,543.0,522.5,543.55,526.05,529.7,532.88,547.0,168.85,196009,"104,449,310.05",9878,529.7,-0.025810890099528194
52,20-Apr-2021,EQ,533.4,535.0,508.5,529.7,510.0,517.0,520.84,547.0,168.85,438194,"228,227,227.60",8114,517.0,-0.024267934042051742
53,22-Apr-2021,EQ,510.0,517.0,505.15,517.0,506.55,508.25,509.91,547.0,168.85,368675,"187,990,890.15",16715,508.25,-0.017069421999972967
54,23-Apr-2021,EQ,504.1,512.1,503.0,508.25,505.35,505.25,506.46,547.0,168.85,124814,"63,213,516.35",7378,505.25,-0.005920096224725668
55,26-Apr-2021,EQ,505.1,509.9,490.0,505.25,498.65,497.05,497.66,547.0,168.85,379249,"188,738,866.65",11068,497.05,-0.01636273162557611
56,27-Apr-2021,EQ,502.4,510.7,500.8,497.05,508.0,508.85,505.96,547.0,168.85,166224,"84,102,358.80",10258,508.85,0.023462652979786114
