,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"1,389.00","1,413.55","1,370.00","1,384.65","1,370.00","1,389.45","1,391.41","1,465.00",564.50,85875,"119,486,931.55",13392,1389.45,
1,02-Feb-2021,EQ,"1,382.45","1,399.75","1,356.85","1,389.45","1,368.00","1,367.70","1,370.83","1,465.00",564.50,158987,"217,943,743.70",9212,1367.7,-0.015777488480640756
2,03-Feb-2021,EQ,"1,384.75","1,443.95","1,363.75","1,367.70","1,435.20","1,432.05","1,416.05","1,465.00",564.50,113136,"160,206,648.80",9774,1432.05,0.04597648722464687
3,04-Feb-2021,EQ,"1,444.40","1,470.00","1,390.00","1,432.05","1,445.00","1,446.80","1,443.36","1,470.00",564.50,250518,"361,586,896.70",20948,1446.8,0.010247236965790663
4,05-Feb-2021,EQ,"1,454.05","1,488.95","1,446.50","1,446.80","1,469.00","1,469.00","1,466.33","1,488.95",564.50,173019,"253,702,297.65",11383,1469.0,0.015227676095934228
5,08-Feb-2021,EQ,"1,480.00","1,486.95","1,455.00","1,469.00","1,455.00","1,470.90","1,470.24","1,488.95",564.50,70737,"104,000,019.90",7689,1470.9,0.0012925611514198465
6,09-Feb-2021,EQ,"1,483.50","1,483.50","1,456.35","1,470.90","1,475.00","1,470.15","1,466.17","1,488.95",564.50,69279,"101,574,990.20",7302,1470.15,-0.0005100219419986729
7,10-Feb-2021,EQ,"1,485.00","1,492.00","1,460.00","1,470.15","1,485.00","1,482.95","1,477.83","1,492.00",564.50,143810,"212,526,238.80",12461,1482.95,0.00866891074458298
8,11-Feb-2021,EQ,"1,482.30","1,495.00","1,461.95","1,482.95","1,486.00","1,483.75","1,481.56","1,495.00",564.50,161797,"239,711,796.80",7166,1483.75,0.00053931979599664
9,12-Feb-2021,EQ,"1,491.90","1,510.00","1,470.00","1,483.75","1,475.00","1,478.65","1,494.37","1,510.00",564.50,89965,"134,440,631.70",6977,1478.65,-0.0034431576009428255
10,15-Feb-2021,EQ,"1,478.65","1,506.65","1,476.05","1,478.65","1,499.00","1,501.30","1,495.80","1,510.00",564.50,73158,"109,429,558.45",10877,1501.3,0.015201890095323911
11,16-Feb-2021,EQ,"1,505.00","1,508.85","1,461.00","1,501.30","1,468.00","1,471.50","1,480.23","1,510.00",564.50,65865,"97,495,306.90",9509,1471.5,-0.020049110744731813
12,17-Feb-2021,EQ,"1,474.00","1,478.85","1,425.25","1,471.50","1,438.50","1,440.95","1,452.15","1,510.00",564.50,155638,"226,009,214.55",10947,1440.95,-0.02097967040230042
13,18-Feb-2021,EQ,"1,441.00","1,478.00","1,398.00","1,440.95","1,404.90","1,406.40","1,411.84","1,510.00",564.50,240044,"338,902,961.75",6648,1406.4,-0.02426937034031429
14,19-Feb-2021,EQ,"1,406.40","1,438.25","1,381.50","1,406.40","1,405.00","1,395.45","1,409.25","1,510.00",564.50,102310,"144,179,912.05",14465,1395.45,-0.007816304048235523
15,22-Feb-2021,EQ,"1,400.00","1,414.00","1,351.50","1,395.45","1,360.00","1,364.90","1,365.27","1,510.00",564.50,161014,"219,827,133.95",16395,1364.9,-0.022135778020526686
16,23-Feb-2021,EQ,"1,364.00","1,384.00","1,325.00","1,364.90","1,364.70","1,364.80","1,342.99","1,510.00",564.50,138294,"185,727,962.15",14946,1364.8,-7.326812473529287e-05
17,24-Feb-2021,EQ,"1,368.00","1,424.50","1,364.35","1,364.80","1,416.00","1,416.35","1,394.66","1,510.00",564.50,63594,"88,692,174.70",6636,1416.35,0.03707524211475022
18,25-Feb-2021,EQ,"1,424.50","1,450.00","1,356.95","1,416.35","1,433.00","1,439.20","1,426.75","1,510.00",564.50,119492,"170,485,233.80",18821,1439.2,0.016004263784157757
19,26-Feb-2021,EQ,"1,403.95","1,450.00","1,387.10","1,439.20","1,441.85","1,442.15","1,427.00","1,510.00",564.50,80638,"115,070,038.15",13882,1442.15,0.002047651990038979
20,01-Mar-2021,EQ,"1,450.00","1,478.00","1,400.00","1,442.15","1,403.00","1,404.85","1,421.61","1,510.00",564.50,81479,"115,831,237.15",19514,1404.85,-0.026204520123774167
21,02-Mar-2021,EQ,"1,415.00","1,420.00","1,385.50","1,404.85","1,403.55","1,406.80","1,406.86","1,510.00",564.50,56145,"78,988,028.80",7422,1406.8,0.0013870860972398091
22,03-Mar-2021,EQ,"1,405.00","1,415.35","1,378.70","1,406.80","1,392.05","1,392.65","1,396.26","1,510.00",564.50,105576,"147,411,205.35",11968,1392.65,-0.010109214671576439
23,04-Mar-2021,EQ,"1,392.00","1,405.00","1,374.05","1,392.65","1,384.65","1,387.15","1,382.86","1,510.00",564.50,121275,"167,706,183.70",11143,1387.15,-0.003957124380864485
24,05-Mar-2021,EQ,"1,403.50","1,412.00","1,378.00","1,387.15","1,410.00","1,405.10","1,399.86","1,510.00",564.50,64211,"89,886,321.15",11777,1405.1,0.01285719206490743
25,08-Mar-2021,EQ,"1,424.95","1,431.30","1,377.00","1,405.10","1,382.00","1,384.35","1,406.31","1,510.00",564.50,266689,"375,048,538.95",11874,1384.35,-0.01487775923259882
26,09-Mar-2021,EQ,"1,400.00","1,407.45","1,378.00","1,384.35","1,390.00","1,391.50","1,387.39","1,510.00",564.50,53139,"73,724,415.65",4771,1391.5,0.005151586586250367
27,10-Mar-2021,EQ,"1,393.00","1,405.00","1,387.30","1,391.50","1,397.00","1,400.55","1,396.37","1,510.00",564.50,27942,"39,017,467.30",5291,1400.55,0.006482714632099373
28,12-Mar-2021,EQ,"1,420.00","1,420.00","1,395.25","1,400.55","1,404.00","1,407.80","1,409.11","1,510.00",564.50,152771,"215,270,646.90",15127,1407.8,0.005163185575986162
29,15-Mar-2021,EQ,"1,420.00","1,427.00","1,378.65","1,407.80","1,408.00","1,411.10","1,398.40","1,510.00",564.50,43935,"61,438,784.45",4834,1411.1,0.00234133988968388
30,16-Mar-2021,EQ,"1,423.35","1,423.35","1,386.35","1,411.10","1,410.00","1,397.75","1,397.73","1,510.00",564.50,95667,"133,716,240.50",4191,1397.75,-0.009505741156960568
31,17-Mar-2021,EQ,"1,410.00","1,410.00","1,380.00","1,397.75","1,388.90","1,388.95","1,388.55","1,510.00",564.50,57201,"79,426,322.35",8578,1388.95,-0.006315734920552707
32,18-Mar-2021,EQ,"1,390.50","1,427.55","1,390.50","1,388.95","1,418.00","1,418.90","1,413.10","1,510.00",564.50,101583,"143,547,190.20",11094,1418.9,0.021333857527065625
33,19-Mar-2021,EQ,"1,392.00","1,425.20","1,370.75","1,418.90","1,414.00","1,417.55","1,401.63","1,510.00",564.50,54518,"76,414,040.00",7220,1417.55,-0.0009518941648440915
34,22-Mar-2021,EQ,"1,410.00","1,519.95","1,395.05","1,417.55","1,482.00","1,489.25","1,449.66","1,519.95",564.50,184891,"268,028,519.35",14730,1489.25,0.049342608160373835
35,23-Mar-2021,EQ,"1,481.00","1,500.00","1,438.00","1,489.25","1,454.40","1,452.35","1,461.97","1,519.95",564.50,149745,"218,922,198.05",22245,1452.35,-0.025089703339220115
36,24-Mar-2021,EQ,"1,415.85","1,489.00","1,415.25","1,452.35","1,439.95","1,445.40","1,450.77","1,519.95",564.50,112089,"162,615,862.70",15904,1445.4,-0.004796834320695886
37,25-Mar-2021,EQ,"1,465.00","1,465.00","1,375.00","1,445.40","1,400.00","1,390.80","1,402.54","1,519.95",564.50,142924,"200,456,116.20",13229,1390.8,-0.03850697871517461
38,26-Mar-2021,EQ,"1,410.00","1,454.40","1,375.00","1,390.80","1,423.55","1,442.45","1,420.78","1,519.95",564.50,106404,"151,177,110.00",14309,1442.45,0.03646393560274497
39,30-Mar-2021,EQ,"1,457.00","1,480.00","1,428.05","1,442.45","1,447.00","1,464.15","1,455.03","1,519.95",564.50,110596,"160,920,613.05",11102,1464.15,0.014931812552632096
40,31-Mar-2021,EQ,"1,445.00","1,472.35","1,410.85","1,464.15","1,420.00","1,456.15","1,447.55","1,519.95",564.50,215098,"311,365,627.50",13703,1456.15,-0.0054789028608297485
41,01-Apr-2021,EQ,"1,452.35","1,465.10","1,425.30","1,456.15","1,437.00","1,440.75","1,438.23","1,519.95",564.50,68246,"98,153,209.70",6590,1440.75,-0.010632155111478525
42,05-Apr-2021,EQ,"1,458.00","1,458.00","1,380.00","1,440.75","1,381.00","1,386.10","1,395.12","1,519.95",564.50,81914,"114,279,616.45",10076,1386.1,-0.03866976309746839
43,06-Apr-2021,EQ,"1,399.00","1,399.00","1,360.85","1,386.10","1,369.00","1,370.80","1,377.24","1,519.95",564.50,212302,"292,391,706.45",11376,1370.8,-0.01109953721885315
44,07-Apr-2021,EQ,"1,360.05","1,396.00","1,360.05","1,370.80","1,377.05","1,376.25","1,374.43","1,519.95",564.50,125089,"171,926,555.75",12302,1376.25,0.003967898036435713
45,08-Apr-2021,EQ,"1,395.25","1,405.00","1,370.25","1,376.25","1,390.00","1,388.15","1,387.55","1,519.95",564.50,339490,"471,057,667.65",8791,1388.15,0.00860951635507412
46,09-Apr-2021,EQ,"1,399.30","1,403.90","1,365.00","1,388.15","1,369.00","1,373.50","1,373.54","1,519.95",564.50,228364,"313,667,488.95",11025,1373.5,-0.010609698856635319
47,12-Apr-2021,EQ,"1,363.00","1,369.95","1,280.05","1,373.50","1,287.00","1,295.20","1,318.48","1,519.95",564.50,367649,"484,736,046.85",19452,1295.2,-0.058697103171902576
48,13-Apr-2021,EQ,"1,286.05","1,314.00","1,273.35","1,295.20","1,301.95","1,298.80","1,293.28","1,519.95",564.50,42239,"54,626,714.00",6974,1298.8,0.002775637865265246
