,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,73.35,77.45,71.75,72.3,77.1,77.2,75.02,93.7,35.7,38848036,"2,914,381,304.30",86787,77.2,
1,02-Feb-2021,EQ,77.85,81.85,77.6,77.2,80.3,80.25,79.78,93.7,35.7,52080504,"4,154,956,516.30",113673,80.25,0.03874730497939449
2,03-Feb-2021,EQ,80.75,82.2,79.2,80.25,81.55,81.6,81.27,93.7,35.7,36230202,"2,944,472,429.75",66739,81.6,0.01668249995993598
3,04-Feb-2021,EQ,81.35,85.8,80.55,81.6,85.35,85.55,84.19,93.7,35.7,43530895,"3,664,678,905.90",104068,85.55,0.047271738368141136
4,05-Feb-2021,EQ,85.5,87.25,82.85,85.55,83.4,83.2,84.99,93.7,35.7,37901726,"3,221,210,593.80",79814,83.2,-0.02785365251103933
5,08-Feb-2021,EQ,83.95,84.95,82.4,83.2,83.0,82.85,83.38,91.55,35.7,16475271,"1,373,662,389.00",39524,82.85,-0.004215603954590641
6,09-Feb-2021,EQ,83.0,85.45,82.0,82.85,83.0,82.95,84.0,91.55,35.7,27021814,"2,269,814,881.65",60153,82.95,0.0012062727638815218
7,10-Feb-2021,EQ,83.0,83.75,81.8,82.95,83.3,82.85,82.72,91.55,35.7,20062934,"1,659,652,654.80",53934,82.85,-0.0012062727638815218
8,11-Feb-2021,EQ,82.3,84.0,82.3,82.85,83.65,83.4,83.26,91.55,35.7,15247124,"1,269,423,840.75",38544,83.4,0.006616565492128856
9,12-Feb-2021,EQ,83.7,84.15,82.65,83.4,82.8,83.15,83.45,91.55,35.7,12911103,"1,077,372,790.70",26497,83.15,-0.0030021037257643712
10,15-Feb-2021,EQ,83.65,85.7,83.5,83.15,85.4,85.2,84.97,89.7,35.7,20979020,"1,782,589,432.50",48921,85.2,0.024355228196333734
