,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"2,120.00","2,140.00","2,071.00","2,116.30","2,080.00","2,078.10","2,099.27","2,508.55","1,700.00",127319,"267,276,625.30",12399,2078.1,
1,02-Feb-2021,EQ,"2,095.00","2,142.95","2,080.00","2,078.10","2,100.00","2,099.40","2,103.90","2,508.55","1,700.00",249607,"525,147,407.85",20145,2099.4,0.010197574905028262
2,03-Feb-2021,EQ,"2,116.70","2,155.00","2,103.50","2,099.40","2,134.20","2,132.10","2,134.06","2,508.55","1,700.00",141163,"301,250,317.25",14165,2132.1,0.015455819899261591
3,04-Feb-2021,EQ,"2,130.00","2,185.90","2,080.95","2,132.10","2,140.00","2,136.85","2,119.70","2,508.55","1,700.00",293240,"621,581,509.30",22997,2136.85,0.0022253724968805955
4,05-Feb-2021,EQ,"2,152.70","2,312.00","2,127.00","2,136.85","2,300.00","2,293.70","2,231.11","2,508.55","1,700.00",389302,"868,574,394.20",27899,2293.7,0.07083345220233017
5,08-Feb-2021,EQ,"2,314.00","2,338.35","2,258.00","2,293.70","2,321.50","2,322.55","2,311.36","2,508.55","1,700.00",180259,"416,643,803.50",10405,2322.55,0.012499485781384934
6,09-Feb-2021,EQ,"2,312.00","2,345.20","2,252.00","2,322.55","2,270.00","2,268.30","2,309.71","2,508.55","1,700.00",287768,"664,659,852.15",14873,2268.3,-0.023635067749220084
7,10-Feb-2021,EQ,"2,274.00","2,325.00","2,253.00","2,268.30","2,301.00","2,297.95","2,290.90","2,508.55","1,700.00",324925,"744,371,291.20",15881,2297.95,0.012986768889177824
8,11-Feb-2021,EQ,"2,300.00","2,323.75","2,262.00","2,297.95","2,281.70","2,283.85","2,287.23","2,508.55","1,700.00",53077,"121,399,366.00",5776,2283.85,-0.006154805757951465
9,12-Feb-2021,EQ,"2,285.70","2,285.70","2,179.55","2,283.85","2,198.00","2,188.00","2,215.39","2,508.55","1,700.00",151350,"335,299,327.95",16348,2188.0,-0.0428747308216888
10,15-Feb-2021,EQ,"2,200.00","2,230.00","2,161.10","2,188.00","2,167.50","2,167.95","2,191.04","2,508.55","1,700.00",132676,"290,697,898.05",10249,2167.95,-0.00920586397891121
11,16-Feb-2021,EQ,"2,178.70","2,235.20","2,157.25","2,167.95","2,200.00","2,205.85","2,178.54","2,508.55","1,700.00",214876,"468,116,776.00",9893,2205.85,0.017330901565101975
12,17-Feb-2021,EQ,"2,204.90","2,374.80","2,201.95","2,205.85","2,358.00","2,359.00","2,309.66","2,508.55","1,700.00",469084,"1,083,422,896.80",32279,2359.0,0.06712487827961233
13,18-Feb-2021,EQ,"2,372.00","2,492.00","2,300.00","2,359.00","2,471.00","2,451.85","2,414.99","2,508.55","1,700.00",684961,"1,654,174,886.25",44013,2451.85,0.038605041225800996
14,19-Feb-2021,EQ,"2,474.00","2,487.95","2,375.00","2,451.85","2,403.00","2,419.05","2,417.68","2,508.55","1,700.00",346130,"836,830,632.35",26890,2419.05,-0.013467940538841816
15,22-Feb-2021,EQ,"2,418.00","2,483.95","2,350.00","2,419.05","2,384.00","2,389.55","2,427.90","2,508.55","1,700.00",215914,"524,218,369.05",26312,2389.55,-0.012269837415661122
16,23-Feb-2021,EQ,"2,385.00","2,428.90","2,351.25","2,389.55","2,366.25","2,381.00","2,391.75","2,508.55","1,700.00",175596,"419,981,525.25",19881,2381.0,-0.0035844961921105423
17,24-Feb-2021,EQ,"2,398.95","2,404.95","2,325.05","2,381.00","2,372.00","2,375.15","2,380.90","2,508.55","1,700.00",58313,"138,837,390.40",6060,2375.15,-0.002459974117759778
18,25-Feb-2021,EQ,"2,390.05","2,420.00","2,341.55","2,375.15","2,414.90","2,411.60","2,395.83","2,508.55","1,700.00",157769,"377,988,390.70",11566,2411.6,0.015229834246147433
19,26-Feb-2021,EQ,"2,389.85","2,445.00","2,360.00","2,411.60","2,386.05","2,401.65","2,418.09","2,508.55","1,700.00",189954,"459,326,595.75",14908,2401.65,-0.004134426499076582
20,01-Mar-2021,EQ,"2,425.00","2,467.70","2,350.00","2,401.65","2,359.00","2,358.70","2,396.04","2,508.55","1,700.00",120452,"288,607,211.10",15165,2358.7,-0.0180453813263437
21,02-Mar-2021,EQ,"2,361.00","2,390.90","2,308.55","2,358.70","2,351.00","2,349.85","2,345.54","2,508.55","1,700.00",107872,"253,018,623.00",10341,2349.85,-0.0037591234760672165
22,03-Mar-2021,EQ,"2,360.00","2,450.00","2,356.10","2,349.85","2,420.00","2,436.75","2,408.84","2,508.55","1,700.00",152524,"367,406,411.00",16291,2436.75,0.036313687903557046
23,04-Mar-2021,EQ,"2,423.90","2,693.00","2,405.80","2,436.75","2,641.15","2,669.80","2,586.46","2,693.00","1,700.00",845383,"2,186,549,592.60",68281,2669.8,0.09133837900431274
24,05-Mar-2021,EQ,"2,629.75","2,630.00","2,515.65","2,669.80","2,551.75","2,549.60","2,573.29","2,693.00","1,700.00",215299,"554,026,836.85",22267,2549.6,-0.04606707911850627
25,08-Mar-2021,EQ,"2,569.95","2,600.00","2,550.00","2,549.60","2,556.95","2,564.55","2,573.54","2,693.00","1,700.00",166349,"428,106,605.15",26741,2564.55,0.005846540514101939
26,09-Mar-2021,EQ,"2,562.20","2,575.00","2,500.00","2,564.55","2,501.90","2,505.05","2,518.24","2,693.00","1,700.00",134636,"339,045,169.15",20419,2505.05,-0.023474330217622352
27,10-Mar-2021,EQ,"2,509.00","2,558.80","2,475.05","2,505.05","2,491.75","2,490.90","2,498.48","2,693.00","1,700.00",96338,"240,698,269.55",13493,2490.9,-0.005664603463511497
28,12-Mar-2021,EQ,"2,513.35","2,513.35","2,461.05","2,490.90","2,474.00","2,473.00","2,476.45","2,693.00","1,700.00",177470,"439,495,330.90",27237,2473.0,-0.007212102414678512
29,15-Mar-2021,EQ,"2,456.05","2,550.00","2,414.10","2,473.00","2,542.00","2,541.90","2,475.11","2,693.00","1,700.00",153235,"379,274,246.30",21766,2541.9,0.02747984435111217
30,16-Mar-2021,EQ,"2,545.00","2,783.85","2,532.20","2,541.90","2,665.00","2,717.00","2,659.88","2,783.85","1,700.00",800623,"2,129,557,806.60",72580,2717.0,0.06661649755382015
31,17-Mar-2021,EQ,"2,670.05","2,679.20","2,512.15","2,717.00","2,536.20","2,532.90","2,572.59","2,783.85","1,700.00",423662,"1,089,910,324.85",51027,2532.9,-0.07016343908278433
32,18-Mar-2021,EQ,"2,555.00","2,570.85","2,430.05","2,532.90","2,465.00","2,467.10","2,493.22","2,783.85","1,700.00",204798,"510,605,721.20",22774,2467.1,-0.02632151957290141
33,19-Mar-2021,EQ,"2,450.00","2,565.00","2,416.00","2,467.10","2,548.00","2,554.35","2,500.39","2,783.85","1,700.00",232581,"581,543,150.95",16761,2554.35,0.034754416370060603
34,22-Mar-2021,EQ,"2,556.50","2,556.50","2,473.55","2,554.35","2,486.00","2,487.00","2,498.53","2,783.85","1,700.00",125514,"313,600,802.50",20384,2487.0,-0.026720623337318727
35,23-Mar-2021,EQ,"2,489.00","2,519.40","2,480.00","2,487.00","2,490.00","2,493.65","2,498.92","2,783.85","1,700.00",81879,"204,609,321.10",10307,2493.65,0.0026703357801061145
36,24-Mar-2021,EQ,"2,470.00","2,510.00","2,460.95","2,493.65","2,480.10","2,487.85","2,491.55","2,783.85","1,700.00",114839,"286,126,897.75",10710,2487.85,-0.0023286169309857385
37,25-Mar-2021,EQ,"2,489.00","2,505.25","2,365.00","2,487.85","2,439.95","2,450.60","2,438.45","2,783.85","1,700.00",166985,"407,184,287.50",20240,2450.6,-0.015085991137178567
38,26-Mar-2021,EQ,"2,475.00","2,483.45","2,405.10","2,450.60","2,414.65","2,412.65","2,439.29","2,783.85","1,700.00",54723,"133,485,460.25",9179,2412.65,-0.01560716406925966
39,30-Mar-2021,EQ,"2,425.00","2,514.90","2,425.00","2,412.65","2,484.60","2,497.40","2,472.61","2,783.85","1,700.00",183863,"454,621,745.50",11951,2497.4,0.034524462234958087
40,31-Mar-2021,EQ,"2,494.00","2,512.00","2,451.70","2,497.40","2,465.00","2,478.30","2,480.40","2,783.85","1,700.00",92845,"230,292,461.75",11974,2478.3,-0.00767734944447529
41,01-Apr-2021,EQ,"2,499.20","2,507.80","2,441.00","2,478.30","2,455.30","2,467.90","2,472.62","2,783.85","1,700.00",168497,"416,629,526.85",20835,2467.9,-0.004205254670766934
