,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,473.45,482.65,464.1,471.55,480.7,479.65,473.44,573.05,161.65,1614680,"764,446,897.40",33474,479.65,
1,02-Feb-2021,EQ,481.0,492.0,480.7,479.65,488.6,487.15,487.47,573.05,161.65,1716999,"836,982,808.55",35215,487.15,0.015515412607394197
2,03-Feb-2021,EQ,491.95,507.8,489.3,487.15,500.8,501.55,501.32,573.05,161.65,3475814,"1,742,503,580.00",57538,501.55,0.029131219458143676
3,04-Feb-2021,EQ,503.4,509.0,499.1,501.55,501.9,501.55,504.23,573.05,161.65,1338289,"674,808,109.85",42347,501.55,0.0
4,05-Feb-2021,EQ,506.1,511.5,497.15,501.55,503.45,503.2,505.4,573.05,161.65,2182037,"1,102,806,659.75",43639,503.2,0.003284402056736191
5,08-Feb-2021,EQ,507.0,507.85,500.05,503.2,503.5,503.1,504.08,573.05,161.65,950750,"479,250,916.25",26015,503.1,-0.00019874788895712925
6,09-Feb-2021,EQ,504.0,513.25,499.0,503.1,501.2,501.35,505.57,573.05,161.65,2303479,"1,164,564,098.15",39961,501.35,-0.0034844975273387035
7,10-Feb-2021,EQ,505.0,510.0,492.3,501.35,508.5,507.7,501.13,573.05,161.65,2065039,"1,034,848,701.00",41981,507.7,0.012586261983414282
8,11-Feb-2021,EQ,506.9,510.0,502.0,507.7,505.0,506.25,505.06,573.05,161.65,1241576,"627,075,661.05",21244,506.25,-0.0028601035326003554
9,12-Feb-2021,EQ,507.95,510.95,502.0,506.25,502.55,504.1,506.04,573.05,161.65,1062354,"537,597,899.40",26326,504.1,-0.00425595733216344
10,15-Feb-2021,EQ,510.0,511.6,488.2,504.1,492.3,490.65,494.11,573.05,161.65,2341353,"1,156,875,399.40",40707,490.65,-0.027043618436082717
11,16-Feb-2021,EQ,496.0,505.8,490.1,490.65,505.05,503.2,496.49,573.05,161.65,2496554,"1,239,511,774.85",45250,503.2,0.025256662733728064
12,17-Feb-2021,EQ,505.8,508.25,492.65,503.2,493.95,494.3,497.97,573.05,161.65,1374738,"684,571,834.45",25062,494.3,-0.017845085073316724
13,18-Feb-2021,EQ,495.0,497.45,488.6,494.3,491.75,493.55,492.81,573.05,161.65,1429276,"704,366,459.85",27063,493.55,-0.001518449449016579
14,19-Feb-2021,EQ,491.9,501.85,478.15,493.55,482.0,482.25,490.0,573.05,161.65,3007629,"1,473,741,664.05",34774,482.25,-0.023161519078058745
15,22-Feb-2021,EQ,484.1,485.8,467.0,482.25,469.7,469.25,475.59,573.05,161.65,1535296,"730,164,767.10",28843,469.25,-0.02732697631922054
16,23-Feb-2021,EQ,469.0,476.2,461.0,469.25,465.2,466.45,468.59,573.05,161.65,1468190,"687,973,643.30",31014,466.45,-0.005984842059647555
17,24-Feb-2021,EQ,468.85,470.95,449.6,466.45,465.7,465.65,464.93,573.05,161.65,827347,"384,660,011.05",17974,465.65,-0.0017165544393034082
18,25-Feb-2021,EQ,469.85,478.0,468.6,465.65,474.0,472.75,473.92,573.05,161.65,1732202,"820,924,540.25",27719,472.75,0.015132428570900025
19,26-Feb-2021,EQ,470.0,477.75,463.2,472.75,465.0,466.2,470.21,573.05,161.65,1748185,"822,006,647.60",31713,466.2,-0.013951980936909969
20,01-Mar-2021,EQ,468.7,473.9,461.8,466.2,468.55,467.95,466.91,573.05,161.65,1174175,"548,229,978.50",20178,467.95,0.0037467260016086357
21,02-Mar-2021,EQ,469.0,482.35,467.55,467.95,475.9,476.0,476.39,573.05,161.65,1608803,"766,414,469.45",24809,476.0,0.017056401628154916
22,03-Mar-2021,EQ,479.5,481.0,473.1,476.0,478.8,478.85,476.76,573.05,161.65,1175643,"560,504,147.35",19842,478.85,0.005969541736208228
23,04-Mar-2021,EQ,475.0,479.0,470.25,478.85,474.0,473.7,474.45,573.05,161.65,1265418,"600,374,440.90",19989,473.7,-0.010813186037922584
24,05-Mar-2021,EQ,473.9,474.55,465.0,473.7,469.4,467.95,469.76,573.05,161.65,1009076,"474,027,828.05",20329,467.95,-0.01221275732644056
25,08-Mar-2021,EQ,471.25,491.2,466.8,467.95,487.2,487.1,483.3,573.05,161.65,2755755,"1,331,842,834.85",38432,487.1,0.04010798820923167
26,09-Mar-2021,EQ,489.0,490.0,468.2,487.1,474.3,474.75,478.42,573.05,161.65,1472301,"704,376,299.15",25401,474.75,-0.025681091120102195
27,10-Mar-2021,EQ,477.95,491.5,476.1,474.75,486.9,486.5,484.69,573.05,161.65,2061781,"999,317,427.15",33761,486.5,0.024448551933664575
28,12-Mar-2021,EQ,491.95,492.95,477.0,486.5,477.05,478.75,483.79,573.05,161.65,1561235,"755,305,970.65",54436,478.75,-0.01605836113120418
29,15-Mar-2021,EQ,477.0,478.95,463.25,478.75,472.4,473.55,470.93,573.05,184.45,1684446,"793,263,925.60",28283,473.55,-0.01092103682274459
30,16-Mar-2021,EQ,474.2,478.5,469.2,473.55,476.8,476.75,473.99,573.05,184.45,1150225,"545,191,069.30",29080,476.75,0.0067347408084179605
31,17-Mar-2021,EQ,476.8,477.65,457.2,476.75,459.8,458.95,463.52,573.05,184.45,1740759,"806,879,658.70",23792,458.95,-0.03805097281542835
32,18-Mar-2021,EQ,462.0,463.5,446.65,458.95,455.5,455.8,455.52,573.05,184.45,2539125,"1,156,632,438.10",42537,455.8,-0.006887154853516542
33,19-Mar-2021,EQ,448.0,459.95,443.0,455.8,457.7,458.35,453.64,573.05,184.45,1224939,"555,680,800.40",20471,458.35,0.005578967596201245
34,22-Mar-2021,EQ,459.0,467.8,456.05,458.35,460.55,460.45,460.23,573.05,184.45,1113661,"512,540,331.60",19864,460.45,0.004571187759591311
35,23-Mar-2021,EQ,464.0,470.0,460.75,460.45,466.3,465.65,464.96,573.05,184.45,1028108,"478,029,929.25",18732,465.65,0.011230006800290404
36,24-Mar-2021,EQ,466.0,471.0,458.0,465.65,459.2,459.3,465.06,573.05,184.45,1398461,"650,362,826.80",28835,459.3,-0.01373068763591867
37,25-Mar-2021,EQ,459.5,463.0,442.05,459.3,443.35,443.95,448.51,573.05,184.45,1114724,"499,966,570.40",25977,443.95,-0.03399164785341213
38,26-Mar-2021,EQ,445.0,461.6,442.4,443.95,450.5,450.55,451.4,573.05,184.45,1489814,"672,507,720.95",27912,450.55,0.014757115202709947
39,30-Mar-2021,EQ,452.0,463.25,452.0,450.55,461.05,461.9,460.21,573.05,190.0,1086346,"499,943,741.60",23088,461.9,0.024879358755513614
40,31-Mar-2021,EQ,464.95,471.0,461.9,461.9,464.5,464.7,466.93,573.05,190.0,1030191,"481,023,348.70",20147,464.7,0.006043618654373084
41,01-Apr-2021,EQ,466.0,488.0,462.35,464.7,482.9,483.25,477.58,573.05,190.0,2183036,"1,042,580,932.85",31701,483.25,0.03914208199750746
42,05-Apr-2021,EQ,480.95,492.0,473.2,483.25,477.3,479.05,482.04,573.05,217.0,1635705,"788,481,876.45",26807,479.05,-0.008729141991557832
43,06-Apr-2021,EQ,482.0,509.35,479.5,479.05,508.9,507.65,497.43,573.05,217.0,4109355,"2,044,111,685.60",63989,507.65,0.05798725765034973
44,07-Apr-2021,EQ,508.6,514.0,499.4,507.65,503.0,503.65,505.25,573.05,217.0,2534637,"1,280,627,947.75",39328,503.65,-0.007910651358542076
45,08-Apr-2021,EQ,504.0,516.85,500.2,503.65,506.0,504.9,507.55,573.05,217.0,2545529,"1,291,976,807.40",45164,504.9,0.0024788074761801226
46,09-Apr-2021,EQ,505.0,534.3,505.0,504.9,531.5,529.65,524.19,573.05,217.0,6589491,"3,454,145,491.40",96250,529.65,0.0478560211776351
47,12-Apr-2021,EQ,532.0,537.0,492.8,529.65,502.85,497.95,518.28,573.05,253.0,4992051,"2,587,258,350.10",82279,497.95,-0.06171674066485622
48,13-Apr-2021,EQ,507.0,519.4,484.85,497.95,514.0,511.35,503.47,573.05,253.0,4027905,"2,027,917,641.15",70501,511.35,0.026554616874372883
49,15-Apr-2021,EQ,514.85,553.2,512.4,511.35,535.5,536.95,540.43,573.05,253.0,13413739,"7,249,134,885.25",229208,536.95,0.04885069305220391
50,16-Apr-2021,EQ,539.95,578.0,525.65,536.95,570.0,571.9,561.65,578.0,253.0,11468653,"6,441,338,795.95",180348,571.9,0.06305917061704491
51,19-Apr-2021,EQ,570.0,587.6,538.45,571.9,578.4,578.9,570.51,587.6,304.5,13615161,"7,767,582,945.95",209552,578.9,0.012165600163688062
52,20-Apr-2021,EQ,585.0,590.0,566.95,578.9,569.0,571.6,577.85,590.0,304.5,6723905,"3,885,429,899.85",108382,571.6,-0.012690305029246396
53,22-Apr-2021,EQ,573.0,588.5,564.5,571.6,565.0,567.1,576.15,590.0,304.5,4652985,"2,680,801,233.00",80617,567.1,-0.007903791035730023
54,23-Apr-2021,EQ,569.5,577.45,550.0,567.1,558.95,559.25,562.15,590.0,304.5,3988771,"2,242,287,966.45",61148,559.25,-0.013939054649743099
55,26-Apr-2021,EQ,563.9,569.95,550.3,559.25,552.45,552.15,558.0,590.0,322.9,3783242,"2,111,035,823.85",72514,552.15,-0.012776851877099205
56,27-Apr-2021,EQ,552.45,564.15,543.2,552.15,560.85,561.0,554.3,590.0,322.9,3675226,"2,037,196,102.80",61317,561.0,0.015901157029555968
57,28-Apr-2021,EQ,563.8,575.95,560.15,561.0,565.0,563.6,568.35,590.0,322.9,3604619,"2,048,670,196.50",47016,563.6,0.004623874501829661
58,29-Apr-2021,EQ,567.0,579.45,560.15,563.6,566.6,566.35,570.31,590.0,322.9,3540326,"2,019,086,830.15",48937,566.35,0.0048674816221971895
59,30-Apr-2021,EQ,566.9,583.95,565.5,566.35,577.2,576.8,576.27,590.0,322.9,3699395,"2,131,834,512.70",58484,576.8,0.018283324324016803
60,03-May-2021,EQ,577.0,586.5,572.1,576.8,577.2,577.8,577.75,590.0,322.9,3033484,"1,752,589,814.75",44491,577.8,0.0017322020613947942
61,04-May-2021,EQ,582.0,583.75,554.0,577.8,558.05,558.15,565.86,590.0,322.9,3181758,"1,800,435,381.55",51256,558.15,-0.034600044571392985
62,05-May-2021,EQ,559.0,577.8,556.1,558.15,573.0,572.9,570.55,590.0,322.9,4679850,"2,670,075,744.65",64036,572.9,0.026083437953790423
63,06-May-2021,EQ,577.7,579.25,566.4,572.9,569.25,570.15,572.18,590.0,322.9,2214108,"1,266,876,126.10",33164,570.15,-0.004811697311164487
64,07-May-2021,EQ,571.0,602.7,565.1,570.15,592.9,591.5,593.09,602.7,322.9,12763132,"7,569,693,243.30",181497,591.5,0.036762199315074184
65,10-May-2021,EQ,605.0,634.9,603.0,591.5,627.5,625.35,623.69,634.9,325.55,13023815,"8,122,882,953.75",201024,625.35,0.05564980957647414
66,11-May-2021,EQ,632.1,640.0,618.5,625.35,624.95,624.75,630.45,640.0,325.55,8286175,"5,224,041,275.85",110918,624.75,-0.00095992327985428
67,12-May-2021,EQ,629.5,640.0,619.1,624.75,624.4,623.8,629.12,640.0,325.55,4633089,"2,914,770,335.85",63752,623.8,-0.0015217655413586328
68,14-May-2021,EQ,624.2,631.25,601.6,623.8,612.0,608.3,613.44,640.0,325.55,3176782,"1,948,776,058.70",45272,608.3,-0.02516162284704304
69,17-May-2021,EQ,612.55,614.4,599.0,608.3,604.45,604.05,604.93,640.0,325.55,2155528,"1,303,945,001.85",33306,604.05,-0.007011205361086681
70,18-May-2021,EQ,605.5,616.9,602.1,604.05,611.6,608.55,608.86,640.0,325.55,1866283,"1,136,312,080.65",28186,608.55,0.0074221023549929654
71,19-May-2021,EQ,609.5,623.7,608.0,608.55,616.0,614.5,615.94,640.0,325.55,2148078,"1,323,077,385.35",31414,614.5,0.0097298506855239
72,20-May-2021,EQ,615.85,621.45,603.95,614.5,607.8,606.95,612.87,640.0,325.55,3151384,"1,931,391,989.25",45306,606.95,-0.012362513662277586
73,21-May-2021,EQ,609.95,612.75,605.65,606.95,607.85,607.25,608.9,640.0,325.55,1185358,"721,763,730.30",17257,607.25,0.0004941525384696277
74,24-May-2021,EQ,610.0,619.25,603.2,607.25,605.8,605.05,611.33,640.0,341.5,2167948,"1,325,331,708.95",30804,605.05,-0.0036294686382207786
75,25-May-2021,EQ,609.8,609.8,599.05,605.05,602.0,601.55,602.64,640.0,341.5,1597630,"962,789,483.95",28074,601.55,-0.005801441764528015
76,26-May-2021,EQ,602.7,614.95,597.1,601.55,610.0,608.4,608.87,640.0,341.5,2251359,"1,370,793,011.40",32418,608.4,0.011322902905604337
