,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,749.65,762.55,747.00,744.65,755.00,752.95,753.51,808.35,425.1,1051147,"792,046,019.65",27993,752.95,
1,02-Feb-2021,EQ,758.95,770.45,745.00,752.95,749.90,747.85,755.08,808.35,425.1,805564,"608,262,602.30",18143,747.85,-0.006796401427492604
2,03-Feb-2021,EQ,745.00,756.40,743.55,747.85,746.00,746.90,749.11,808.35,425.1,1225017,"917,669,342.85",27500,746.9,-0.0012711157423144215
3,04-Feb-2021,EQ,745.80,771.00,745.25,746.90,768.00,768.75,764.47,808.35,425.1,1632180,"1,247,747,655.35",31125,768.75,0.028834511757706238
4,05-Feb-2021,EQ,770.00,773.80,746.00,768.75,751.70,749.15,756.57,808.35,425.1,859569,"650,325,692.90",22699,749.15,-0.025826588631574054
5,08-Feb-2021,EQ,756.00,761.35,732.00,749.15,733.00,735.40,746.17,808.35,425.1,2620168,"1,955,095,250.80",69867,735.4,-0.01852466162198141
6,09-Feb-2021,EQ,732.00,748.40,715.00,735.40,743.50,743.60,734.56,808.35,425.1,2419027,"1,776,921,924.05",77096,743.6,0.011088686980117224
7,10-Feb-2021,EQ,740.00,751.00,740.00,743.60,750.00,749.70,746.18,808.35,425.1,921127,"687,325,771.65",27251,749.7,0.008169870661727252
8,11-Feb-2021,EQ,751.00,764.00,749.50,749.70,758.80,758.75,757.03,808.35,425.1,1145400,"867,098,420.75",30987,758.75,0.01199921586469177
9,12-Feb-2021,EQ,764.00,765.00,753.00,758.75,753.00,754.30,759.37,808.35,425.1,641825,"487,380,768.65",15648,754.3,-0.005882175514122956
10,15-Feb-2021,EQ,754.50,758.45,741.45,754.30,741.65,743.30,750.14,808.35,425.1,712665,"534,599,701.40",21495,743.3,-0.014690435128337676
11,16-Feb-2021,EQ,744.10,747.70,718.05,743.30,721.95,721.10,725.45,808.35,425.1,1630695,"1,182,981,916.15",70064,721.1,-0.030321907808533943
12,17-Feb-2021,EQ,725.00,726.00,715.10,721.10,719.50,720.80,720.50,808.35,425.1,774785,"558,231,670.95",19732,720.8,-0.0004161176285855106
13,18-Feb-2021,EQ,719.80,724.50,714.00,720.80,719.10,718.75,719.29,808.35,425.1,1468422,"1,056,222,141.35",26991,718.75,-0.002848114182567585
14,19-Feb-2021,EQ,717.00,732.95,703.30,718.75,711.40,709.70,718.85,808.35,425.1,1758878,"1,264,377,439.20",35033,709.7,-0.012671246580622686
