,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,373.6,375.45,357.0,370.25,358.0,359.35,365.82,412.4,190.5,823644,"301,304,307.10",20847,359.35,
1,02-Feb-2021,EQ,365.0,369.3,359.0,359.35,365.85,367.0,363.8,412.4,190.5,1014730,"369,156,449.90",14744,367.0,0.02106500414011858
2,03-Feb-2021,EQ,368.0,385.05,362.95,367.0,372.4,372.4,377.68,412.4,190.5,1147068,"433,228,281.30",30018,372.4,0.014606697348341413
3,04-Feb-2021,EQ,375.0,385.5,372.4,372.4,381.4,380.65,380.74,412.4,190.5,862802,"328,502,692.90",21116,380.65,0.02191177234930919
4,05-Feb-2021,EQ,384.0,387.0,376.35,380.65,380.0,379.85,378.62,412.4,190.5,1498860,"567,494,313.10",11071,379.85,-0.002103879802990427
5,08-Feb-2021,EQ,415.0,449.5,405.3,379.85,432.95,435.1,431.14,449.5,190.5,10622278,"4,579,728,618.40",235980,435.1,0.1357994517774035
6,09-Feb-2021,EQ,439.2,477.0,437.0,435.1,459.5,461.85,461.44,477.0,190.5,5778874,"2,666,620,078.20",120222,461.85,0.059664273311985205
7,10-Feb-2021,EQ,466.0,476.6,443.2,461.85,448.75,453.3,457.21,477.0,190.5,2380002,"1,088,149,955.60",58654,453.3,-0.018686005091815616
8,11-Feb-2021,EQ,444.9,450.9,441.1,453.3,443.8,443.65,445.48,477.0,190.5,735433,"327,618,246.00",21998,443.65,-0.021518194665457457
9,12-Feb-2021,EQ,440.0,454.0,432.25,443.65,448.2,449.35,445.37,477.0,190.5,866539,"385,932,733.25",17177,449.35,0.012766130823036015
10,15-Feb-2021,EQ,450.0,453.4,425.35,449.35,429.4,431.85,440.36,477.0,190.5,790506,"348,107,615.30",34080,431.85,-0.039723788378087654
11,16-Feb-2021,EQ,431.85,445.0,428.55,431.85,441.1,440.3,437.15,477.0,190.5,623515,"272,566,836.00",21905,440.3,0.019378007035413702
12,17-Feb-2021,EQ,442.75,454.3,436.3,440.3,443.3,444.35,444.43,477.0,190.5,684418,"304,177,426.40",17230,444.35,0.009156227422775665
13,18-Feb-2021,EQ,455.0,526.8,454.0,444.35,482.0,478.45,493.63,526.8,190.5,4899188,"2,418,378,691.50",146973,478.45,0.07393917204078804
14,19-Feb-2021,EQ,485.0,506.0,482.35,478.45,495.25,495.85,495.85,526.8,190.5,2036854,"1,009,966,786.55",58189,495.85,0.03572174940686157
15,22-Feb-2021,EQ,497.0,499.2,482.15,495.85,486.9,484.95,487.01,526.8,190.5,724880,"353,026,339.65",25757,484.95,-0.0222276687925822
16,23-Feb-2021,EQ,486.9,497.45,485.8,484.95,490.2,490.75,490.66,526.8,190.5,458757,"225,095,397.05",20403,490.75,0.011889040317019095
17,24-Feb-2021,EQ,491.0,509.0,429.75,490.75,496.2,495.75,499.58,526.8,190.5,638857,"319,162,453.55",21444,495.75,0.010136934243334395
18,25-Feb-2021,EQ,501.0,501.0,493.05,495.75,497.15,496.45,496.45,526.8,190.5,1030743,"511,713,648.35",37291,496.45,0.0014110060796976853
19,26-Feb-2021,EQ,486.0,502.8,485.0,496.45,493.0,494.7,495.1,526.8,190.5,1369139,"677,867,340.90",26594,494.7,-0.0035312552459396684
20,01-Mar-2021,EQ,502.0,540.0,498.3,494.7,538.0,533.05,522.46,540.0,190.5,3070252,"1,604,073,740.35",79405,533.05,0.07466371016282114
21,02-Mar-2021,EQ,566.7,566.7,525.3,533.05,535.2,531.95,534.34,566.7,190.5,2561230,"1,368,577,546.70",63832,531.95,-0.0020657284341094595
22,03-Mar-2021,EQ,534.0,555.55,533.95,531.95,548.35,549.55,545.21,566.7,190.5,1834372,"1,000,125,938.80",42289,549.55,0.03255026155253482
23,04-Mar-2021,EQ,548.8,555.0,540.55,549.55,543.85,544.1,549.25,566.7,190.5,1201180,"659,747,999.25",33960,544.1,-0.009966708023029902
24,05-Mar-2021,EQ,543.0,555.65,522.55,544.1,533.75,531.7,538.32,566.7,190.5,1494156,"804,330,471.75",35919,531.7,-0.023053632981587135
25,08-Mar-2021,EQ,534.7,550.35,532.55,531.7,540.0,537.7,539.98,566.7,190.5,1102883,"595,531,093.05",27206,537.7,0.011221363305339516
