,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,940.00,947.00,906.00,925.30,912.90,909.00,926.61,"1,423.00",470.0,849951,"787,572,077.10",35721,909.0,
1,02-Feb-2021,EQ,916.00,941.00,915.00,909.00,940.00,934.75,925.84,"1,423.00",470.0,501796,"464,581,154.00",20823,934.75,0.027934019679744182
2,03-Feb-2021,EQ,977.00,977.90,950.20,934.75,963.70,964.70,963.06,"1,423.00",470.0,925935,"891,730,833.50",40042,964.7,0.0315380583192848
3,04-Feb-2021,EQ,972.40,979.00,965.00,964.70,975.00,976.35,973.19,"1,423.00",470.0,558068,"543,106,930.15",23329,976.35,0.012003956509998304
4,05-Feb-2021,EQ,980.00,"1,019.00",970.00,976.35,"1,011.00","1,013.35",998.38,"1,423.00",470.0,1498037,"1,495,604,662.10",60385,1013.35,0.0371958242788164
5,08-Feb-2021,EQ,"1,021.00","1,064.80","1,020.05","1,013.35","1,037.00","1,034.70","1,045.94","1,423.00",470.0,1730935,"1,810,451,982.65",90673,1034.7,0.02084985564558206
6,09-Feb-2021,EQ,"1,041.80","1,043.85","1,009.00","1,034.70","1,011.55","1,016.00","1,023.73","1,423.00",470.0,583474,"597,318,684.65",23916,1016.0,-0.01823818047247716
7,10-Feb-2021,EQ,"1,017.15","1,024.00",992.00,"1,016.00","1,011.00","1,009.65","1,007.08","1,423.00",470.0,566806,"570,821,302.20",19957,1009.65,-0.006269613013595965
8,11-Feb-2021,EQ,"1,009.65","1,014.40",990.20,"1,009.65",994.00,994.15,998.29,"1,423.00",470.0,377190,"376,546,718.75",16530,994.15,-0.015470914420741444
9,12-Feb-2021,EQ,998.00,"1,049.00",997.90,994.15,"1,027.50","1,026.50","1,025.93","1,423.00",470.0,1440245,"1,477,595,695.45",78918,1026.5,0.03202213575489843
10,15-Feb-2021,EQ,"1,042.30","1,047.10","1,026.10","1,026.50","1,036.50","1,036.35","1,037.44","1,423.00",470.0,732155,"759,567,548.85",33900,1036.35,0.009549967143924754
11,16-Feb-2021,EQ,"1,030.00","1,034.95","1,005.95","1,036.35","1,020.75","1,017.05","1,017.75","1,423.00",470.0,389678,"396,594,059.60",14340,1017.05,-0.018798644554417265
12,17-Feb-2021,EQ,"1,024.90","1,053.50","1,008.95","1,017.05","1,039.00","1,039.90","1,037.20","1,423.00",470.0,747160,"774,955,574.15",35663,1039.9,0.02221827461769088
13,18-Feb-2021,EQ,"1,041.00","1,074.80","1,024.55","1,039.90","1,052.95","1,053.15","1,057.84","1,423.00",470.0,728548,"770,683,636.25",42805,1053.15,0.012661118465181254
14,19-Feb-2021,EQ,"1,063.70","1,083.00","1,050.50","1,053.15","1,061.00","1,061.35","1,067.14","1,423.00",470.0,784096,"836,741,308.95",40143,1061.35,0.007756009559084731
15,22-Feb-2021,EQ,"1,066.00","1,092.00","1,040.00","1,061.35","1,048.00","1,053.25","1,072.43","1,423.00",470.0,1131576,"1,213,539,079.85",55797,1053.25,-0.007661060831327227
16,23-Feb-2021,EQ,"1,063.10","1,070.00","1,011.00","1,053.25","1,037.50","1,030.20","1,041.11","1,423.00",470.0,505906,"526,704,290.00",24191,1030.2,-0.022127663727641078
17,24-Feb-2021,EQ,"1,035.90","1,069.90","1,035.90","1,030.20","1,060.55","1,064.20","1,056.72","1,423.00",470.0,278548,"294,347,395.30",16964,1064.2,0.032470385030784144
18,25-Feb-2021,EQ,"1,074.00","1,100.00","1,060.00","1,064.20","1,098.50","1,096.45","1,085.77","1,423.00",470.0,785656,"853,045,177.85",37454,1096.45,0.029854345020776663
19,26-Feb-2021,EQ,"1,080.00","1,115.00","1,070.80","1,096.45","1,084.75","1,087.05","1,093.25","1,423.00",470.0,829256,"906,585,111.70",30275,1087.05,-0.008610082959645382
20,01-Mar-2021,EQ,"1,103.65","1,103.95","1,080.00","1,087.05","1,086.00","1,085.25","1,089.80","1,423.00",470.0,319375,"348,054,439.50",17013,1085.25,-0.001657230043696778
21,02-Mar-2021,EQ,"1,090.00","1,119.80","1,090.00","1,085.25","1,106.90","1,106.70","1,106.52","1,423.00",470.0,454599,"503,022,105.05",23140,1106.7,0.01957223909103689
22,03-Mar-2021,EQ,"1,114.95","1,123.85","1,105.35","1,106.70","1,113.00","1,112.60","1,113.42","1,423.00",470.0,323704,"360,419,349.85",16827,1112.6,0.005317004370453127
23,04-Mar-2021,EQ,"1,100.00","1,118.00","1,086.10","1,112.60","1,099.85","1,097.30","1,105.15","1,423.00",470.0,388850,"429,738,186.05",19475,1097.3,-0.013847001644439416
24,05-Mar-2021,EQ,"1,095.00","1,108.30","1,047.85","1,097.30","1,072.00","1,054.05","1,076.09","1,423.00",470.0,381888,"410,946,293.70",20665,1054.05,-0.04021272969043732
25,08-Mar-2021,EQ,"1,070.05","1,082.10","1,057.25","1,054.05","1,066.50","1,065.25","1,070.54","1,423.00",470.0,183463,"196,403,834.40",11890,1065.25,0.010569626073705152
26,09-Mar-2021,EQ,"1,065.90","1,088.95","1,054.00","1,065.25","1,062.80","1,065.45","1,073.03","1,423.00",470.0,277128,"297,365,523.30",18327,1065.45,0.00018773173190744785
27,10-Mar-2021,EQ,"1,065.00","1,079.95","1,060.00","1,065.45","1,061.00","1,067.35","1,071.40","1,423.00",470.0,205561,"220,237,438.20",11119,1067.35,0.0017816958951790696
28,12-Mar-2021,EQ,"1,070.75","1,083.00","1,057.35","1,067.35","1,060.00","1,061.25","1,072.63","1,423.00",470.0,341201,"365,982,220.80",17302,1061.25,-0.005731482381550634
29,15-Mar-2021,EQ,"1,061.20","1,065.00","1,011.35","1,061.25","1,014.50","1,016.00","1,024.45","1,423.00",470.0,426163,"436,584,226.30",24606,1016.0,-0.04357410948713003
30,16-Mar-2021,EQ,"1,020.50","1,080.00","1,020.50","1,016.00","1,070.25","1,071.40","1,053.01","1,423.00",470.0,536623,"565,066,996.55",28591,1071.4,0.05309285530843244
31,17-Mar-2021,EQ,"1,055.00","1,069.90","1,036.00","1,071.40","1,051.00","1,046.05","1,046.43","1,423.00",470.0,387761,"405,766,108.30",15963,1046.05,-0.023945038817202224
32,18-Mar-2021,EQ,"1,050.00","1,055.40","1,025.00","1,046.05","1,034.00","1,030.85","1,035.00","1,423.00",470.0,233294,"241,458,648.85",15427,1030.85,-0.01463746101308061
33,19-Mar-2021,EQ,"1,020.00","1,053.70",982.50,"1,030.85","1,039.90","1,032.05","1,026.45","1,423.00",470.0,1983886,"2,036,357,402.65",37019,1032.05,0.0011634108636897622
34,22-Mar-2021,EQ,"1,032.05","1,055.95","1,015.00","1,032.05","1,031.00","1,037.25","1,040.19","1,423.00",470.0,213370,"221,944,962.70",18856,1037.25,0.005025864732710161
35,23-Mar-2021,EQ,"1,034.00","1,054.75","1,012.10","1,037.25","1,015.25","1,020.90","1,030.95","1,423.00",470.0,332681,"342,978,865.05",26587,1020.9,-0.01588838903800749
36,24-Mar-2021,EQ,"1,019.70","1,027.85",999.00,"1,020.90","1,001.95","1,002.65","1,011.72","1,423.00",470.0,173465,"175,498,114.35",12247,1002.65,-0.018038096251927094
37,25-Mar-2021,EQ,"1,001.95","1,008.95",973.00,"1,002.65",982.05,982.75,983.01,"1,423.00",470.0,248553,"244,329,009.25",14512,982.75,-0.020047009621072753
38,26-Mar-2021,EQ,996.50,"1,005.00",980.25,982.75,985.50,986.95,994.29,"1,423.00",470.0,154320,"153,438,282.70",8111,986.95,0.004264615287026707
39,30-Mar-2021,EQ,996.60,"1,005.00",992.20,986.95,"1,000.00","1,000.20",999.37,"1,423.00",489.05,136800,"136,713,643.75",8992,1000.2,0.013335879395807382
40,31-Mar-2021,EQ,"1,000.00","1,005.00",985.25,"1,000.20",995.00,994.95,994.49,"1,423.00",489.05,144991,"144,192,095.25",18518,994.95,-0.0052627743451285625
