,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"2,402.70","2,602.10","2,391.85","2,377.80","2,580.00","2,579.25","2,497.40","2,777.15","1,473.45",7106502,"17,747,779,822.35",313341,2579.25,
1,02-Feb-2021,EQ,"2,625.00","2,762.95","2,612.00","2,579.25","2,658.70","2,659.00","2,702.44","2,777.15","1,473.45",9253486,"25,006,997,372.30",341033,2659.0,0.0304514532625344
2,03-Feb-2021,EQ,"2,695.00","2,734.50","2,618.00","2,659.00","2,702.95","2,703.55","2,687.61","2,777.15","1,473.45",4782433,"12,853,319,780.40",200284,2703.55,0.01661561195212702
3,04-Feb-2021,EQ,"2,740.40","2,742.00","2,659.00","2,703.55","2,707.00","2,707.75","2,696.80","2,777.15","1,473.45",4108174,"11,078,934,149.00",166227,2707.75,0.0015523075206997916
4,05-Feb-2021,EQ,"2,724.50","2,767.80","2,696.20","2,707.75","2,721.00","2,721.50","2,730.71","2,777.15","1,473.45",4575345,"12,493,933,543.90",185133,2721.5,0.0050651671584081015
5,08-Feb-2021,EQ,"2,765.00","2,765.00","2,711.10","2,721.50","2,735.10","2,733.35","2,734.19","2,777.15","1,473.45",3807824,"10,411,332,364.45",164151,2733.35,0.004344764252365074
6,09-Feb-2021,EQ,"2,760.00","2,784.00","2,710.45","2,733.35","2,745.00","2,747.05","2,746.69","2,784.00","1,473.45",5586584,"15,344,641,030.00",156091,2747.05,0.004999645477559156
7,10-Feb-2021,EQ,"2,745.95","2,780.00","2,739.20","2,747.05","2,777.20","2,767.10","2,764.20","2,784.00","1,473.45",5602915,"15,487,593,018.10",166441,2767.1,0.0072722317537738945
8,11-Feb-2021,EQ,"2,744.10","2,767.60","2,737.45","2,767.10","2,753.40","2,760.60","2,752.05","2,784.00","1,473.45",1935639,"5,326,968,203.75",111377,2760.6,-0.002351792968474875
9,12-Feb-2021,EQ,"2,746.00","2,809.00","2,735.60","2,760.60","2,789.00","2,791.50","2,781.64","2,809.00","1,473.45",2921180,"8,125,663,979.05",116778,2791.5,0.011131038360937318
10,15-Feb-2021,EQ,"2,819.00","2,868.00","2,805.00","2,791.50","2,861.55","2,860.45","2,847.59","2,868.00","1,473.45",2847445,"8,108,348,529.35",119073,2860.45,0.024399869343767477
11,16-Feb-2021,EQ,"2,871.00","2,896.00","2,838.00","2,860.45","2,853.85","2,858.65","2,867.92","2,896.00","1,473.45",2295100,"6,582,170,859.35",103353,2858.65,-0.0006294696925861487
12,17-Feb-2021,EQ,"2,850.25","2,856.60","2,787.85","2,858.65","2,797.55","2,805.35","2,814.04","2,896.00","1,473.45",2874649,"8,089,368,102.10",105039,2805.35,-0.01882117704522468
