,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,678.3,713.3,668.5,677.95,698.25,699.05,693.02,731.0,340.0,8383807,"5,810,161,804.70",191392,699.05,
1,02-Feb-2021,EQ,710.5,712.0,674.5,699.05,681.45,681.05,685.47,731.0,340.0,6702065,"4,594,053,250.20",186604,681.05,-0.026086545540483286
2,03-Feb-2021,EQ,685.0,695.0,679.0,681.05,689.0,689.2,688.43,731.0,340.0,2902411,"1,998,094,063.80",75002,689.2,0.011895779760424219
3,04-Feb-2021,EQ,685.25,690.65,678.15,689.2,682.0,680.4,682.9,731.0,340.0,3379697,"2,307,986,487.85",74664,680.4,-0.012850644132067934
4,05-Feb-2021,EQ,682.6,684.95,672.4,680.4,681.35,681.55,677.41,731.0,340.0,2759333,"1,869,194,508.30",125060,681.55,0.0016887554951452444
5,08-Feb-2021,EQ,685.85,691.4,677.25,681.55,683.35,684.05,685.85,731.0,340.0,3887493,"2,666,217,815.35",92792,684.05,0.003661398349271039
6,09-Feb-2021,EQ,688.7,710.2,687.95,684.05,708.9,704.9,703.29,731.0,340.0,7331068,"5,155,869,946.05",151664,704.9,0.03002493441370735
7,10-Feb-2021,EQ,710.05,723.9,710.0,704.9,719.85,719.05,718.36,731.0,340.0,8514545,"6,116,533,188.15",174202,719.05,0.01987494755255792
8,11-Feb-2021,EQ,721.0,726.45,710.3,719.05,713.0,714.2,719.93,731.0,340.0,3044979,"2,192,173,378.60",61470,714.2,-0.006767861172040313
9,12-Feb-2021,EQ,713.95,720.0,708.25,714.2,709.35,710.95,715.26,731.0,340.0,1760221,"1,259,021,103.30",60154,710.95,-0.004560931317964645
10,15-Feb-2021,EQ,713.5,717.35,694.2,710.95,696.35,695.25,703.22,731.0,340.0,3871100,"2,722,236,025.75",91544,695.25,-0.022330610728308997
11,16-Feb-2021,EQ,696.4,704.0,686.95,695.25,696.0,695.35,695.03,731.0,340.0,3066134,"2,131,054,008.80",62410,695.35,0.00014382281054547974
12,17-Feb-2021,EQ,696.0,711.5,693.0,695.35,704.0,703.1,706.39,731.0,340.0,3533494,"2,496,034,620.45",74733,703.1,0.011083813280495569
13,18-Feb-2021,EQ,703.5,715.95,702.0,703.1,713.2,713.45,712.5,731.0,340.0,2949918,"2,101,807,885.70",61547,713.45,0.01461322817146904
14,19-Feb-2021,EQ,715.3,723.45,703.1,713.45,710.0,710.65,713.7,731.0,340.0,3787638,"2,703,251,329.00",76987,710.65,-0.003932313191563175
15,22-Feb-2021,EQ,711.0,713.65,688.05,710.65,690.0,690.6,695.76,731.0,340.0,3110151,"2,163,910,389.65",84217,690.6,-0.02861925922912878
16,23-Feb-2021,EQ,693.5,712.85,690.15,690.6,706.15,705.7,705.17,731.0,340.0,4693570,"3,309,772,485.10",76975,705.7,0.021629433050891933
17,24-Feb-2021,EQ,712.05,721.5,697.0,705.7,719.0,718.8,716.38,731.0,340.0,2362499,"1,692,435,525.50",59399,718.8,0.018392936902619894
18,25-Feb-2021,EQ,724.0,744.0,721.0,718.8,734.95,733.5,735.57,744.0,340.0,5635556,"4,145,366,028.70",123795,733.5,0.0202444426736319
19,26-Feb-2021,EQ,725.95,730.9,693.95,733.5,699.75,700.65,706.33,744.0,340.0,13122512,"9,268,870,982.05",159823,700.65,-0.04581912196680893
20,01-Mar-2021,EQ,711.3,713.5,700.15,700.65,707.0,705.25,706.8,744.0,340.0,2210665,"1,562,490,775.90",59606,705.25,0.006543874265878102
21,02-Mar-2021,EQ,714.95,727.8,706.25,705.25,724.4,720.8,713.65,744.0,340.0,2446910,"1,746,230,971.55",50254,720.8,0.02180935641202275
22,03-Mar-2021,EQ,724.0,731.5,721.1,720.8,726.45,727.5,726.12,744.0,340.0,1714037,"1,244,589,514.70",45214,727.5,0.009252292751519953
23,04-Mar-2021,EQ,721.0,728.5,713.0,727.5,722.5,720.5,721.21,744.0,340.0,2122634,"1,530,868,666.95",50422,720.5,-0.00966858360607148
24,05-Mar-2021,EQ,723.0,724.75,711.3,720.5,717.2,717.25,719.38,744.0,340.0,2140241,"1,539,639,602.45",51805,717.25,-0.004520960578102695
25,08-Mar-2021,EQ,721.9,736.95,715.0,717.25,728.4,722.95,727.48,744.0,340.0,3203722,"2,330,636,067.10",69816,722.95,0.007915608612661273
26,09-Mar-2021,EQ,732.0,746.0,732.0,722.95,740.0,740.2,740.13,746.0,340.0,5412952,"4,006,284,438.35",118177,740.2,0.023580356477920894
27,10-Mar-2021,EQ,743.15,746.0,725.1,740.2,728.8,731.35,732.2,746.0,340.0,2422642,"1,773,853,660.65",54907,731.35,-0.012028278618958943
28,12-Mar-2021,EQ,739.8,739.8,710.0,731.35,711.8,710.8,718.69,746.0,340.0,3271450,"2,351,159,350.90",110121,710.8,-0.028501045052601093
29,15-Mar-2021,EQ,712.0,715.0,695.5,710.8,703.45,704.15,703.21,746.0,340.0,2394247,"1,683,670,378.95",72496,704.15,-0.009399694636436529
30,16-Mar-2021,EQ,707.7,710.6,700.0,704.15,702.8,703.05,705.72,746.0,340.0,1619213,"1,142,705,029.70",46101,703.05,-0.0015633886072343728
31,17-Mar-2021,EQ,706.5,707.1,687.5,703.05,690.15,689.8,693.91,746.0,340.0,2100094,"1,457,284,550.80",60687,689.8,-0.019026312534084155
32,18-Mar-2021,EQ,695.1,699.25,675.1,689.8,683.85,680.85,685.39,746.0,340.0,2124421,"1,456,054,007.55",70937,680.85,-0.013059682932156313
33,19-Mar-2021,EQ,679.95,690.0,673.85,680.85,690.0,688.45,683.9,746.0,340.0,3146999,"2,152,245,258.35",77354,688.45,0.011100676319796499
