,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"3,300.00","3,360.80","3,217.25","3,256.05","3,356.00","3,340.65","3,298.59","3,520.15","1,475.00",1285163,"4,239,230,123.20",89587,3340.65,
1,02-Feb-2021,EQ,"3,400.00","3,400.00","3,261.00","3,340.65","3,290.60","3,293.85","3,307.88","3,520.15","1,475.00",1751516,"5,793,810,298.15",117430,3293.85,-0.014108305454858083
2,03-Feb-2021,EQ,"3,296.55","3,422.00","3,268.00","3,293.85","3,407.65","3,380.80","3,351.99","3,520.15","1,475.00",1077971,"3,613,345,611.35",71065,3380.8,0.026055274501681325
3,04-Feb-2021,EQ,"3,441.00","3,515.00","3,404.10","3,380.80","3,442.00","3,440.70","3,452.14","3,520.15","1,475.00",2425660,"8,373,727,937.75",135934,3440.7,0.017562571176794606
4,05-Feb-2021,EQ,"3,500.00","3,560.00","3,366.00","3,440.70","3,425.80","3,429.20","3,448.88","3,560.00","1,475.00",2719249,"9,378,359,513.70",155888,3429.2,-0.0033479412339865178
5,08-Feb-2021,EQ,"3,478.00","3,506.90","3,415.40","3,429.20","3,482.75","3,495.00","3,476.44","3,560.00","1,475.00",1004959,"3,493,682,707.25",78602,3495.0,0.01900637786330961
6,09-Feb-2021,EQ,"3,461.00","3,538.00","3,456.35","3,495.00","3,498.00","3,499.45","3,511.29","3,560.00","1,475.00",1543021,"5,417,990,400.55",113457,3499.45,0.0012724376042196894
7,10-Feb-2021,EQ,"3,490.00","3,568.75","3,485.25","3,499.45","3,538.00","3,538.95","3,526.22","3,568.75","1,475.00",1477082,"5,208,511,912.70",98193,3538.95,0.011224259688702887
8,11-Feb-2021,EQ,"3,524.00","3,554.00","3,473.55","3,538.95","3,540.00","3,541.50","3,523.75","3,568.75","1,475.00",757116,"2,667,884,060.00",48353,3541.5,0.0007202932328453926
9,12-Feb-2021,EQ,"3,535.95","3,580.00","3,502.90","3,541.50","3,512.00","3,515.75","3,538.25","3,580.00","1,475.00",566161,"2,003,217,441.70",32248,3515.75,-0.007297492443321119
10,15-Feb-2021,EQ,"3,488.95","3,506.15","3,452.00","3,515.75","3,468.30","3,465.40","3,477.96","3,580.00","1,475.00",809861,"2,816,660,786.65",44803,3465.4,-0.014424807673609763
11,16-Feb-2021,EQ,"3,470.00","3,485.30","3,432.00","3,465.40","3,467.75","3,461.55","3,449.81","3,580.00","1,475.00",759332,"2,619,550,770.20",41301,3461.55,-0.0011116004580493666
12,17-Feb-2021,EQ,"3,463.45","3,595.00","3,457.25","3,461.55","3,583.00","3,584.00","3,552.31","3,595.00","1,475.00",1946207,"6,913,522,924.85",98269,3584.0,0.03476302947612275
13,18-Feb-2021,EQ,"3,579.65","3,629.05","3,506.00","3,584.00","3,523.05","3,522.85","3,569.14","3,629.05","1,475.00",1701157,"6,071,659,629.10",120356,3522.85,-0.01720917400887423
14,19-Feb-2021,EQ,"3,522.85","3,522.85","3,370.00","3,522.85","3,390.75","3,389.70","3,428.43","3,629.05","1,475.00",995322,"3,412,389,412.90",58960,3389.7,-0.03852889920263536
15,22-Feb-2021,EQ,"3,400.00","3,432.95","3,350.15","3,389.70","3,375.10","3,414.15","3,398.97","3,629.05","1,475.00",921345,"3,131,625,628.45",60212,3414.15,0.007187138236993462
16,23-Feb-2021,EQ,"3,414.15","3,479.55","3,377.05","3,414.15","3,420.00","3,405.45","3,431.06","3,629.05","1,475.00",1069537,"3,669,641,606.55",64744,3405.45,-0.002551470678559653
17,24-Feb-2021,EQ,"3,440.00","3,500.00","3,351.10","3,405.45","3,442.00","3,441.60","3,442.98","3,629.05","1,475.00",823330,"2,834,709,049.35",41769,3441.6,0.010559390071721353
18,25-Feb-2021,EQ,"3,450.00","3,460.00","3,402.25","3,441.60","3,435.80","3,434.40","3,425.95","3,629.05","1,475.00",897962,"3,076,375,354.55",84000,3434.4,-0.0020942416031157762
19,26-Feb-2021,EQ,"3,405.00","3,423.65","3,199.80","3,434.40","3,218.00","3,224.00","3,302.26","3,629.05","1,475.00",1880371,"6,209,467,797.95",103281,3224.0,-0.0632194132838304
20,01-Mar-2021,EQ,"3,255.00","3,363.05","3,250.00","3,224.00","3,352.00","3,350.20","3,332.23","3,629.05","1,475.00",1176879,"3,921,626,711.60",64814,3350.2,0.0383972209030663
