,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,227.35,243.95,226.55,226.3,242.0,241.15,234.75,275.4,84.9,12417894,"2,915,158,414.35",121835,241.15,
1,02-Feb-2021,EQ,244.2,257.4,243.9,241.15,254.5,255.35,252.61,275.4,84.9,18251184,"4,610,411,469.05",123738,255.35,0.05721600657867221
2,03-Feb-2021,EQ,254.0,263.4,252.55,255.35,257.0,257.25,257.81,275.4,84.9,15670948,"4,040,053,779.00",105090,257.25,0.007413221620505617
3,04-Feb-2021,EQ,259.95,267.4,258.95,257.25,262.65,261.85,263.9,275.4,84.9,21296401,"5,620,221,094.55",145683,261.85,0.01772344601133824
4,05-Feb-2021,EQ,264.0,266.0,255.9,261.85,262.6,262.05,261.6,275.4,84.9,12833374,"3,357,262,271.00",86179,262.05,0.0007635045226788151
5,08-Feb-2021,EQ,264.0,280.55,263.55,262.05,278.55,278.95,274.29,280.55,84.9,27556901,"7,558,600,563.50",207524,278.95,0.062497229043361635
6,09-Feb-2021,EQ,278.55,285.9,275.65,278.95,278.95,278.05,281.42,285.9,84.9,22066741,"6,210,101,038.40",145738,278.05,-0.003231600657964684
7,10-Feb-2021,EQ,281.0,283.35,274.7,278.05,279.7,279.4,279.4,285.9,84.9,16789592,"4,690,993,975.65",132892,279.4,0.004843493189288672
8,11-Feb-2021,EQ,280.8,297.35,279.85,279.4,294.8,295.4,290.91,297.35,84.9,47356292,"13,776,236,101.50",287892,295.4,0.055685923274418236
9,12-Feb-2021,EQ,297.0,297.25,286.5,295.4,291.0,290.8,291.69,297.35,84.9,15454237,"4,507,820,225.80",93994,290.8,-0.015694624437915472
10,15-Feb-2021,EQ,292.5,296.05,289.0,290.8,291.1,291.4,292.56,297.35,84.9,8041775,"2,352,741,176.50",71677,291.4,0.0020611481017400735
11,16-Feb-2021,EQ,293.55,307.35,293.0,291.4,302.0,302.7,302.9,307.35,84.9,27519511,"8,335,641,658.45",217537,302.7,0.038045322266568427
12,17-Feb-2021,EQ,302.7,308.5,301.0,302.7,304.1,303.9,304.57,308.5,84.9,18221106,"5,549,679,463.65",129930,303.9,0.003956483895074747
13,18-Feb-2021,EQ,306.05,312.6,305.0,303.9,309.6,309.9,309.31,312.6,84.9,16202053,"5,011,434,700.50",133048,309.9,0.019550964870955312
14,19-Feb-2021,EQ,308.0,313.35,302.25,309.9,309.0,308.0,307.04,313.35,84.9,17410357,"5,345,695,150.80",96804,308.0,-0.006149881820128655
15,22-Feb-2021,EQ,310.0,328.0,310.0,308.0,314.6,316.1,320.99,328.0,84.9,45975603,"14,757,677,876.65",317856,316.1,0.025958836247998107
16,23-Feb-2021,EQ,321.95,338.15,316.65,316.1,334.2,333.05,329.02,338.15,84.9,50677230,"16,673,736,714.15",329561,333.05,0.052234009637616374
17,24-Feb-2021,EQ,334.2,337.5,328.0,333.05,333.0,332.8,333.95,338.15,84.9,14777374,"4,934,924,982.20",117562,332.8,-0.0007509199121349397
18,25-Feb-2021,EQ,337.6,354.6,337.0,332.8,350.0,350.7,346.94,354.6,84.9,35967464,"12,478,453,874.15",240253,350.7,0.05238944819907854
19,26-Feb-2021,EQ,343.0,349.65,334.75,350.7,340.95,340.25,341.79,354.6,84.9,20379210,"6,965,310,195.55",159341,340.25,-0.03025051561455694
20,01-Mar-2021,EQ,342.0,347.0,334.6,340.25,345.0,344.1,341.8,354.6,84.9,14556212,"4,975,261,233.00",129407,344.1,0.011251671271859998
21,02-Mar-2021,EQ,344.25,349.3,338.75,344.1,344.7,345.25,343.02,354.6,84.9,12878208,"4,417,484,707.80",116292,345.25,0.0033364794859664926
22,03-Mar-2021,EQ,350.7,361.3,350.5,345.25,358.75,359.35,357.05,361.3,84.9,20104887,"7,178,446,850.20",168134,359.35,0.04002805162505041
23,04-Mar-2021,EQ,352.0,357.7,347.0,359.35,349.9,349.45,352.14,361.3,84.9,13623173,"4,797,258,208.20",96719,349.45,-0.027936353991314
24,05-Mar-2021,EQ,345.25,347.6,333.15,349.45,339.0,337.85,340.29,361.3,84.9,15127687,"5,147,768,495.85",136189,337.85,-0.03375847992495462
25,08-Mar-2021,EQ,340.05,343.9,334.7,337.85,336.75,336.6,338.16,361.3,84.9,10555735,"3,569,534,555.10",85792,336.6,-0.0037067282414779967
26,09-Mar-2021,EQ,339.95,344.4,328.45,336.6,333.15,333.25,336.86,361.3,84.9,13883599,"4,676,791,861.35",91205,333.25,-0.010002322697887145
27,10-Mar-2021,EQ,335.8,342.35,330.45,333.25,341.0,340.35,336.13,361.3,84.9,10886045,"3,659,076,934.40",98370,340.35,0.021081540835142576
28,12-Mar-2021,EQ,341.55,345.0,327.45,340.35,331.5,330.2,335.48,361.3,84.9,15035151,"5,043,956,342.25",111302,330.2,-0.030275968407933007
29,15-Mar-2021,EQ,331.9,335.9,325.0,330.2,335.65,333.8,329.56,361.3,84.9,14049438,"4,630,197,899.30",112829,333.8,0.010843479741707185
30,16-Mar-2021,EQ,336.0,336.75,326.3,333.8,334.15,333.9,331.58,361.3,84.9,13294567,"4,408,167,492.60",117817,333.9,0.00029953572187402244
31,17-Mar-2021,EQ,332.95,333.55,325.0,333.9,325.95,326.4,329.4,361.3,84.9,11028678,"3,632,816,599.80",71828,326.4,-0.02271792385965732
32,18-Mar-2021,EQ,329.35,340.5,329.35,326.4,332.75,331.8,335.73,361.3,84.9,23744146,"7,971,541,094.40",180590,331.8,0.01640875466639269
33,19-Mar-2021,EQ,330.0,339.7,320.6,331.8,334.05,335.1,330.85,361.3,84.9,16753538,"5,542,944,422.25",101910,335.1,0.00989661698692057
34,22-Mar-2021,EQ,335.1,342.65,331.1,335.1,341.7,339.75,335.64,361.3,84.9,8470164,"2,842,962,087.60",60643,339.75,0.013781058287988479
35,23-Mar-2021,EQ,341.9,342.45,330.3,339.75,331.8,331.7,334.98,361.3,84.9,13880498,"4,649,727,088.95",94915,331.7,-0.023979107078246464
36,24-Mar-2021,EQ,328.3,328.3,316.8,331.7,319.0,317.75,320.11,361.3,84.9,20388678,"6,526,705,998.65",160039,317.75,-0.04296603588344361
37,25-Mar-2021,EQ,319.05,319.9,305.4,317.75,313.4,314.0,312.81,361.3,84.9,20856373,"6,524,133,319.85",136421,314.0,-0.011871924161310332
38,26-Mar-2021,EQ,318.1,328.5,318.1,314.0,326.45,327.15,324.21,361.3,84.9,13857627,"4,492,760,670.35",90407,327.15,0.04102579540749485
39,30-Mar-2021,EQ,330.55,332.9,324.95,327.15,326.1,326.3,328.58,361.3,86.55,9159364,"3,009,538,834.65",85073,326.3,-0.00260157771647318
40,31-Mar-2021,EQ,323.1,336.0,320.9,326.3,326.1,326.85,330.0,361.3,86.55,10387652,"3,427,936,020.00",103304,326.85,0.0016841464594641309
41,01-Apr-2021,EQ,329.75,352.0,328.45,326.85,348.3,350.25,343.48,361.3,86.55,25631843,"8,803,992,291.40",181535,350.25,0.0691458351583778
42,05-Apr-2021,EQ,349.9,352.9,338.0,350.25,351.0,350.65,346.83,361.3,90.0,14771653,"5,123,255,647.50",126221,350.65,0.0011413897658023586
43,06-Apr-2021,EQ,352.7,358.3,348.5,350.65,349.8,350.45,353.17,361.3,90.0,11185963,"3,950,601,703.80",88080,350.45,-0.0005705320365851918
44,07-Apr-2021,EQ,350.4,360.7,349.0,350.45,351.95,352.2,355.28,361.3,90.0,12542475,"4,456,129,107.75",96544,352.2,0.004981153115771519
45,08-Apr-2021,EQ,355.9,374.0,354.65,352.2,366.55,365.2,364.98,374.0,90.0,28768469,"10,499,873,827.15",211570,365.2,0.03624595265870756
46,09-Apr-2021,EQ,367.0,370.0,354.7,365.2,359.4,361.05,361.53,374.0,90.0,16371164,"5,918,635,312.20",138689,361.05,-0.01142869582362227
47,12-Apr-2021,EQ,352.1,354.0,331.6,361.05,339.1,336.2,342.66,374.0,102.75,16096812,"5,515,674,971.80",122937,336.2,-0.07131023192267527
48,13-Apr-2021,EQ,336.2,350.3,336.2,336.2,348.6,348.7,344.75,374.0,102.75,12942071,"4,461,731,786.10",163479,348.7,0.03650573270708968
49,15-Apr-2021,EQ,354.0,366.8,349.75,348.7,352.6,353.55,356.24,374.0,102.75,21825520,"7,775,058,060.25",209937,353.55,0.013812964368645098
50,16-Apr-2021,EQ,356.75,376.5,352.7,353.55,368.25,370.0,369.59,376.5,102.75,28438547,"10,510,727,748.40",214882,370.0,0.04547808758801963
51,19-Apr-2021,EQ,358.7,366.0,353.85,370.0,361.35,361.4,360.75,376.5,102.75,15435944,"5,568,529,050.00",121256,361.4,-0.023517627480141634
52,20-Apr-2021,EQ,368.6,371.5,354.55,361.4,358.25,359.35,362.97,376.5,102.75,15526407,"5,635,566,578.50",107836,359.35,-0.005688534243676102
53,22-Apr-2021,EQ,360.8,365.6,354.7,359.35,356.0,355.85,359.5,376.5,102.75,12756931,"4,586,175,695.80",120469,355.85,-0.009787550169171766
54,23-Apr-2021,EQ,354.05,362.65,345.3,355.85,349.0,349.5,355.15,376.5,102.75,12805877,"4,548,068,157.00",102303,349.5,-0.018005732071415537
55,26-Apr-2021,EQ,353.0,358.25,345.5,349.5,348.6,348.35,351.91,376.5,105.3,16472269,"5,796,822,358.95",113431,348.35,-0.0032958401977367657
56,27-Apr-2021,EQ,350.1,370.0,350.1,348.35,366.0,366.25,365.09,376.5,105.3,41263319,"15,064,671,476.70",307599,366.25,0.05010843885514937
57,28-Apr-2021,EQ,368.85,368.9,358.0,366.25,362.45,362.6,361.61,376.5,105.3,15197329,"5,495,570,970.35",126873,362.6,-0.010015862010527066
58,29-Apr-2021,EQ,367.4,377.3,364.6,362.6,370.5,372.15,370.7,377.3,105.3,34391622,"12,748,978,540.90",237157,372.15,0.025996700485169555
59,30-Apr-2021,EQ,368.9,377.0,361.3,372.15,363.65,364.4,368.96,377.3,105.3,19935239,"7,355,373,678.30",149528,364.4,-0.02104483342011676
60,03-May-2021,EQ,364.4,373.2,357.65,364.4,370.0,369.95,367.41,377.3,114.3,15890242,"5,838,278,984.10",116737,369.95,0.015115695985756794
61,04-May-2021,EQ,372.0,384.45,359.7,369.95,363.5,362.55,372.58,384.45,114.3,29767756,"11,090,733,132.10",208719,362.55,-0.020205465553957858
62,05-May-2021,EQ,367.0,373.7,364.3,362.55,368.3,367.1,368.89,384.45,114.3,15192338,"5,604,263,979.90",112285,367.1,0.012471894685186946
63,06-May-2021,EQ,370.0,388.6,367.8,367.1,387.9,385.95,379.35,388.6,114.3,31912131,"12,105,995,454.85",237832,385.95,0.050073536893074255
64,07-May-2021,EQ,390.0,404.95,385.25,385.95,400.95,401.1,396.21,404.95,114.3,46343220,"18,361,625,161.15",359622,401.1,0.038502945380144205
65,10-May-2021,EQ,407.8,427.5,406.7,401.1,426.0,425.75,417.55,427.5,114.3,39516234,"16,500,143,643.05",302157,425.75,0.05964154676679012
66,11-May-2021,EQ,414.85,420.6,408.85,425.75,413.0,412.8,414.09,427.5,114.3,27497466,"11,386,370,102.70",228541,412.8,-0.030889105375444537
67,12-May-2021,EQ,416.0,417.65,393.7,412.8,398.5,398.8,406.97,427.5,114.3,18242276,"7,424,106,865.30",152163,398.8,-0.034503176079669906
68,14-May-2021,EQ,403.0,403.65,368.15,398.8,383.05,382.8,381.87,427.5,114.3,41384078,"15,803,537,739.10",325627,382.8,-0.04094737850888386
69,17-May-2021,EQ,384.5,395.35,377.25,382.8,395.0,392.95,385.14,427.5,114.3,20821967,"8,019,328,415.30",167798,392.95,0.026169717733385056
70,18-May-2021,EQ,401.0,412.8,396.5,392.95,401.45,402.1,405.39,427.5,114.3,30540086,"12,380,711,016.00",249278,402.1,0.023018436591043745
71,19-May-2021,EQ,400.0,406.45,394.2,402.1,403.3,403.3,402.41,427.5,114.3,16113667,"6,484,306,207.30",111389,403.3,0.0029798879760942754
72,20-May-2021,EQ,390.0,393.2,379.45,403.3,386.2,385.2,387.15,427.5,114.3,30689219,"11,881,234,926.60",233521,385.2,-0.04591802195535166
73,21-May-2021,EQ,388.7,391.9,383.35,385.2,389.1,389.8,388.02,427.5,114.3,22406993,"8,694,295,071.95",175668,389.8,0.011871107149489468
74,24-May-2021,EQ,392.9,393.7,379.45,389.8,389.7,389.3,387.72,427.5,125.5,23694105,"9,186,650,447.15",186406,389.3,-0.0012835324570499296
75,25-May-2021,EQ,394.0,399.5,389.55,389.3,390.6,391.2,395.23,427.5,125.5,18155697,"7,175,606,355.70",159562,391.2,0.004868683544252406
76,26-May-2021,EQ,389.25,389.5,380.25,391.2,381.4,381.0,384.29,427.5,125.5,15340621,"5,895,224,332.35",127481,381.0,-0.026419563033961424
77,27-May-2021,EQ,382.05,388.45,380.0,381.0,386.85,385.85,384.68,427.5,125.5,17374666,"6,683,609,899.95",125432,385.85,0.01264931777691114
78,28-May-2021,EQ,393.0,398.85,384.8,385.85,388.25,387.75,391.99,427.5,125.5,14862168,"5,825,855,775.55",117904,387.75,0.004912109153035971
79,31-May-2021,EQ,391.55,395.4,388.0,387.75,394.2,394.25,391.71,427.5,136.2,13703439,"5,367,783,545.10",117396,394.25,0.01662442378649942
80,01-Jun-2021,EQ,396.0,396.8,386.5,394.25,394.0,394.7,391.97,427.5,136.2,11399189,"4,468,156,904.50",95694,394.7,0.0011407568256540657
81,02-Jun-2021,EQ,389.0,402.7,389.0,394.7,402.05,398.8,396.03,427.5,136.2,9587386,"3,796,859,443.75",78151,398.8,0.010334055418881327
82,03-Jun-2021,EQ,403.0,405.5,398.0,398.8,398.7,399.2,400.95,427.5,136.2,12441261,"4,988,304,172.00",110970,399.2,0.0010025063496259534
83,04-Jun-2021,EQ,400.0,400.0,392.3,399.2,394.75,395.05,395.49,427.5,136.2,10040657,"3,970,956,420.85",98730,395.05,-0.010450205268567103
84,07-Jun-2021,EQ,396.15,401.4,394.25,395.05,395.0,395.0,397.02,427.5,136.2,6176784,"2,452,275,930.05",68864,395.0,-0.00012657426761997215
85,08-Jun-2021,EQ,395.0,395.5,381.1,395.0,388.0,387.75,385.97,427.5,136.2,17334691,"6,690,686,836.65",161460,387.75,-0.01852496284447369
86,09-Jun-2021,EQ,388.0,390.95,382.3,387.75,383.2,383.15,386.41,427.5,136.2,11807015,"4,562,377,209.50",108283,383.15,-0.011934244640235292
87,10-Jun-2021,EQ,386.15,389.95,384.25,383.15,385.9,385.4,386.43,427.5,136.2,5796380,"2,239,880,494.00",57637,385.4,0.005855198563852859
88,11-Jun-2021,EQ,388.4,395.0,383.15,385.4,393.4,393.15,389.15,427.5,136.2,9630564,"3,747,739,570.85",79743,393.15,0.01990946245725933
89,14-Jun-2021,EQ,392.95,397.5,381.35,393.15,394.3,394.8,391.45,427.5,143.3,11601461,"4,541,392,960.70",91699,394.8,0.004188089121801575
90,15-Jun-2021,EQ,391.0,396.35,390.0,394.8,391.0,390.85,393.17,427.5,143.3,7929361,"3,117,563,362.45",70590,390.85,-0.010055452892987482
91,16-Jun-2021,EQ,387.3,391.35,377.0,390.85,379.8,380.25,381.52,427.5,143.3,17978012,"6,859,014,134.15",160885,380.25,-0.027494923526937498
92,17-Jun-2021,EQ,376.0,380.3,365.05,380.25,369.0,369.25,373.81,427.5,143.3,14321673,"5,353,528,155.40",171883,369.25,-0.029355009727912496
93,18-Jun-2021,EQ,368.75,373.35,359.8,369.25,372.45,371.35,366.15,427.5,143.3,22723111,"8,320,063,278.35",199410,371.35,0.005671092703816605
94,21-Jun-2021,EQ,366.9,369.95,360.4,371.35,368.35,367.6,365.54,427.5,143.3,13172227,"4,814,941,862.70",111664,367.6,-0.01014962363377414
95,22-Jun-2021,EQ,371.0,371.85,366.25,367.6,366.65,367.55,368.92,427.5,143.3,9787216,"3,610,704,500.15",88270,367.55,-0.0001360266614351957
96,23-Jun-2021,EQ,368.05,377.0,367.35,367.55,369.0,368.1,372.87,427.5,143.3,14295574,"5,330,385,496.65",130170,368.1,0.0014952765648788002
97,24-Jun-2021,EQ,369.0,372.45,366.1,368.1,370.5,369.05,369.42,427.5,143.3,9066954,"3,349,510,540.00",69494,369.05,0.0025774958310860185
98,25-Jun-2021,EQ,371.55,380.35,371.55,369.05,376.0,375.9,376.05,427.5,143.3,12815999,"4,819,514,622.10",88988,375.9,0.01839101435407109
99,28-Jun-2021,EQ,378.9,384.95,374.25,375.9,382.45,382.3,380.58,427.5,143.3,14518487,"5,525,441,523.25",98675,382.3,0.016882490132235084
100,29-Jun-2021,EQ,383.4,383.5,372.7,382.3,374.3,374.25,376.15,427.5,143.3,9106037,"3,425,279,972.45",96207,374.25,-0.02128161740262957
101,30-Jun-2021,EQ,376.55,379.4,370.95,374.25,372.4,372.05,375.52,427.5,143.3,10110801,"3,796,769,510.90",90895,372.05,-0.005895769456468081
102,01-Jul-2021,EQ,372.3,380.8,372.0,372.05,379.75,379.4,377.32,427.5,143.3,8232292,"3,106,224,189.15",76522,379.4,0.019562803657644068
103,02-Jul-2021,EQ,378.0,380.6,374.2,379.4,376.7,376.05,377.27,427.5,143.3,5070326,"1,912,896,997.15",49035,376.05,-0.008868944228502151
104,05-Jul-2021,EQ,379.0,391.0,377.5,376.05,390.35,389.55,385.95,427.5,147.1,12836172,"4,954,175,913.50",111922,389.55,0.0352701135044553
105,06-Jul-2021,EQ,389.4,391.0,384.0,389.55,386.2,385.35,388.2,427.5,147.1,6153733,"2,388,871,980.35",74858,385.35,-0.010840214552865213
106,07-Jul-2021,EQ,382.9,395.0,380.2,385.35,393.5,393.65,388.45,427.5,147.1,10577866,"4,109,000,149.55",100886,393.65,0.021310177406474118
107,08-Jul-2021,EQ,392.5,392.9,381.2,393.65,382.85,383.1,385.75,427.5,147.1,12333337,"4,757,593,237.45",99403,383.1,-0.02716613792387257
108,09-Jul-2021,EQ,383.0,391.4,382.1,383.1,391.0,390.05,386.77,427.5,147.1,7375406,"2,852,580,996.80",72978,390.05,0.01797888432771888
