,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,220.9,222.4,212.3,218.6,218.6,217.95,218.27,245.0,150.0,10620697,"2,318,158,356.25",66263,217.95,
1,02-Feb-2021,EQ,220.1,225.9,220.0,217.95,222.75,222.3,222.67,245.0,150.0,10104614,"2,250,002,391.85",56820,222.3,0.019762142285749462
2,03-Feb-2021,EQ,223.95,228.45,220.6,222.3,225.6,225.25,224.33,245.0,150.0,11986880,"2,689,055,234.75",60034,225.25,0.013183075518296228
3,04-Feb-2021,EQ,225.85,231.75,225.6,225.25,229.75,229.6,229.34,245.0,150.0,10548425,"2,419,125,617.60",65945,229.6,0.019127767956964803
4,05-Feb-2021,EQ,232.7,233.0,224.3,229.6,225.55,225.05,228.24,245.0,150.0,5956692,"1,359,529,363.60",38033,225.05,-0.02001606470646955
5,08-Feb-2021,EQ,227.0,231.3,226.25,225.05,229.8,229.55,229.38,244.05,150.0,3713106,"851,727,107.00",29084,229.55,0.019798270956289166
6,09-Feb-2021,EQ,229.0,232.75,225.25,229.55,226.85,226.55,228.55,244.05,150.0,6848831,"1,565,330,237.85",38566,226.55,-0.013155199582084443
7,10-Feb-2021,EQ,227.45,229.25,221.65,226.55,225.0,224.9,224.99,244.05,150.0,10528622,"2,368,829,489.55",66678,224.9,-0.007309812147877182
8,11-Feb-2021,EQ,224.3,228.4,224.1,224.9,227.15,227.4,226.5,244.05,150.0,6534317,"1,480,008,419.75",44093,227.4,0.011054722351166113
9,12-Feb-2021,EQ,227.9,229.3,222.1,227.4,224.5,223.85,224.75,244.05,150.0,6627798,"1,489,628,158.00",63769,223.85,-0.015734396629460967
10,15-Feb-2021,EQ,224.5,226.25,222.1,223.85,222.6,222.6,223.18,242.1,150.0,6050356,"1,350,294,479.80",54055,222.6,-0.005599745845530357
11,16-Feb-2021,EQ,221.6,227.0,221.4,222.6,226.2,225.65,225.2,242.1,150.0,7111409,"1,601,498,167.85",57189,225.65,0.013608687431565514
12,17-Feb-2021,EQ,225.65,235.0,224.95,225.65,234.7,234.45,231.74,242.1,150.0,11934678,"2,765,782,662.35",89734,234.45,0.03825721926258563
13,18-Feb-2021,EQ,237.0,252.0,235.15,234.45,246.25,245.7,244.63,252.0,150.0,25247214,"6,176,184,666.10",171275,245.7,0.046868933991537354
14,19-Feb-2021,EQ,247.8,252.4,238.5,245.7,243.75,244.0,245.93,252.4,150.0,13301954,"3,271,389,727.40",123805,244.0,-0.006943054233930823
15,22-Feb-2021,EQ,245.0,248.3,239.5,244.0,240.4,241.5,243.42,252.4,150.0,7516651,"1,829,712,696.05",61162,241.5,-0.010298752200574413
16,23-Feb-2021,EQ,242.0,249.9,241.7,241.5,244.75,244.9,246.0,252.4,150.0,9848080,"2,422,618,405.15",91805,244.9,0.013980490865494133
17,24-Feb-2021,EQ,246.75,248.55,242.6,244.9,245.25,244.75,245.22,252.4,150.0,3338158,"818,575,365.55",34165,244.75,-0.0006126825475023523
18,25-Feb-2021,EQ,246.0,259.25,245.5,244.75,252.75,252.45,253.17,259.25,150.0,14585563,"3,692,634,015.65",155587,252.45,0.030975927894305144
19,26-Feb-2021,EQ,249.95,255.05,240.0,252.45,242.9,242.45,246.7,259.25,150.0,11918506,"2,940,307,386.90",86674,242.45,-0.04041770575356374
20,01-Mar-2021,EQ,246.4,252.4,243.55,242.45,247.8,247.5,248.36,259.25,150.0,7105216,"1,764,672,244.50",72790,247.5,0.020615078457383973
21,02-Mar-2021,EQ,252.0,257.9,248.1,247.5,251.15,250.1,252.39,259.25,150.0,8245587,"2,081,089,515.15",76741,250.1,0.010450255874828507
22,03-Mar-2021,EQ,255.75,255.9,245.5,250.1,249.5,248.9,249.36,259.25,150.0,5926038,"1,477,715,518.80",56790,248.9,-0.004809628510026975
23,04-Mar-2021,EQ,248.0,251.8,245.35,248.9,246.2,245.85,247.77,259.25,150.0,4683206,"1,160,364,136.95",40441,245.85,-0.012329615515597858
24,05-Mar-2021,EQ,244.8,251.6,240.3,245.85,243.0,243.2,246.28,259.25,150.0,7733029,"1,904,483,267.95",76823,243.2,-0.010837443765936428
25,08-Mar-2021,EQ,244.8,250.25,242.25,243.2,243.6,243.15,246.21,259.25,150.0,6538746,"1,609,931,192.65",66768,243.15,-0.00020561324221723964
26,09-Mar-2021,EQ,241.5,246.1,233.4,243.15,237.8,238.2,238.39,259.25,150.0,12765130,"3,043,025,741.70",101267,238.2,-0.020567879928595545
27,10-Mar-2021,EQ,246.1,249.5,238.7,238.2,240.3,241.0,242.68,259.25,150.0,10825300,"2,627,066,056.55",77370,241.0,0.011686276569455423
28,12-Mar-2021,EQ,243.0,246.6,239.65,241.0,241.75,241.35,242.97,259.25,150.0,6538524,"1,588,689,877.05",65880,241.35,0.0014512286158474552
29,15-Mar-2021,EQ,243.0,244.6,239.3,241.35,242.9,241.9,241.34,259.25,162.9,5321228,"1,284,236,086.65",33220,241.9,0.002276255509479519
30,16-Mar-2021,EQ,243.8,245.65,240.65,241.9,241.7,241.65,243.02,259.25,162.9,6302419,"1,531,596,916.35",67953,241.65,-0.0010340193248890017
31,17-Mar-2021,EQ,242.0,242.0,233.7,241.65,235.0,235.9,238.02,259.25,162.9,9097491,"2,165,371,337.60",69045,235.9,-0.024082411877463628
32,18-Mar-2021,EQ,237.0,239.9,231.5,235.9,234.55,233.65,235.46,259.25,162.9,7397595,"1,741,839,677.60",67540,233.65,-0.009583717267194203
33,19-Mar-2021,EQ,234.6,237.45,230.35,233.65,235.45,234.75,234.84,259.25,162.9,6922401,"1,625,672,636.95",58173,234.75,0.004696848941937226
34,22-Mar-2021,EQ,236.95,237.5,234.45,234.75,236.8,236.55,235.79,259.25,162.9,3337228,"786,887,055.05",40852,236.55,0.007638483988785083
35,23-Mar-2021,EQ,236.8,239.65,234.2,236.55,238.85,239.0,237.02,259.25,162.9,5972548,"1,415,624,562.00",58597,239.0,0.010303949854353789
36,24-Mar-2021,EQ,239.0,239.75,231.45,239.0,232.4,232.5,234.93,259.25,162.9,3514996,"825,770,198.70",35846,232.5,-0.027573326904099638
37,25-Mar-2021,EQ,233.0,234.75,225.9,232.5,227.25,227.25,229.45,259.25,162.9,8212766,"1,884,407,278.55",54202,227.25,-0.022839491969823378
38,26-Mar-2021,EQ,229.5,232.0,228.35,227.25,229.5,229.8,230.2,259.25,162.9,2807213,"646,223,475.70",39339,229.8,0.011158632357067155
39,30-Mar-2021,EQ,230.8,231.9,228.75,229.8,230.0,230.0,230.37,259.25,162.9,3572153,"822,903,452.80",41739,230.0,0.0008699435085404161
40,31-Mar-2021,EQ,230.7,236.1,228.55,230.0,236.0,234.5,232.69,259.25,162.9,8279352,"1,926,483,058.00",73661,234.5,0.019376278963138205
41,01-Apr-2021,EQ,236.0,238.65,232.5,234.5,237.8,237.6,235.81,259.25,162.9,3620285,"853,697,133.70",44426,237.6,0.013132999602156303
42,05-Apr-2021,EQ,239.15,239.15,229.5,237.6,235.35,235.25,233.03,259.25,162.9,4829242,"1,125,377,284.70",45788,235.25,-0.009939809023000734
43,06-Apr-2021,EQ,235.5,237.25,233.2,235.25,235.5,235.4,235.02,259.25,162.9,3786594,"889,912,889.40",44722,235.4,0.0006374163606865935
44,07-Apr-2021,EQ,234.45,238.9,234.4,235.4,236.4,236.05,236.72,259.25,162.9,4933633,"1,167,886,519.40",72784,236.05,0.002757452166119556
45,08-Apr-2021,EQ,236.05,240.9,235.9,236.05,238.9,238.75,238.79,259.25,162.9,4705860,"1,123,706,202.05",51555,238.75,0.011373332368544098
46,09-Apr-2021,EQ,238.65,238.65,231.85,238.75,234.0,234.05,234.39,259.25,162.9,6898817,"1,616,987,946.15",58868,234.05,-0.019882211614760337
47,12-Apr-2021,EQ,230.0,232.75,222.8,234.05,227.55,226.4,226.87,259.25,162.9,6712891,"1,522,934,697.90",55331,226.4,-0.033231421417051266
48,13-Apr-2021,EQ,225.6,232.65,225.6,226.4,231.7,231.55,230.58,259.25,162.9,7350007,"1,694,794,195.65",69844,231.55,0.022492486597733397
49,15-Apr-2021,EQ,228.65,237.9,228.65,231.55,236.5,237.15,235.07,259.25,162.9,4342810,"1,020,885,621.65",51493,237.15,0.023897019396829755
50,16-Apr-2021,EQ,237.0,240.0,234.75,237.15,235.4,236.55,236.92,259.25,162.9,6273984,"1,486,463,316.10",61560,236.55,-0.0025332502464339157
