,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,290.0,292.5,281.6,274.75,290.5,288.75,287.3,328.4,116.05,3511591,"1,008,891,411.20",64793,288.75,
1,02-Feb-2021,EQ,293.1,294.0,284.55,288.75,291.85,292.4,290.69,328.4,116.05,3147425,"914,925,133.05",61642,292.4,0.01256146603962005
2,03-Feb-2021,EQ,289.5,290.6,283.0,292.4,289.6,289.2,288.29,328.4,116.05,1472275,"424,446,791.85",17742,289.2,-0.011004237591013322
3,04-Feb-2021,EQ,289.4,298.0,288.25,289.2,292.0,294.75,294.13,328.4,116.05,1264818,"372,016,757.50",19985,294.75,0.019009049132870715
4,05-Feb-2021,EQ,295.0,295.0,287.5,294.75,293.05,293.25,292.29,328.4,116.05,1113508,"325,470,780.55",13852,293.25,-0.005102051883895342
5,08-Feb-2021,EQ,293.0,306.4,290.05,293.25,296.8,297.3,298.89,328.4,116.05,2464990,"736,767,939.75",32104,297.3,0.013716242470467321
6,09-Feb-2021,EQ,298.0,301.75,294.0,297.3,297.15,297.15,297.29,328.4,116.05,879542,"261,477,054.85",13022,297.15,-0.0005046681913825068
7,10-Feb-2021,EQ,297.9,301.0,294.25,297.15,297.25,298.6,298.24,328.4,116.05,771602,"230,126,081.85",10920,298.6,0.0048678232924199705
8,11-Feb-2021,EQ,297.0,300.65,296.0,298.6,296.95,296.95,297.62,328.4,116.05,516828,"153,819,650.35",7424,296.95,-0.005541110643220826
9,12-Feb-2021,EQ,296.25,302.9,294.95,296.95,299.15,300.1,300.11,328.4,116.05,1120805,"336,369,222.70",18179,300.1,0.010551977984452066
10,15-Feb-2021,EQ,300.1,302.35,295.5,300.1,297.4,297.1,297.21,328.4,116.05,942670,"280,170,982.85",9946,297.1,-0.010046969977759446
11,16-Feb-2021,EQ,298.0,309.85,297.45,297.1,303.5,304.7,305.66,328.4,116.05,2691599,"822,725,904.95",40683,304.7,0.025258903523101672
12,17-Feb-2021,EQ,304.95,308.9,301.5,304.7,305.0,305.6,304.93,328.4,116.05,848324,"258,676,232.65",14549,305.6,0.002949371300702275
13,18-Feb-2021,EQ,306.0,312.0,298.35,305.6,300.0,300.55,306.49,328.4,116.05,1393494,"427,085,734.80",17897,300.55,-0.016662927807194805
14,19-Feb-2021,EQ,302.9,307.85,298.05,300.55,301.0,300.5,303.02,328.4,116.05,811948,"246,038,644.20",15215,300.5,-0.00016637550990861172
15,22-Feb-2021,EQ,302.45,311.9,302.0,300.5,304.5,304.55,307.98,328.4,116.05,2311972,"712,029,948.40",38864,304.55,0.013387523307231142
16,23-Feb-2021,EQ,306.2,309.55,298.55,304.55,303.9,304.4,304.57,328.4,116.05,1086718,"330,981,804.10",30137,304.4,-0.0004926512949623429
17,24-Feb-2021,EQ,304.5,311.0,303.0,304.4,305.2,305.15,307.75,328.4,116.05,647686,"199,324,819.10",9599,305.15,0.0024608330029725067
18,25-Feb-2021,EQ,309.0,309.75,302.2,305.15,304.8,304.45,306.56,328.4,116.05,1014557,"311,018,371.05",14815,304.45,-0.0022965889359207736
19,26-Feb-2021,EQ,302.0,309.75,291.0,304.45,296.0,297.5,302.1,328.4,116.05,1988515,"600,737,752.45",36266,297.5,-0.023092645068897966
20,01-Mar-2021,EQ,300.1,304.55,298.25,297.5,300.1,300.15,301.47,328.4,116.05,843480,"254,282,016.40",17633,300.15,0.008868124712167358
21,02-Mar-2021,EQ,302.0,322.9,301.7,300.15,314.3,315.3,314.31,328.4,116.05,4031034,"1,266,983,932.20",56483,315.3,0.049242216853163434
22,03-Mar-2021,EQ,319.5,326.0,313.6,315.3,316.2,318.05,321.76,328.4,116.05,2427924,"781,210,414.05",39535,318.05,0.008684036573797904
23,04-Mar-2021,EQ,315.25,334.4,310.2,318.05,323.9,325.9,324.42,334.4,116.05,2619084,"849,672,217.35",44146,325.9,0.024381982718701956
24,05-Mar-2021,EQ,322.05,322.75,310.0,325.9,311.5,311.45,315.79,334.4,116.05,1237997,"390,949,940.80",24797,311.45,-0.04535177414336111
25,08-Mar-2021,EQ,314.8,317.35,308.05,311.45,310.0,309.2,312.09,334.4,116.05,599511,"187,102,217.10",11690,309.2,-0.007250494986887013
26,09-Mar-2021,EQ,310.0,315.9,293.7,309.2,298.0,297.65,301.26,334.4,116.05,1095282,"329,969,942.70",22312,297.65,-0.03807001711386793
27,10-Mar-2021,EQ,301.0,307.55,295.25,297.65,306.0,305.45,301.19,334.4,116.05,726204,"218,722,387.20",18748,305.45,0.02586779949637652
28,12-Mar-2021,EQ,308.0,313.1,301.1,305.45,302.25,301.95,307.84,334.4,116.05,1066538,"328,325,111.70",27262,301.95,-0.011524658341866001
29,15-Mar-2021,EQ,304.25,306.2,298.5,301.95,301.0,300.75,300.77,334.4,123.0,344567,"103,633,737.65",10653,300.75,-0.0039820858991213015
30,16-Mar-2021,EQ,300.75,308.85,297.5,300.75,304.55,303.7,302.97,334.4,123.0,504158,"152,745,672.00",11966,303.7,0.009761017196914246
31,17-Mar-2021,EQ,305.0,306.4,293.75,303.7,294.55,295.1,299.05,334.4,123.0,488782,"146,171,945.10",13373,295.1,-0.028726090102808577
32,18-Mar-2021,EQ,298.0,298.5,283.1,295.1,288.95,286.35,289.25,334.4,123.0,909476,"263,067,694.80",17518,286.35,-0.030099443109027568
33,19-Mar-2021,EQ,285.0,289.7,272.3,286.35,283.0,283.35,279.82,334.4,123.0,998832,"279,494,830.90",22628,283.35,-0.010531956224238748
34,22-Mar-2021,EQ,284.5,289.7,277.35,283.35,278.2,278.25,281.79,334.4,123.0,1128743,"318,071,539.20",22347,278.25,-0.018162892459973712
35,23-Mar-2021,EQ,280.95,283.7,269.0,278.25,270.0,270.45,273.11,334.4,123.0,1795545,"490,378,231.45",34298,270.45,-0.028432751838217918
36,24-Mar-2021,EQ,270.45,275.8,264.0,270.45,265.0,265.05,269.92,334.4,123.0,1286577,"347,278,348.65",21621,265.05,-0.020168750883621023
37,25-Mar-2021,EQ,268.0,269.8,261.0,265.05,268.25,266.7,265.73,334.4,123.0,1011565,"268,808,153.90",20232,266.7,0.006205943754153509
38,26-Mar-2021,EQ,271.85,287.9,270.2,266.7,276.95,278.05,278.97,334.4,123.0,2231711,"622,581,544.20",45285,278.05,0.041676522445603936
39,30-Mar-2021,EQ,281.4,283.0,257.0,278.05,261.95,262.25,267.25,334.4,137.5,2786711,"744,739,852.15",47495,262.25,-0.05850270635716637
40,31-Mar-2021,EQ,264.5,275.0,264.45,262.25,272.1,272.9,271.89,334.4,137.5,1783503,"484,917,782.55",32587,272.9,0.03980718043788656
41,01-Apr-2021,EQ,276.0,283.0,274.25,272.9,280.5,280.25,279.45,334.4,137.5,1464491,"409,248,685.25",28002,280.25,0.026576634237976293
42,05-Apr-2021,EQ,281.0,303.0,277.5,280.25,296.0,297.25,292.41,334.4,159.65,3945113,"1,153,604,715.20",68399,297.25,0.05889147361862168
