,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,552.0,609.45,551.0,537.0,608.75,603.8,580.42,609.45,268.3,69354326,"40,254,748,010.30",677016,603.8,
1,02-Feb-2021,EQ,613.0,624.0,598.7,603.8,618.45,617.35,613.06,624.0,268.3,42362384,"25,970,715,478.90",425599,617.35,0.022193106741013935
2,03-Feb-2021,EQ,623.4,627.5,614.0,617.35,621.3,622.35,620.98,627.5,268.3,27155908,"16,863,399,916.05",297041,622.35,0.008066511433233892
3,04-Feb-2021,EQ,618.8,631.65,609.0,622.35,626.35,628.3,620.28,631.65,268.3,29982222,"18,597,434,499.25",325725,628.3,0.009515123961914895
4,05-Feb-2021,EQ,628.3,635.3,611.0,628.3,617.0,614.15,621.31,635.3,268.3,32015570,"19,891,496,556.55",393296,614.15,-0.02277856142379786
5,08-Feb-2021,EQ,622.35,633.95,622.35,614.15,629.4,629.6,629.35,635.3,268.3,18230551,"11,473,332,328.75",207409,629.6,0.024845499118089975
6,09-Feb-2021,EQ,631.35,643.2,628.6,629.6,631.55,633.35,636.01,643.2,268.3,27155615,"17,271,303,277.95",289954,633.35,0.0059384948264478155
7,10-Feb-2021,EQ,633.35,638.2,626.4,633.35,632.5,632.15,632.79,643.2,268.3,23967387,"15,166,418,443.90",245454,632.15,-0.0018964841717341585
8,11-Feb-2021,EQ,626.75,633.6,624.1,632.15,631.25,630.65,628.85,643.2,268.3,16072702,"10,107,382,101.60",265311,630.65,-0.002375674224705193
9,12-Feb-2021,EQ,629.9,649.9,629.4,630.65,647.05,647.6,641.59,649.9,268.3,19049709,"12,222,133,667.55",185553,647.6,0.026522188270278413
10,15-Feb-2021,EQ,655.0,676.8,652.0,647.6,674.6,673.95,665.53,676.8,268.3,27155194,"18,072,574,053.35",321530,673.95,0.039882702380798385
11,16-Feb-2021,EQ,673.4,679.4,649.55,673.95,658.15,658.35,660.32,679.4,268.3,24966739,"16,486,062,899.80",279739,658.35,-0.023419219381925593
12,17-Feb-2021,EQ,654.8,664.95,649.35,658.35,654.5,657.35,657.26,679.4,268.3,21684753,"14,252,464,257.30",250232,657.35,-0.0015201036597396467
13,18-Feb-2021,EQ,650.0,652.4,637.6,657.35,644.9,644.65,644.05,679.4,268.3,27845347,"17,933,906,812.85",327130,644.65,-0.019509067285766513
14,19-Feb-2021,EQ,635.5,635.5,619.0,644.65,625.4,624.05,627.94,679.4,268.3,24055811,"15,105,708,907.95",351586,624.05,-0.032477040492384646
15,22-Feb-2021,EQ,622.0,629.3,607.3,624.05,608.95,609.85,615.13,679.4,268.3,27092321,"16,665,265,722.95",257181,609.85,-0.02301746807521532
16,23-Feb-2021,EQ,614.75,623.05,609.05,609.85,614.05,616.3,615.87,679.4,268.3,23534585,"14,494,193,067.05",250608,616.3,0.01052083267895032
17,24-Feb-2021,EQ,615.1,645.0,615.1,616.3,640.0,641.1,627.97,679.4,268.3,17762047,"11,154,113,882.65",178082,641.1,0.03945159302501455
18,25-Feb-2021,EQ,642.7,648.4,626.3,641.1,629.0,628.0,636.34,679.4,268.3,38571809,"24,544,745,289.65",389701,628.0,-0.020645284525013352
19,26-Feb-2021,EQ,615.0,615.0,590.9,628.0,597.25,597.75,599.8,679.4,268.3,57349273,"34,397,838,462.45",590244,597.75,-0.049367560129764065
20,01-Mar-2021,EQ,607.55,611.85,600.2,597.75,609.5,608.35,606.56,679.4,268.3,21527318,"13,057,503,875.95",219929,608.35,0.0175777678950233
21,02-Mar-2021,EQ,610.0,616.5,599.0,608.35,610.95,610.5,607.95,679.4,268.3,24051433,"14,622,017,839.70",260670,610.5,0.0035279193173014534
22,03-Mar-2021,EQ,618.0,633.75,613.85,610.5,632.0,632.1,624.94,679.4,268.3,21036174,"13,146,299,781.80",250356,632.1,0.03476931592749377
23,04-Mar-2021,EQ,618.75,630.9,615.8,632.1,621.8,620.75,622.95,679.4,268.3,25057198,"15,609,365,245.90",215674,620.75,-0.018119185089976675
24,05-Mar-2021,EQ,613.2,614.7,601.5,620.75,611.6,609.45,609.04,679.4,268.3,26645968,"16,228,593,296.85",264631,609.45,-0.018371513286430385
25,08-Mar-2021,EQ,611.6,616.0,601.15,609.45,608.5,608.05,608.71,679.4,268.3,19632433,"11,950,480,654.15",214377,608.05,-0.0022997956748378456
26,09-Mar-2021,EQ,614.85,628.35,612.3,608.05,624.05,625.1,621.7,679.4,268.3,23056249,"14,334,009,874.20",233565,625.1,0.02765452151075909
27,10-Mar-2021,EQ,628.75,630.5,621.8,625.1,626.0,625.6,625.75,679.4,268.3,15838994,"9,911,205,255.50",177498,625.6,0.0007995522933343935
28,12-Mar-2021,EQ,631.45,638.0,608.35,625.6,613.45,612.85,623.16,679.4,268.3,21757862,"13,558,633,223.80",225340,612.85,-0.020590981443927348
29,15-Mar-2021,EQ,611.9,612.85,590.6,612.85,603.65,603.5,598.88,679.4,268.3,24348723,"14,581,910,855.60",370051,603.5,-0.015374167249587956
30,16-Mar-2021,EQ,606.85,607.0,593.65,603.5,594.6,594.95,600.09,679.4,268.3,17925629,"10,756,950,881.05",237835,594.95,-0.014268672136423355
31,17-Mar-2021,EQ,597.55,603.65,587.0,594.95,587.0,589.5,595.15,679.4,268.3,20214082,"12,030,373,191.80",268521,589.5,-0.009202648423737081
