,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"1,326.10","1,381.90","1,295.00","1,315.50","1,376.10","1,365.35","1,338.92","1,626.45",805.00,1468725,"1,966,509,015.20",94536,1365.35,
1,02-Feb-2021,EQ,"1,402.00","1,419.70","1,372.00","1,365.35","1,397.00","1,387.95","1,387.11","1,626.45",805.00,1774566,"2,461,521,044.65",55826,1387.95,0.01641703235516978
2,03-Feb-2021,EQ,"1,382.50","1,463.00","1,382.50","1,387.95","1,439.00","1,436.40","1,434.75","1,626.45",805.00,1189638,"1,706,827,210.00",49589,1436.4,0.0343121449887791
3,04-Feb-2021,EQ,"1,449.00","1,481.85","1,410.00","1,436.40","1,480.65","1,470.25","1,450.23","1,626.45",805.00,713746,"1,035,094,345.90",39835,1470.25,0.023292470988137914
4,05-Feb-2021,EQ,"1,479.85","1,487.20","1,450.10","1,470.25","1,463.50","1,467.75","1,466.87","1,626.45",805.00,784535,"1,150,808,716.50",56642,1467.75,-0.0017018383957703165
5,08-Feb-2021,EQ,"1,467.75","1,485.00","1,464.55","1,467.75","1,474.00","1,473.00","1,474.10","1,626.45",805.00,727597,"1,072,549,956.85",36837,1473.0,0.0035705215183350347
6,09-Feb-2021,EQ,"1,485.95","1,535.00","1,455.80","1,473.00","1,522.35","1,512.80","1,486.80","1,626.45",805.00,1312996,"1,952,158,277.45",50338,1512.8,0.02666110088161755
7,10-Feb-2021,EQ,"1,528.50","1,530.00","1,472.00","1,512.80","1,502.10","1,501.00","1,497.66","1,626.45",805.00,1245064,"1,864,688,369.45",57468,1501.0,-0.007830685710786156
8,11-Feb-2021,EQ,"1,498.00","1,511.00","1,488.00","1,501.00","1,497.10","1,497.80","1,502.85","1,626.45",805.00,688878,"1,035,278,954.75",32681,1497.8,-0.002134187818195521
9,12-Feb-2021,EQ,"1,500.00","1,509.00","1,486.25","1,497.80","1,491.00","1,494.90","1,496.82","1,626.45",805.00,555080,"830,855,690.30",28427,1494.9,-0.0019380498597971751
10,15-Feb-2021,EQ,"1,500.00","1,507.40","1,478.10","1,494.90","1,491.10","1,497.70","1,493.41","1,626.45",805.00,1186259,"1,771,572,156.15",26193,1497.7,0.001871283042881089
11,16-Feb-2021,EQ,"1,497.95","1,519.00","1,487.55","1,497.70","1,506.45","1,504.90","1,501.73","1,626.45",805.00,428431,"643,385,764.40",29726,1504.9,0.004795852794322819
12,17-Feb-2021,EQ,"1,499.00","1,541.80","1,495.05","1,504.90","1,495.90","1,497.85","1,516.54","1,626.45",805.00,871716,"1,321,995,894.90",47059,1497.85,-0.004695704240551102
13,18-Feb-2021,EQ,"1,501.95","1,516.00","1,490.05","1,497.85","1,498.85","1,498.20","1,501.06","1,626.45",805.00,498508,"748,290,134.75",27745,1498.2,0.00023364096166034187
14,19-Feb-2021,EQ,"1,491.00","1,520.00","1,488.30","1,498.20","1,493.15","1,493.75","1,497.46","1,626.45",805.00,705510,"1,056,475,281.40",28812,1493.75,-0.002974650833960979
15,22-Feb-2021,EQ,"1,495.50","1,498.00","1,452.25","1,493.75","1,465.05","1,466.15","1,465.84","1,626.45",805.00,787448,"1,154,275,140.95",47787,1466.15,-0.018649819231463916
16,23-Feb-2021,EQ,"1,470.00","1,514.00","1,460.00","1,466.15","1,500.00","1,499.45","1,500.24","1,626.45",805.00,859167,"1,288,952,986.90",43391,1499.45,0.022458456736618615
17,24-Feb-2021,EQ,"1,508.00","1,508.00","1,477.00","1,499.45","1,495.80","1,486.20","1,489.92","1,626.45",805.00,199596,"297,382,604.95",17985,1486.2,-0.0088758474616073
