,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,11.1,11.8,10.85,11.2,11.7,11.7,11.38,13.8,2.7,277025482,"3,152,976,444.40",157840,11.7,
1,02-Feb-2021,EQ,11.85,11.95,11.5,11.7,11.9,11.85,11.79,13.8,2.7,219351517,"2,586,127,234.10",109875,11.85,0.012739025777429802
2,03-Feb-2021,EQ,11.9,12.75,11.7,11.85,12.25,12.25,12.31,13.8,2.7,354263383,"4,360,304,872.30",168123,12.25,0.03319806940959591
3,04-Feb-2021,EQ,12.3,12.5,12.1,12.25,12.2,12.15,12.32,13.8,2.7,163102730,"2,009,139,602.10",108725,12.15,-0.008196767204178723
4,05-Feb-2021,EQ,12.2,12.45,11.9,12.15,12.05,12.0,12.1,13.8,2.7,196604376,"2,378,142,476.55",129120,12.0,-0.012422519998557036
5,08-Feb-2021,EQ,12.1,12.15,11.6,12.0,11.7,11.7,11.82,13.8,2.7,181041724,"2,139,926,394.00",175167,11.7,-0.025317807984289953
6,09-Feb-2021,EQ,11.6,12.5,11.6,11.7,11.95,11.95,12.13,13.8,2.7,316749597,"3,840,986,750.90",176428,11.95,0.02114243657380932
7,10-Feb-2021,EQ,11.95,12.1,11.7,11.95,11.95,11.9,11.89,13.8,2.7,127210199,"1,512,492,988.00",130606,11.9,-0.004192878260036004
8,11-Feb-2021,EQ,11.9,13.05,11.8,11.9,12.85,12.9,12.65,13.8,2.7,538132731,"6,807,121,648.55",241618,12.9,0.08068891125014277
9,12-Feb-2021,EQ,12.85,13.0,12.3,12.9,12.3,12.5,12.71,13.8,2.7,421777135,"5,361,071,988.85",204688,12.5,-0.03149866705937088
10,15-Feb-2021,EQ,12.15,12.9,11.9,12.5,12.1,12.1,12.28,13.8,2.7,333722604,"4,096,737,542.40",200397,12.1,-0.03252319170556017
11,16-Feb-2021,EQ,12.2,12.25,11.65,12.1,11.8,11.75,11.9,13.8,2.7,213050922,"2,535,805,533.15",184217,11.75,-0.029352212012527357
12,17-Feb-2021,EQ,11.75,12.4,11.65,11.75,11.85,11.9,12.03,13.8,2.7,236876381,"2,849,905,424.95",151606,11.9,0.012685159527315637
13,18-Feb-2021,EQ,11.95,11.95,11.45,11.9,11.6,11.55,11.66,13.8,2.7,197557956,"2,302,715,990.35",185148,11.55,-0.02985296314968089
14,19-Feb-2021,EQ,11.5,11.7,10.8,11.55,11.0,10.9,11.16,13.8,2.7,316179539,"3,529,116,576.85",257385,10.9,-0.057922647732704835
15,22-Feb-2021,EQ,10.9,11.25,10.65,10.9,10.7,10.75,10.93,13.8,2.7,244411595,"2,672,526,949.65",173664,10.75,-0.013857034661426404
16,23-Feb-2021,EQ,10.8,11.15,10.8,10.75,11.05,11.0,10.99,13.8,2.7,228784619,"2,514,277,417.10",141697,11.0,0.02298951822469908
17,24-Feb-2021,EQ,11.15,11.6,11.1,11.0,11.45,11.45,11.35,13.8,2.7,215734006,"2,449,516,781.35",124282,11.45,0.04009445720187799
18,25-Feb-2021,EQ,11.5,11.85,11.45,11.45,11.7,11.65,11.67,13.8,2.7,205917447,"2,402,392,637.95",166047,11.65,0.017316450011461093
19,26-Feb-2021,EQ,11.5,11.75,11.25,11.65,11.35,11.3,11.46,13.8,2.7,288634828,"3,307,954,057.30",164028,11.3,-0.030503454293414833
20,01-Mar-2021,EQ,11.4,11.45,10.9,11.3,11.1,11.05,11.11,13.8,2.7,183553814,"2,040,190,132.25",178963,11.05,-0.022372297754532866
21,02-Mar-2021,EQ,11.1,11.5,10.9,11.05,11.35,11.35,11.22,13.8,2.7,292065348,"3,276,587,163.15",130604,11.35,0.026787315963649583
22,03-Mar-2021,EQ,11.45,11.65,11.1,11.35,11.1,11.15,11.29,13.8,2.7,216754057,"2,446,446,959.25",138820,11.15,-0.01777824602128364
23,04-Mar-2021,EQ,11.0,11.15,10.9,11.15,11.0,11.0,11.01,13.8,2.7,156391976,"1,722,524,538.15",119597,11.0,-0.013544225107757324
24,05-Mar-2021,EQ,10.9,11.0,10.4,11.0,10.65,10.55,10.65,13.8,2.7,294392507,"3,136,085,353.95",227322,10.55,-0.04176941287629532
25,08-Mar-2021,EQ,10.7,10.9,10.45,10.55,10.5,10.5,10.65,13.8,2.7,165778445,"1,765,461,635.10",128112,10.5,-0.004750602758597733
26,09-Mar-2021,EQ,10.55,10.65,9.9,10.5,10.15,10.1,10.19,13.8,2.7,258920821,"2,639,124,337.65",269792,10.1,-0.03883983331626384
27,10-Mar-2021,EQ,10.2,10.4,10.1,10.1,10.3,10.3,10.26,13.8,2.7,130052014,"1,334,734,112.25",110995,10.3,0.01960847138837618
28,12-Mar-2021,EQ,10.45,10.6,10.15,10.3,10.25,10.2,10.35,13.8,2.7,185463143,"1,920,117,713.95",212512,10.2,-0.009756174945364737
29,15-Mar-2021,EQ,10.2,10.25,9.9,10.2,10.05,10.05,10.03,13.8,2.7,129573177,"1,299,190,187.30",152002,10.05,-0.014815085785140347
30,16-Mar-2021,EQ,10.1,10.75,10.05,10.05,10.15,10.15,10.3,13.8,2.7,183256039,"1,887,100,757.70",109614,10.15,0.009901070982711424
31,17-Mar-2021,EQ,10.2,10.2,9.75,10.15,9.85,9.85,9.9,13.8,2.7,182276351,"1,804,558,991.40",190751,9.85,-0.03000225030379866
32,18-Mar-2021,EQ,10.1,10.25,9.6,9.85,9.95,9.9,9.94,13.8,2.7,217584197,"2,163,749,555.20",162737,9.9,0.005063301956546695
33,19-Mar-2021,EQ,9.9,9.95,9.55,9.9,9.7,9.75,9.75,13.8,2.7,219176606,"2,137,426,964.95",186241,9.75,-0.015267472130788384
34,22-Mar-2021,EQ,9.7,10.15,9.55,9.75,10.05,10.0,9.89,13.8,3.0,141848777,"1,402,336,177.00",146451,10.0,0.025317807984289953
35,23-Mar-2021,EQ,10.05,10.2,9.9,10.0,10.1,10.1,10.07,13.8,3.0,119941044,"1,208,403,690.45",129301,10.1,0.009950330853167877
36,24-Mar-2021,EQ,10.05,10.05,9.7,10.1,9.75,9.75,9.86,13.8,3.0,98345903,"969,852,501.90",144679,9.75,-0.03526813883745783
37,25-Mar-2021,EQ,9.75,9.8,8.8,9.75,8.95,8.9,9.11,13.8,3.0,585923023,"5,337,304,188.45",259819,8.9,-0.09121600827166176
38,26-Mar-2021,EQ,9.1,9.45,9.05,8.9,9.2,9.1,9.21,13.8,3.0,368334602,"3,391,957,911.15",147432,9.1,0.022223136784710107
39,30-Mar-2021,EQ,9.3,9.5,9.0,9.1,9.2,9.2,9.18,13.8,3.0,170193546,"1,562,623,574.60",204109,9.2,0.010929070532190277
40,31-Mar-2021,EQ,9.25,9.8,9.1,9.2,9.25,9.25,9.41,13.8,3.0,263121309,"2,476,062,566.35",158955,9.25,0.005420067469339429
41,01-Apr-2021,EQ,9.3,10.15,9.2,9.25,10.05,10.0,9.72,13.8,3.0,249215374,"2,421,630,370.05",160917,10.0,0.0779615414697119
42,05-Apr-2021,EQ,9.95,10.0,9.25,10.0,9.5,9.55,9.54,13.8,3.15,177588656,"1,694,884,655.50",125435,9.55,-0.04604393850140687
43,06-Apr-2021,EQ,9.5,9.9,9.45,9.55,9.85,9.7,9.7,13.8,3.15,200557398,"1,946,403,811.40",122092,9.7,0.015584731016697884
44,07-Apr-2021,EQ,9.9,10.0,9.7,9.7,9.75,9.75,9.81,13.8,3.15,163017659,"1,598,581,019.85",116374,9.75,0.0051413995004190305
45,08-Apr-2021,EQ,9.85,9.95,9.35,9.75,9.5,9.4,9.65,13.8,3.15,174461804,"1,684,078,901.90",123068,9.4,-0.03655759573379758
46,09-Apr-2021,EQ,9.45,9.7,9.4,9.4,9.5,9.4,9.49,13.8,3.15,98860394,"937,840,251.95",119564,9.4,0.0
47,12-Apr-2021,EQ,9.3,9.3,8.6,9.4,8.8,8.75,8.86,13.8,3.3,230871743,"2,046,424,693.70",185315,8.75,-0.07165598890643521
48,13-Apr-2021,EQ,8.85,9.0,8.8,8.75,8.95,8.95,8.9,13.8,3.3,121410282,"1,080,882,501.75",108129,8.95,0.02259983191724091
49,15-Apr-2021,EQ,8.9,9.1,8.65,8.95,8.9,8.95,8.9,13.8,3.3,155089395,"1,381,016,247.20",111358,8.95,0.0
50,16-Apr-2021,EQ,8.9,8.95,8.8,8.95,8.85,8.85,8.87,13.8,3.3,72798915,"645,685,495.35",85124,8.85,-0.011236073266926105
51,19-Apr-2021,EQ,8.6,8.6,8.3,8.85,8.45,8.45,8.45,13.8,3.6,132327626,"1,117,586,054.70",164551,8.45,-0.04625101765075579
52,20-Apr-2021,EQ,8.5,8.65,8.3,8.45,8.45,8.45,8.49,13.8,3.6,92343831,"783,905,885.05",89266,8.45,0.0
53,22-Apr-2021,EQ,8.45,8.65,8.35,8.45,8.45,8.45,8.48,13.8,3.6,121409013,"1,030,047,058.40",93795,8.45,0.0
54,23-Apr-2021,EQ,8.4,8.55,8.35,8.45,8.5,8.45,8.47,13.8,3.6,61571313,"521,290,793.30",108490,8.45,0.0
55,26-Apr-2021,EQ,8.55,8.6,8.45,8.45,8.5,8.45,8.49,13.8,3.9,55862755,"474,069,840.05",71843,8.45,0.0
56,27-Apr-2021,EQ,8.45,8.75,8.45,8.45,8.7,8.7,8.66,13.8,3.9,107539610,"931,188,637.30",65007,8.7,0.029156584291455623
57,28-Apr-2021,EQ,8.75,8.85,8.6,8.7,8.65,8.65,8.73,13.8,3.9,102877140,"897,969,803.75",110025,8.65,-0.005763704716749807
58,29-Apr-2021,EQ,8.7,8.75,8.35,8.65,8.45,8.4,8.45,13.8,3.9,155613116,"1,315,200,542.55",99565,8.4,-0.029327615094520088
59,30-Apr-2021,EQ,8.35,8.6,8.3,8.4,8.35,8.35,8.44,13.8,3.9,98167086,"828,556,641.05",91092,8.35,-0.0059701669865037665
60,03-May-2021,EQ,8.3,8.55,8.25,8.35,8.4,8.45,8.39,13.8,3.9,88911009,"745,735,793.85",71742,8.45,0.011904902506318038
61,04-May-2021,EQ,8.45,8.55,8.2,8.45,8.3,8.25,8.37,13.8,3.9,130270445,"1,089,726,849.50",112697,8.25,-0.023953241022492744
62,05-May-2021,EQ,8.3,8.45,8.25,8.25,8.35,8.35,8.36,13.8,3.9,81857103,"684,005,140.50",83678,8.35,0.012048338516174706
63,06-May-2021,EQ,8.4,8.45,8.25,8.35,8.35,8.3,8.33,13.8,3.9,60140244,"500,832,319.35",68657,8.3,-0.006006024060211779
64,07-May-2021,EQ,8.35,8.4,8.2,8.3,8.25,8.3,8.28,13.8,3.9,108570333,"898,724,595.40",95532,8.3,0.0
65,10-May-2021,EQ,8.3,8.3,8.05,8.3,8.25,8.2,8.14,13.8,4.2,173571300,"1,413,559,885.70",133219,8.2,-0.012121360532344916
66,11-May-2021,EQ,8.15,8.2,8.05,8.2,8.15,8.1,8.12,13.8,4.2,86024008,"698,699,133.45",97275,8.1,-0.012270092591814219
67,12-May-2021,EQ,8.15,9.15,8.1,8.1,8.8,8.8,8.8,13.8,4.2,397884076,"3,500,981,390.90",205892,8.8,0.08288765980576773
68,14-May-2021,EQ,9.0,9.1,8.55,8.8,8.65,8.65,8.75,13.8,4.2,171516548,"1,501,452,852.10",148132,8.65,-0.017192400540372965
69,17-May-2021,EQ,8.7,8.75,8.5,8.65,8.5,8.55,8.58,13.8,4.6,78204978,"671,179,868.85",120829,8.55,-0.011628037995119023
70,18-May-2021,EQ,8.6,8.7,8.5,8.55,8.55,8.55,8.6,13.8,4.6,70097530,"602,637,942.50",107349,8.55,0.0
71,19-May-2021,EQ,8.5,8.7,8.4,8.55,8.5,8.45,8.53,13.8,4.6,87317836,"745,226,895.60",134642,8.45,-0.011764841579586793
72,20-May-2021,EQ,8.45,8.5,8.35,8.45,8.45,8.4,8.4,13.8,4.6,67889823,"570,542,109.35",120806,8.4,-0.0059347355198142715
73,21-May-2021,EQ,8.45,8.7,8.4,8.4,8.5,8.55,8.58,13.8,4.6,134046773,"1,149,948,896.90",157060,8.55,0.017699577099401065
74,24-May-2021,EQ,8.55,8.7,8.5,8.55,8.55,8.6,8.61,13.8,5.5,90310531,"777,281,295.45",105970,8.6,0.005830920310792909
75,25-May-2021,EQ,8.65,8.7,8.45,8.6,8.55,8.55,8.54,13.8,5.5,81688375,"697,921,294.25",127582,8.55,-0.005830920310792909
76,26-May-2021,EQ,8.65,8.65,8.5,8.55,8.55,8.55,8.54,13.8,5.5,74951767,"640,062,966.45",112384,8.55,0.0
77,27-May-2021,EQ,8.55,8.6,8.4,8.55,8.5,8.45,8.5,13.8,5.5,110294218,"937,299,766.50",124003,8.45,-0.011764841579586793
78,28-May-2021,EQ,8.55,9.1,8.45,8.45,8.7,8.7,8.8,13.8,5.5,197270856,"1,736,655,302.15",143671,8.7,0.029156584291455623
79,31-May-2021,EQ,8.75,8.8,8.65,8.7,8.65,8.65,8.7,13.8,6.0,68439642,"595,368,431.90",138031,8.65,-0.005763704716749807
80,01-Jun-2021,EQ,8.7,8.75,8.45,8.65,8.55,8.5,8.59,13.8,6.0,95070972,"816,873,788.55",148829,8.5,-0.017493157447517227
81,02-Jun-2021,EQ,8.55,8.85,8.45,8.5,8.8,8.8,8.73,13.8,6.0,160917782,"1,405,094,266.05",118814,8.8,0.03468555798789019
82,03-Jun-2021,EQ,8.85,9.45,8.8,8.8,9.4,9.35,9.26,13.8,6.0,433568903,"4,014,151,764.45",174541,9.35,0.060624621816434576
83,04-Jun-2021,EQ,9.4,9.85,9.35,9.35,9.75,9.75,9.65,13.8,6.0,364137160,"3,514,546,044.40",175872,9.75,0.04189094170916041
84,07-Jun-2021,EQ,10.0,10.25,9.95,9.75,10.1,10.1,10.11,13.8,7.0,259698765,"2,625,357,304.30",184297,10.1,0.03526813883745783
85,08-Jun-2021,EQ,10.15,10.3,9.6,10.1,10.0,10.05,9.94,13.8,7.0,310914889,"3,090,671,311.05",158585,10.05,-0.004962789342128904
86,09-Jun-2021,EQ,10.1,10.15,9.5,10.05,9.7,9.65,9.84,13.8,7.0,208316036,"2,049,374,953.90",173354,9.65,-0.040614719154190126
87,10-Jun-2021,EQ,9.75,10.05,9.7,9.65,10.0,9.95,9.84,13.8,7.0,140332528,"1,381,341,299.80",132279,9.95,0.03061463581960666
88,11-Jun-2021,EQ,10.0,10.15,9.75,9.95,9.85,9.85,9.91,13.8,7.0,161600504,"1,601,943,743.75",120859,9.85,-0.010101095986503772
89,14-Jun-2021,EQ,9.8,9.9,9.5,9.85,9.65,9.65,9.66,13.8,7.0,127161642,"1,228,744,934.85",146205,9.65,-0.02051353983310289
90,15-Jun-2021,EQ,9.75,9.9,9.65,9.65,9.7,9.7,9.74,13.8,7.0,87659985,"853,519,087.80",118571,9.7,0.00516797015844217
91,16-Jun-2021,EQ,9.7,9.85,9.45,9.7,9.5,9.55,9.65,13.8,7.0,147068682,"1,418,691,686.55",127239,9.55,-0.015584731016697884
92,17-Jun-2021,EQ,9.45,9.8,9.4,9.55,9.45,9.45,9.55,13.8,7.0,175515506,"1,676,692,852.25",149764,9.45,-0.010526412986987754
93,18-Jun-2021,EQ,9.5,10.5,9.05,9.45,10.45,10.35,9.97,13.8,7.0,807562466,"8,047,786,058.60",310645,10.35,0.09097177820572666
94,21-Jun-2021,EQ,10.4,10.55,10.0,10.35,10.15,10.15,10.25,13.8,7.0,315324065,"3,232,956,005.55",230264,10.15,-0.019512814223581643
95,22-Jun-2021,EQ,10.25,10.3,9.9,10.15,10.0,10.0,10.17,13.8,7.0,192460495,"1,956,414,460.95",176294,10.0,-0.014888612493750397
96,23-Jun-2021,EQ,10.05,10.15,9.85,10.0,9.95,9.95,10.0,13.8,7.0,148990511,"1,489,898,601.15",173379,9.95,-0.005012541823544492
97,24-Jun-2021,EQ,10.05,10.15,9.5,9.95,9.55,9.55,9.79,13.8,7.0,289568632,"2,834,092,426.20",200238,9.55,-0.041031396677862375
98,25-Jun-2021,EQ,9.7,10.85,9.65,9.55,10.65,10.6,10.27,13.8,7.0,501201896,"5,148,573,773.30",173456,10.6,0.10431284662538243
99,28-Jun-2021,EQ,10.8,10.95,10.35,10.6,10.45,10.45,10.54,13.8,7.0,272304494,"2,871,190,520.15",179299,10.45,-0.014252022707201384
100,29-Jun-2021,EQ,10.45,10.7,10.0,10.45,10.1,10.1,10.3,13.8,7.0,188762210,"1,944,738,175.90",207507,10.1,-0.0340665545636063
101,30-Jun-2021,EQ,10.15,10.3,9.85,10.1,10.05,9.95,10.09,13.8,7.0,202158194,"2,040,735,207.40",206180,9.95,-0.014962872676712369
102,01-Jul-2021,EQ,9.0,9.45,8.5,9.95,9.1,9.05,9.09,13.8,7.0,643708116,"5,853,173,530.25",325503,9.05,-0.09480779345866663
103,02-Jul-2021,EQ,8.9,9.05,8.7,9.05,8.8,8.8,8.84,13.8,7.0,325983509,"2,882,346,241.35",257238,8.8,-0.028013036227673815
104,05-Jul-2021,EQ,8.8,9.4,8.5,8.8,9.1,9.1,8.98,13.8,7.0,432371910,"3,882,435,528.35",251082,9.1,0.03352269203864333
105,06-Jul-2021,EQ,9.1,9.25,8.75,9.1,8.8,8.8,8.97,13.8,7.0,222325441,"1,995,325,825.70",174668,8.8,-0.03352269203864333
106,07-Jul-2021,EQ,8.8,9.0,8.75,8.8,8.9,8.85,8.86,13.8,7.0,99089056,"877,937,272.85",119382,8.85,0.005665737535677007
107,08-Jul-2021,EQ,9.0,9.1,8.7,8.85,8.8,8.8,8.91,13.8,7.0,186035498,"1,656,999,954.30",133019,8.8,-0.005665737535677007
108,09-Jul-2021,EQ,8.8,9.3,8.75,8.8,9.05,9.05,8.99,13.8,7.0,179039654,"1,610,363,158.80",134624,9.05,0.028013036227673815
109,12-Jul-2021,EQ,9.35,9.4,9.0,9.05,9.05,9.0,9.15,13.8,7.0,113554620,"1,038,731,227.35",138010,9.0,-0.005540180375615211
110,13-Jul-2021,EQ,8.9,9.1,8.8,9.0,8.85,8.85,8.9,13.8,7.0,98428364,"876,417,345.05",133849,8.85,-0.016807118316381597
111,14-Jul-2021,EQ,8.85,8.95,8.8,8.85,8.85,8.8,8.85,13.8,7.0,53712938,"475,441,307.05",121921,8.8,-0.005665737535677007
112,15-Jul-2021,EQ,8.85,9.0,8.75,8.8,8.75,8.75,8.82,13.8,7.0,68310928,"602,436,516.30",142249,8.75,-0.005698021114637797
113,16-Jul-2021,EQ,9.05,9.6,9.05,8.75,9.5,9.45,9.37,13.8,7.0,580298117,"5,439,987,955.50",215191,9.45,0.07696104113612812
114,19-Jul-2021,EQ,9.55,9.9,8.55,9.45,9.05,9.15,9.27,13.8,7.6,748615182,"6,942,350,958.45",269782,9.15,-0.03226086221822122
115,20-Jul-2021,EQ,9.05,9.35,8.9,9.15,9.05,9.0,9.09,13.8,7.6,247909265,"2,253,766,146.50",167230,9.0,-0.016529301951210496
116,22-Jul-2021,EQ,9.2,9.55,8.85,9.0,9.2,9.25,9.31,13.8,7.6,682342777,"6,350,429,327.10",236312,9.25,0.027398974188114433
117,23-Jul-2021,EQ,9.35,9.55,7.9,9.25,8.4,8.35,8.53,13.8,7.6,1148043246,"9,792,494,583.05",442667,8.35,-0.10236201266156986
118,26-Jul-2021,EQ,8.35,8.5,8.1,8.35,8.25,8.3,8.32,13.8,7.6,219484526,"1,827,136,766.05",170766,8.3,-0.006006024060211779
119,27-Jul-2021,EQ,8.3,8.5,8.3,8.3,8.45,8.4,8.41,13.8,7.6,141166507,"1,186,779,082.45",145972,8.4,0.011976191046715545
120,28-Jul-2021,EQ,8.45,8.75,8.2,8.4,8.35,8.35,8.47,13.8,7.6,268614790,"2,276,175,985.45",149271,8.35,-0.0059701669865037665
121,29-Jul-2021,EQ,8.35,8.6,8.15,8.35,8.2,8.25,8.36,13.8,7.6,208357478,"1,742,645,086.25",153395,8.25,-0.012048338516174706
122,30-Jul-2021,EQ,8.25,8.4,8.2,8.25,8.3,8.25,8.3,13.8,7.6,119176003,"989,264,450.10",151615,8.25,0.0
123,02-Aug-2021,EQ,8.35,8.55,8.2,8.25,8.25,8.25,8.36,13.8,7.6,177255904,"1,481,559,738.60",150104,8.25,0.0
124,03-Aug-2021,EQ,8.25,8.25,7.15,8.25,7.35,7.4,7.54,13.8,7.15,839530394,"6,333,337,822.25",475389,7.4,-0.10873320013646515
125,04-Aug-2021,EQ,7.15,7.35,5.95,7.4,6.0,6.0,6.46,13.8,5.95,1272488016,"8,224,310,796.15",562383,6.0,-0.20972053098206933
126,05-Aug-2021,EQ,5.4,6.1,4.55,6.0,6.05,5.95,5.24,13.8,4.55,2203326931,"11,551,721,823.45",579528,5.95,-0.008368249670516636
127,06-Aug-2021,EQ,6.5,7.35,6.5,5.95,7.1,7.1,6.98,13.8,4.55,1260178677,"8,795,251,489.65",459387,7.1,0.17670356448973146
128,09-Aug-2021,EQ,7.3,7.6,6.4,7.1,6.95,6.9,7.04,13.8,4.55,946049079,"6,657,208,576.75",358808,6.9,-0.028573372444056
129,10-Aug-2021,EQ,7.0,7.2,6.6,6.9,6.65,6.65,6.81,13.8,4.55,424588646,"2,891,564,599.40",179353,6.65,-0.036904556935450916
130,11-Aug-2021,EQ,6.6,6.75,6.3,6.65,6.65,6.65,6.53,13.8,4.55,280814303,"1,833,647,275.55",199099,6.65,0.0
131,12-Aug-2021,EQ,6.7,6.75,6.45,6.65,6.55,6.5,6.55,13.8,4.55,121102582,"793,004,294.20",113287,6.5,-0.02281467776617152
132,13-Aug-2021,EQ,6.45,6.6,6.25,6.5,6.25,6.3,6.4,13.8,4.55,184754336,"1,181,780,945.65",139767,6.3,-0.031252543504104446
133,16-Aug-2021,EQ,6.0,6.25,5.85,6.3,6.0,5.95,6.02,13.8,4.55,180162546,"1,085,027,918.85",196280,5.95,-0.057158413839948574
134,17-Aug-2021,EQ,6.05,6.05,5.6,5.95,5.65,5.75,5.78,13.8,4.55,197222207,"1,139,028,804.65",151379,5.75,-0.03419136474827922
135,18-Aug-2021,EQ,5.65,6.85,5.6,5.75,6.35,6.45,6.21,13.8,4.55,459576977,"2,852,710,212.35",216086,6.45,0.11488027599842199
136,20-Aug-2021,EQ,5.95,6.4,5.9,6.45,6.0,5.95,6.09,13.8,4.55,309374862,"1,882,911,278.15",208772,5.95,-0.08068891125014277
137,23-Aug-2021,EQ,6.05,6.45,5.8,5.95,6.0,6.0,6.15,13.8,4.55,478730436,"2,943,339,370.95",211788,6.0,0.008368249670516636
138,24-Aug-2021,EQ,6.15,6.3,6.05,6.0,6.2,6.25,6.19,13.8,4.55,160571972,"993,540,945.10",134584,6.25,0.040821994520255256
139,25-Aug-2021,EQ,6.25,6.4,6.2,6.25,6.25,6.3,6.31,13.8,4.55,132510533,"836,251,126.30",165067,6.3,0.007968169649176682
140,26-Aug-2021,EQ,6.25,6.3,5.8,6.3,5.9,5.9,6.04,13.8,4.55,282965357,"1,710,282,331.00",216225,5.9,-0.06559728248581309
141,27-Aug-2021,EQ,5.9,6.1,5.85,5.9,6.05,6.0,5.98,13.8,4.55,161965520,"968,114,495.10",135903,6.0,0.016807118316381153
142,30-Aug-2021,EQ,6.05,6.1,5.9,6.0,5.95,5.95,5.98,13.8,4.55,84925689,"508,268,891.00",101088,5.95,-0.008368249670516636
143,31-Aug-2021,EQ,5.95,6.4,5.85,5.95,6.05,6.1,6.12,13.8,4.55,298905204,"1,830,056,920.55",139209,6.1,0.024897551621727132
144,01-Sep-2021,EQ,6.05,6.35,6.0,6.1,6.15,6.1,6.16,13.8,4.55,278532142,"1,716,793,626.55",136312,6.1,0.0
145,02-Sep-2021,EQ,6.2,7.25,6.15,6.1,7.2,7.15,6.74,13.8,4.55,736165238,"4,964,951,226.35",261654,7.15,0.15882358552665088
146,03-Sep-2021,EQ,7.3,8.1,6.9,7.15,7.2,7.25,7.53,13.8,4.55,964239433,"7,261,788,432.05",370298,7.25,0.013889112160667016
147,06-Sep-2021,EQ,7.25,7.6,7.05,7.25,7.25,7.25,7.28,13.8,4.55,252682376,"1,840,785,591.85",163694,7.25,0.0
148,07-Sep-2021,EQ,7.3,8.4,7.15,7.25,8.3,8.25,7.92,13.8,4.55,1060683827,"8,396,730,272.55",369821,8.25,0.1292117314800061
149,08-Sep-2021,EQ,8.8,9.05,7.8,8.25,8.1,8.05,8.43,13.8,4.55,1340495793,"11,296,045,851.20",438497,8.05,-0.02454110891611716
150,09-Sep-2021,EQ,8.05,8.5,7.7,8.05,8.4,8.4,8.18,13.8,4.55,432353363,"3,535,416,799.55",256282,8.4,0.04255961441879563
151,13-Sep-2021,EQ,8.5,8.55,7.85,8.4,7.95,7.95,8.12,13.8,4.55,357392698,"2,901,332,147.75",233605,7.95,-0.055059777183027236
152,14-Sep-2021,EQ,7.95,9.0,7.9,7.95,8.75,8.7,8.55,13.8,4.55,776770515,"6,642,052,753.10",314525,8.7,0.09015109699429713
153,15-Sep-2021,EQ,8.95,9.3,8.55,8.7,9.05,8.95,8.92,13.8,4.55,967395027,"8,625,181,029.85",361647,8.95,0.02833050662622627
154,16-Sep-2021,EQ,9.8,11.5,9.65,8.95,11.45,11.25,10.65,13.8,4.55,2384307453,"25,395,834,451.90",843303,11.25,0.2287145963636652
155,17-Sep-2021,EQ,12.0,12.35,10.55,11.25,11.45,11.15,11.38,13.8,4.55,1408026118,"16,024,132,141.50",584710,11.15,-0.00892863074430128
156,20-Sep-2021,EQ,11.4,11.85,10.6,11.15,10.65,10.75,11.3,13.8,4.55,681707927,"7,700,079,971.20",353730,10.75,-0.0365337433324564
157,21-Sep-2021,EQ,10.85,11.0,10.1,10.75,10.75,10.8,10.6,13.8,4.55,642657663,"6,815,322,646.45",248574,10.8,0.0046403795565024275
158,22-Sep-2021,EQ,10.7,10.7,10.3,10.8,10.3,10.4,10.47,13.8,4.55,332186145,"3,478,960,139.60",183300,10.4,-0.03774032798284699
159,23-Sep-2021,EQ,10.75,10.85,10.4,10.4,10.55,10.55,10.59,13.8,4.55,341449899,"3,615,382,157.75",201584,10.55,0.01432005377474832
160,24-Sep-2021,EQ,10.6,11.65,10.45,10.55,11.45,11.5,11.26,13.8,4.55,948798242,"10,680,029,034.90",320317,11.5,0.08622117544712893
161,27-Sep-2021,EQ,11.3,11.5,11.05,11.5,11.3,11.35,11.28,13.8,4.55,336469438,"3,796,599,372.50",188699,11.35,-0.013129291441792645
162,28-Sep-2021,EQ,11.5,11.6,10.8,11.35,11.0,10.95,11.12,13.8,4.55,319440917,"3,551,686,974.50",184709,10.95,-0.035878287664901976
163,29-Sep-2021,EQ,10.95,11.45,10.9,10.95,11.35,11.25,11.23,13.8,4.55,323684354,"3,634,656,451.75",202238,11.25,0.027028672387919617
164,30-Sep-2021,EQ,11.4,12.1,11.25,11.25,11.85,11.9,11.79,13.8,4.55,1004213104,"11,844,109,960.25",290610,11.9,0.056170271467054445
165,01-Oct-2021,EQ,11.65,11.75,11.35,11.9,11.4,11.4,11.52,13.8,4.55,371738193,"4,281,728,389.05",198697,11.4,-0.042925044717033956
166,04-Oct-2021,EQ,11.5,11.6,11.3,11.4,11.3,11.4,11.44,13.8,4.55,202808054,"2,320,488,239.50",169697,11.4,0.0
167,05-Oct-2021,EQ,11.3,12.25,11.25,11.4,11.55,11.55,11.83,13.8,4.55,654039214,"7,734,235,723.85",293669,11.55,0.013072081567353067
