,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,515.85,538.25,512.45,515.8,534.1,534.45,527.24,581.0,284.05,1845208,"972,866,908.70",46686,534.45,
1,02-Feb-2021,EQ,539.3,557.4,533.75,534.45,555.5,554.9,548.23,581.0,284.05,3044205,"1,668,932,320.65",54760,554.9,0.03754973661190064
2,03-Feb-2021,EQ,557.0,558.25,544.2,554.9,545.05,545.8,549.54,581.0,284.05,1963735,"1,079,150,631.40",26873,545.8,-0.01653530905761702
3,04-Feb-2021,EQ,544.8,551.95,539.0,545.8,547.0,545.45,546.38,581.0,284.05,1189102,"649,705,978.40",23380,545.45,-0.000641466230472787
4,05-Feb-2021,EQ,549.3,550.1,535.1,545.45,537.95,537.0,541.12,581.0,284.05,852355,"461,229,895.75",29612,537.0,-0.01561304753490056
5,08-Feb-2021,EQ,542.0,549.65,538.55,537.0,545.75,543.85,543.1,581.0,284.05,1349250,"732,771,493.20",28692,543.85,0.012675379030994804
6,09-Feb-2021,EQ,546.6,565.0,545.65,543.85,558.0,556.8,557.44,581.0,284.05,3735963,"2,082,570,143.65",55177,556.8,0.02353263548035045
7,10-Feb-2021,EQ,562.0,563.8,550.0,556.8,555.05,556.5,555.56,581.0,284.05,2232080,"1,240,061,977.15",35672,556.5,-0.0005389383046106033
8,11-Feb-2021,EQ,547.0,576.6,545.0,556.5,567.45,569.05,567.49,581.0,284.05,6340878,"3,598,372,428.35",97056,569.05,0.022301133012299523
9,12-Feb-2021,EQ,570.0,574.75,551.3,569.05,558.95,559.8,560.68,581.0,284.05,1584945,"888,653,131.20",24703,559.8,-0.01638872664654567
10,15-Feb-2021,EQ,559.15,562.5,540.0,559.8,541.5,541.75,546.07,581.0,284.05,2138362,"1,167,702,765.85",35046,541.75,-0.03277493666488507
11,16-Feb-2021,EQ,541.0,556.8,538.6,541.75,548.0,547.65,548.9,581.0,284.05,2323058,"1,275,115,889.70",33593,547.65,0.010831756353287147
12,17-Feb-2021,EQ,547.65,554.6,543.0,547.65,544.8,545.2,548.25,581.0,284.05,1265066,"693,566,609.60",19398,545.2,-0.004483696947377602
13,18-Feb-2021,EQ,555.0,594.85,551.45,545.2,569.8,567.8,578.32,594.85,284.05,17472205,"10,104,454,029.50",235882,567.8,0.04061654421649319
14,19-Feb-2021,EQ,568.1,569.95,534.65,567.8,542.6,542.95,549.71,594.85,284.05,5111442,"2,809,793,102.60",101683,542.95,-0.044752009375961244
15,22-Feb-2021,EQ,545.0,545.0,521.75,542.95,522.45,524.05,528.49,594.85,284.05,2564152,"1,355,119,100.35",62173,524.05,-0.035430135046723876
16,23-Feb-2021,EQ,527.0,531.0,505.75,524.05,510.95,509.25,513.95,594.85,284.05,5620748,"2,888,802,952.60",134733,509.25,-0.0286480445092705
17,24-Feb-2021,EQ,511.75,519.0,498.55,509.25,509.0,508.25,507.47,594.85,284.05,3945270,"2,002,093,449.70",85416,508.25,-0.0019656025984593484
18,25-Feb-2021,EQ,510.1,516.4,507.0,508.25,510.6,511.55,511.96,594.85,284.05,4476379,"2,291,706,683.65",88949,511.55,0.006471879816492887
19,26-Feb-2021,EQ,511.0,518.5,487.0,511.55,490.2,491.95,502.49,594.85,284.05,5583892,"2,805,824,775.25",127810,491.95,-0.039068247013174684
20,01-Mar-2021,EQ,494.0,501.0,490.3,491.95,494.9,494.2,494.4,594.85,284.05,2602299,"1,286,589,158.75",48540,494.2,0.004563208242735151
21,02-Mar-2021,EQ,498.0,518.5,498.0,494.2,514.95,514.85,512.66,594.85,284.05,8097022,"4,150,999,949.10",147645,514.85,0.04093530254825062
22,03-Mar-2021,EQ,517.6,526.8,512.55,514.85,517.95,517.4,517.96,594.85,284.05,3857205,"1,997,869,742.70",77640,517.4,0.004940673649168836
23,04-Mar-2021,EQ,513.5,528.8,513.2,517.4,523.5,522.45,523.36,594.85,284.05,3571606,"1,869,218,491.05",58908,522.45,0.009713015728190832
24,05-Mar-2021,EQ,526.95,539.0,516.3,522.45,523.25,522.6,529.12,594.85,284.05,5547488,"2,935,265,560.90",94385,522.6,0.0002870676063926325
25,08-Mar-2021,EQ,527.0,535.5,521.25,522.6,530.0,529.1,530.23,594.85,284.05,2961644,"1,570,348,984.00",41430,529.1,0.012361096823573448
26,09-Mar-2021,EQ,530.0,534.5,514.6,529.1,519.9,518.15,521.78,594.85,284.05,1591172,"830,244,366.70",26859,518.15,-0.020912674279859544
27,10-Mar-2021,EQ,522.85,522.85,508.0,518.15,511.45,510.7,512.15,594.85,284.05,2041810,"1,045,720,776.85",30166,510.7,-0.014482441976627847
28,12-Mar-2021,EQ,515.3,516.45,506.9,510.7,509.0,508.95,511.44,594.85,284.05,1832403,"937,172,991.60",26315,508.95,-0.0034325537552497565
29,15-Mar-2021,EQ,511.5,511.5,497.0,508.95,504.5,505.4,503.27,594.85,284.05,1699427,"855,274,119.25",26800,505.4,-0.006999584944255233
30,16-Mar-2021,EQ,508.15,512.9,502.05,505.4,508.85,507.6,506.51,594.85,284.05,1594560,"807,655,501.00",20625,507.6,0.004343540886138975
