,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,88.8,95.5,87.5,88.45,95.0,94.7,92.63,99.95,41.55,7024796,"650,732,361.40",30946,94.7,
1,02-Feb-2021,EQ,95.7,104.9,94.35,94.7,101.0,101.45,99.79,104.9,41.55,13241812,"1,321,426,213.30",61383,101.45,0.06885206607979111
2,03-Feb-2021,EQ,101.85,104.75,98.3,101.45,101.8,101.95,101.82,104.9,41.55,7843524,"798,631,790.30",37953,101.95,0.004916430748640899
3,04-Feb-2021,EQ,102.0,120.85,100.65,101.95,117.5,118.75,114.67,120.85,41.55,36202667,"4,151,363,366.30",161177,118.75,0.15253794589428615
4,05-Feb-2021,EQ,119.65,137.0,119.1,118.75,126.0,127.75,127.28,137.0,41.55,36199779,"4,607,416,728.30",171493,127.75,0.07305478616906314
5,08-Feb-2021,EQ,129.5,134.5,124.3,127.75,128.7,128.95,128.43,137.0,41.55,11195024,"1,437,744,461.95",60305,128.95,0.009349503243540447
6,09-Feb-2021,EQ,129.6,130.0,124.2,128.95,125.4,126.05,126.81,137.0,41.55,4863806,"616,780,837.20",28614,126.05,-0.02274607869342482
7,10-Feb-2021,EQ,126.7,126.8,121.35,126.05,122.3,122.65,123.19,137.0,41.55,3479132,"428,581,191.70",21808,122.65,-0.027343882929431018
8,11-Feb-2021,EQ,122.0,125.6,121.05,122.65,123.75,123.7,123.83,137.0,41.55,2161879,"267,700,634.75",13055,123.7,0.008524508693944277
9,12-Feb-2021,EQ,124.0,128.35,122.0,123.7,123.25,123.25,125.21,137.0,41.55,4012392,"502,385,722.60",25055,123.25,-0.0036444664756434264
10,15-Feb-2021,EQ,124.7,128.3,122.6,123.25,125.3,125.75,125.31,137.0,41.55,3069337,"384,626,825.25",18380,125.75,0.020080996057049383
11,16-Feb-2021,EQ,127.0,137.0,126.25,125.75,129.1,129.85,132.08,137.0,41.55,11971941,"1,581,290,260.15",62977,129.85,0.03208412912890868
12,17-Feb-2021,EQ,129.4,142.8,129.0,129.85,142.8,142.8,137.35,142.8,41.55,12933944,"1,776,508,776.70",67974,142.8,0.09506511179672739
13,18-Feb-2021,EQ,147.0,157.0,145.3,142.8,150.4,149.9,151.64,157.0,41.55,18215508,"2,762,172,803.90",108408,149.9,0.048523355203067275
14,19-Feb-2021,EQ,150.5,153.75,136.55,149.9,142.0,142.2,145.47,157.0,41.55,8010972,"1,165,378,814.35",53188,142.2,-0.05273388773941168
15,22-Feb-2021,EQ,140.0,143.45,133.35,142.2,135.0,136.0,138.05,157.0,41.55,4849411,"669,471,603.00",33303,136.0,-0.04457963163308776
16,23-Feb-2021,EQ,137.5,146.4,136.75,136.0,137.1,137.9,141.0,157.0,41.55,6496076,"915,946,592.15",37407,137.9,0.013873899063203687
17,24-Feb-2021,EQ,139.5,145.8,137.6,137.9,143.0,142.7,143.15,157.0,41.55,3143234,"449,954,795.15",18059,142.7,0.03421573968353453
18,25-Feb-2021,EQ,145.0,147.45,142.55,142.7,143.1,142.95,144.39,157.0,41.55,2737022,"395,195,528.75",18402,142.95,0.0017503942855299215
19,26-Feb-2021,EQ,139.65,141.6,135.5,142.95,136.2,136.05,137.96,157.0,41.55,3083085,"425,352,044.05",23639,136.05,-0.04947245353906471
20,01-Mar-2021,EQ,138.5,139.55,135.8,136.05,137.0,137.5,137.8,157.0,41.55,1528214,"210,580,841.25",11184,137.5,0.010601451877370494
21,02-Mar-2021,EQ,138.35,140.85,136.4,137.5,137.7,137.85,138.4,157.0,41.55,2694439,"372,920,958.55",20693,137.85,0.002542220363179304
22,03-Mar-2021,EQ,139.35,142.4,138.0,137.85,139.45,139.4,140.36,157.0,41.55,3516763,"493,601,549.25",25102,139.4,0.011181360856618028
23,04-Mar-2021,EQ,139.0,143.0,138.0,139.4,140.0,140.05,141.44,157.0,41.55,3048632,"431,198,430.90",24298,140.05,0.004652003379693959
24,05-Mar-2021,EQ,140.9,141.75,136.85,140.05,139.5,139.1,139.08,157.0,41.55,1857181,"258,298,782.20",13606,139.1,-0.00680640277672051
25,08-Mar-2021,EQ,143.0,143.95,139.0,139.1,139.15,139.5,141.5,157.0,41.55,2140952,"302,940,862.65",14790,139.5,0.002871502332022935
26,09-Mar-2021,EQ,140.0,141.0,134.0,139.5,135.35,135.15,136.86,157.0,41.55,1639639,"224,395,079.00",18890,135.15,-0.0316793285389636
27,10-Mar-2021,EQ,138.8,139.7,134.5,135.15,134.95,134.8,136.29,157.0,41.55,1502020,"204,712,932.80",8943,134.8,-0.0025930742442499266
28,12-Mar-2021,EQ,137.25,137.35,128.85,134.8,131.8,131.5,132.83,157.0,41.55,1672189,"222,121,088.15",14119,131.5,-0.024785346860387136
29,15-Mar-2021,EQ,131.0,131.5,125.45,131.5,126.75,126.85,127.13,157.0,41.55,2232322,"283,801,766.55",14681,126.85,-0.036001565572528094
30,16-Mar-2021,EQ,127.0,128.0,124.0,126.85,124.45,124.6,125.69,157.0,41.55,1811574,"227,696,775.90",14916,124.6,-0.017896679691938644
31,17-Mar-2021,EQ,124.0,125.3,115.3,124.6,116.0,116.3,119.92,157.0,41.55,2221057,"266,342,135.00",16115,116.3,-0.06893554682873404
32,18-Mar-2021,EQ,118.65,123.7,116.55,116.3,119.1,119.0,120.25,157.0,41.55,3451622,"415,046,434.75",23037,119.0,0.022950433586911068
33,19-Mar-2021,EQ,116.0,120.5,112.0,119.0,119.7,119.55,116.91,157.0,41.55,2984284,"348,896,553.15",27184,119.55,0.004611200792804304
34,22-Mar-2021,EQ,119.5,122.9,118.35,119.55,119.9,119.8,120.39,157.0,41.55,1420899,"171,059,113.55",11469,119.8,0.002088991777014826
35,23-Mar-2021,EQ,120.75,126.35,120.3,119.8,123.15,123.15,123.43,157.0,41.55,3073845,"379,410,352.15",21116,123.15,0.02757943888519865
36,24-Mar-2021,EQ,122.8,124.1,118.3,123.15,119.0,118.9,121.3,157.0,41.55,1512244,"183,431,407.95",11357,118.9,-0.03512032086981076
37,25-Mar-2021,EQ,119.9,120.0,112.3,118.9,116.7,116.1,115.48,157.0,41.55,2003451,"231,360,675.50",18300,116.1,-0.023830914992890584
38,26-Mar-2021,EQ,118.45,119.8,117.05,116.1,118.1,118.25,118.15,157.0,41.55,1207407,"142,649,326.30",8637,118.25,0.018349138668196652
39,30-Mar-2021,EQ,119.5,120.1,114.7,118.25,115.75,115.4,116.43,157.0,42.05,1380297,"160,710,419.50",13873,115.4,-0.024396673298043403
40,31-Mar-2021,EQ,114.0,121.0,113.8,115.4,115.75,116.1,117.65,157.0,42.05,2029178,"238,731,391.00",15647,116.1,0.006047534629846751
41,01-Apr-2021,EQ,118.0,119.6,117.0,116.1,118.4,118.1,118.19,157.0,42.05,1214824,"143,577,768.30",11118,118.1,0.01707983449947026
42,05-Apr-2021,EQ,118.4,118.7,113.05,118.1,114.8,114.65,115.14,157.0,43.2,1219864,"140,455,984.70",9657,114.65,-0.02964771389940246
43,06-Apr-2021,EQ,115.7,116.4,112.6,114.65,114.0,113.8,114.67,157.0,43.2,1244908,"142,754,149.30",8232,113.8,-0.007441487611683506
44,07-Apr-2021,EQ,113.9,116.75,113.05,113.8,115.6,115.35,115.48,157.0,43.2,1809506,"208,956,409.85",11854,115.35,0.013528462927531848
45,08-Apr-2021,EQ,116.5,116.75,113.0,115.35,113.3,113.45,114.85,157.0,43.2,1183845,"135,968,331.05",9303,113.45,-0.016608773393911314
46,09-Apr-2021,EQ,113.45,122.65,113.0,113.45,118.3,118.0,119.17,157.0,43.2,5620310,"669,784,828.45",36469,118.0,0.039322413239814225
47,12-Apr-2021,EQ,113.95,114.35,103.45,118.0,104.85,104.7,107.66,157.0,43.2,4699208,"505,913,363.60",39092,104.7,-0.119585506589174
48,13-Apr-2021,EQ,105.55,109.8,105.55,104.7,107.95,107.9,107.66,157.0,43.2,3307412,"356,060,675.10",23495,107.9,0.03010575438759755
49,15-Apr-2021,EQ,108.9,108.9,98.7,107.9,102.95,102.95,103.0,157.0,43.2,4538734,"467,494,943.95",29722,102.95,-0.04696143879028991
50,16-Apr-2021,EQ,103.9,108.4,102.7,102.95,103.2,103.2,105.25,157.0,43.2,4418714,"465,058,200.20",27132,103.2,0.00242541957366349
51,19-Apr-2021,EQ,99.95,99.95,96.05,103.2,98.8,98.6,98.11,157.0,43.2,3713126,"364,302,600.70",22977,98.6,-0.045597591438872875
52,20-Apr-2021,EQ,100.6,102.6,99.35,98.6,100.85,100.7,100.9,157.0,43.2,1679943,"169,502,295.20",13300,100.7,0.02107453811592741
53,22-Apr-2021,EQ,100.7,101.4,98.4,100.7,101.05,101.05,100.15,157.0,43.2,2293885,"229,738,894.65",16042,101.05,0.0034696441251131915
54,23-Apr-2021,EQ,100.05,107.95,99.65,101.05,107.5,107.2,105.73,157.0,43.2,4900053,"518,070,172.20",30519,107.2,0.05908080478707145
55,26-Apr-2021,EQ,107.2,110.7,106.75,107.2,109.3,109.6,108.98,157.0,43.2,2643998,"288,154,107.80",21156,109.6,0.022141125877213952
56,27-Apr-2021,EQ,109.0,113.7,109.0,109.6,111.85,112.0,112.07,157.0,43.2,2690495,"301,523,198.60",16079,112.0,0.02166149678117879
57,28-Apr-2021,EQ,113.85,114.6,112.75,112.0,113.1,113.4,113.77,157.0,43.2,2037803,"231,847,887.35",12022,113.4,0.012422519998557924
58,29-Apr-2021,EQ,114.45,115.2,111.25,113.4,111.7,111.85,112.7,157.0,43.2,1948479,"219,586,504.45",11988,111.85,-0.013762703357513395
59,30-Apr-2021,EQ,110.0,112.9,108.65,111.85,109.9,110.0,110.89,157.0,43.2,1664813,"184,616,580.55",13045,110.0,-0.016678322143722113
60,03-May-2021,EQ,108.75,110.55,107.05,110.0,108.8,108.65,108.89,157.0,43.2,1466131,"159,644,132.00",11003,108.65,-0.01234865908997751
