,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,235.0,241.7,231.4,231.5,240.7,240.2,236.1,275.0,120.05,2913692,"687,921,792.85",37954,240.2,
1,02-Feb-2021,EQ,244.0,253.0,242.2,240.2,248.4,247.4,247.88,275.0,120.05,7791175,"1,931,314,386.50",73112,247.4,0.029534550312504848
2,03-Feb-2021,EQ,250.2,251.45,244.45,247.4,249.05,248.1,248.09,275.0,120.05,6953619,"1,725,157,311.05",64190,248.1,0.0028254307393673628
3,04-Feb-2021,EQ,250.5,256.5,249.0,248.1,254.0,253.85,252.69,275.0,120.05,6067339,"1,533,166,554.30",59879,253.85,0.022911650695648156
4,05-Feb-2021,EQ,256.0,256.3,246.8,253.85,255.0,254.05,252.67,275.0,120.05,7472097,"1,887,964,486.35",81278,254.05,0.0007875566463377837
5,08-Feb-2021,EQ,239.85,245.0,236.65,254.05,240.0,239.95,240.98,275.0,120.05,6746469,"1,625,738,832.45",64414,239.95,-0.05710052973548674
6,09-Feb-2021,EQ,242.5,263.4,242.1,239.95,252.75,253.7,252.37,275.0,120.05,21502470,"5,426,636,979.15",179578,253.7,0.05572189830098129
7,10-Feb-2021,EQ,253.5,253.7,244.3,253.7,247.65,247.6,247.09,275.0,120.05,7449138,"1,840,638,312.25",71038,247.6,-0.024337925794794657
8,11-Feb-2021,EQ,248.0,252.0,245.4,247.6,249.9,250.25,249.09,275.0,120.05,2857799,"711,851,442.20",34013,250.25,0.010645877384888536
9,12-Feb-2021,EQ,249.95,254.9,244.15,250.25,246.1,245.65,249.71,275.0,120.05,3574037,"892,473,402.85",37518,245.65,-0.018552659580672426
10,15-Feb-2021,EQ,248.0,252.0,246.5,245.65,249.7,249.35,249.38,275.0,120.05,3252376,"811,061,985.10",36413,249.35,0.014949773377474607
11,16-Feb-2021,EQ,250.05,252.2,244.1,249.35,247.05,247.15,248.53,275.0,120.05,3184642,"791,468,109.60",35471,247.15,-0.008862092239163566
12,17-Feb-2021,EQ,247.15,258.2,246.15,247.15,256.7,256.55,254.98,275.0,120.05,15254400,"3,889,595,844.65",106530,256.55,0.0373281376350052
13,18-Feb-2021,EQ,258.0,264.8,250.6,256.55,259.55,259.65,258.04,275.0,120.05,8439925,"2,177,861,848.65",105646,259.65,0.01201099290235419
14,19-Feb-2021,EQ,258.45,265.85,254.05,259.65,260.7,260.75,260.81,275.0,120.05,5851020,"1,526,031,334.95",50629,260.75,0.0042275235905542274
15,22-Feb-2021,EQ,263.0,270.8,261.45,260.75,266.4,266.35,266.96,275.0,120.05,10993150,"2,934,751,226.70",99920,266.35,0.021249139482126367
16,23-Feb-2021,EQ,267.75,277.75,266.9,266.35,272.0,271.65,271.48,277.75,120.05,11346327,"3,080,344,609.10",107711,271.65,0.019703239634523584
17,24-Feb-2021,EQ,272.0,282.0,244.5,271.65,282.0,277.45,274.9,282.0,120.05,3005240,"826,130,292.80",33864,277.45,0.021126263774378096
18,25-Feb-2021,EQ,282.0,282.65,269.5,277.45,274.9,273.5,276.0,282.65,120.05,5343715,"1,474,843,398.65",63562,273.5,-0.014339114909874162
19,26-Feb-2021,EQ,266.95,272.8,253.55,273.5,257.7,257.8,259.34,282.65,120.05,41090229,"10,656,336,282.65",146380,257.8,-0.059117531356948305
20,01-Mar-2021,EQ,261.15,265.0,250.7,257.8,253.1,252.25,256.83,282.65,120.05,5607199,"1,440,089,553.75",41935,252.25,-0.021763431271368816
21,02-Mar-2021,EQ,254.95,259.3,251.4,252.25,257.0,257.5,255.23,282.65,120.05,3724070,"950,496,074.75",37809,257.5,0.02059906087007235
22,03-Mar-2021,EQ,260.0,260.1,256.2,257.5,258.3,257.8,257.92,282.65,120.05,2279120,"587,821,216.80",19037,257.8,0.0011643704012964662
23,04-Mar-2021,EQ,254.5,261.5,253.15,257.8,259.3,259.15,258.11,282.65,120.05,1572712,"405,938,571.40",21015,259.15,0.005222954130627677
24,05-Mar-2021,EQ,258.1,258.75,245.0,259.15,249.15,249.05,249.17,282.65,120.05,4973536,"1,239,252,771.80",57303,249.05,-0.03975336511642258
25,08-Mar-2021,EQ,249.75,255.6,249.5,249.05,254.0,252.25,252.9,282.65,120.05,2289922,"579,131,724.50",22717,252.25,0.012766979714426085
