,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,95.8,96.4,93.4,93.25,96.15,95.8,94.99,118.35,71.15,53177517,"5,051,112,520.95",128702,95.8,
1,02-Feb-2021,EQ,97.55,99.2,96.75,95.8,99.1,98.8,98.45,118.35,71.15,38641408,"3,804,148,721.65",102193,98.8,0.03083491977700792
2,03-Feb-2021,EQ,100.6,102.4,99.9,98.8,102.0,101.85,100.89,118.35,71.15,58158800,"5,867,585,471.40",140432,101.85,0.03040353791899264
3,04-Feb-2021,EQ,102.8,104.35,102.5,101.85,103.8,103.6,103.38,118.35,71.15,51171418,"5,289,929,246.20",148243,103.6,0.017036187152567273
4,05-Feb-2021,EQ,104.5,104.6,102.05,103.6,102.45,102.4,102.88,118.35,71.15,31422905,"3,232,672,120.05",69926,102.4,-0.011650617219975068
5,08-Feb-2021,EQ,104.0,104.4,102.45,102.4,104.4,104.1,103.6,118.35,71.15,37924977,"3,929,119,711.15",92391,104.1,0.016465263015516207
6,09-Feb-2021,EQ,99.8,99.8,97.0,104.1,97.95,97.7,98.67,118.35,71.15,47911877,"4,727,252,388.05",193856,97.7,-0.06345041657218609
7,10-Feb-2021,EQ,98.1,98.75,96.1,97.7,96.9,96.75,97.07,118.35,71.15,22672022,"2,200,759,774.55",73456,96.75,-0.00977122713884615
8,11-Feb-2021,EQ,96.1,97.5,95.9,96.75,96.7,96.5,96.56,118.35,71.15,19512564,"1,884,060,939.90",52132,96.5,-0.0025873235649509496
9,12-Feb-2021,EQ,96.55,97.1,94.6,96.5,95.3,95.1,95.5,118.35,71.15,19038734,"1,818,232,821.45",69515,95.1,-0.014614038793595796
10,15-Feb-2021,EQ,95.55,96.1,94.0,95.1,94.15,94.15,94.53,115.3,71.15,14796024,"1,398,736,951.80",68006,94.15,-0.01003971444818319
