,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"1,865.00","1,910.00","1,820.35","1,852.05","1,884.00","1,876.60","1,871.40","2,460.00","1,163.90",309443,"579,091,568.15",28285,1876.6,
1,02-Feb-2021,EQ,"1,880.05","1,920.70","1,880.05","1,876.60","1,887.50","1,888.35","1,895.20","2,460.00","1,163.90",526487,"997,798,692.70",24958,1888.35,0.0062418030244284495
2,03-Feb-2021,EQ,"1,900.00","2,054.00","1,895.25","1,888.35","2,046.00","2,036.70","1,983.27","2,460.00","1,163.90",569427,"1,129,326,797.90",40851,2036.7,0.07562741909533344
3,04-Feb-2021,EQ,"2,055.00","2,055.50","1,961.10","2,036.70","1,990.00","2,001.60","1,998.79","2,460.00","1,163.90",607604,"1,214,473,297.35",33416,2001.6,-0.01738399026306503
4,05-Feb-2021,EQ,"2,009.00","2,029.10","1,905.60","2,001.60","1,941.95","1,932.10","1,966.75","2,460.00","1,163.90",309427,"608,564,036.70",25012,1932.1,-0.03533936644530833
5,08-Feb-2021,EQ,"1,934.00","1,999.00","1,932.10","1,932.10","1,950.00","1,942.65","1,960.59","2,460.00","1,200.00",233881,"458,544,034.45",22687,1942.65,0.0054455260703676345
6,09-Feb-2021,EQ,"1,964.90","1,995.00","1,941.15","1,942.65","1,972.00","1,975.90","1,961.14","2,460.00","1,200.00",325020,"637,408,891.35",21544,1975.9,0.016970970402065966
7,10-Feb-2021,EQ,"1,988.00","1,988.00","1,960.90","1,975.90","1,975.00","1,972.85","1,973.32","2,460.00","1,200.00",100405,"198,131,043.10",10208,1972.85,-0.001544792963109387
8,11-Feb-2021,EQ,"1,963.85","1,978.00","1,935.00","1,972.85","1,943.00","1,946.55","1,950.77","2,460.00","1,200.00",152043,"296,600,682.95",15773,1946.55,-0.013420622925313097
9,12-Feb-2021,EQ,"1,946.55","1,953.55","1,891.25","1,946.55","1,901.00","1,897.95","1,911.20","2,460.00","1,200.00",166520,"318,252,569.35",15094,1897.95,-0.025284218547966475
10,15-Feb-2021,EQ,"1,895.00","1,938.45","1,890.00","1,897.95","1,892.90","1,896.35","1,914.01","2,460.00","1,200.00",262741,"502,888,387.45",12921,1896.35,-0.0008433703686252514
11,16-Feb-2021,EQ,"1,890.00","1,908.80","1,877.95","1,896.35","1,901.00","1,901.25","1,889.29","2,460.00","1,200.00",236624,"447,051,592.55",17257,1901.25,0.002580578638744946
12,17-Feb-2021,EQ,"1,899.25","1,901.85","1,868.50","1,901.25","1,895.00","1,890.00","1,880.33","2,460.00","1,200.00",182223,"342,639,571.95",13232,1890.0,-0.005934735519813827
13,18-Feb-2021,EQ,"1,899.80","1,913.80","1,861.10","1,890.00","1,863.00","1,867.75","1,881.67","2,460.00","1,200.00",171422,"322,559,789.00",14279,1867.75,-0.011842331197778222
14,19-Feb-2021,EQ,"1,860.00","1,863.80","1,840.00","1,867.75","1,845.00","1,849.55","1,851.09","2,460.00","1,200.00",192145,"355,678,008.10",15880,1849.55,-0.00979213161521919
15,22-Feb-2021,EQ,"1,839.90","1,857.70","1,810.00","1,849.55","1,820.00","1,817.90","1,823.63","2,460.00","1,200.00",202208,"368,753,440.55",20881,1817.9,-0.017260377516675085
16,23-Feb-2021,EQ,"1,826.00","1,832.00","1,785.40","1,817.90","1,806.00","1,800.90","1,802.37","2,460.00","1,200.00",274754,"495,207,246.70",19306,1800.9,-0.009395448798108497
17,24-Feb-2021,EQ,"1,809.95","1,883.95","1,803.65","1,800.90","1,859.85","1,865.90","1,842.74","2,460.00","1,200.00",162852,"300,093,809.60",11336,1865.9,0.03545697047729579
18,25-Feb-2021,EQ,"1,866.00","1,884.50","1,848.90","1,865.90","1,865.00","1,866.80","1,865.12","2,460.00","1,200.00",297034,"554,004,073.65",29692,1866.8,0.00048222467245739864
19,26-Feb-2021,EQ,"1,851.20","1,863.75","1,820.05","1,866.80","1,846.95","1,849.55","1,844.93","2,460.00","1,200.00",371920,"686,165,255.30",34812,1849.55,-0.009283368834969608
20,01-Mar-2021,EQ,"1,840.55","1,925.00","1,822.25","1,849.55","1,919.05","1,903.10","1,873.72","2,460.00","1,200.00",236754,"443,609,803.30",26913,1903.1,0.028541769282290907
21,02-Mar-2021,EQ,"1,925.00","1,929.00","1,851.50","1,903.10","1,901.00","1,907.05","1,877.28","2,460.00","1,200.00",345257,"648,143,240.25",26956,1907.05,0.002073409926168779
22,03-Mar-2021,EQ,"1,871.00","1,972.75","1,871.00","1,907.05","1,955.00","1,961.75","1,938.74","2,460.00","1,200.00",295152,"572,224,452.80",29458,1961.75,0.028279386558431874
23,04-Mar-2021,EQ,"1,942.00","1,949.90","1,916.10","1,961.75","1,925.65","1,934.70","1,928.41","2,460.00","1,200.00",367471,"708,635,120.60",29511,1934.7,-0.01388465632314162
24,05-Mar-2021,EQ,"1,913.10","1,927.80","1,908.30","1,934.70","1,917.15","1,923.45","1,918.74","2,460.00","1,200.00",231439,"444,070,745.20",23380,1923.45,-0.005831827111206778
25,08-Mar-2021,EQ,"1,929.80","1,946.50","1,916.05","1,923.45","1,923.90","1,932.85","1,929.80","2,460.00","1,200.00",97120,"187,422,007.25",10640,1932.85,0.0048751490379572715
26,09-Mar-2021,EQ,"1,939.85","1,965.00","1,914.50","1,932.85","1,930.00","1,940.75","1,934.33","2,460.00","1,200.00",207896,"402,139,567.55",16456,1940.75,0.004078898674598541
27,10-Mar-2021,EQ,"1,948.90","1,948.90","1,920.00","1,940.75","1,925.00","1,938.75","1,926.82","2,460.00","1,200.00",153284,"295,351,306.40",10764,1938.75,-0.0010310607950412276
28,12-Mar-2021,EQ,"1,940.10","1,964.95","1,926.00","1,938.75","1,947.20","1,952.65","1,951.18","2,460.00","1,200.00",181015,"353,192,304.35",21779,1952.65,0.007143988856102013
29,15-Mar-2021,EQ,"1,947.20","1,952.65","1,907.15","1,952.65","1,919.80","1,919.80","1,918.67","2,460.00","1,200.00",231223,"443,640,715.25",15084,1919.8,-0.01696641041741387
30,16-Mar-2021,EQ,"1,919.80","1,929.85","1,910.80","1,919.80","1,920.00","1,919.25","1,918.80","2,460.00","1,200.00",161538,"309,958,323.20",12715,1919.25,-0.00028652922142935466
31,17-Mar-2021,EQ,"1,918.90","1,927.55","1,884.10","1,919.25","1,885.00","1,890.55","1,912.24","2,460.00","1,200.00",141644,"270,856,832.45",9493,1890.55,-0.015066692697141448
32,18-Mar-2021,EQ,"1,891.00","1,914.95","1,825.45","1,890.55","1,862.00","1,864.60","1,859.60","2,460.00","1,200.00",297365,"552,979,255.75",14469,1864.6,-0.013821239148272824
33,19-Mar-2021,EQ,"1,859.00","1,861.95","1,800.30","1,864.60","1,851.00","1,839.15","1,837.85","2,460.00","1,200.00",441329,"811,094,946.25",21738,1839.15,-0.013743044516087544
34,22-Mar-2021,EQ,"1,855.05","1,895.00","1,816.15","1,839.15","1,837.00","1,832.40","1,838.26","2,460.00","1,232.00",237581,"436,736,412.50",21678,1832.4,-0.0036769253339183905
35,23-Mar-2021,EQ,"1,842.00","1,845.00","1,817.10","1,832.40","1,830.00","1,837.70","1,832.28","2,460.00","1,232.00",286117,"524,245,803.30",20202,1837.7,0.002888206688790973
36,24-Mar-2021,EQ,"1,830.00","1,849.00","1,818.15","1,837.70","1,845.00","1,840.40","1,836.53","2,460.00","1,232.00",138988,"255,255,902.70",10174,1840.4,0.0014681495799351296
37,25-Mar-2021,EQ,"1,840.20","1,878.90","1,839.80","1,840.40","1,860.00","1,854.90","1,857.48","2,460.00","1,232.00",287901,"534,769,616.40",15052,1854.9,0.007847846951319681
38,26-Mar-2021,EQ,"1,850.00","1,865.45","1,841.00","1,854.90","1,862.00","1,859.90","1,859.15","2,460.00","1,232.00",134907,"250,812,031.85",12712,1859.9,0.0026919365884481294
39,30-Mar-2021,EQ,"1,899.00","1,945.00","1,866.00","1,859.90","1,888.60","1,890.00","1,911.12","2,460.00","1,245.00",277545,"530,422,231.25",25499,1890.0,0.016054106232607168
40,31-Mar-2021,EQ,"1,899.00","1,920.05","1,881.55","1,890.00","1,912.00","1,903.75","1,905.08","2,460.00","1,245.00",164272,"312,950,837.80",15112,1903.75,0.007248796155683301
41,01-Apr-2021,EQ,"1,909.80","1,915.00","1,871.10","1,903.75","1,886.00","1,882.00","1,883.98","2,460.00","1,245.00",119222,"224,612,379.50",14607,1882.0,-0.011490584064047127
42,05-Apr-2021,EQ,"1,882.00","1,893.00","1,833.35","1,882.00","1,875.00","1,875.55","1,866.34","2,460.00","1,440.00",103238,"192,677,060.65",12124,1875.55,-0.0034330914212912234
43,06-Apr-2021,EQ,"1,879.80","1,956.00","1,876.15","1,875.55","1,948.00","1,939.25","1,928.46","2,460.00","1,440.00",334511,"645,089,925.20",20528,1939.25,0.03339935064694721
44,07-Apr-2021,EQ,"1,947.00","2,039.90","1,945.00","1,939.25","2,005.05","2,027.00","2,013.92","2,460.00","1,440.00",497999,"1,002,932,114.95",36937,2027.0,0.04425556708101919
45,08-Apr-2021,EQ,"2,032.00","2,115.00","2,022.00","2,027.00","2,056.00","2,060.20","2,074.95","2,460.00","1,440.00",420253,"872,004,384.40",27078,2060.2,0.016246197997593192
46,09-Apr-2021,EQ,"2,065.95","2,110.90","2,027.00","2,060.20","2,077.20","2,086.00","2,082.30","2,460.00","1,440.00",338148,"704,125,857.30",34345,2086.0,0.012445291111125023
47,12-Apr-2021,EQ,"2,090.00","2,215.00","2,035.05","2,086.00","2,150.00","2,152.95","2,156.43","2,460.00","1,440.00",914304,"1,971,635,267.95",61216,2152.95,0.03159063812478102
48,13-Apr-2021,EQ,"2,184.85","2,208.85","2,125.00","2,152.95","2,142.55","2,159.05","2,171.15","2,460.00","1,440.00",413974,"898,797,819.75",34135,2159.05,0.0028293154309926294
49,15-Apr-2021,EQ,"2,155.00","2,193.95","2,085.00","2,159.05","2,100.05","2,103.00","2,138.44","2,460.00","1,440.00",212491,"454,399,795.50",20419,2103.0,-0.02630341341379161
50,16-Apr-2021,EQ,"2,122.00","2,163.75","2,121.80","2,103.00","2,142.00","2,141.95","2,147.29","2,460.00","1,440.00",294696,"632,797,227.35",21498,2141.95,0.01835173236214782
51,19-Apr-2021,EQ,"2,140.00","2,220.00","2,100.00","2,141.95","2,170.00","2,173.55","2,175.54","2,460.00","1,462.65",520935,"1,133,316,389.65",49987,2173.55,0.014645146470233072
52,20-Apr-2021,EQ,"2,200.00","2,202.05","2,139.80","2,173.55","2,152.00","2,155.70","2,168.07","2,460.00","1,462.65",231993,"502,976,709.80",20901,2155.7,-0.008246278755692948
53,22-Apr-2021,EQ,"2,166.50","2,199.00","2,082.00","2,155.70","2,090.00","2,100.40","2,140.36","2,460.00","1,462.65",170917,"365,824,115.15",21714,2100.4,-0.025987694015683793
54,23-Apr-2021,EQ,"2,095.00","2,132.95","2,090.00","2,100.40","2,103.00","2,101.35","2,106.36","2,460.00","1,462.65",141023,"297,045,781.85",15270,2101.35,0.000452192546528174
55,26-Apr-2021,EQ,"2,124.00","2,124.00","2,087.10","2,101.35","2,103.00","2,104.30","2,104.74","2,460.00","1,466.00",104412,"219,759,994.35",12457,2104.3,0.0014028749343450997
56,27-Apr-2021,EQ,"2,120.00","2,144.00","2,092.50","2,104.30","2,113.70","2,114.40","2,117.53","2,460.00","1,466.00",111122,"235,304,570.10",13614,2114.4,0.004788214045501782
57,28-Apr-2021,EQ,"2,109.00","2,114.00","2,032.55","2,114.40","2,045.00","2,045.50","2,068.86","2,460.00","1,466.00",171599,"355,014,714.20",15167,2045.5,-0.033128825920625715
58,29-Apr-2021,EQ,"2,064.00","2,087.00","2,050.05","2,045.50","2,079.00","2,075.10","2,067.31","2,460.00","1,466.00",126717,"261,963,442.35",13597,2075.1,0.014367086905195059
59,30-Apr-2021,EQ,"2,075.00","2,127.55","2,066.65","2,075.10","2,111.00","2,105.30","2,100.72","2,460.00","1,466.00",150675,"316,526,259.50",17487,2105.3,0.014448629501861099
60,03-May-2021,EQ,"2,100.00","2,148.00","2,091.00","2,105.30","2,109.05","2,107.95","2,115.75","2,460.00","1,466.00",189451,"400,830,117.20",15219,2107.95,0.0012579364383542568
61,04-May-2021,EQ,"2,124.80","2,129.40","2,096.00","2,107.95","2,103.00","2,103.50","2,109.88","2,460.00","1,466.00",80024,"168,840,955.95",11408,2103.5,-0.0021132871842883816
62,05-May-2021,EQ,"2,116.20","2,132.00","2,090.45","2,103.50","2,103.00","2,109.85","2,108.59","2,460.00","1,466.00",77976,"164,419,721.70",9750,2109.85,0.0030142308651255334
63,06-May-2021,EQ,"2,112.90","2,129.35","2,061.85","2,109.85","2,100.00","2,095.85","2,087.81","2,460.00","1,466.00",108457,"226,437,734.05",13193,2095.85,-0.006657655901153525
