,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,25.25,25.4,24.9,24.8,25.15,25.1,25.13,25.8,24.35,72044464,"1,810,381,538.70",153055,25.1,
1,02-Feb-2021,EQ,25.45,25.45,24.7,25.1,24.8,24.75,24.98,25.8,24.35,36735442,"917,639,637.40",102457,24.75,-0.014042357123039029
2,03-Feb-2021,EQ,24.8,24.9,24.05,24.75,24.15,24.25,24.58,25.8,24.05,45816269,"1,126,159,280.60",105660,24.25,-0.020408871631207415
3,04-Feb-2021,EQ,24.25,25.8,23.85,24.25,25.3,25.35,25.08,25.8,23.85,88486029,"2,219,440,702.60",135657,25.35,0.04436211265370016
4,05-Feb-2021,EQ,25.6,26.2,25.55,25.35,25.65,25.7,25.8,26.2,23.85,56318695,"1,453,181,398.90",95724,25.7,0.013712261863982
5,08-Feb-2021,EQ,25.9,25.95,25.6,25.7,25.75,25.75,25.77,26.2,23.85,28324374,"730,015,054.15",55647,25.75,0.001943635208570882
6,09-Feb-2021,EQ,25.75,25.8,25.2,25.75,25.2,25.3,25.41,26.2,23.85,25243532,"641,482,924.55",59918,25.3,-0.017630231376270622
7,10-Feb-2021,EQ,25.4,25.8,25.0,25.3,25.35,25.4,25.4,26.2,23.85,33132159,"841,550,092.40",49630,25.4,0.003944778291016249
8,11-Feb-2021,EQ,25.4,25.65,25.25,25.4,25.5,25.4,25.46,26.2,23.85,13586295,"345,880,159.50",34239,25.4,0.0
9,12-Feb-2021,EQ,25.5,25.55,25.3,25.4,25.4,25.4,25.41,26.2,23.85,15658220,"397,849,000.70",32840,25.4,0.0
10,15-Feb-2021,EQ,26.2,26.2,25.65,25.4,25.85,25.75,25.84,26.2,23.85,45629832,"1,179,170,290.70",91067,25.75,0.013685453085254373
11,16-Feb-2021,EQ,25.9,26.0,25.8,25.75,25.85,25.9,25.87,26.2,23.85,34557518,"894,071,989.60",63357,25.9,0.005808341595746835
12,17-Feb-2021,EQ,25.3,25.6,24.9,25.9,25.3,25.3,25.33,26.2,23.85,28638408,"725,543,716.70",53894,25.3,-0.023438572972017457
13,18-Feb-2021,EQ,25.45,25.8,25.4,25.3,25.7,25.65,25.55,26.2,23.85,21022422,"537,084,828.15",26752,25.65,0.013739175883304089
14,19-Feb-2021,EQ,25.65,25.7,25.2,25.65,25.4,25.35,25.43,26.2,23.85,14542153,"369,757,164.20",36081,25.35,-0.01176484157958635
15,22-Feb-2021,EQ,25.3,25.4,24.95,25.35,25.0,25.0,25.09,26.2,23.85,16652770,"417,802,424.40",55606,25.0,-0.01390290516899162
16,23-Feb-2021,EQ,25.0,25.15,24.9,25.0,24.95,24.95,24.96,26.2,23.85,13021961,"325,013,447.60",38417,24.95,-0.0020020026706730754
17,24-Feb-2021,EQ,24.9,25.2,24.85,24.95,24.9,24.9,24.99,26.2,23.85,10958830,"273,850,848.70",20179,24.9,-0.002006018726865566
18,25-Feb-2021,EQ,24.95,25.2,24.9,24.9,24.95,24.95,25.0,26.2,23.85,22761296,"569,093,714.55",33968,24.95,0.002006018726865566
19,26-Feb-2021,EQ,24.85,24.95,24.5,24.95,24.65,24.65,24.67,26.2,23.85,36424500,"898,708,357.70",83875,24.65,-0.012096921708828479
20,01-Mar-2021,EQ,24.65,26.7,24.65,24.65,25.85,25.9,25.67,26.7,23.85,93579588,"2,402,607,083.00",110462,25.9,0.04946606821679289
21,02-Mar-2021,EQ,26.1,26.3,25.45,25.9,25.7,25.65,25.9,26.7,23.85,48494934,"1,256,201,722.45",63877,25.65,-0.009699397088713368
22,03-Mar-2021,EQ,25.8,25.95,25.45,25.65,25.45,25.5,25.64,26.7,23.85,18806435,"482,165,280.55",30413,25.5,-0.005865119452398204
23,04-Mar-2021,EQ,25.25,25.7,25.25,25.5,25.45,25.4,25.47,26.7,23.85,21742960,"553,886,338.90",34054,25.4,-0.003929278139889636
