,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,262.0,280.35,257.15,261.75,278.6,277.5,268.57,310.5,62.0,12684256,"3,406,614,387.85",79407,277.5,
1,02-Feb-2021,EQ,280.2,286.3,271.2,277.5,275.65,276.1,277.36,310.5,62.0,13596700,"3,771,148,000.70",100301,276.1,-0.005057814250379877
2,03-Feb-2021,EQ,277.9,294.8,275.25,276.1,284.45,285.5,286.42,310.5,62.0,12034014,"3,446,775,854.30",97623,285.5,0.033478910159955966
3,04-Feb-2021,EQ,284.35,292.75,282.05,285.5,289.0,288.4,289.19,310.5,62.0,8512753,"2,461,804,624.15",74687,288.4,0.010106376314729104
4,05-Feb-2021,EQ,291.35,301.05,280.5,288.4,300.65,299.2,293.54,310.5,62.0,14614529,"4,289,953,953.00",112598,299.2,0.036763840689528315
5,08-Feb-2021,EQ,302.2,311.6,297.8,299.2,306.5,307.15,305.63,311.6,62.0,15504570,"4,738,691,564.00",140343,307.15,0.026223981509613914
6,09-Feb-2021,EQ,307.0,317.25,304.85,307.15,312.0,309.75,311.77,317.25,62.0,17242835,"5,375,821,708.25",147930,309.75,0.008429292899315044
7,10-Feb-2021,EQ,314.0,318.4,303.95,309.75,310.7,311.45,311.31,318.4,62.0,15272126,"4,754,430,127.30",178951,311.45,0.005473291190902785
8,11-Feb-2021,EQ,310.0,318.0,308.35,311.45,315.95,315.55,315.53,318.4,62.0,8020929,"2,530,836,273.80",82922,315.55,0.013078336330094587
9,12-Feb-2021,EQ,315.95,316.9,307.1,315.55,307.1,308.3,310.84,318.4,62.0,6546595,"2,034,924,845.20",47789,308.3,-0.023243813138144276
10,15-Feb-2021,EQ,311.0,314.5,306.45,308.3,308.5,308.6,310.58,318.4,62.0,6379749,"1,981,434,912.65",52426,308.6,0.0009726050369556205
11,16-Feb-2021,EQ,309.0,335.9,308.8,308.6,330.2,332.65,328.77,335.9,62.0,26320619,"8,653,356,002.25",193762,332.65,0.07504494625883584
12,17-Feb-2021,EQ,329.1,329.7,321.05,332.65,324.6,325.2,325.83,335.9,62.0,9900841,"3,225,947,608.10",68944,325.2,-0.02265050851424011
13,18-Feb-2021,EQ,325.5,332.9,325.5,325.2,327.9,327.85,330.05,335.9,62.0,8261985,"2,726,905,942.40",52503,327.85,0.008115809035972532
14,19-Feb-2021,EQ,324.9,332.95,312.35,327.85,322.8,321.5,323.27,335.9,62.0,11751459,"3,798,867,102.40",79040,321.5,-0.01955864303195476
15,22-Feb-2021,EQ,320.05,332.4,318.0,321.5,318.65,321.65,326.76,335.9,62.0,11165599,"3,648,457,826.30",95431,321.65,0.0004664541793353294
16,23-Feb-2021,EQ,323.6,342.0,321.15,321.65,337.9,336.9,333.9,342.0,62.0,12824670,"4,282,163,710.75",95053,336.9,0.046322152555497986
17,24-Feb-2021,EQ,339.0,344.65,332.0,336.9,337.25,338.15,339.6,344.65,62.0,7132578,"2,422,249,953.90",62937,338.15,0.0037034336084422748
18,25-Feb-2021,EQ,340.3,346.95,340.0,338.15,345.0,344.9,344.13,346.95,62.0,6333361,"2,179,523,597.25",41464,344.9,0.01976493592184614
19,26-Feb-2021,EQ,338.0,345.9,332.0,344.9,336.0,335.9,338.88,346.95,62.0,8851273,"2,999,502,153.70",70508,335.9,-0.026441023324548674
