,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,71.5,71.9,69.25,72.25,71.0,71.0,70.44,79.1,34.75,2340937,"164,891,085.45",9681,71.0,
1,02-Feb-2021,EQ,71.45,72.95,69.8,71.0,71.8,71.95,71.56,79.1,34.75,2020022,"144,559,785.00",11313,71.95,0.013291556292061024
2,03-Feb-2021,EQ,72.3,72.6,71.3,71.95,71.45,71.7,71.87,79.1,34.75,1719315,"123,566,423.60",9343,71.7,-0.003480685727801358
3,04-Feb-2021,EQ,71.65,73.65,71.65,71.7,72.3,72.25,72.82,79.1,34.75,2268906,"165,215,687.65",15341,72.25,0.007641579386966413
4,05-Feb-2021,EQ,72.65,72.65,70.0,72.25,70.65,70.8,70.8,79.1,34.75,2930517,"207,479,793.80",9957,70.8,-0.02027332629286782
5,08-Feb-2021,EQ,70.85,72.75,70.55,70.8,71.6,71.65,71.37,79.1,34.75,2297894,"163,999,996.15",8657,71.65,0.011934153574507
6,09-Feb-2021,EQ,71.5,73.4,70.0,71.65,70.9,70.55,71.72,79.1,34.75,2823816,"202,517,669.65",9747,70.55,-0.015471475975357585
7,10-Feb-2021,EQ,70.8,74.0,70.45,70.55,73.6,72.65,71.97,79.1,34.75,3108574,"223,724,634.30",8145,72.65,0.029331711717468956
8,11-Feb-2021,EQ,73.05,77.9,72.8,72.65,77.3,77.6,76.22,79.1,34.75,8928195,"680,527,502.25",25155,77.6,0.06591403717288102
9,12-Feb-2021,EQ,77.1,77.5,74.0,77.6,74.9,74.65,75.72,79.1,34.75,2679065,"202,855,090.60",10837,74.65,-0.03875690320397407
10,15-Feb-2021,EQ,75.45,77.8,74.5,74.65,75.35,75.85,76.29,79.1,34.75,3056676,"233,208,577.95",13869,75.85,0.015947181809342403
11,16-Feb-2021,EQ,76.4,76.75,74.05,75.85,74.85,75.0,75.08,79.1,34.75,2764907,"207,593,274.75",11788,75.0,-0.01126959225823132
12,17-Feb-2021,EQ,75.0,75.6,74.05,75.0,74.45,74.65,74.83,79.1,34.75,1806761,"135,204,568.40",7937,74.65,-0.004677589551111083
13,18-Feb-2021,EQ,74.9,77.0,72.1,74.65,74.25,75.4,74.48,79.1,34.75,5751654,"428,368,864.25",16946,75.4,0.009996751028711337
14,19-Feb-2021,EQ,74.85,75.75,72.0,75.4,73.7,73.95,74.3,79.1,34.75,3861934,"286,936,570.45",11248,73.95,-0.019418085857101808
15,22-Feb-2021,EQ,73.95,74.0,71.05,73.95,71.45,71.8,72.58,79.1,34.75,1381550,"100,273,092.50",7432,71.8,-0.029504713102630475
16,23-Feb-2021,EQ,72.35,75.25,71.25,71.8,73.4,73.4,73.71,79.1,34.75,3909384,"288,166,109.45",13247,73.4,0.022039459566292052
17,24-Feb-2021,EQ,73.5,75.4,72.25,73.4,73.0,72.85,73.84,79.1,34.75,1299058,"95,927,631.85",6125,72.85,-0.007521402979256742
18,25-Feb-2021,EQ,73.4,74.75,72.75,72.85,73.25,73.2,73.54,79.1,34.75,2635963,"193,848,724.65",9303,73.2,0.0047928883260528465
19,26-Feb-2021,EQ,72.8,73.85,71.15,73.2,71.9,71.9,72.44,79.1,34.75,2199673,"159,350,143.50",8762,71.9,-0.01791915624026519
20,01-Mar-2021,EQ,72.5,75.4,71.9,71.9,74.5,74.3,73.65,79.1,34.75,2948364,"217,141,229.75",11406,74.3,0.032834686996712215
21,02-Mar-2021,EQ,76.0,88.5,76.0,74.3,88.0,86.2,82.85,88.5,34.75,37918014,"3,141,402,831.20",129016,86.2,0.14855922594593451
22,03-Mar-2021,EQ,89.9,92.4,82.25,86.2,83.8,84.15,87.72,92.4,34.75,25169387,"2,207,928,288.35",122988,84.15,-0.024069257032833136
23,04-Mar-2021,EQ,82.0,87.7,81.8,84.15,84.95,84.4,85.62,92.4,34.75,11193512,"958,377,236.25",40330,84.4,0.002966480965096885
24,05-Mar-2021,EQ,85.0,86.5,80.45,84.4,81.45,81.2,82.94,92.4,34.75,6758193,"560,555,664.75",20910,81.2,-0.038652154434279495
25,08-Mar-2021,EQ,81.85,91.0,81.5,81.2,87.25,87.15,88.18,92.4,34.75,30613602,"2,699,649,499.10",92524,87.15,0.07071552479839838
26,09-Mar-2021,EQ,88.0,89.4,82.4,87.15,84.05,83.7,85.29,92.4,34.75,11716480,"999,343,519.80",39832,83.7,-0.04039179447060093
27,10-Mar-2021,EQ,84.75,89.0,84.5,83.7,86.8,86.85,87.08,92.4,34.75,11468549,"998,643,984.40",44714,86.85,0.03694351519168482
28,12-Mar-2021,EQ,86.2,87.8,84.6,86.85,85.4,85.6,85.97,92.4,34.75,6173267,"530,742,301.80",25315,85.6,-0.014497209539418243
29,15-Mar-2021,EQ,85.5,86.65,82.45,85.6,85.4,85.9,84.56,92.4,34.75,5374431,"454,445,736.90",22549,85.9,0.003498545842513856
30,16-Mar-2021,EQ,85.95,88.85,84.15,85.9,85.0,85.85,86.42,92.4,34.75,8836563,"763,654,458.85",31749,85.85,-0.0005822416467253788
31,17-Mar-2021,EQ,85.25,86.7,81.5,85.85,84.15,83.65,84.13,92.4,34.75,4030484,"339,084,473.10",18151,83.65,-0.02596015991065137
32,18-Mar-2021,EQ,85.0,86.45,83.0,83.65,84.35,84.15,84.65,92.4,34.75,4897087,"414,549,870.05",22277,84.15,0.005959493203981481
33,19-Mar-2021,EQ,82.5,85.65,80.2,84.15,84.8,84.8,83.17,92.4,34.75,3882688,"322,935,648.90",16127,84.8,0.0076946221610425525
34,22-Mar-2021,EQ,85.5,87.4,85.05,84.8,86.25,86.25,86.3,92.4,37.4,5497499,"474,439,731.25",24373,86.25,0.01695451311361218
35,23-Mar-2021,EQ,86.75,87.7,85.1,86.25,85.85,86.3,86.8,92.4,37.4,3274029,"284,190,579.10",13677,86.3,0.000579542177912451
36,24-Mar-2021,EQ,85.1,86.45,81.8,86.3,84.15,83.3,84.43,92.4,37.4,2405782,"203,111,789.45",11743,83.3,-0.03538104891658467
37,25-Mar-2021,EQ,84.5,84.65,81.1,83.3,83.8,83.65,83.04,92.4,37.4,2751111,"228,450,850.60",12522,83.65,0.004192878260036004
38,26-Mar-2021,EQ,84.2,88.15,83.7,83.65,88.0,87.5,86.83,92.4,37.4,10931102,"949,102,145.50",23888,87.5,0.04499736593073589
39,30-Mar-2021,EQ,89.0,90.4,86.6,87.5,87.25,87.3,88.62,92.4,38.0,6597444,"584,654,532.40",34596,87.3,-0.0022883305180121383
40,31-Mar-2021,EQ,87.9,90.2,87.0,87.3,87.65,87.85,88.71,92.4,38.0,4573064,"405,664,335.30",21249,87.85,0.0062803517875495984
41,01-Apr-2021,EQ,88.6,92.8,87.85,87.85,90.7,90.7,90.82,92.8,38.0,12835744,"1,165,746,599.60",47639,90.7,0.031926542487984655
42,05-Apr-2021,EQ,90.0,90.4,85.0,90.7,87.0,86.55,87.13,92.8,38.0,5031925,"438,425,388.40",21487,86.55,-0.04683507549887267
43,06-Apr-2021,EQ,87.2,88.45,85.25,86.55,85.45,85.65,86.71,92.8,38.0,4786275,"415,017,601.20",17464,85.65,-0.010453056852089304
44,07-Apr-2021,EQ,86.2,90.0,85.55,85.65,89.0,89.4,88.08,92.8,38.0,7078339,"623,446,150.45",26181,89.4,0.04285145740933949
45,08-Apr-2021,EQ,90.0,90.25,87.5,89.4,89.0,88.65,89.05,92.8,38.0,5101227,"454,259,050.00",26999,88.65,-0.008424649659251493
46,09-Apr-2021,EQ,89.0,102.4,88.0,88.65,100.9,100.45,96.82,102.4,38.0,47767621,"4,624,948,106.75",163058,100.45,0.12496405874072636
47,12-Apr-2021,EQ,97.85,98.8,86.7,100.45,92.05,92.9,92.66,102.4,38.0,23168073,"2,146,791,784.15",89510,92.9,-0.07813644544115039
48,13-Apr-2021,EQ,93.1,98.2,92.5,92.9,96.0,96.55,95.64,102.4,38.0,9864548,"943,441,492.60",46611,96.55,0.0385373630547301
49,15-Apr-2021,EQ,95.8,96.9,91.8,96.55,95.6,95.85,94.51,102.4,38.0,5329479,"503,673,385.45",28552,95.85,-0.007276539382869984
50,16-Apr-2021,EQ,96.2,103.7,94.7,95.85,99.65,99.85,100.83,103.7,38.0,19201032,"1,935,982,557.10",94682,99.85,0.04088459037017067
51,19-Apr-2021,EQ,95.2,101.6,94.15,99.85,99.5,100.25,98.11,103.7,38.0,9070828,"889,961,260.35",46641,100.25,0.003998006324854586
52,20-Apr-2021,EQ,102.0,104.7,99.1,100.25,99.9,100.8,102.14,104.7,38.0,10999733,"1,123,490,342.05",49865,100.8,0.0054712894505897225
53,22-Apr-2021,EQ,101.4,102.7,99.0,100.8,99.25,99.65,100.99,104.7,38.0,8745101,"883,193,081.75",37713,99.65,-0.011474308978464798
54,23-Apr-2021,EQ,99.9,103.95,99.15,99.65,102.55,102.5,101.06,104.7,38.0,6366157,"643,387,089.35",26543,102.5,0.028198751919659593
55,26-Apr-2021,EQ,104.1,107.15,103.6,102.5,105.35,105.9,105.59,107.15,38.0,9821565,"1,037,074,263.50",41907,105.9,0.032632454028897584
56,27-Apr-2021,EQ,106.9,107.6,105.0,105.9,106.1,106.15,106.27,107.6,38.0,6432992,"683,611,307.60",29522,106.15,0.0023579355419043324
57,28-Apr-2021,EQ,107.45,109.5,106.1,106.15,107.1,107.1,107.63,109.5,38.0,5949477,"640,369,757.50",23742,107.1,0.008909789304437865
58,29-Apr-2021,EQ,107.9,111.5,106.45,107.1,109.1,109.0,108.98,111.5,38.0,9779976,"1,065,865,908.15",37016,109.0,0.017584904775440613
59,30-Apr-2021,EQ,108.3,111.4,107.5,109.0,109.95,109.6,109.87,111.5,38.0,9324766,"1,024,505,231.40",26813,109.6,0.005489492284771913
60,03-May-2021,EQ,109.6,113.3,109.0,109.6,110.25,110.55,111.11,113.3,38.0,6015317,"668,369,193.75",29271,110.55,0.008630532789539735
61,04-May-2021,EQ,114.95,116.0,106.5,110.55,110.05,110.2,111.51,116.0,38.0,11596859,"1,293,210,260.25",46678,110.2,-0.0031710105846407544
62,05-May-2021,EQ,111.3,120.95,109.2,110.2,119.0,119.4,117.3,120.95,38.0,30820206,"3,615,230,301.25",108989,119.4,0.08018230423968742
63,06-May-2021,EQ,120.0,120.5,115.0,119.4,117.05,116.5,116.93,120.95,38.0,8918722,"1,042,834,661.70",40636,116.5,-0.024587927952746114
64,07-May-2021,EQ,117.55,118.45,115.25,116.5,116.75,116.8,116.98,120.95,38.0,4541538,"531,261,724.10",21588,116.8,0.002571797388370989
65,10-May-2021,EQ,117.7,119.9,115.65,116.8,119.15,119.15,118.01,120.95,38.5,4861751,"573,719,714.60",24721,119.15,0.019920133150624686
66,11-May-2021,EQ,117.8,125.5,117.25,119.15,120.7,120.75,122.06,125.5,38.5,7382591,"901,098,365.25",39718,120.75,0.013339088987931014
67,12-May-2021,EQ,121.7,121.8,115.6,120.75,118.0,117.6,118.59,125.5,38.5,5540148,"656,981,155.85",31235,117.6,-0.026433257068156024
68,14-May-2021,EQ,118.4,118.7,110.1,117.6,114.45,114.15,113.81,125.5,38.5,5914784,"673,136,607.80",35980,114.15,-0.029775662488721544
69,17-May-2021,EQ,115.0,115.8,111.4,114.15,113.4,113.45,113.38,125.5,38.5,4385175,"497,170,444.85",19701,113.45,-0.006151161749953893
70,18-May-2021,EQ,113.8,117.0,113.4,113.45,115.5,115.75,115.79,125.5,38.5,3843428,"445,024,887.55",17250,115.75,0.02007048174049242
71,19-May-2021,EQ,116.55,119.45,115.9,115.75,116.5,117.8,117.83,125.5,38.5,4025817,"474,369,801.55",23018,117.8,0.017555578251142734
72,20-May-2021,EQ,116.5,118.3,115.25,117.8,117.65,117.4,117.0,125.5,38.5,2709559,"317,026,658.60",14905,117.4,-0.003401363823489767
73,21-May-2021,EQ,118.2,118.5,115.7,117.4,117.1,117.1,116.76,125.5,38.5,3135122,"366,057,389.95",14316,117.1,-0.002558636790324975
74,24-May-2021,EQ,118.0,119.5,115.0,117.1,116.25,116.9,117.71,125.5,38.9,3916913,"461,050,715.25",25685,116.9,-0.001709402125648296
75,25-May-2021,EQ,117.2,119.4,117.0,116.9,118.05,118.1,118.05,125.5,38.9,2754612,"325,184,621.00",20562,118.1,0.010212854725293319
76,26-May-2021,EQ,118.0,118.1,114.2,118.1,115.85,115.1,116.0,125.5,38.9,2214904,"256,924,669.65",12594,115.1,-0.02573040747547939
77,27-May-2021,EQ,115.5,118.4,114.95,115.1,115.2,115.7,116.93,125.5,38.9,4853113,"567,450,834.95",19640,115.7,0.005199318471794001
78,28-May-2021,EQ,116.6,118.5,115.25,115.7,115.9,116.15,117.21,125.5,38.9,3652280,"428,069,460.35",18821,116.15,0.0038818250167871327
