,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,366.5,384.4,363.65,366.85,381.0,380.85,372.21,413.1,132.5,6141212,"2,285,828,450.30",62448,380.85,
1,02-Feb-2021,EQ,384.65,391.7,376.7,380.85,389.0,389.0,384.76,413.1,132.5,7450391,"2,866,634,152.10",62118,389.0,0.021173746799648896
2,03-Feb-2021,EQ,386.2,398.45,384.7,389.0,393.0,392.9,392.88,413.1,132.5,6063017,"2,382,051,214.40",57075,392.9,0.009975782945968348
3,04-Feb-2021,EQ,392.9,402.0,390.45,392.9,400.9,400.3,398.47,413.1,132.5,6283280,"2,503,681,334.70",59704,400.3,0.01865913943411357
4,05-Feb-2021,EQ,403.0,406.6,389.15,400.3,402.85,402.2,400.05,413.1,132.5,9008833,"3,604,014,513.15",76433,402.2,0.004735211340023859
5,08-Feb-2021,EQ,404.55,419.25,401.2,402.2,416.25,417.65,411.42,419.25,132.5,9008722,"3,706,352,176.95",83516,417.65,0.037694283863363154
6,09-Feb-2021,EQ,417.0,420.0,401.85,417.65,408.0,406.45,412.41,420.0,132.5,7961747,"3,283,509,676.75",78448,406.45,-0.027182841009333103
7,10-Feb-2021,EQ,410.0,413.95,400.0,406.45,408.6,410.75,407.37,420.0,132.5,8008124,"3,262,293,706.10",76048,410.75,0.010523836724796176
8,11-Feb-2021,EQ,408.2,415.5,404.95,410.75,407.8,408.85,409.85,420.0,132.5,3598146,"1,474,698,068.65",38091,408.85,-0.004636416309391933
9,12-Feb-2021,EQ,407.85,410.9,402.6,408.85,403.05,403.8,406.52,420.0,132.5,4667663,"1,897,481,674.70",39630,403.8,-0.0124286347292486
10,15-Feb-2021,EQ,405.1,407.85,401.0,403.8,402.6,403.7,404.62,420.0,132.5,4678133,"1,892,889,388.20",41254,403.7,-0.0002476780198419348
11,16-Feb-2021,EQ,403.7,421.9,403.7,403.7,406.3,407.65,413.92,421.9,132.5,10594928,"4,385,478,484.15",104314,407.65,0.009736935250024281
12,17-Feb-2021,EQ,406.35,411.0,401.0,407.65,408.05,408.7,406.38,421.9,132.5,5486323,"2,229,536,037.25",48189,408.7,0.0025724274613114773
13,18-Feb-2021,EQ,410.0,414.75,406.0,408.7,407.15,407.65,408.95,421.9,132.5,5889983,"2,408,691,556.75",50556,407.65,-0.0025724274613114773
14,19-Feb-2021,EQ,408.1,408.4,390.95,407.65,398.3,395.65,400.43,421.9,132.5,4527644,"1,812,999,205.20",41153,395.65,-0.029878981053717446
15,22-Feb-2021,EQ,396.15,413.85,396.15,395.65,407.0,406.1,407.81,421.9,132.5,9371697,"3,821,841,000.30",89653,406.1,0.026069452637050183
16,23-Feb-2021,EQ,410.0,416.2,406.1,406.1,415.0,412.6,411.23,421.9,132.5,8127742,"3,342,410,652.60",83690,412.6,0.015879165944898688
17,24-Feb-2021,EQ,415.0,426.6,400.0,412.6,407.15,408.1,417.62,426.6,132.5,10570509,"4,414,456,995.40",104057,408.1,-0.010966358225391382
18,25-Feb-2021,EQ,411.0,425.0,410.0,408.1,421.0,421.75,419.53,426.6,132.5,9051315,"3,797,335,680.35",87374,421.75,0.032900479014317696
19,26-Feb-2021,EQ,412.05,421.3,392.05,421.75,395.55,395.45,404.07,426.6,132.5,11433748,"4,620,010,309.50",113220,395.45,-0.0643883644606511
20,01-Mar-2021,EQ,402.6,408.45,393.35,395.45,406.5,405.1,402.64,426.6,132.5,5834233,"2,349,068,869.95",57040,405.1,0.024109593243218264
21,02-Mar-2021,EQ,406.8,414.95,401.0,405.1,412.25,413.3,408.73,426.6,132.5,5055665,"2,066,403,565.55",56226,413.3,0.02003977130904211
22,03-Mar-2021,EQ,415.3,435.0,415.3,413.3,426.8,428.15,429.76,435.0,132.5,11903775,"5,115,782,013.15",126647,428.15,0.03529987995451389
23,04-Mar-2021,EQ,415.1,421.4,411.05,428.15,415.5,414.1,415.64,435.0,132.5,8655068,"3,597,364,407.50",101812,414.1,-0.03336611092067887
24,05-Mar-2021,EQ,414.1,414.1,402.5,414.1,408.0,406.4,407.85,435.0,132.5,7045618,"2,873,583,149.95",58350,406.4,-0.018769594287249447
25,08-Mar-2021,EQ,411.95,415.5,406.5,406.4,407.65,407.85,411.19,435.0,132.5,4176709,"1,717,416,933.65",49276,407.85,0.003561563482317176
26,09-Mar-2021,EQ,412.0,414.75,396.8,407.85,401.5,401.6,405.84,435.0,132.5,5477847,"2,223,110,366.55",48681,401.6,-0.015442891369070288
27,10-Mar-2021,EQ,406.55,415.3,403.5,401.6,413.8,414.0,409.84,435.0,132.5,6536253,"2,678,794,349.10",57528,414.0,0.030409405447795024
28,12-Mar-2021,EQ,418.15,428.45,414.0,414.0,417.75,418.75,422.19,435.0,132.5,13448994,"5,678,006,446.90",129908,418.75,0.011408109313961745
29,15-Mar-2021,EQ,422.9,431.75,414.9,418.75,428.95,429.65,423.41,435.0,132.5,10146579,"4,296,125,644.30",93657,429.65,0.025696840619955807
30,16-Mar-2021,EQ,433.95,433.95,419.35,429.65,427.15,425.95,425.06,435.0,132.5,8103798,"3,444,591,452.00",78346,425.95,-0.008648955270381897
