,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"2,630.00","2,647.00","2,543.95","2,590.15","2,622.60","2,612.75","2,599.98","2,988.10","1,138.25",742008,"1,929,204,006.60",33352,2612.75,
1,02-Feb-2021,EQ,"2,634.90","2,719.90","2,614.10","2,612.75","2,703.50","2,698.55","2,675.19","2,988.10","1,138.25",764707,"2,045,737,576.20",38518,2698.55,0.03231128522473092
2,03-Feb-2021,EQ,"2,727.85","2,763.70","2,595.75","2,698.55","2,655.20","2,645.80","2,678.53","2,988.10","1,138.25",1995663,"5,345,444,550.65",129500,2645.8,-0.01974111467106443
3,04-Feb-2021,EQ,"2,735.05","2,869.00","2,681.75","2,645.80","2,822.25","2,825.20","2,805.06","2,988.10","1,138.25",3397856,"9,531,176,360.30",160628,2825.2,0.06560568150648738
4,05-Feb-2021,EQ,"2,830.00","2,849.50","2,736.50","2,825.20","2,750.00","2,750.25","2,783.65","2,988.10","1,138.25",900608,"2,506,979,695.25",55679,2750.25,-0.026887341915221796
5,08-Feb-2021,EQ,"2,770.00","2,828.80","2,765.00","2,750.25","2,803.45","2,810.30","2,800.67","2,988.10","1,138.25",528129,"1,479,115,596.00",35191,2810.3,0.021599422575472538
6,09-Feb-2021,EQ,"2,810.00","2,824.10","2,776.20","2,810.30","2,808.80","2,802.00","2,804.16","2,988.10","1,138.25",560008,"1,570,353,203.45",41616,2802.0,-0.002957791298065615
7,10-Feb-2021,EQ,"2,810.00","2,822.90","2,772.35","2,802.00","2,778.25","2,781.00","2,798.38","2,988.10","1,138.25",443060,"1,239,850,850.95",40878,2781.0,-0.007522872662987012
8,11-Feb-2021,EQ,"2,778.25","2,820.00","2,760.20","2,781.00","2,797.05","2,793.05","2,788.38","2,988.10","1,138.25",506542,"1,412,429,085.70",33099,2793.05,0.0043236134485757916
9,12-Feb-2021,EQ,"2,808.00","2,894.00","2,765.00","2,793.05","2,788.00","2,789.30","2,833.65","2,988.10","1,138.25",1299765,"3,683,080,569.95",92247,2789.3,-0.0013435204041583049
10,15-Feb-2021,EQ,"2,814.80","2,885.00","2,796.50","2,789.30","2,864.05","2,870.15","2,847.13","2,988.10","1,138.25",594293,"1,692,026,988.10",38701,2870.15,0.028573624917889617
11,16-Feb-2021,EQ,"2,864.00","2,916.00","2,854.60","2,870.15","2,875.00","2,881.65","2,888.00","2,988.10","1,138.25",1134266,"3,275,754,569.95",57205,2881.65,0.003998753546289535
12,17-Feb-2021,EQ,"2,877.00","2,944.50","2,867.10","2,881.65","2,881.20","2,881.80","2,895.55","2,988.10","1,138.25",624838,"1,809,251,638.65",39063,2881.8,5.2052156272353045e-05
13,18-Feb-2021,EQ,"2,905.90","2,967.20","2,876.00","2,881.80","2,900.00","2,902.50","2,925.94","2,988.10","1,138.25",824740,"2,413,136,045.75",46249,2902.5,0.007157335673212195
14,19-Feb-2021,EQ,"2,899.00","3,005.25","2,896.80","2,902.50","2,952.15","2,951.25","2,967.83","3,005.25","1,138.25",1405400,"4,170,986,638.25",78199,2951.25,0.01665637482767668
15,22-Feb-2021,EQ,"2,959.95","3,129.00","2,945.00","2,951.25","3,127.75","3,114.10","3,068.09","3,129.00","1,138.25",2951751,"9,056,232,926.00",152725,3114.1,0.053711376516501375
16,23-Feb-2021,EQ,"3,128.00","3,215.50","3,020.00","3,114.10","3,194.10","3,203.75","3,135.82","3,215.50","1,138.25",2045885,"6,415,521,792.65",95291,3203.75,0.028381812762056313
17,24-Feb-2021,EQ,"3,190.00","3,190.00","3,050.10","3,203.75","3,082.00","3,071.25","3,106.46","3,215.50","1,138.25",729850,"2,267,249,152.45",41335,3071.25,-0.04223735384289107
18,25-Feb-2021,EQ,"3,100.00","3,105.00","3,016.45","3,071.25","3,058.50","3,056.25","3,058.18","3,215.50","1,138.25",870053,"2,660,780,708.95",47325,3056.25,-0.0048959706122069235
19,26-Feb-2021,EQ,"3,022.95","3,092.00","2,925.35","3,056.25","2,974.80","2,994.90","2,993.47","3,215.50","1,138.25",1345274,"4,027,031,353.85",69600,2994.9,-0.020277832212693525
20,01-Mar-2021,EQ,"2,997.10","3,050.00","2,968.85","2,994.90","3,047.90","3,037.40","3,005.13","3,215.50","1,138.25",530142,"1,593,145,639.25",39060,3037.4,0.01409104428568142
21,02-Mar-2021,EQ,"3,050.70","3,129.90","3,050.65","3,037.40","3,122.00","3,121.50","3,097.96","3,215.50","1,138.25",634423,"1,965,414,207.45",44380,3121.5,0.027311769205628167
22,03-Mar-2021,EQ,"3,177.80","3,177.80","3,093.35","3,121.50","3,140.00","3,142.05","3,132.85","3,215.50","1,138.25",419284,"1,313,554,241.45",31664,3142.05,0.006561797618086729
23,04-Mar-2021,EQ,"3,112.05","3,178.00","3,112.00","3,142.05","3,121.00","3,127.15","3,145.79","3,215.50","1,138.25",409172,"1,287,170,347.10",25480,3127.15,-0.004753406512886471
24,05-Mar-2021,EQ,"3,124.00","3,126.60","3,062.00","3,127.15","3,082.00","3,073.05","3,092.65","3,215.50","1,138.25",371810,"1,149,878,155.05",28004,3073.05,-0.01745149286368175
25,08-Mar-2021,EQ,"3,101.95","3,124.90","2,996.30","3,073.05","3,009.05","3,008.00","3,061.23","3,215.50","1,138.25",348784,"1,067,707,608.40",25596,3008.0,-0.02139514767358719
26,09-Mar-2021,EQ,"3,035.10","3,059.70","2,960.00","3,008.00","2,999.90","2,992.35","3,007.29","3,215.50","1,138.25",448587,"1,349,031,100.15",32466,2992.35,-0.005216374207201113
27,10-Mar-2021,EQ,"3,020.00","3,055.00","2,978.00","2,992.35","2,996.95","3,001.60","3,007.26","3,215.50","1,138.25",453299,"1,363,188,235.35",28734,3001.6,0.003086447949376847
28,12-Mar-2021,EQ,"3,030.00","3,035.00","2,960.15","3,001.60","2,972.45","2,971.85","3,006.70","3,215.50","1,138.25",361232,"1,086,115,553.25",25727,2971.85,-0.009960825311219779
29,15-Mar-2021,EQ,"2,990.00","2,998.85","2,941.70","2,971.85","2,973.95","2,962.90","2,972.40","3,215.50","1,138.25",427713,"1,271,335,553.85",29477,2962.9,-0.003016136074780462
30,16-Mar-2021,EQ,"2,962.90","2,994.70","2,912.60","2,962.90","2,955.10","2,947.65","2,944.68","3,215.50","1,138.25",655243,"1,929,479,847.25",44901,2947.65,-0.0051602757240196695
31,17-Mar-2021,EQ,"2,961.05","2,961.05","2,851.85","2,947.65","2,861.00","2,869.80","2,882.22","3,215.50","1,138.25",512981,"1,478,522,283.80",37275,2869.8,-0.02676590178757987
32,18-Mar-2021,EQ,"2,903.90","2,909.95","2,778.00","2,869.80","2,801.25","2,791.00","2,830.66","3,215.50","1,138.25",473270,"1,339,667,915.50",29004,2791.0,-0.02784238637798353
33,19-Mar-2021,EQ,"2,746.00","2,883.15","2,690.00","2,791.00","2,864.00","2,868.05","2,796.35","3,215.50","1,138.25",846776,"2,367,879,182.40",55210,2868.05,0.02723240178296571
34,22-Mar-2021,EQ,"2,873.00","2,900.10","2,818.85","2,868.05","2,883.95","2,879.30","2,867.99","3,215.50","1,160.25",490688,"1,407,286,336.70",29758,2879.3,0.003914852712359362
35,23-Mar-2021,EQ,"2,890.00","2,946.75","2,871.00","2,879.30","2,929.00","2,931.75","2,912.29","3,215.50","1,160.25",456206,"1,328,603,304.20",30184,2931.75,0.018052305309526062
36,24-Mar-2021,EQ,"2,924.95","2,952.50","2,858.00","2,931.75","2,879.95","2,868.05","2,905.96","3,215.50","1,160.25",515661,"1,498,491,606.55",36993,2868.05,-0.021967158021885425
37,25-Mar-2021,EQ,"2,978.00","2,984.95","2,810.00","2,868.05","2,829.00","2,824.65","2,893.40","3,215.50","1,160.25",1483038,"4,291,028,221.55",88396,2824.65,-0.01524789321952813
38,26-Mar-2021,EQ,"2,869.95","2,917.25","2,860.00","2,824.65","2,888.00","2,880.80","2,890.23","3,215.50","1,160.25",835241,"2,414,041,375.25",46484,2880.8,0.01968357023490519
39,30-Mar-2021,EQ,"2,909.75","2,982.45","2,900.60","2,880.80","2,967.95","2,955.70","2,942.67","3,215.50","1,265.00",964329,"2,837,706,583.05",46493,2955.7,0.025667476085151186
40,31-Mar-2021,EQ,"2,961.00","3,025.00","2,891.65","2,955.70","2,920.00","2,910.95","2,968.74","3,215.50","1,265.00",1008421,"2,993,744,124.10",59899,2910.95,-0.015256021049806279
41,01-Apr-2021,EQ,"2,944.95","2,968.00","2,906.20","2,910.95","2,957.00","2,950.75","2,939.05","3,215.50","1,265.00",465741,"1,368,835,054.85",43218,2950.75,0.01357988693916834
42,05-Apr-2021,EQ,"2,939.05","2,966.25","2,807.55","2,950.75","2,844.15","2,837.00","2,862.45","3,215.50","1,311.00",669772,"1,917,190,637.15",47198,2837.0,-0.03931221950032704
43,06-Apr-2021,EQ,"2,854.00","2,864.05","2,786.00","2,837.00","2,801.30","2,796.90","2,821.08","3,215.50","1,311.00",519261,"1,464,874,427.65",37184,2796.9,-0.014235494838093388
