,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,86.95,92.5,84.5,86.0,92.45,91.6,88.39,134.0,45.9,22210903,"1,963,317,942.90",80514,91.6,
1,02-Feb-2021,EQ,93.3,95.9,92.05,91.6,93.95,93.8,93.62,134.0,45.9,24106922,"2,256,885,817.75",80316,93.8,0.023733584332093827
2,03-Feb-2021,EQ,94.0,94.95,92.25,93.8,92.5,92.6,93.14,134.0,45.9,14315063,"1,333,367,805.65",47632,92.6,-0.012875714360045087
3,04-Feb-2021,EQ,92.4,94.6,91.7,92.6,93.25,93.35,93.41,134.0,45.9,13433006,"1,254,825,680.40",53165,93.35,0.008066728335598405
4,05-Feb-2021,EQ,94.0,94.55,89.9,93.35,90.4,90.5,91.88,134.0,45.9,16360084,"1,503,180,770.00",66772,90.5,-0.031006019281851316
5,08-Feb-2021,EQ,90.8,91.85,90.0,90.5,90.65,90.5,90.72,134.0,45.9,8943057,"811,344,121.70",30775,90.5,0.0
6,09-Feb-2021,EQ,90.7,90.7,88.05,90.5,88.7,88.55,89.18,134.0,45.9,12375514,"1,103,621,481.25",39943,88.55,-0.021782486477038177
7,10-Feb-2021,EQ,88.95,91.45,88.75,88.55,91.0,90.7,90.39,134.0,45.9,15050963,"1,360,526,573.20",54503,90.7,0.02398999289224868
8,11-Feb-2021,EQ,90.7,94.5,90.55,90.7,93.6,93.95,93.31,134.0,45.9,23201309,"2,165,004,275.85",66152,93.95,0.035205368738383314
9,12-Feb-2021,EQ,93.9,95.25,93.1,93.95,94.15,94.25,94.33,134.0,45.9,15762516,"1,486,892,464.80",48495,94.25,0.003188100468645594
10,15-Feb-2021,EQ,95.15,101.85,95.0,94.25,98.15,98.4,98.78,127.65,45.9,40065115,"3,957,682,451.25",135508,98.4,0.04308997773008727
11,16-Feb-2021,EQ,98.8,101.0,97.35,98.4,98.65,98.6,98.99,127.65,45.9,23011432,"2,277,890,411.05",76256,98.6,0.0020304575503820033
12,17-Feb-2021,EQ,98.65,99.2,97.15,98.6,97.8,97.85,98.33,127.65,45.9,12102312,"1,190,034,760.05",32826,97.85,-0.007635567766504536
13,18-Feb-2021,EQ,98.75,102.65,98.0,97.85,102.15,101.95,100.2,127.65,45.9,21795448,"2,183,916,093.40",59777,101.95,0.0410468031783795
14,19-Feb-2021,EQ,101.95,105.2,98.8,101.95,100.5,99.85,102.42,127.65,45.9,33641916,"3,445,754,915.60",157622,99.85,-0.02081343715864037
15,22-Feb-2021,EQ,100.0,100.85,95.0,99.85,95.25,95.85,97.64,122.5,45.9,19777212,"1,931,029,623.40",67333,95.85,-0.04088459037017067
16,23-Feb-2021,EQ,96.3,99.4,96.3,95.85,99.0,98.75,98.03,122.5,45.9,16654985,"1,632,649,256.05",52080,98.75,0.029806934289577924
17,24-Feb-2021,EQ,98.75,103.5,97.5,98.75,103.15,103.05,101.59,122.5,45.9,18573429,"1,886,949,381.15",57633,103.05,0.04262290355523657
18,25-Feb-2021,EQ,103.85,106.95,103.3,103.05,106.1,106.25,105.66,122.5,45.9,28858499,"3,049,282,291.90",93858,106.25,0.030580500468058602
19,26-Feb-2021,EQ,102.7,106.1,102.15,106.25,104.5,104.9,104.42,122.5,45.9,33170431,"3,463,541,877.75",83690,104.9,-0.012787292402275163
20,01-Mar-2021,EQ,105.1,108.4,104.05,104.9,107.3,107.2,106.22,109.5,45.9,21914799,"2,327,774,290.45",83817,107.2,0.021688733234450197
21,02-Mar-2021,EQ,107.9,109.4,106.5,107.2,107.0,107.0,107.54,109.5,45.9,15436767,"1,660,131,083.00",59660,107.0,-0.001867414174795634
22,03-Mar-2021,EQ,107.5,113.4,107.05,107.0,113.1,112.3,110.3,113.4,45.9,26327611,"2,904,012,384.20",106349,112.3,0.048345027282492126
