,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,345.25,354.65,333.05,345.35,351.0,350.1,346.11,"1,550.00",252.0,4458153,"1,543,032,824.45",54808,350.1,
1,02-Feb-2021,EQ,354.0,359.4,345.0,350.1,346.55,346.55,350.67,"1,550.00",252.0,3651784,"1,280,565,009.70",53153,346.55,-0.01019171959662657
2,03-Feb-2021,EQ,348.95,353.0,340.0,346.55,342.5,341.7,347.01,"1,550.00",252.0,3874728,"1,344,560,549.55",61946,341.7,-0.014093949242747428
3,04-Feb-2021,EQ,342.95,347.7,341.2,341.7,347.0,346.6,345.57,"1,550.00",252.0,2394860,"827,580,835.80",36942,346.6,0.014238218160259386
4,05-Feb-2021,EQ,348.5,349.65,341.1,346.6,342.3,341.75,343.85,"1,550.00",252.0,1911346,"657,217,543.00",28644,341.75,-0.014091901677446117
5,08-Feb-2021,EQ,344.95,359.4,343.0,341.75,358.1,357.25,354.35,"1,550.00",252.0,4485525,"1,589,436,982.85",67244,357.25,0.04435634120591736
6,09-Feb-2021,EQ,360.0,365.0,358.0,357.25,361.35,360.7,362.01,"1,550.00",252.0,3484971,"1,261,591,355.75",51752,360.7,0.009610771099517024
7,10-Feb-2021,EQ,361.35,363.6,355.5,360.7,359.7,359.3,359.08,"1,550.00",252.0,1758227,"631,337,797.15",19937,359.3,-0.0038888937900205534
8,11-Feb-2021,EQ,358.0,369.7,356.2,359.3,368.0,367.35,364.94,"1,550.00",252.0,3485679,"1,272,051,276.00",38557,367.35,0.022157377946813384
9,12-Feb-2021,EQ,368.95,380.0,365.9,367.35,375.9,375.65,374.97,"1,550.00",252.0,5297950,"1,986,583,853.60",57414,375.65,0.022342786748883015
10,15-Feb-2021,EQ,378.0,379.4,367.4,375.65,368.0,368.7,373.83,"1,550.00",252.0,2056732,"768,875,734.65",26574,368.7,-0.018674553575070973
11,16-Feb-2021,EQ,369.05,375.0,365.1,368.7,374.8,372.7,370.07,"1,550.00",252.0,1765871,"653,489,662.05",26048,372.7,0.010790501245113937
12,17-Feb-2021,EQ,374.5,377.25,364.1,372.7,367.2,366.8,370.32,"1,550.00",252.0,2298146,"851,059,393.30",30388,366.8,-0.015957066102902928
13,18-Feb-2021,EQ,367.0,375.0,366.1,366.8,369.5,369.25,370.41,"1,550.00",252.0,2104519,"779,539,763.45",28253,369.25,0.006657181029179782
14,19-Feb-2021,EQ,369.0,373.55,362.6,369.25,365.5,365.35,368.63,"1,550.00",252.0,1982699,"730,877,609.45",22369,365.35,-0.010618123174262806
15,22-Feb-2021,EQ,367.0,369.0,355.0,365.35,357.0,358.1,361.03,"1,550.00",252.0,1739504,"628,010,266.10",34939,358.1,-0.020043521232839367
16,23-Feb-2021,EQ,358.5,364.55,358.15,358.1,364.0,361.75,361.26,"1,550.00",252.0,1665753,"601,773,873.90",26004,361.75,0.010141088507205964
