,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,401.6,449.0,392.5,395.7,432.35,432.9,417.75,463.8,185.25,13821161,"5,773,795,489.05",144301,432.9,
1,02-Feb-2021,EQ,436.5,455.5,435.85,432.9,440.2,441.0,446.46,463.8,185.25,9719962,"4,339,581,896.00",113138,441.0,0.018538120998910834
2,03-Feb-2021,EQ,444.7,451.3,428.3,441.0,449.0,448.65,441.42,463.8,185.25,10279238,"4,537,451,655.75",109189,448.65,0.017198198297220912
3,04-Feb-2021,EQ,450.0,457.95,445.75,448.65,451.15,452.25,453.06,463.8,185.25,6190152,"2,804,512,554.85",83657,452.25,0.007992050531338002
4,05-Feb-2021,EQ,457.0,458.4,431.05,452.25,433.55,433.2,443.55,463.8,185.25,8966900,"3,977,309,400.00",99061,433.2,-0.04303560914856952
5,08-Feb-2021,EQ,437.7,447.95,435.1,433.2,438.0,437.3,441.08,463.8,185.25,4534590,"2,000,134,557.20",81928,437.3,0.009419943292039434
6,09-Feb-2021,EQ,440.0,446.3,434.5,437.3,439.55,438.9,440.65,463.8,185.25,4088716,"1,801,695,137.85",44772,438.9,0.0036521382753136322
7,10-Feb-2021,EQ,439.0,442.7,432.8,438.9,440.2,439.25,438.01,463.8,185.25,3504928,"1,535,200,647.85",42342,439.25,0.0007971303730176516
8,11-Feb-2021,EQ,439.0,443.3,433.5,439.25,435.1,434.5,436.29,463.8,185.25,2945862,"1,285,251,857.20",38405,434.5,-0.01087278236175937
9,12-Feb-2021,EQ,435.4,445.9,434.25,434.5,442.6,442.5,441.62,463.8,185.25,5424346,"2,395,514,612.15",76533,442.5,0.018244519742537157
10,15-Feb-2021,EQ,446.95,479.9,444.4,442.5,478.0,476.05,464.94,479.9,185.25,17082918,"7,942,586,507.20",197372,476.05,0.0730824262837162
11,16-Feb-2021,EQ,480.9,483.35,465.75,476.05,468.55,469.8,472.53,483.35,185.25,6489108,"3,066,294,514.75",94965,469.8,-0.0132158185068878
12,17-Feb-2021,EQ,468.0,477.3,463.0,469.8,469.1,470.45,469.46,483.35,185.25,6851793,"3,216,654,194.90",99127,470.45,0.0013826112279620162
13,18-Feb-2021,EQ,473.8,487.4,469.6,470.45,475.4,478.85,478.77,487.4,185.25,7414935,"3,550,061,606.55",93638,478.85,0.017697712514854302
14,19-Feb-2021,EQ,474.45,478.9,443.65,478.85,449.25,449.3,461.37,487.4,185.25,7784979,"3,591,723,788.35",106086,449.3,-0.06369657989151456
15,22-Feb-2021,EQ,452.75,452.75,425.45,449.3,427.0,428.15,436.96,487.4,185.25,6143541,"2,684,477,755.70",92383,428.15,-0.04821721460391348
16,23-Feb-2021,EQ,430.0,437.2,425.85,428.15,429.65,429.75,431.42,487.4,185.25,4858077,"2,095,862,071.60",71533,429.75,0.003730042790757615
17,24-Feb-2021,EQ,431.55,446.7,431.55,429.75,444.0,443.5,441.95,487.4,185.25,3597991,"1,590,128,067.65",59040,443.5,0.03149415748667561
18,25-Feb-2021,EQ,447.8,455.7,444.7,443.5,451.25,451.25,451.1,487.4,185.25,5397000,"2,434,587,116.80",78894,451.25,0.01732370789745641
19,26-Feb-2021,EQ,442.0,442.0,428.0,451.25,430.4,429.5,433.16,487.4,185.25,5690320,"2,464,803,815.10",86926,429.5,-0.049399768222779805
20,01-Mar-2021,EQ,435.0,437.4,428.0,429.5,432.6,433.2,432.91,487.4,185.25,3331413,"1,442,191,808.80",55085,433.2,0.008577773702524993
21,02-Mar-2021,EQ,435.0,443.55,434.2,433.2,441.15,441.45,439.46,487.4,185.25,3428247,"1,506,571,096.60",51958,441.45,0.01886524822075586
22,03-Mar-2021,EQ,445.45,466.65,445.45,441.45,464.4,464.3,456.72,487.4,185.25,7471882,"3,412,584,824.90",100347,464.3,0.0504661316782844
23,04-Mar-2021,EQ,459.95,463.0,452.7,464.3,454.95,454.2,456.97,487.4,185.25,3955080,"1,807,334,558.00",59145,454.2,-0.0219932653544177
24,05-Mar-2021,EQ,453.0,453.0,430.55,454.2,436.8,436.25,439.35,487.4,185.25,4858112,"2,134,432,018.75",91355,436.25,-0.040322156154821265
25,08-Mar-2021,EQ,440.1,443.7,430.5,436.25,432.2,432.15,435.47,487.4,185.25,4012307,"1,747,246,492.20",69424,432.15,-0.009442723317989454
26,09-Mar-2021,EQ,434.0,439.1,423.0,432.15,430.2,429.05,431.32,487.4,185.25,4140737,"1,785,974,910.80",59977,429.05,-0.007199287945517163
27,10-Mar-2021,EQ,433.5,436.8,430.1,429.05,433.8,433.15,433.03,487.4,185.25,1920663,"831,714,047.10",33093,433.15,0.009510626083018892
28,12-Mar-2021,EQ,435.15,441.8,427.45,433.15,430.0,429.95,435.11,487.4,185.25,2896577,"1,260,339,683.50",49679,429.95,-0.007415165479243591
29,15-Mar-2021,EQ,432.1,433.6,411.7,429.95,420.2,419.8,419.16,487.4,185.25,5126227,"2,148,691,569.30",87433,419.8,-0.023890515470372797
30,16-Mar-2021,EQ,422.5,434.0,421.0,419.8,429.5,430.05,428.19,487.4,185.25,3447788,"1,476,300,056.30",53765,430.05,0.024123073610955892
31,17-Mar-2021,EQ,428.35,432.1,415.75,430.05,416.9,417.15,423.55,487.4,185.25,3061963,"1,296,896,340.85",48496,417.15,-0.0304556116494048
32,18-Mar-2021,EQ,420.3,426.7,405.1,417.15,409.75,408.2,414.99,487.4,185.25,3403019,"1,412,221,627.15",59095,408.2,-0.021688618972339313
33,19-Mar-2021,EQ,404.0,419.5,397.0,408.2,417.0,416.45,409.67,487.4,185.25,5752521,"2,356,635,171.15",75895,416.45,0.020009156005604822
34,22-Mar-2021,EQ,417.5,423.6,411.0,416.45,414.85,414.5,416.78,487.4,185.25,3171767,"1,321,938,713.50",66732,414.5,-0.0046934318059994595
35,23-Mar-2021,EQ,415.8,425.0,415.1,414.5,418.6,418.1,420.07,487.4,185.25,3856153,"1,619,849,725.75",64335,418.1,0.008647663787169968
36,24-Mar-2021,EQ,420.0,420.75,408.1,418.1,410.4,409.3,412.58,487.4,185.25,3372206,"1,391,316,685.55",53120,409.3,-0.0212722548641624
37,25-Mar-2021,EQ,410.0,417.8,401.5,409.3,412.1,412.8,410.33,487.4,185.25,4224464,"1,733,442,389.40",62781,412.8,0.008514830668995721
38,26-Mar-2021,EQ,416.65,423.35,414.3,412.8,420.4,419.8,420.08,487.4,185.25,3223942,"1,354,298,785.00",50262,419.8,0.01681519321917957
39,30-Mar-2021,EQ,422.0,427.4,414.8,419.8,419.0,420.55,421.14,487.4,209.35,2478626,"1,043,847,390.20",41174,420.55,0.0017849710219133286
40,31-Mar-2021,EQ,421.0,432.45,420.1,420.55,428.25,428.2,425.8,487.4,209.35,3522833,"1,500,018,867.60",67573,428.2,0.018026997747136342
41,01-Apr-2021,EQ,431.75,433.9,424.0,428.2,432.05,432.85,429.44,487.4,209.35,2815660,"1,209,169,200.15",39211,432.85,0.010800871506200238
