,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"3,997.00","4,010.00","3,905.00","3,963.90","3,978.00","3,937.65","3,965.51","4,483.00","1,210.00",128714,"510,416,281.65",23785,3937.65,
1,02-Feb-2021,EQ,"3,977.25","4,100.00","3,951.00","3,937.65","4,055.00","4,038.55","4,041.31","4,483.00","1,210.00",158015,"638,587,866.50",29057,4038.55,0.02530161799379904
2,03-Feb-2021,EQ,"4,050.00","4,347.00","4,038.55","4,038.55","4,295.00","4,305.50","4,226.25","4,483.00","1,210.00",343177,"1,450,353,134.00",36638,4305.5,0.06400755849604245
3,04-Feb-2021,EQ,"4,317.00","4,379.95","4,252.15","4,305.50","4,297.00","4,303.70","4,314.99","4,483.00","1,210.00",146650,"632,793,118.80",21826,4303.7,-0.00041815732616967694
4,05-Feb-2021,EQ,"4,301.00","4,320.00","4,118.60","4,303.70","4,136.00","4,124.65","4,171.16","4,483.00","1,210.00",142196,"593,121,879.55",32606,4124.65,-0.04249395012595514
5,08-Feb-2021,EQ,"4,161.80","4,165.40","4,075.00","4,124.65","4,118.00","4,101.90","4,104.10","4,483.00","1,210.00",111277,"456,692,406.95",21419,4101.9,-0.005530886700949367
6,09-Feb-2021,EQ,"4,121.70","4,169.85","4,046.40","4,101.90","4,079.95","4,067.80","4,110.41","4,483.00","1,210.00",90282,"371,096,160.20",15455,4067.8,-0.008347968231751324
7,10-Feb-2021,EQ,"4,075.00","4,100.00","3,957.80","4,067.80","4,003.90","3,999.90","4,000.00","4,483.00","1,210.00",109185,"436,739,640.40",20367,3999.9,-0.016832951961871956
8,11-Feb-2021,EQ,"3,983.00","4,049.90","3,980.00","3,999.90","4,010.00","4,026.35","4,017.11","4,483.00","1,210.00",87408,"351,127,890.35",14872,4026.35,0.006590897554593411
9,12-Feb-2021,EQ,"4,026.35","4,077.70","3,990.00","4,026.35","4,052.00","4,039.90","4,029.70","4,483.00","1,210.00",65326,"263,244,394.45",14053,4039.9,0.003359680829484901
