,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"2,455.00","2,485.05","2,410.00","2,433.90","2,470.05","2,476.20","2,462.83","2,748.95",995.00,159035,"391,676,036.60",17333,2476.2,
1,02-Feb-2021,EQ,"2,550.00","2,558.55","2,487.40","2,476.20","2,545.10","2,549.60","2,535.52","2,748.95",995.00,227466,"576,745,106.10",27777,2549.6,0.029211357116535552
2,03-Feb-2021,EQ,"2,555.00","2,630.90","2,518.05","2,549.60","2,567.40","2,565.90","2,587.74","2,748.95",995.00,239517,"619,808,746.85",23173,2565.9,0.006372810151719754
3,04-Feb-2021,EQ,"2,580.20","2,649.00","2,560.05","2,565.90","2,611.05","2,618.90","2,611.71","2,748.95",995.00,217992,"569,331,760.10",29249,2618.9,0.0204450880114857
4,05-Feb-2021,EQ,"2,624.00","2,760.00","2,620.05","2,618.90","2,700.00","2,727.65","2,694.12","2,760.00",995.00,345565,"930,992,879.55",33332,2727.65,0.04068605034575068
5,08-Feb-2021,EQ,"2,738.60","2,738.60","2,660.30","2,727.65","2,700.00","2,700.55","2,699.17","2,760.00",995.00,193514,"522,326,586.25",23236,2700.55,-0.009984976660740053
6,09-Feb-2021,EQ,"2,702.45","2,720.00","2,652.00","2,700.55","2,658.00","2,668.70","2,696.83","2,760.00",995.00,104489,"281,789,187.65",14299,2668.7,-0.011863993512914561
7,10-Feb-2021,EQ,"2,680.00","2,689.00","2,565.00","2,668.70","2,622.00","2,622.15","2,609.27","2,760.00",995.00,168571,"439,847,206.60",17388,2622.15,-0.017596870513124863
8,11-Feb-2021,EQ,"2,622.15","2,640.00","2,575.00","2,622.15","2,580.00","2,580.65","2,594.15","2,760.00",995.00,102348,"265,506,122.80",9258,2580.65,-0.015953286756188234
9,12-Feb-2021,EQ,"2,590.00","2,611.95","2,567.00","2,580.65","2,600.00","2,599.90","2,594.22","2,760.00",995.00,65750,"170,569,818.55",6827,2599.9,0.0074316775623337605
10,15-Feb-2021,EQ,"2,619.90","2,639.00","2,567.00","2,599.90","2,589.50","2,586.50","2,607.69","2,760.00",995.00,85374,"222,629,306.30",15808,2586.5,-0.005167372287878891
11,16-Feb-2021,EQ,"2,595.00","2,679.00","2,586.10","2,586.50","2,667.00","2,660.30","2,645.96","2,760.00",995.00,225924,"597,785,853.30",14006,2660.3,0.028133287927656347
12,17-Feb-2021,EQ,"2,672.00","2,690.00","2,622.40","2,660.30","2,655.40","2,667.10","2,659.56","2,760.00",995.00,192162,"511,066,325.70",12208,2667.1,0.0025528414209423644
13,18-Feb-2021,EQ,"2,667.10","2,680.00","2,620.10","2,667.10","2,664.00","2,658.65","2,657.93","2,760.00",995.00,113384,"301,366,886.80",10295,2658.65,-0.003173264644671825
14,19-Feb-2021,EQ,"2,642.00","2,675.00","2,576.85","2,658.65","2,670.00","2,643.05","2,617.11","2,760.00",995.00,91922,"240,569,634.25",13922,2643.05,-0.0058849218258183456
15,22-Feb-2021,EQ,"2,630.00","2,649.40","2,520.00","2,643.05","2,528.00","2,536.65","2,558.58","2,760.00",995.00,107952,"276,203,465.70",16108,2536.65,-0.04108924045787443
16,23-Feb-2021,EQ,"2,540.20","2,558.00","2,441.00","2,536.65","2,448.00","2,460.35","2,484.37","2,760.00",995.00,131281,"326,149,962.85",15879,2460.35,-0.030540696634961506
17,24-Feb-2021,EQ,"2,460.00","2,504.90","2,459.80","2,460.35","2,500.00","2,495.05","2,483.53","2,760.00",995.00,50034,"124,260,992.35",5940,2495.05,0.014005152836137569
18,25-Feb-2021,EQ,"2,514.00","2,644.00","2,505.35","2,495.05","2,635.00","2,620.85","2,569.21","2,760.00",995.00,221412,"568,854,402.55",18433,2620.85,0.04918992355586305
19,26-Feb-2021,EQ,"2,600.00","2,613.85","2,530.40","2,620.85","2,568.45","2,567.70","2,583.70","2,760.00",995.00,153140,"395,667,686.20",20905,2567.7,-0.020488136065169194
20,01-Mar-2021,EQ,"2,589.50","2,626.00","2,570.00","2,567.70","2,579.50","2,578.05","2,591.06","2,760.00",995.00,94565,"245,023,885.85",12148,2578.05,0.004022742635132914
21,02-Mar-2021,EQ,"2,575.00","2,760.40","2,565.00","2,578.05","2,760.00","2,729.80","2,679.40","2,760.40",995.00,385403,"1,032,648,475.95",30007,2729.8,0.05719504723128832
22,03-Mar-2021,EQ,"2,730.00","2,807.60","2,682.60","2,729.80","2,695.00","2,712.35","2,758.71","2,807.60",995.00,551997,"1,522,798,030.30",38643,2712.35,-0.0064129286416259035
23,04-Mar-2021,EQ,"2,654.00","2,765.00","2,654.00","2,712.35","2,689.95","2,688.80","2,726.59","2,807.60",995.00,240482,"655,694,709.90",17306,2688.8,-0.008720420369573212
24,05-Mar-2021,EQ,"2,695.00","2,721.00","2,610.00","2,688.80","2,625.00","2,622.65","2,660.87","2,807.60",995.00,109462,"291,264,585.65",10493,2622.65,-0.024909740445357542
25,08-Mar-2021,EQ,"2,638.00","2,763.00","2,616.65","2,622.65","2,706.00","2,715.25","2,729.05","2,807.60",995.00,387249,"1,056,821,799.90",27475,2715.25,0.03469877319460757
26,09-Mar-2021,EQ,"2,731.90","2,770.00","2,630.10","2,715.25","2,759.00","2,740.30","2,703.15","2,807.60",995.00,215554,"582,675,630.20",17713,2740.3,0.009183373279576301
27,10-Mar-2021,EQ,"2,785.00","2,852.25","2,740.10","2,740.30","2,765.05","2,759.95","2,808.03","2,852.25",995.00,745642,"2,093,786,058.10",54302,2759.95,0.0071451601653489405
28,12-Mar-2021,EQ,"2,781.00","2,810.00","2,726.00","2,759.95","2,737.05","2,741.75","2,765.75","2,852.25",995.00,263969,"730,073,095.05",27526,2741.75,-0.006616160964752815
29,15-Mar-2021,EQ,"2,764.00","2,790.00","2,682.00","2,741.75","2,736.00","2,734.70","2,739.49","2,852.25",995.00,236512,"647,921,359.20",20397,2734.7,-0.0025746620144326826
30,16-Mar-2021,EQ,"2,758.55","2,858.15","2,752.00","2,734.70","2,779.00","2,780.90","2,812.13","2,858.15",995.00,429895,"1,208,919,528.95",25439,2780.9,0.016752875673179624
31,17-Mar-2021,EQ,"2,794.95","2,795.00","2,557.90","2,780.90","2,600.00","2,589.45","2,652.36","2,858.15",995.00,727509,"1,929,613,558.65",50636,2589.45,-0.07132911836839728
32,18-Mar-2021,EQ,"2,639.00","2,664.95","2,475.00","2,589.45","2,555.00","2,549.00","2,547.82","2,858.15",995.00,841707,"2,144,518,948.30",61824,2549.0,-0.0157443725545523
33,19-Mar-2021,EQ,"2,552.25","2,637.60","2,501.00","2,549.00","2,590.00","2,592.40","2,589.87","2,858.15",995.00,473949,"1,227,466,490.90",30716,2592.4,0.016882962177445116
34,22-Mar-2021,EQ,"2,585.00","2,632.00","2,583.20","2,592.40","2,597.50","2,596.35","2,600.57","2,858.15",995.00,205762,"535,099,077.05",17402,2596.35,0.001522524986956597
35,23-Mar-2021,EQ,"2,614.80","2,658.80","2,559.60","2,596.35","2,570.00","2,571.15","2,606.97","2,858.15",995.00,284502,"741,687,299.75",22995,2571.15,-0.009753342919341712
36,24-Mar-2021,EQ,"2,570.00","2,586.65","2,490.00","2,571.15","2,500.00","2,498.60","2,534.12","2,858.15",995.00,277955,"704,372,155.70",18040,2498.6,-0.028622694623446243
37,25-Mar-2021,EQ,"2,510.00","2,545.00","2,480.05","2,498.60","2,502.40","2,492.55","2,503.18","2,858.15",995.00,224277,"561,405,377.15",17509,2492.55,-0.0024242921823969255
38,26-Mar-2021,EQ,"2,535.80","2,569.00","2,505.00","2,492.55","2,555.95","2,548.65","2,546.36","2,858.15",995.00,108930,"277,375,527.60",10533,2548.65,0.022257524384545313
39,30-Mar-2021,EQ,"2,590.00","2,656.00","2,550.00","2,548.65","2,644.00","2,640.65","2,606.51","2,858.15","1,065.50",268490,"699,822,353.85",20502,2640.65,0.03546129175646673
40,31-Mar-2021,EQ,"2,658.05","2,720.00","2,630.35","2,640.65","2,658.00","2,653.90","2,685.21","2,858.15","1,065.50",338229,"908,215,193.35",26001,2653.9,0.005005157250805858
41,01-Apr-2021,EQ,"2,679.95","2,757.60","2,679.00","2,653.90","2,721.15","2,720.60","2,717.57","2,858.15","1,065.50",312036,"847,979,132.00",28013,2720.6,0.0248221879921795
42,05-Apr-2021,EQ,"2,731.45","2,794.80","2,687.00","2,720.60","2,749.00","2,760.00","2,745.74","2,858.15","1,065.50",376273,"1,033,146,047.85",31550,2760.0,0.014378235511865789
43,06-Apr-2021,EQ,"2,786.00","2,791.75","2,725.00","2,760.00","2,756.50","2,745.85","2,750.48","2,858.15","1,065.50",248421,"683,276,545.40",20394,2745.85,-0.005139998784231992
44,07-Apr-2021,EQ,"2,758.95","2,869.00","2,719.50","2,745.85","2,844.00","2,840.75","2,805.62","2,869.00","1,065.50",365936,"1,026,676,060.15",31484,2840.75,0.03397742087115496
45,08-Apr-2021,EQ,"2,864.75","2,928.00","2,810.00","2,840.75","2,881.30","2,867.15","2,878.49","2,928.00","1,065.50",527189,"1,517,508,509.10",44361,2867.15,0.00925040321436743
46,09-Apr-2021,EQ,"2,878.00","3,062.15","2,873.00","2,867.15","2,918.00","2,911.85","2,986.35","3,062.15","1,065.50",1182422,"3,531,127,323.40",85333,2911.85,0.015470112988342777
47,12-Apr-2021,EQ,"2,909.85","2,909.85","2,737.00","2,911.85","2,832.85","2,838.70","2,816.91","3,062.15","1,065.50",450892,"1,270,121,372.90",35769,2838.7,-0.025442417122351735
48,13-Apr-2021,EQ,"2,828.70","2,880.60","2,673.15","2,838.70","2,692.00","2,689.35","2,726.43","3,062.15","1,065.50",452777,"1,234,463,767.85",35962,2689.35,-0.054046672168930776
49,15-Apr-2021,EQ,"2,703.50","2,787.65","2,643.85","2,689.35","2,771.00","2,756.85","2,726.02","3,062.15","1,065.50",441352,"1,203,133,154.25",34449,2756.85,0.024789194870046494
50,16-Apr-2021,EQ,"2,759.60","2,784.85","2,711.00","2,756.85","2,726.00","2,725.55","2,747.91","3,062.15","1,065.50",236366,"649,511,981.50",19555,2725.55,-0.011418480985778245
51,19-Apr-2021,EQ,"2,680.00","2,784.00","2,655.00","2,725.55","2,685.00","2,686.95","2,719.34","3,062.15","1,065.50",368259,"1,001,420,203.85",29964,2686.95,-0.014263521264593848
52,20-Apr-2021,EQ,"2,690.95","2,748.90","2,595.00","2,686.95","2,615.00","2,608.65","2,638.08","3,062.15","1,065.50",442373,"1,167,016,113.80",34810,2608.65,-0.029573875207259626
