,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"1,008.00","1,010.00",978.00,"1,007.60",990.50,988.40,992.68,"1,122.30",504.75,3169169,"3,145,974,357.95",61538,988.4,
1,02-Feb-2021,EQ,"1,000.00","1,036.45",995.55,988.40,"1,031.95","1,032.50","1,018.68","1,122.30",504.75,3466440,"3,531,196,679.10",48821,1032.5,0.04365085072073249
2,03-Feb-2021,EQ,"1,037.70","1,068.30","1,026.60","1,032.50","1,036.50","1,038.85","1,050.05","1,122.30",504.75,3785742,"3,975,223,145.80",66682,1038.85,0.006131286255607549
3,04-Feb-2021,EQ,"1,040.50","1,061.70","1,032.00","1,038.85","1,053.00","1,051.30","1,052.79","1,122.30",504.75,1934623,"2,036,750,847.25",34340,1051.3,0.011913161490990198
4,05-Feb-2021,EQ,"1,059.40","1,081.90","1,042.85","1,051.30","1,072.00","1,069.85","1,060.07","1,122.30",504.75,3230271,"3,424,329,499.00",72301,1069.85,0.01749095813117485
5,08-Feb-2021,EQ,"1,079.90","1,087.00","1,061.50","1,069.85","1,068.55","1,072.60","1,074.41","1,122.30",504.75,2040758,"2,192,603,790.70",55134,1072.6,0.002567155835865087
6,09-Feb-2021,EQ,"1,072.60","1,080.00","1,053.00","1,072.60","1,058.40","1,058.30","1,069.73","1,122.30",504.75,1392375,"1,489,460,505.35",34616,1058.3,-0.013421760449146447
7,10-Feb-2021,EQ,"1,058.30","1,073.70","1,048.70","1,058.30","1,070.10","1,069.10","1,062.63","1,122.30",504.75,1281670,"1,361,937,710.60",31726,1069.1,0.010153325919775469
8,11-Feb-2021,EQ,"1,063.60","1,070.00","1,053.00","1,069.10","1,056.45","1,060.15","1,060.01","1,122.30",504.75,1439978,"1,526,394,103.10",29853,1060.15,-0.008406765490894585
9,12-Feb-2021,EQ,"1,068.00","1,068.00","1,048.00","1,060.15","1,051.00","1,053.00","1,055.76","1,122.30",504.75,962147,"1,015,795,046.90",19549,1053.0,-0.0067671743945840745
10,15-Feb-2021,EQ,"1,055.00","1,073.90","1,051.40","1,053.00","1,058.00","1,058.55","1,063.56","1,122.30",504.75,2120192,"2,254,946,872.95",45428,1058.55,0.0052568139809734404
11,16-Feb-2021,EQ,"1,064.95","1,101.45","1,050.00","1,058.55","1,099.90","1,096.80","1,078.40","1,122.30",504.75,3822108,"4,121,743,510.25",62267,1096.8,0.03549680213315565
