,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,156.0,162.65,153.05,154.75,162.2,161.45,157.33,403.3,112.7,10953237,"1,723,293,732.05",63856,161.45,
1,02-Feb-2021,EQ,163.7,175.0,163.5,161.45,172.25,172.05,170.19,403.3,112.7,18854306,"3,208,754,042.70",92591,172.05,0.06358963503920556
2,03-Feb-2021,EQ,173.8,185.0,170.05,172.05,184.1,184.05,178.71,403.3,112.7,12744365,"2,277,482,462.05",78396,184.05,0.06742232758154021
3,04-Feb-2021,EQ,184.0,184.0,177.5,184.05,181.25,181.65,181.13,403.3,112.7,11844321,"2,145,400,333.40",59392,181.65,-0.013125701157819414
4,05-Feb-2021,EQ,183.0,184.5,175.6,181.65,177.4,176.95,178.37,403.3,112.7,8252129,"1,471,936,175.75",66058,176.95,-0.0262145518757384
5,08-Feb-2021,EQ,179.0,187.9,178.05,176.95,184.5,184.15,184.98,403.3,112.7,11716067,"2,167,280,863.80",77627,184.15,0.03988343609960232
6,09-Feb-2021,EQ,185.85,186.75,180.8,184.15,183.65,183.8,183.85,403.3,112.7,5782730,"1,063,178,199.95",48925,183.8,-0.0019024329694881104
7,10-Feb-2021,EQ,185.0,195.35,183.5,183.8,190.4,190.55,190.67,403.3,112.7,22157384,"4,224,671,929.10",118723,190.55,0.03606641739828298
8,11-Feb-2021,EQ,190.55,198.85,187.2,190.55,196.8,196.95,195.31,403.3,112.7,14081781,"2,750,254,948.15",93887,196.95,0.033035262097045326
9,12-Feb-2021,EQ,197.4,208.2,194.6,196.95,206.5,205.45,204.45,403.3,112.7,22897734,"4,681,533,727.65",142572,205.45,0.04225280591250424
10,15-Feb-2021,EQ,207.85,224.3,207.5,205.45,219.0,218.2,218.01,389.7,112.7,28217496,"6,151,791,962.75",168705,218.2,0.06020937806955118
11,16-Feb-2021,EQ,219.75,222.55,210.8,218.2,219.8,220.75,216.26,389.7,112.7,16912835,"3,657,628,750.45",103543,220.75,0.011618766085099708
12,17-Feb-2021,EQ,218.95,221.0,216.5,220.75,219.0,218.4,218.86,389.7,112.7,8071841,"1,766,576,864.40",40353,218.4,-0.010702595613319765
13,18-Feb-2021,EQ,221.0,223.55,216.2,218.4,217.75,218.6,219.47,389.7,112.7,9647660,"2,117,380,369.55",45836,218.6,0.0009153318716883518
14,19-Feb-2021,EQ,215.85,218.45,204.8,218.6,210.1,208.55,211.65,389.7,112.7,10236529,"2,166,574,035.85",69922,208.55,-0.047064755099484046
15,22-Feb-2021,EQ,209.9,218.0,200.0,208.55,207.2,207.2,205.53,381.85,112.7,13780200,"2,832,291,093.80",79198,207.2,-0.006494310257626701
16,23-Feb-2021,EQ,208.0,212.5,206.4,207.2,209.7,209.1,209.46,381.85,112.7,5502031,"1,152,440,000.65",48619,209.1,0.00912809604926057
17,24-Feb-2021,EQ,210.2,214.5,208.2,209.1,213.7,212.85,212.1,381.85,112.7,3592975,"762,068,759.95",29980,212.85,0.0177750858395731
18,25-Feb-2021,EQ,215.05,220.5,213.8,212.85,218.55,219.05,217.52,381.85,112.7,7756269,"1,687,169,393.05",43488,219.05,0.028712321985746136
19,26-Feb-2021,EQ,212.95,215.45,202.55,219.05,203.9,203.7,207.86,381.85,112.7,14201985,"2,951,954,187.75",94901,203.7,-0.07265169102714708
20,01-Mar-2021,EQ,207.0,209.9,201.75,203.7,206.6,206.05,206.45,357.25,112.7,8234693,"1,700,055,970.05",46368,206.05,0.011470534552065814
21,02-Mar-2021,EQ,207.9,209.65,205.0,206.05,207.3,207.5,207.01,357.25,112.7,4492902,"930,081,333.70",25489,207.5,0.00701248188592718
22,03-Mar-2021,EQ,209.4,215.0,206.4,207.5,213.2,214.0,210.48,357.25,112.7,10070664,"2,119,636,842.60",50178,214.0,0.030844675351097806
23,04-Mar-2021,EQ,209.7,213.95,207.55,214.0,211.95,211.75,210.82,357.25,112.7,4799038,"1,011,726,646.10",27808,211.75,-0.010569681489687177
24,05-Mar-2021,EQ,208.55,213.05,200.05,211.75,204.0,203.2,205.48,357.25,112.7,7611721,"1,564,036,451.20",46599,203.2,-0.041215617827837114
25,08-Mar-2021,EQ,206.0,206.0,198.85,203.2,201.5,201.5,201.93,332.8,112.7,8811203,"1,779,214,152.10",42433,201.5,-0.008401334317588827
26,09-Mar-2021,EQ,202.45,212.5,202.0,201.5,209.0,208.65,208.9,332.8,112.7,13182305,"2,753,761,822.70",84883,208.65,0.03486882565082361
27,10-Mar-2021,EQ,210.0,212.6,208.8,208.65,211.0,211.55,210.8,332.8,112.7,4352952,"917,603,270.05",24965,211.55,0.013803170128515063
28,12-Mar-2021,EQ,213.25,214.75,206.45,211.55,208.2,208.9,210.87,332.8,112.7,6335768,"1,336,002,610.70",34573,208.9,-0.01260570860355692
29,15-Mar-2021,EQ,210.0,210.55,200.15,208.9,206.1,206.4,204.16,275.8,112.7,5409355,"1,104,347,231.75",32074,206.4,-0.012039634955112177
30,16-Mar-2021,EQ,208.0,212.1,204.8,206.4,210.5,210.95,209.44,275.8,112.7,5229222,"1,095,198,746.05",31729,210.95,0.02180510496294019
31,17-Mar-2021,EQ,211.0,211.85,202.5,210.95,203.4,203.45,206.58,275.8,112.7,5566548,"1,149,930,003.85",42619,203.45,-0.036200864122649
32,18-Mar-2021,EQ,205.3,209.7,198.55,203.45,202.6,202.1,204.3,275.8,112.7,9528409,"1,946,665,332.90",83665,202.1,-0.006657650038123464
33,19-Mar-2021,EQ,200.0,216.8,198.75,202.1,214.9,215.1,208.75,275.8,112.7,11824943,"2,468,442,347.70",100193,215.1,0.06234041186410888
