,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,416.9,420.55,414.25,415.6,417.45,416.95,417.32,432.5,234.0,2926362,"1,221,241,200.75",37599,416.95,
1,02-Feb-2021,EQ,419.0,430.45,418.75,416.95,424.4,423.7,426.07,432.5,234.0,3204628,"1,365,404,243.35",36267,423.7,0.016059347099519172
2,03-Feb-2021,EQ,424.8,426.75,413.8,423.7,414.95,415.7,419.04,432.5,234.0,2372737,"994,277,531.10",26727,415.7,-0.0190618113739216
3,04-Feb-2021,EQ,415.75,418.4,412.55,415.7,413.7,414.0,415.33,432.5,234.0,1578268,"655,503,516.45",25210,414.0,-0.004097872433277416
4,05-Feb-2021,EQ,415.35,416.9,406.0,414.0,409.0,408.2,410.39,432.5,234.0,1683298,"690,809,370.50",19986,408.2,-0.014108723449569816
5,08-Feb-2021,EQ,410.2,413.95,408.5,408.2,412.3,411.25,410.95,432.5,234.0,1605165,"659,637,219.30",28411,411.25,0.007444051703837218
6,09-Feb-2021,EQ,413.5,419.0,411.75,411.25,413.0,412.85,415.62,432.5,234.0,1596161,"663,402,844.65",18854,412.85,0.0038830287838562683
7,10-Feb-2021,EQ,414.0,416.8,408.4,412.85,410.9,410.85,411.16,432.5,234.0,1825990,"750,777,114.35",29764,410.85,-0.0048561464862411086
8,11-Feb-2021,EQ,412.4,418.35,407.85,410.85,415.45,416.6,412.93,432.5,234.0,1851525,"764,556,491.25",19754,416.6,0.013898344449675193
9,12-Feb-2021,EQ,417.0,417.15,410.0,416.6,411.0,411.65,412.73,432.5,234.0,1406466,"580,485,409.75",19738,411.65,-0.01195305508243738
10,15-Feb-2021,EQ,415.0,417.45,409.45,411.65,410.95,410.5,412.52,432.5,234.0,1208693,"498,608,547.85",17207,410.5,-0.0027975448519512724
11,16-Feb-2021,EQ,412.75,413.25,405.7,410.5,411.0,409.25,409.64,432.5,234.0,1358750,"556,597,051.70",16814,409.25,-0.0030497126412392106
12,17-Feb-2021,EQ,408.4,418.0,407.5,409.25,417.9,416.3,413.6,432.5,234.0,2123650,"878,341,027.35",28873,416.3,0.017079937949685764
