,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"1,646.00","1,697.00","1,616.55","1,645.15","1,686.20","1,690.00","1,661.16","1,820.00",692.00,533928,"886,938,019.75",25288,1690.0,
1,02-Feb-2021,EQ,"1,699.00","1,727.00","1,667.05","1,690.00","1,685.50","1,680.85","1,688.49","1,820.00",692.00,511751,"864,088,344.50",22188,1680.85,-0.005428911089611965
2,03-Feb-2021,EQ,"1,686.85","1,753.00","1,676.70","1,680.85","1,700.00","1,699.70","1,717.63","1,820.00",692.00,888655,"1,526,379,214.10",39619,1699.7,0.0111521470557987
3,04-Feb-2021,EQ,"1,710.00","1,730.00","1,698.50","1,699.70","1,715.00","1,714.40","1,715.51","1,820.00",692.00,429650,"737,069,485.30",19309,1714.4,0.008611400276061332
4,05-Feb-2021,EQ,"1,718.00","1,721.75","1,679.00","1,714.40","1,688.80","1,683.75","1,693.91","1,820.00",692.00,461216,"781,256,841.25",24327,1683.75,-0.018039716434794073
5,08-Feb-2021,EQ,"1,697.80","1,745.90","1,683.80","1,683.75","1,742.00","1,738.95","1,722.62","1,820.00",692.00,598278,"1,030,602,716.15",28881,1738.95,0.03225803405994654
6,09-Feb-2021,EQ,"1,742.00","1,749.45","1,705.65","1,738.95","1,716.95","1,714.45","1,730.27","1,820.00",692.00,431840,"747,198,472.30",21451,1714.45,-0.014189153328082682
7,10-Feb-2021,EQ,"1,725.00","1,740.00","1,712.20","1,714.45","1,725.00","1,726.80","1,726.25","1,820.00",692.00,360216,"621,824,592.10",16095,1726.8,0.007177655224885449
8,11-Feb-2021,EQ,"1,729.80","1,771.95","1,725.55","1,726.80","1,750.00","1,755.70","1,757.19","1,820.00",692.00,842246,"1,479,989,474.50",38556,1755.7,0.016597653093840314
9,12-Feb-2021,EQ,"1,761.00","1,789.35","1,715.00","1,755.70","1,725.00","1,724.10","1,755.89","1,820.00",692.00,798849,"1,402,688,972.05",31225,1724.1,-0.01816246259335763
10,15-Feb-2021,EQ,"1,739.00","1,739.00","1,711.35","1,724.10","1,716.80","1,719.75","1,723.83","1,820.00",692.00,221753,"382,264,445.75",10637,1719.75,-0.002526243775681891
11,16-Feb-2021,EQ,"1,724.65","1,742.70","1,672.00","1,719.75","1,688.90","1,686.65","1,699.62","1,820.00",692.00,545830,"927,702,559.30",22016,1686.65,-0.019434618264468462
12,17-Feb-2021,EQ,"1,690.00","1,711.70","1,669.00","1,686.65","1,679.00","1,677.30","1,692.49","1,820.00",692.00,498267,"843,314,390.95",24172,1677.3,-0.005558955440945645
13,18-Feb-2021,EQ,"1,682.00","1,711.85","1,678.15","1,677.30","1,698.00","1,704.35","1,697.68","1,820.00",692.00,499593,"848,146,918.10",21809,1704.35,0.01599844865808553
14,19-Feb-2021,EQ,"1,707.55","1,716.10","1,661.95","1,704.35","1,685.00","1,688.20","1,693.48","1,820.00",692.00,439216,"743,804,254.20",19847,1688.2,-0.00952093380917507
15,22-Feb-2021,EQ,"1,693.80","1,710.00","1,600.00","1,688.20","1,609.85","1,614.55","1,647.42","1,820.00",692.00,515103,"848,591,535.25",27270,1614.55,-0.04460659249047705
16,23-Feb-2021,EQ,"1,619.00","1,634.00","1,576.40","1,614.55","1,612.50","1,602.30","1,609.47","1,820.00",692.00,924710,"1,488,297,432.30",44802,1602.3,-0.007616183045308311
17,24-Feb-2021,EQ,"1,607.10","1,628.50","1,571.50","1,602.30","1,617.00","1,607.35","1,612.19","1,820.00",692.00,345422,"556,886,817.50",13284,1607.35,0.0031467631468480306
18,25-Feb-2021,EQ,"1,623.10","1,661.00","1,595.90","1,607.35","1,607.00","1,604.30","1,628.25","1,820.00",692.00,620525,"1,010,369,833.30",28312,1604.3,-0.0018993358036523134
