,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"1,535.00","1,558.95","1,511.00","1,531.35","1,520.00","1,529.95","1,528.14","1,735.00",630.00,265113,"405,130,735.85",18104,1529.95,
1,02-Feb-2021,EQ,"1,539.80","1,590.65","1,532.15","1,529.95","1,563.00","1,572.80","1,569.43","1,735.00",630.00,405555,"636,488,841.05",28643,1572.8,0.027622415278977464
2,03-Feb-2021,EQ,"1,578.85","1,609.95","1,534.95","1,572.80","1,586.95","1,591.05","1,590.86","1,735.00",630.00,550668,"876,036,220.45",26525,1591.05,0.011536705226686372
3,04-Feb-2021,EQ,"1,604.05","1,613.70","1,575.35","1,591.05","1,599.45","1,589.50","1,594.48","1,735.00",630.00,214307,"341,707,413.25",14488,1589.5,-0.0009746742687308796
4,05-Feb-2021,EQ,"1,597.00","1,610.95","1,556.00","1,589.50","1,569.00","1,574.60","1,597.64","1,735.00",630.00,573788,"916,707,430.10",45445,1574.6,-0.009418229600490768
5,08-Feb-2021,EQ,"1,590.00","1,639.70","1,577.60","1,574.60","1,632.30","1,632.10","1,611.42","1,735.00",630.00,378476,"609,884,214.95",21893,1632.1,0.03586625740628335
6,09-Feb-2021,EQ,"1,634.50","1,674.90","1,625.15","1,632.10","1,641.05","1,647.20","1,656.42","1,735.00",630.00,329026,"545,006,622.60",28717,1647.2,0.00920934755692926
7,10-Feb-2021,EQ,"1,652.20","1,665.90","1,625.90","1,647.20","1,636.90","1,639.15","1,646.61","1,735.00",630.00,309641,"509,858,583.10",32853,1639.15,-0.0048990619383415535
8,11-Feb-2021,EQ,"1,640.00","1,660.00","1,611.00","1,639.15","1,632.00","1,631.90","1,625.19","1,735.00",630.00,231604,"376,399,822.85",20345,1631.9,-0.004432834638349092
9,12-Feb-2021,EQ,"1,638.00","1,660.00","1,628.00","1,631.90","1,640.70","1,646.45","1,640.47","1,735.00",630.00,75900,"124,511,970.80",5648,1646.45,0.008876474772332443
10,15-Feb-2021,EQ,"1,660.00","1,683.95","1,636.45","1,646.45","1,658.25","1,670.80","1,665.32","1,735.00",630.00,280527,"467,168,098.05",20169,1670.8,0.014681098713799301
11,16-Feb-2021,EQ,"1,684.75","1,695.00","1,670.25","1,670.80","1,676.60","1,683.60","1,683.64","1,735.00",630.00,230890,"388,736,742.15",17875,1683.6,0.007631804273395382
12,17-Feb-2021,EQ,"1,676.60","1,690.00","1,626.00","1,683.60","1,636.15","1,644.90","1,672.28","1,735.00",630.00,234830,"392,702,149.45",20368,1644.9,-0.023254765818303547
13,18-Feb-2021,EQ,"1,657.90","1,710.00","1,650.00","1,644.90","1,684.50","1,694.10","1,685.77","1,735.00",630.00,302746,"510,359,295.10",24664,1694.1,0.029472034268787972
14,19-Feb-2021,EQ,"1,700.00","1,703.00","1,655.00","1,694.10","1,693.90","1,688.60","1,681.90","1,735.00",630.00,125265,"210,683,333.75",15547,1688.6,-0.0032518431115011737
15,22-Feb-2021,EQ,"1,680.00","1,748.00","1,640.85","1,688.60","1,676.45","1,699.45","1,681.10","1,748.00",630.00,538833,"905,832,802.65",34017,1699.45,0.00640488605021261
16,23-Feb-2021,EQ,"1,715.00","1,787.80","1,710.05","1,699.45","1,725.00","1,745.00","1,749.32","1,787.80",630.00,711692,"1,244,974,406.95",48892,1745.0,0.02644988635091572
