,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"84,888.00","88,798.60","83,900.05","84,069.15","88,101.00","88,133.65","86,327.63","96,479.70","49,915.10",46017,"3,972,538,658.60",29605,88133.65,
1,02-Feb-2021,EQ,"89,450.00","91,949.90","88,926.85","88,133.65","91,279.00","90,745.95","90,480.40","96,479.70","49,915.10",51519,"4,661,459,643.80",30951,90745.95,0.0292094317061089
2,03-Feb-2021,EQ,"91,583.20","93,278.35","89,500.05","90,745.95","90,300.00","89,963.50","91,331.15","96,479.70","49,915.10",44550,"4,068,802,814.10",25788,89963.5,-0.008659811535109085
3,04-Feb-2021,EQ,"90,999.90","93,780.00","89,964.00","89,963.50","92,225.00","92,181.95","92,301.95","96,479.70","49,915.10",63583,"5,868,835,125.90",35096,92181.95,0.024360308817197307
4,05-Feb-2021,EQ,"93,318.30","93,566.95","90,272.15","92,181.95","90,900.00","90,693.05","91,791.84","96,479.70","49,915.10",49120,"4,508,815,299.55",26166,90693.05,-0.016283613387212625
5,08-Feb-2021,EQ,"92,249.90","92,551.25","90,000.00","90,693.05","90,926.00","90,870.75","91,073.45","96,479.70","49,915.10",36568,"3,330,373,907.20",22057,90870.75,0.0019574392774224236
6,09-Feb-2021,EQ,"91,495.00","94,699.00","90,400.00","90,870.75","94,200.00","93,597.90","92,618.84","96,479.70","49,915.10",69603,"6,446,548,883.50",39996,93597.9,0.029569780112201016
7,10-Feb-2021,EQ,"93,852.00","97,880.80","92,750.00","93,597.90","97,688.00","96,973.85","94,963.57","97,880.80","49,915.10",72305,"6,866,340,676.10",40674,96973.85,0.03543340719481769
8,11-Feb-2021,EQ,"96,770.00","98,599.95","89,120.00","96,973.85","89,999.20","90,084.70","93,933.27","98,599.95","49,915.10",182954,"17,185,467,430.05",97256,90084.7,-0.07369101565527636
9,12-Feb-2021,EQ,"92,000.00","93,480.00","90,085.00","90,084.70","91,088.85","91,278.05","91,595.78","98,599.95","49,915.10",138059,"12,645,621,700.65",73451,91278.05,0.013160003612053828
10,15-Feb-2021,EQ,"92,373.40","92,450.00","90,000.00","91,278.05","90,495.00","90,643.90","91,462.97","98,599.95","49,915.10",54272,"4,963,878,215.65",29482,90643.9,-0.00697169933092745
11,16-Feb-2021,EQ,"91,499.00","91,550.00","89,003.80","90,643.90","89,700.00","89,575.35","89,993.53","98,599.95","49,915.10",58998,"5,309,438,541.90",30640,89575.35,-0.01185847263148787
12,17-Feb-2021,EQ,"90,999.90","90,999.90","88,811.00","89,575.35","89,250.00","89,184.50","89,440.96","98,599.95","49,915.10",39383,"3,522,453,478.40",19054,89184.5,-0.004372912852984356
13,18-Feb-2021,EQ,"89,500.00","90,000.00","88,350.00","89,184.50","88,735.00","88,881.35","89,149.64","98,599.95","49,915.10",36398,"3,244,868,633.55",19274,88881.35,-0.0034049234356920977
14,19-Feb-2021,EQ,"88,160.00","89,369.85","87,000.00","88,881.35","88,300.00","88,120.10","88,499.74","98,599.95","49,915.10",34825,"3,082,003,615.15",19437,88120.1,-0.008601677485266634
15,22-Feb-2021,EQ,"88,800.00","88,800.00","86,226.00","88,120.10","86,400.00","86,921.30","87,411.28","98,599.95","49,915.10",33729,"2,948,294,918.75",20315,86921.3,-0.013697545191636351
16,23-Feb-2021,EQ,"87,293.60","88,105.05","85,800.00","86,921.30","87,907.30","87,558.50","87,199.60","98,599.95","49,915.10",37383,"3,259,782,549.10",21409,87558.5,0.0073040298398048265
17,24-Feb-2021,EQ,"88,100.00","88,600.00","86,850.00","87,558.50","88,100.00","87,979.65","88,155.27","98,599.95","49,915.10",13773,"1,214,162,469.25",7884,87979.65,0.004798396337974964
18,25-Feb-2021,EQ,"88,200.00","88,600.00","87,362.85","87,979.65","87,501.00","87,622.80","87,996.82","98,599.95","49,915.10",22420,"1,972,888,799.80",12026,87622.8,-0.0040642996862487735
19,26-Feb-2021,EQ,"86,900.00","87,320.00","83,803.55","87,622.80","84,440.05","84,498.15","85,650.37","98,599.95","49,915.10",46327,"3,967,924,572.90",25323,84498.15,-0.03631159741721568
20,01-Mar-2021,EQ,"85,200.00","89,864.00","85,152.05","84,498.15","89,440.05","89,025.45","87,567.33","98,599.95","49,915.10",48753,"4,269,169,863.85",29544,89025.45,0.052192643278626605
21,02-Mar-2021,EQ,"90,148.75","90,274.00","88,446.95","89,025.45","89,970.00","89,680.40","89,486.05","98,599.95","49,915.10",34837,"3,117,425,624.95",21271,89680.4,0.007329955146293088
22,03-Mar-2021,EQ,"89,680.00","89,950.00","88,480.00","89,680.40","89,055.00","89,097.10","89,168.28","98,599.95","49,915.10",22137,"1,973,918,124.00",12445,89097.1,-0.006525452809395205
23,04-Mar-2021,EQ,"88,200.00","90,801.00","88,097.70","89,097.10","89,501.00","89,773.55","89,463.15","98,599.95","49,915.10",29437,"2,633,526,646.35",18508,89773.55,0.007563602244012202
24,05-Mar-2021,EQ,"89,699.90","89,699.90","88,005.00","89,773.55","88,776.50","88,661.75","88,710.58","98,599.95","49,915.10",27911,"2,476,000,950.40",17317,88661.75,-0.012461821043574517
25,08-Mar-2021,EQ,"88,661.75","89,484.95","87,202.05","88,661.75","87,631.05","87,564.55","88,429.13","98,599.95","49,915.10",21119,"1,867,534,812.40",12717,87564.55,-0.012452331776447778
26,09-Mar-2021,EQ,"88,398.40","89,505.50","88,000.00","87,564.55","89,015.00","89,067.70","88,804.87","98,599.95","49,915.10",24443,"2,170,657,512.80",14933,89067.7,0.01702051905163593
27,10-Mar-2021,EQ,"89,702.75","89,703.00","88,379.45","89,067.70","88,800.00","88,684.10","89,014.49","98,599.95","49,915.10",16992,"1,512,534,191.35",10297,88684.1,-0.004316137395043995
28,12-Mar-2021,EQ,"88,800.00","90,300.00","88,200.00","88,684.10","88,900.00","88,775.35","89,265.92","98,599.95","49,915.10",25808,"2,303,774,792.35",15801,88775.35,0.0010284040443302445
29,15-Mar-2021,EQ,"89,200.00","89,490.50","87,000.00","88,775.35","87,580.00","87,673.55","87,778.01","98,599.95","49,915.10",22660,"1,989,049,691.45",14521,87673.55,-0.012488763835159844
30,16-Mar-2021,EQ,"87,900.00","88,479.85","86,500.00","87,673.55","86,900.00","86,819.00","87,264.17","98,599.95","49,915.10",22685,"1,979,587,680.80",14140,86819.0,-0.009794765815891893
