,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"1,110.55","1,164.90","1,090.00","1,105.85","1,157.00","1,156.35","1,135.05","1,405.75",476.80,1309024,"1,485,804,238.70",50441,1156.35,
1,02-Feb-2021,EQ,"1,173.00","1,182.95","1,152.00","1,156.35","1,170.90","1,166.95","1,168.92","1,405.75",476.80,1053066,"1,230,951,689.15",43016,1166.95,0.009125014893849759
2,03-Feb-2021,EQ,"1,170.00","1,182.95","1,161.85","1,166.95","1,171.00","1,168.55","1,169.06","1,405.75",476.80,1435910,"1,678,670,935.40",47542,1168.55,0.0013701564978036984
3,04-Feb-2021,EQ,"1,170.00","1,195.90","1,162.30","1,168.55","1,184.75","1,184.70","1,182.91","1,405.75",476.80,2106805,"2,492,160,944.90",65305,1184.7,0.013725913995679129
4,05-Feb-2021,EQ,"1,192.50","1,194.80","1,155.50","1,184.70","1,166.85","1,164.10","1,164.64","1,405.75",476.80,1726460,"2,010,707,290.80",45105,1164.1,-0.0175413217065179
5,08-Feb-2021,EQ,"1,177.70","1,186.80","1,165.05","1,164.10","1,180.00","1,176.55","1,173.94","1,405.75",476.80,1107651,"1,300,314,391.05",46404,1176.55,0.01063817094769437
6,09-Feb-2021,EQ,"1,188.00","1,225.00","1,178.35","1,176.55","1,193.15","1,186.60","1,196.54","1,405.75",476.80,4647756,"5,561,233,202.75",140967,1186.6,0.008505647622652823
7,10-Feb-2021,EQ,"1,200.00","1,274.80","1,190.00","1,186.60","1,265.30","1,267.90","1,245.96","1,405.75",476.80,9275539,"11,556,984,121.70",278359,1267.9,0.06626991370935986
8,11-Feb-2021,EQ,"1,267.85","1,310.00","1,261.55","1,267.90","1,274.75","1,276.25","1,288.44","1,405.75",476.80,4101570,"5,284,622,304.15",141314,1276.25,0.006564101944972478
9,12-Feb-2021,EQ,"1,274.90","1,329.90","1,274.75","1,276.25","1,317.00","1,315.00","1,315.94","1,405.75",476.80,4290890,"5,646,537,172.10",138554,1315.0,0.029910575132990225
10,15-Feb-2021,EQ,"1,329.60","1,361.60","1,315.40","1,315.00","1,316.75","1,321.20","1,338.36","1,405.75",476.80,3154298,"4,221,579,083.95",118249,1321.2,0.004703748904769434
11,16-Feb-2021,EQ,"1,332.00","1,343.85","1,309.00","1,321.20","1,318.00","1,315.30","1,327.64","1,405.75",476.80,1721816,"2,285,954,093.15",56684,1315.3,-0.00447563804190132
12,17-Feb-2021,EQ,"1,313.65","1,353.40","1,285.00","1,315.30","1,330.00","1,323.45","1,332.01","1,405.75",476.80,2237472,"2,980,343,289.85",69495,1323.45,0.006177186861489936
13,18-Feb-2021,EQ,"1,328.70","1,338.40","1,285.25","1,323.45","1,293.90","1,293.25","1,305.78","1,405.75",476.80,2047432,"2,673,495,553.50",91252,1293.25,-0.02308353345259917
14,19-Feb-2021,EQ,"1,300.00","1,320.80","1,277.40","1,293.25","1,300.00","1,297.00","1,298.10","1,405.75",476.80,2156407,"2,799,228,604.05",93119,1297.0,0.0028954754328198717
