,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,48.1,49.45,47.3,47.9,49.3,49.3,48.4,50.0,24.4,30957716,"1,498,435,014.30",38682,49.3,
1,02-Feb-2021,EQ,49.75,51.1,49.3,49.3,50.4,50.45,50.26,51.1,24.4,34285287,"1,723,113,164.20",49705,50.45,0.023058665750973706
2,03-Feb-2021,EQ,50.6,51.45,50.05,50.45,50.8,50.9,50.81,51.45,24.4,29879256,"1,518,043,637.90",34796,50.9,0.008880176756858926
3,04-Feb-2021,EQ,50.8,52.25,50.55,50.9,51.7,51.65,51.75,52.25,24.4,29313727,"1,516,849,743.60",40166,51.65,0.014627272009170689
4,05-Feb-2021,EQ,50.95,52.15,49.6,51.65,50.05,50.2,50.82,52.25,24.4,49505156,"2,515,811,642.05",45500,50.2,-0.028475168867964307
5,08-Feb-2021,EQ,50.75,51.4,50.2,50.2,50.5,50.55,50.75,52.25,24.4,13721690,"696,358,474.50",31061,50.55,0.006947918768796857
6,09-Feb-2021,EQ,50.35,50.75,48.9,50.55,49.05,49.15,49.84,52.25,24.4,27287467,"1,359,917,026.95",33873,49.15,-0.02808609887330471
7,10-Feb-2021,EQ,48.75,50.1,48.65,49.15,49.1,49.15,49.29,52.25,24.4,19154211,"944,150,212.85",22576,49.15,0.0
8,11-Feb-2021,EQ,48.9,51.1,48.85,49.15,50.65,50.7,50.15,52.25,24.4,13967283,"700,511,621.70",19189,50.7,0.031049064003962012
9,12-Feb-2021,EQ,50.85,50.95,48.35,50.7,48.9,48.9,49.85,52.25,24.4,22591168,"1,126,157,941.25",36358,48.9,-0.03614851411631115
10,15-Feb-2021,EQ,49.5,49.7,48.35,48.9,48.6,48.6,49.02,52.25,24.4,17927525,"878,877,887.45",23579,48.6,-0.006153865574378248
11,16-Feb-2021,EQ,48.4,50.4,48.4,48.6,50.25,50.15,49.91,52.25,24.4,22531335,"1,124,586,539.15",29994,50.15,0.03139498350149639
12,17-Feb-2021,EQ,50.0,51.15,49.65,50.15,50.6,50.5,50.58,52.25,24.4,18338990,"927,555,547.40",24601,50.5,0.00695482187336971
13,18-Feb-2021,EQ,51.3,52.5,51.05,50.5,51.85,52.05,51.63,52.5,24.4,25119073,"1,296,913,941.90",39402,52.05,0.03023145877966371
14,19-Feb-2021,EQ,51.95,53.3,51.0,52.05,51.8,51.75,52.35,53.3,24.4,26205044,"1,371,843,427.95",37201,51.75,-0.005780362915499548
15,22-Feb-2021,EQ,51.75,54.0,51.6,51.75,52.2,52.6,53.16,54.0,24.4,33657236,"1,789,089,475.15",61041,52.6,0.016291687598185778
16,23-Feb-2021,EQ,52.95,55.65,52.95,52.6,55.4,55.25,54.34,55.65,24.4,41600364,"2,260,736,842.15",61145,55.25,0.04915222065419833
17,24-Feb-2021,EQ,55.5,56.25,54.05,55.25,55.0,54.9,55.41,56.25,24.4,14037303,"777,790,911.50",26163,54.9,-0.0063549918823779805
18,25-Feb-2021,EQ,55.75,57.7,55.5,54.9,57.35,57.25,57.04,57.7,24.4,54867256,"3,129,646,835.25",84639,57.25,0.04191429391886459
19,26-Feb-2021,EQ,55.6,61.25,55.55,57.25,59.85,60.0,59.35,61.25,24.4,84430088,"5,010,719,277.50",130355,60.0,0.046916919787751254
20,01-Mar-2021,EQ,60.9,61.15,58.65,60.0,59.85,59.8,59.95,61.25,24.4,41605571,"2,494,112,947.75",59551,59.8,-0.0033389012655140604
21,02-Mar-2021,EQ,60.05,60.75,58.6,59.8,59.3,59.15,59.78,61.25,24.4,20623334,"1,232,831,206.75",33704,59.15,-0.010929070532190721
22,03-Mar-2021,EQ,60.0,64.0,60.0,59.15,62.0,62.1,62.78,64.0,24.4,49281712,"3,094,074,683.90",97009,62.1,0.048669398515037265
23,04-Mar-2021,EQ,60.8,61.6,59.75,62.1,61.1,61.2,60.97,64.0,24.4,21215806,"1,293,566,615.90",32879,61.2,-0.01459879942115272
24,05-Mar-2021,EQ,60.2,60.95,56.9,61.2,57.75,57.75,58.45,64.0,24.4,32506194,"1,900,124,652.95",52887,57.75,-0.058023840116376846
25,08-Mar-2021,EQ,58.4,60.95,58.2,57.75,60.0,60.0,59.53,64.0,24.4,26836220,"1,597,660,167.65",52516,60.0,0.03822121282019708
26,09-Mar-2021,EQ,60.5,60.95,56.8,60.0,58.0,57.85,58.46,64.0,24.4,20143329,"1,177,583,120.25",40427,57.85,-0.03649110858241489
27,10-Mar-2021,EQ,58.9,59.65,57.3,57.85,58.6,58.7,58.36,64.0,24.4,25716787,"1,500,822,521.35",43816,58.7,0.01458627319436534
28,12-Mar-2021,EQ,59.55,60.2,57.8,58.7,58.7,58.6,59.14,64.0,24.4,16433808,"971,895,408.05",30812,58.6,-0.0017050302510837057
29,15-Mar-2021,EQ,59.1,60.1,57.6,58.6,59.8,59.8,58.86,64.0,26.6,22479888,"1,323,239,080.25",40232,59.8,0.020270964373619194
30,16-Mar-2021,EQ,60.2,60.3,58.7,59.8,59.1,59.2,59.17,64.0,26.6,11358780,"672,104,374.00",20806,59.2,-0.010084119066625874
31,17-Mar-2021,EQ,59.25,59.5,56.0,59.2,56.15,56.25,57.39,64.0,26.6,14100937,"809,262,671.25",27841,56.25,-0.05111550080543115
32,18-Mar-2021,EQ,57.1,57.95,55.45,56.25,57.0,56.8,56.79,64.0,26.6,22215826,"1,261,603,158.15",28375,56.8,0.009730284642576414
33,19-Mar-2021,EQ,56.4,56.8,53.4,56.8,55.8,55.8,54.77,64.0,26.6,53064530,"2,906,262,865.75",64712,55.8,-0.01776245633984086
34,22-Mar-2021,EQ,54.45,55.4,54.05,55.8,54.45,54.45,54.66,64.0,26.6,11491902,"628,132,513.45",21126,54.45,-0.024491020008295283
35,23-Mar-2021,EQ,54.5,56.0,54.0,54.45,54.65,54.95,55.01,64.0,26.6,27785690,"1,528,550,299.85",34807,54.95,0.009140831470661137
36,24-Mar-2021,EQ,54.4,54.45,53.05,54.95,53.5,53.3,53.57,64.0,26.6,14058803,"753,121,198.40",21162,53.3,-0.030487349677831954
37,25-Mar-2021,EQ,53.0,53.5,50.7,53.3,52.2,52.0,52.05,64.0,26.6,29049449,"1,511,879,501.30",35430,52.0,-0.024692612590371255
38,26-Mar-2021,EQ,52.85,54.25,52.25,52.0,53.85,53.75,53.17,64.0,26.6,19616627,"1,043,077,689.40",41245,53.75,0.03309994842634456
39,30-Mar-2021,EQ,54.5,55.25,53.9,53.75,54.2,54.2,54.48,64.0,26.6,12385176,"674,721,674.70",22246,54.2,0.008337241437828435
40,31-Mar-2021,EQ,54.3,55.35,53.55,54.2,54.05,54.05,54.56,64.0,26.6,10936810,"596,677,763.50",15897,54.05,-0.002771364360383277
41,01-Apr-2021,EQ,54.8,59.2,54.5,54.05,58.7,58.75,57.72,64.0,26.6,41165892,"2,376,267,618.40",60238,58.75,0.08338160893905089
42,05-Apr-2021,EQ,59.0,59.45,55.7,58.75,58.0,57.8,57.5,64.0,26.75,29172972,"1,677,562,897.05",42939,57.8,-0.016302377345936314
43,06-Apr-2021,EQ,58.4,60.0,57.6,57.8,59.25,59.25,59.21,64.0,26.75,33656817,"1,992,787,937.45",56295,59.25,0.02477700433690888
44,07-Apr-2021,EQ,59.65,60.75,58.65,59.25,59.3,59.15,59.86,64.0,26.75,25158686,"1,505,937,564.80",34458,59.15,-0.001689189590845075
45,08-Apr-2021,EQ,59.35,61.75,59.35,59.15,60.5,60.35,60.54,64.0,26.75,38385798,"2,323,946,119.05",54486,60.35,0.02008435711914469
46,09-Apr-2021,EQ,60.85,61.45,58.9,60.35,59.6,59.4,60.1,64.0,26.75,23631001,"1,420,174,681.60",36223,59.4,-0.015866721174941034
47,12-Apr-2021,EQ,57.85,57.85,52.75,59.4,54.15,53.7,54.98,64.0,26.75,27358620,"1,504,176,019.35",48010,53.7,-0.10088122485378026
48,13-Apr-2021,EQ,54.15,56.1,53.6,53.7,55.8,55.9,54.89,64.0,26.75,18092644,"993,181,693.25",29042,55.9,0.04015137864623419
49,15-Apr-2021,EQ,56.5,58.45,56.0,55.9,57.85,58.05,57.36,64.0,26.75,29263919,"1,678,659,699.15",45970,58.05,0.03774032798284743
50,16-Apr-2021,EQ,58.5,60.5,58.1,58.05,58.75,58.95,59.55,64.0,26.75,36637198,"2,181,634,161.90",56571,58.95,0.015384918839479234
51,19-Apr-2021,EQ,56.5,58.2,56.0,58.95,57.05,57.3,57.42,64.0,26.75,21241428,"1,219,664,819.90",36365,57.3,-0.028389003262685897
52,20-Apr-2021,EQ,58.3,58.8,56.0,57.3,56.45,56.6,57.52,64.0,26.75,17092853,"983,204,858.45",22968,56.6,-0.01229163851155679
53,22-Apr-2021,EQ,56.7,57.7,55.0,56.6,56.65,56.65,56.88,64.0,26.75,15214122,"865,447,220.10",25761,56.65,0.00088300226487803
54,23-Apr-2021,EQ,56.5,58.25,56.0,56.65,56.6,56.75,57.26,64.0,26.75,18244497,"1,044,712,331.65",24306,56.75,0.0017636688874969053
55,26-Apr-2021,EQ,57.65,58.65,57.05,56.75,57.85,57.9,57.88,64.0,26.75,19648259,"1,137,187,551.90",24883,57.9,0.02006172821743757
56,27-Apr-2021,EQ,57.8,61.7,57.8,57.9,61.0,60.9,60.79,64.0,26.75,57943087,"3,522,466,705.85",71203,60.9,0.05051579013690155
57,28-Apr-2021,EQ,61.9,61.9,59.85,60.9,60.75,61.05,60.76,64.0,26.75,26439244,"1,606,515,899.70",37080,61.05,0.0024600258408620235
58,29-Apr-2021,EQ,61.55,65.1,61.3,61.05,64.5,64.75,63.28,65.1,26.75,82049507,"5,191,733,854.65",112939,64.75,0.05884050002293417
59,30-Apr-2021,EQ,64.05,66.5,63.6,64.75,64.4,64.65,65.41,66.5,26.75,63336705,"4,142,897,827.90",92921,64.65,-0.0015455953617804497
60,03-May-2021,EQ,64.4,68.5,64.15,64.65,67.7,67.65,66.92,68.5,26.75,59516858,"3,982,634,195.80",90871,67.65,0.045359249398930324
61,04-May-2021,EQ,68.9,70.0,66.05,67.65,66.8,66.5,68.39,70.0,26.75,60967539,"4,169,869,510.15",101732,66.5,-0.017145406954989006
62,05-May-2021,EQ,67.6,68.3,66.35,66.5,66.95,66.7,67.36,70.0,26.75,23724457,"1,598,064,701.75",35613,66.7,0.003003005259770042
63,06-May-2021,EQ,67.0,69.75,67.0,66.7,68.7,68.55,68.3,70.0,26.75,36206831,"2,472,941,590.95",51491,68.55,0.02735845308674456
64,07-May-2021,EQ,70.2,78.45,69.75,68.55,75.3,76.0,74.37,78.45,26.75,142651924,"10,609,320,431.05",208861,76.0,0.10316993427800814
65,10-May-2021,EQ,79.9,82.1,77.0,76.0,81.95,81.5,79.12,82.1,26.75,99413238,"7,865,152,069.40",172232,81.5,0.06986967996048588
66,11-May-2021,EQ,78.5,81.8,77.6,81.5,79.6,79.5,79.88,82.1,26.75,57567824,"4,598,342,419.25",116777,79.5,-0.024845998586530804
67,12-May-2021,EQ,80.25,82.0,72.9,79.5,75.65,74.9,78.29,82.1,26.75,63568562,"4,976,968,771.05",109929,74.9,-0.05960313113711191
68,14-May-2021,EQ,76.4,76.8,69.0,74.9,71.25,71.35,71.85,82.1,26.75,88077275,"6,328,506,193.20",146275,71.35,-0.04855654660032904
69,17-May-2021,EQ,71.5,76.3,70.15,71.35,76.2,76.0,73.57,82.1,26.75,61294393,"4,509,448,225.35",102880,76.0,0.06313599636348588
70,18-May-2021,EQ,77.7,78.9,75.3,76.0,76.0,76.2,77.2,82.1,26.75,55177687,"4,259,662,748.80",92314,76.2,0.0026281224062696396
71,19-May-2021,EQ,76.0,76.0,73.45,76.2,73.8,73.8,74.44,82.1,26.75,28425770,"2,116,085,696.05",53435,73.8,-0.03200273108617413
72,20-May-2021,EQ,72.2,73.8,70.35,73.8,71.8,71.65,71.99,82.1,26.75,39125275,"2,816,479,285.10",68269,71.65,-0.02956557733224585
73,21-May-2021,EQ,72.0,72.5,70.55,71.65,70.95,70.8,71.49,82.1,26.75,20765563,"1,484,508,860.90",40929,70.8,-0.011934153574507
74,24-May-2021,EQ,71.0,73.8,69.25,70.8,73.45,73.2,72.2,82.1,27.25,37218202,"2,687,236,990.70",59148,73.2,0.03333642026759254
75,25-May-2021,EQ,74.35,75.7,71.8,73.2,72.7,72.6,73.56,82.1,27.25,45086980,"3,316,496,549.05",64259,72.6,-0.0082304991365163
76,26-May-2021,EQ,72.4,73.35,70.2,72.6,72.05,71.8,71.65,82.1,27.25,37446685,"2,683,225,062.55",62277,71.8,-0.011080445776571857
77,27-May-2021,EQ,71.9,74.45,71.15,71.8,73.9,73.8,73.01,82.1,27.25,35664200,"2,603,666,623.85",56042,73.8,0.027474255552248472
78,28-May-2021,EQ,75.1,76.2,71.7,73.8,72.1,72.1,73.72,82.1,27.25,36957613,"2,724,658,600.95",73500,72.1,-0.023304687315523154
79,31-May-2021,EQ,72.0,74.3,71.2,72.1,73.9,73.8,73.21,82.1,29.1,36854635,"2,697,965,146.70",53697,73.8,0.023304687315523154
80,01-Jun-2021,EQ,74.4,74.4,72.15,73.8,72.2,72.35,72.77,82.1,29.1,21669530,"1,576,907,656.25",47661,72.35,-0.019843278528933972
81,02-Jun-2021,EQ,71.7,73.2,71.65,72.35,73.05,72.85,72.46,82.1,29.1,20263586,"1,468,200,882.60",33794,72.85,0.00688707956372081
82,03-Jun-2021,EQ,74.0,74.45,72.7,72.85,73.05,73.05,73.48,82.1,29.1,24061054,"1,768,053,821.65",36289,73.05,0.0027416055554949637
83,04-Jun-2021,EQ,73.0,73.15,71.5,73.05,72.55,72.75,72.38,82.1,29.1,20694407,"1,497,862,063.90",37712,72.75,-0.00411523214510634
84,07-Jun-2021,EQ,73.45,75.75,73.0,72.75,73.9,74.2,74.36,82.1,29.1,27737714,"2,062,708,072.55",44584,74.2,0.019735244121732443
85,08-Jun-2021,EQ,74.25,74.5,72.0,74.2,72.8,72.7,72.8,82.1,29.1,24115943,"1,755,578,550.30",39554,72.7,-0.02042276563386114
