,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"4,400.00","4,666.60","4,211.00","4,364.00","4,583.00","4,549.60","4,465.13","5,880.00","1,581.10",1511637,"6,749,650,569.00",141229,4549.6,
1,02-Feb-2021,EQ,"4,649.70","4,909.30","4,516.20","4,549.60","4,868.95","4,861.50","4,730.10","5,880.00","1,581.10",1246121,"5,894,278,695.55",109296,4861.5,0.0663077152571212
2,03-Feb-2021,EQ,"4,910.00","4,950.00","4,776.50","4,861.50","4,805.00","4,810.05","4,854.16","5,880.00","1,581.10",706931,"3,431,555,298.45",58719,4810.05,-0.0106395531935366
3,04-Feb-2021,EQ,"4,790.00","4,864.20","4,717.00","4,810.05","4,816.95","4,790.05","4,786.23","5,880.00","1,581.10",375358,"1,796,549,898.95",40657,4790.05,-0.004166629292331692
4,05-Feb-2021,EQ,"4,849.95","4,913.40","4,740.00","4,790.05","4,822.10","4,817.65","4,815.99","5,880.00","1,581.10",438250,"2,110,605,870.00",46676,4817.65,0.005745407521525081
5,08-Feb-2021,EQ,"4,863.95","5,135.45","4,850.00","4,817.65","5,052.00","5,058.55","5,037.37","5,880.00","1,581.10",1114452,"5,613,903,453.15",101669,5058.55,0.048793623664796115
6,09-Feb-2021,EQ,"5,050.00","5,137.95","4,924.55","5,058.55","4,993.00","4,969.40","5,030.35","5,880.00","1,581.10",503977,"2,535,181,305.65",43276,4969.4,-0.017780772493336983
7,10-Feb-2021,EQ,"4,968.05","5,177.00","4,877.10","4,969.40","5,140.00","5,119.65","5,085.37","5,880.00","1,581.10",954475,"4,853,857,997.10",89679,5119.65,0.029786968865117558
8,11-Feb-2021,EQ,"5,150.00","5,464.70","5,150.00","5,119.65","5,434.00","5,418.70","5,317.02","5,880.00","1,581.10",1219873,"6,486,087,617.75",105617,5418.7,0.05676985694403669
9,12-Feb-2021,EQ,"5,434.00","5,509.95","5,315.00","5,418.70","5,345.00","5,373.80","5,393.30","5,880.00","1,581.10",733837,"3,957,799,694.00",68455,5373.8,-0.008320641009360585
10,15-Feb-2021,EQ,"5,350.00","5,588.90","5,235.15","5,373.80","5,506.10","5,520.85","5,471.79","5,880.00","1,581.10",965042,"5,280,508,791.40",88532,5520.85,0.026996540667214575
11,16-Feb-2021,EQ,"5,537.40","5,551.10","5,002.20","5,520.85","5,100.00","5,095.20","5,200.59","5,880.00","1,581.10",1802188,"9,372,438,790.00",159513,5095.2,-0.08023291386667886
12,17-Feb-2021,EQ,"5,120.00","5,125.00","4,828.00","5,095.20","4,915.30","4,916.70","4,913.25","5,880.00","1,581.10",1714916,"8,425,812,165.55",142162,4916.7,-0.035661346319265874
13,18-Feb-2021,EQ,"4,976.00","5,358.60","4,952.60","4,916.70","5,235.30","5,306.90","5,208.42","5,880.00","1,581.10",2100219,"10,938,826,294.05",176052,5306.9,0.07637028687497427
14,19-Feb-2021,EQ,"5,230.00","5,270.00","5,110.55","5,306.90","5,158.00","5,170.15","5,180.43","5,880.00","1,581.10",865446,"4,483,382,198.00",76233,5170.15,-0.02610615899162383
15,22-Feb-2021,EQ,"5,154.00","5,160.00","4,958.00","5,170.15","4,983.55","4,993.65","5,042.87","5,880.00","1,581.10",693436,"3,496,906,606.40",77090,4993.65,-0.03473459633844911
16,23-Feb-2021,EQ,"5,170.00","5,250.00","5,013.95","4,993.65","5,048.00","5,071.15","5,094.19","5,880.00","1,581.10",944296,"4,810,423,564.55",77959,5071.15,0.015400511039253217
17,24-Feb-2021,EQ,"5,071.15","5,129.40","4,909.00","5,071.15","4,946.00","4,936.55","4,965.31","5,880.00","1,581.10",458435,"2,276,270,657.05",57728,4936.55,-0.02690090968818737
18,25-Feb-2021,EQ,"4,995.00","5,060.65","4,945.00","4,936.55","4,950.00","4,958.45","5,001.40","5,880.00","1,581.10",626352,"3,132,636,626.30",46015,4958.45,0.004426485246815659
