,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"17,200.00","17,275.70","17,000.00","17,060.00","17,139.00","17,087.70","17,109.82","18,844.00","12,200.00",84406,"1,444,171,140.90",23144,17087.7,
1,02-Feb-2021,EQ,"17,150.05","17,350.00","17,054.50","17,087.70","17,185.00","17,190.30","17,213.21","18,844.00","12,200.00",130298,"2,242,846,639.90",22001,17190.3,0.005986364805556477
2,03-Feb-2021,EQ,"17,200.05","17,289.00","17,051.00","17,190.30","17,121.00","17,166.40","17,176.91","18,844.00","12,200.00",112325,"1,929,396,794.35",20785,17166.4,-0.0013912863491079008
3,04-Feb-2021,EQ,"17,199.90","17,226.95","17,052.45","17,166.40","17,078.00","17,074.00","17,108.27","18,844.00","12,200.00",92100,"1,575,671,976.60",25269,17074.0,-0.0053971463122302055
4,05-Feb-2021,EQ,"17,131.05","17,167.20","17,003.00","17,074.00","17,110.00","17,115.75","17,073.40","18,844.00","12,200.00",98097,"1,674,849,753.45",20251,17115.75,0.0024422536433768016
5,08-Feb-2021,EQ,"17,180.00","17,284.90","17,101.15","17,115.75","17,192.00","17,218.20","17,208.48","18,844.00","12,200.00",121607,"2,092,671,979.80",27272,17218.2,0.0059678716877673565
6,09-Feb-2021,EQ,"17,211.00","17,510.00","17,150.00","17,218.20","17,336.20","17,318.95","17,381.32","18,844.00","12,200.00",121012,"2,103,348,150.35",26632,17318.95,0.005834313820765047
7,10-Feb-2021,EQ,"17,340.20","17,436.80","17,086.50","17,318.95","17,215.00","17,177.35","17,222.24","18,844.00","12,200.00",116576,"2,007,699,735.60",31207,17177.35,-0.008209622208427803
8,11-Feb-2021,EQ,"17,189.90","17,447.45","17,150.00","17,177.35","17,396.10","17,412.25","17,344.00","18,844.00","12,200.00",65366,"1,133,708,016.40",14706,17412.25,0.013582325969462516
9,12-Feb-2021,EQ,"17,410.10","17,519.00","17,240.00","17,412.25","17,240.00","17,294.30","17,364.00","18,844.00","12,200.00",54528,"946,823,997.65",11361,17294.3,-0.006797014056497019
10,15-Feb-2021,EQ,"17,349.00","17,506.75","17,258.05","17,294.30","17,500.00","17,479.85","17,447.12","18,844.00","12,200.00",110119,"1,921,258,936.55",22833,17479.85,0.010671821510310764
11,16-Feb-2021,EQ,"17,555.00","17,646.00","17,139.10","17,479.85","17,200.00","17,217.25","17,304.64","18,844.00","12,200.00",229774,"3,976,155,431.30",41851,17217.25,-0.015137000733927763
12,17-Feb-2021,EQ,"16,900.00","16,900.00","16,350.00","17,217.25","16,700.00","16,741.20","16,637.70","18,844.00","12,200.00",599343,"9,971,688,252.10",97399,16741.2,-0.028039041141019183
13,18-Feb-2021,EQ,"16,756.00","16,900.00","16,300.00","16,741.20","16,430.00","16,364.70","16,477.73","18,844.00","12,200.00",251066,"4,136,996,906.15",46881,16364.7,-0.02274617110049526
14,19-Feb-2021,EQ,"16,430.00","16,464.70","16,212.95","16,364.70","16,430.05","16,376.40","16,345.82","18,844.00","12,200.00",130275,"2,129,451,634.35",29439,16376.4,0.0007146980705012851
15,22-Feb-2021,EQ,"16,411.05","16,530.00","16,024.60","16,376.40","16,104.00","16,096.30","16,193.87","18,844.00","12,200.00",214915,"3,480,304,571.55",40927,16096.3,-0.01725184213531783
16,23-Feb-2021,EQ,"16,131.00","16,255.00","16,002.10","16,096.30","16,175.00","16,169.95","16,126.78","18,844.00","12,200.00",142998,"2,306,097,102.75",25939,16169.95,0.0045651495236711526
17,24-Feb-2021,EQ,"16,283.00","16,378.00","16,100.00","16,169.95","16,375.00","16,346.15","16,178.23","18,844.00","12,200.00",84342,"1,364,504,299.70",13314,16346.15,0.01083781417050389
18,25-Feb-2021,EQ,"16,306.00","16,373.30","16,100.00","16,346.15","16,119.85","16,113.90","16,152.15","18,844.00","12,200.00",185713,"2,999,664,353.35",36318,16113.9,-0.01431014205683212
19,26-Feb-2021,EQ,"16,050.50","16,284.40","16,003.90","16,113.90","16,074.00","16,101.60","16,114.97","18,844.00","12,200.00",226873,"3,656,052,194.25",44123,16101.6,-0.0007636076173067607
20,01-Mar-2021,EQ,"16,236.00","16,367.60","16,100.00","16,101.60","16,301.00","16,292.45","16,207.66","18,844.00","12,200.00",90718,"1,470,326,921.55",20696,16292.45,0.011783164388306844
21,02-Mar-2021,EQ,"16,302.00","16,620.00","16,289.75","16,292.45","16,611.00","16,576.15","16,482.25","18,844.00","12,200.00",123097,"2,028,915,211.90",25127,16576.15,0.017263104940971274
22,03-Mar-2021,EQ,"16,705.00","16,720.00","16,546.65","16,576.15","16,687.05","16,699.25","16,641.99","18,844.00","12,200.00",92873,"1,545,591,139.25",22390,16699.25,0.0073988929706469975
23,04-Mar-2021,EQ,"16,656.55","16,707.95","16,445.00","16,699.25","16,679.90","16,661.80","16,624.52","18,844.00","12,200.00",129981,"2,160,872,024.50",25397,16661.8,-0.002245134114840397
24,05-Mar-2021,EQ,"16,516.00","16,840.00","16,456.00","16,661.80","16,780.00","16,782.90","16,724.89","18,844.00","12,200.00",102741,"1,718,331,806.40",25164,16782.9,0.007241836778259625
25,08-Mar-2021,EQ,"16,725.05","16,900.00","16,607.00","16,782.90","16,868.90","16,852.45","16,822.57","18,844.00","12,200.00",91842,"1,545,018,573.00",16770,16852.45,0.004135535924206124
26,09-Mar-2021,EQ,"16,910.20","16,949.95","16,660.00","16,852.45","16,875.00","16,910.80","16,794.14","18,844.00","12,200.00",92717,"1,557,102,659.40",19365,16910.8,0.0034564242536863077
27,10-Mar-2021,EQ,"16,949.70","17,000.00","16,785.00","16,910.80","16,926.95","16,931.45","16,897.86","18,844.00","12,200.00",63788,"1,077,880,999.50",15905,16931.45,0.0012203681825422308
28,12-Mar-2021,EQ,"16,977.00","17,009.85","16,650.00","16,931.45","16,684.05","16,722.45","16,845.94","18,844.00","12,200.00",84914,"1,430,456,211.25",17588,16722.45,-0.012420711236028836
29,15-Mar-2021,EQ,"16,879.85","16,879.85","16,630.00","16,722.45","16,805.00","16,833.05","16,774.56","18,844.00","12,200.00",68983,"1,157,159,637.80",17746,16833.05,0.0065920877659806365
30,16-Mar-2021,EQ,"16,835.00","17,020.00","16,695.00","16,833.05","16,761.05","16,741.95","16,815.74","18,844.00","12,200.00",84470,"1,420,425,730.55",22085,16741.95,-0.0054266700559910674
31,17-Mar-2021,EQ,"16,790.00","16,790.00","16,340.05","16,741.95","16,467.90","16,455.75","16,472.71","18,844.00","12,200.00",157173,"2,589,065,013.50",34911,16455.75,-0.017242585524357423
32,18-Mar-2021,EQ,"16,467.90","16,624.95","16,180.00","16,455.75","16,220.00","16,201.25","16,344.49","18,844.00","12,200.00",96365,"1,575,036,305.80",26718,16201.25,-0.015586560452584663
33,19-Mar-2021,EQ,"16,200.00","16,595.00","16,070.00","16,201.25","16,403.00","16,450.85","16,412.43","18,844.00","12,200.00",199416,"3,272,901,948.05",32199,16450.85,0.015288747853517748
34,22-Mar-2021,EQ,"16,451.00","16,675.00","16,351.00","16,450.85","16,570.10","16,588.05","16,534.82","18,844.00","12,200.00",108786,"1,798,757,212.05",26976,16588.05,0.008305408997777874
35,23-Mar-2021,EQ,"16,575.00","16,750.00","16,506.40","16,588.05","16,670.00","16,681.35","16,682.34","18,844.00","12,200.00",100358,"1,674,206,109.85",23696,16681.35,0.005608772300574216
36,24-Mar-2021,EQ,"16,600.00","16,769.80","16,419.25","16,681.35","16,436.10","16,448.10","16,597.36","18,844.00","12,200.00",75555,"1,254,013,356.50",18528,16448.1,-0.014081359886507272
37,25-Mar-2021,EQ,"16,425.00","16,584.50","16,116.00","16,448.10","16,155.35","16,170.10","16,325.17","18,844.00","12,200.00",108704,"1,774,611,621.20",25543,16170.1,-0.01704611115901855
