,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,111.9,112.6,110.6,111.35,112.0,112.1,111.61,139.0,63.5,801166,"89,419,725.30",6465,112.1,
1,02-Feb-2021,EQ,112.7,114.0,112.1,112.1,112.95,112.95,113.08,139.0,63.5,725312,"82,017,498.35",6005,112.95,0.0075539128358981245
2,03-Feb-2021,EQ,115.0,115.9,113.0,112.95,114.1,114.0,114.14,139.0,63.5,1483467,"169,329,703.35",10940,114.0,0.009253205480483473
3,04-Feb-2021,EQ,114.9,118.45,114.5,114.0,117.95,118.15,117.43,139.0,63.5,2013843,"236,483,531.45",27056,118.15,0.03575655523842158
4,05-Feb-2021,EQ,119.9,122.05,116.1,118.15,116.9,117.05,118.76,139.0,63.5,2193844,"260,534,345.80",15588,117.05,-0.009353809695997306
5,08-Feb-2021,EQ,119.95,120.0,117.5,117.05,118.0,118.05,118.65,139.0,63.5,1205908,"143,085,919.30",9219,118.05,0.008507069594601901
6,09-Feb-2021,EQ,119.95,121.35,118.55,118.05,120.0,119.95,119.93,139.0,63.5,1831871,"219,697,552.80",12603,119.95,0.015966725754181788
7,10-Feb-2021,EQ,120.4,120.9,119.5,119.95,119.9,119.9,119.95,139.0,63.5,920887,"110,464,557.55",8273,119.9,-0.0004169272522354106
8,11-Feb-2021,EQ,120.4,121.0,119.6,119.9,119.75,119.95,120.24,139.0,63.5,1259391,"151,425,836.05",9150,119.95,0.0004169272522354106
9,12-Feb-2021,EQ,117.4,117.4,115.25,119.95,115.65,115.65,116.44,139.0,63.5,1591661,"185,339,610.40",26193,115.65,-0.036506600608255724
10,15-Feb-2021,EQ,116.9,117.0,115.65,115.65,116.25,116.05,116.33,139.0,63.5,778895,"90,610,551.30",7824,116.05,0.0034527440429981127
11,16-Feb-2021,EQ,117.65,118.9,116.7,116.05,118.25,118.25,118.16,139.0,63.5,1489380,"175,990,323.10",14992,118.25,0.018779894651596685
12,17-Feb-2021,EQ,118.05,120.3,118.05,118.25,119.9,119.55,119.28,139.0,63.5,2960083,"353,069,828.60",25442,119.55,0.01093366653229122
13,18-Feb-2021,EQ,120.5,124.7,120.15,119.55,121.85,121.8,122.41,139.0,63.5,5643093,"690,745,473.50",51445,121.8,0.01864566137146273
14,19-Feb-2021,EQ,124.7,126.9,120.6,121.8,123.5,123.35,124.37,139.0,63.5,4162848,"517,731,077.65",27307,123.35,0.012645487699568747
15,22-Feb-2021,EQ,124.9,125.55,122.35,123.35,124.45,124.3,123.99,126.9,63.5,2323984,"288,152,952.05",15904,124.3,0.007672155541300185
16,23-Feb-2021,EQ,124.75,128.55,123.75,124.3,125.6,125.6,126.3,128.55,63.5,6217126,"785,198,276.80",37566,125.6,0.010404255517432404
17,24-Feb-2021,EQ,125.6,128.0,122.95,125.6,124.7,124.6,125.54,128.55,63.5,1165118,"146,268,573.80",10559,124.6,-0.007993647680745397
18,25-Feb-2021,EQ,127.0,129.55,126.0,124.6,127.95,127.8,127.78,129.55,63.5,3900737,"498,442,023.30",24755,127.8,0.025357935590081482
19,26-Feb-2021,EQ,126.0,127.9,124.6,127.8,126.0,126.3,126.52,129.55,63.5,1641092,"207,625,162.25",17033,126.3,-0.011806512586988838
20,01-Mar-2021,EQ,127.3,128.15,125.6,126.3,127.55,127.25,127.16,129.55,63.5,1435981,"182,599,679.85",15044,127.25,0.007493626074186466
21,02-Mar-2021,EQ,127.8,129.7,126.7,127.25,127.65,127.55,127.85,129.7,63.5,2210306,"282,586,185.85",14645,127.55,0.002354789157188897
22,03-Mar-2021,EQ,128.45,129.0,126.3,127.55,128.1,127.9,127.81,129.7,63.5,1398850,"178,782,557.80",11660,127.9,0.0027402639969764664
23,04-Mar-2021,EQ,127.4,128.8,127.0,127.9,127.6,127.3,127.76,129.7,63.5,799011,"102,083,129.20",15591,127.3,-0.004702203021436091
24,05-Mar-2021,EQ,129.05,131.75,126.05,127.3,127.2,127.3,129.59,131.75,63.5,3884928,"503,440,115.75",24016,127.3,0.0
25,08-Mar-2021,EQ,130.8,133.7,130.0,127.3,130.95,131.0,131.53,133.7,63.5,4345839,"571,589,273.35",38927,131.0,0.028650817637790205
26,09-Mar-2021,EQ,131.7,132.9,129.1,131.0,129.35,129.55,130.45,133.7,63.5,2181931,"284,631,845.35",17030,129.55,-0.011130416193031678
27,10-Mar-2021,EQ,129.85,132.9,129.4,129.55,131.5,132.05,130.91,133.7,63.5,1361424,"178,226,111.20",21652,132.05,0.019113731735021844
28,12-Mar-2021,EQ,133.8,133.8,130.6,132.05,131.55,131.9,132.42,133.8,63.5,1267052,"167,782,287.65",20369,131.9,-0.001136579019872741
29,15-Mar-2021,EQ,133.8,133.8,130.15,131.9,131.05,131.35,131.35,133.8,67.85,834320,"109,589,656.90",11416,131.35,-0.004178543591719652
30,16-Mar-2021,EQ,131.7,132.5,131.05,131.35,132.5,132.15,131.71,133.8,67.85,793066,"104,456,056.25",8714,132.15,0.006072124918749644
31,17-Mar-2021,EQ,131.95,133.2,128.7,132.15,129.85,129.3,130.57,133.8,67.85,1050078,"137,108,892.40",13619,129.3,-0.021802355272487084
32,18-Mar-2021,EQ,129.9,130.8,122.5,129.3,128.0,127.45,127.4,133.8,67.85,1091102,"139,001,623.75",11474,127.45,-0.014411154955687344
33,19-Mar-2021,EQ,123.0,123.95,115.9,127.45,120.05,119.65,120.92,133.8,67.85,12205335,"1,475,856,193.80",84971,119.65,-0.06315331646774158
34,22-Mar-2021,EQ,120.5,120.9,118.15,119.65,118.9,118.85,119.06,133.8,69.0,1108722,"132,001,001.95",11195,118.85,-0.006708620548179667
35,23-Mar-2021,EQ,118.8,119.5,117.65,118.85,118.2,118.1,118.45,133.8,69.0,643628,"76,236,734.50",6321,118.1,-0.0063304706028866065
36,24-Mar-2021,EQ,115.3,118.45,115.2,118.1,116.45,116.45,116.51,133.8,69.0,1048570,"122,173,361.75",15816,116.45,-0.01406972687296637
37,25-Mar-2021,EQ,117.95,118.95,116.05,116.45,117.25,117.2,117.31,133.8,69.0,1460950,"171,382,343.90",20947,117.2,0.006419880812562617
38,26-Mar-2021,EQ,116.95,119.5,116.1,117.2,119.0,118.15,117.53,133.8,69.0,1059562,"124,526,087.40",15705,118.15,0.00807312649000469
39,30-Mar-2021,EQ,118.95,129.0,118.7,118.15,125.8,124.0,122.84,133.8,69.0,2883594,"354,219,986.90",20516,124.0,0.04832656197211982
40,31-Mar-2021,EQ,124.8,126.7,121.5,124.0,122.65,122.8,124.1,133.8,69.0,1427442,"177,142,086.55",27699,122.8,-0.009724549891995338
41,01-Apr-2021,EQ,122.8,124.8,122.5,122.8,124.0,124.0,123.55,133.8,69.0,579175,"71,556,127.35",11076,124.0,0.009724549891995338
42,05-Apr-2021,EQ,122.5,124.0,120.65,124.0,122.2,122.35,122.32,133.8,69.0,798931,"97,721,789.00",9627,122.35,-0.013395775716356084
43,06-Apr-2021,EQ,122.55,123.95,122.25,122.35,122.6,122.7,122.92,133.8,69.0,589040,"72,407,380.90",5051,122.7,0.0028565618281843896
44,07-Apr-2021,EQ,122.65,125.3,122.65,122.7,123.45,123.95,124.12,133.8,69.0,778237,"96,598,511.05",7305,123.95,0.010135906764333846
45,08-Apr-2021,EQ,124.45,124.95,121.1,123.95,122.3,122.2,123.23,133.8,69.0,424219,"52,275,913.75",6777,122.2,-0.014219211743704108
46,09-Apr-2021,EQ,122.0,122.45,120.0,122.2,120.3,120.2,120.91,133.8,69.0,434844,"52,578,804.50",5917,120.2,-0.016502024636388057
47,12-Apr-2021,EQ,118.8,118.9,112.0,120.2,112.85,112.65,114.45,133.8,69.0,760450,"87,031,875.80",11455,112.65,-0.06487135522285392
48,13-Apr-2021,EQ,112.7,118.9,112.7,112.65,116.75,115.65,114.6,133.8,69.0,1113753,"127,636,903.15",34106,115.65,0.026282721799194775
49,15-Apr-2021,EQ,117.0,120.9,115.4,115.65,119.1,119.5,117.34,133.8,69.0,1225535,"143,806,973.30",9274,119.5,0.03274798269411772
50,16-Apr-2021,EQ,118.6,120.4,118.25,119.5,118.9,118.8,119.08,133.8,69.0,1023065,"121,830,744.05",10312,118.8,-0.005874964443020936
51,19-Apr-2021,EQ,117.0,117.85,115.1,118.8,116.9,116.8,116.89,133.8,69.0,840249,"98,218,124.55",10266,116.8,-0.016978336534418048
52,20-Apr-2021,EQ,117.3,118.5,115.5,116.8,116.55,116.9,117.01,133.8,69.0,574505,"67,225,590.45",7031,116.9,0.000855798083896353
53,22-Apr-2021,EQ,115.5,116.8,114.55,116.9,116.0,116.25,115.7,133.8,69.0,432606,"50,051,510.15",8919,116.25,-0.005575824010557007
54,23-Apr-2021,EQ,115.85,116.95,115.1,116.25,115.6,115.95,115.83,133.8,69.0,384589,"44,548,812.95",7631,115.95,-0.0025839807659249203
55,26-Apr-2021,EQ,116.5,117.15,115.35,115.95,116.0,116.05,116.35,133.8,69.0,402760,"46,862,392.00",6370,116.05,0.000862069018904954
56,27-Apr-2021,EQ,116.15,117.55,115.65,116.05,115.85,116.0,116.16,133.8,69.0,1434504,"166,637,036.90",11471,116.0,-0.00043094161408152587
