,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,89.0,91.2,88.45,88.3,90.95,90.85,89.9,109.75,50.0,24228098,"2,178,061,225.45",101167,90.85,
1,02-Feb-2021,EQ,92.5,93.95,91.2,90.85,93.3,92.85,92.53,109.75,50.0,22141489,"2,048,669,158.00",99290,92.85,0.021775492956535025
2,03-Feb-2021,EQ,94.6,95.3,93.0,92.85,93.55,93.35,93.69,109.75,50.0,25912911,"2,427,678,684.30",93356,93.35,0.005370582189017092
3,04-Feb-2021,EQ,94.25,98.6,94.0,93.35,97.8,97.65,97.33,109.75,50.0,49670027,"4,834,421,113.15",191374,97.65,0.04503378733495644
4,05-Feb-2021,EQ,98.95,99.95,96.8,97.65,97.8,97.65,98.33,109.75,50.0,30514219,"3,000,479,500.85",112662,97.65,0.0
5,08-Feb-2021,EQ,99.5,100.8,99.1,97.65,99.5,99.65,99.94,109.15,50.0,29096831,"2,908,045,975.15",155984,99.65,0.02027438933611503
6,09-Feb-2021,EQ,99.8,103.35,99.8,99.65,101.15,101.0,102.08,109.15,50.0,39638657,"4,046,372,301.50",155055,101.0,0.013456470182456215
7,10-Feb-2021,EQ,102.0,102.5,98.6,101.0,100.1,100.0,100.38,109.15,50.0,21467230,"2,154,908,403.40",86975,100.0,-0.009950330853167877
8,11-Feb-2021,EQ,100.0,100.35,98.9,100.0,99.4,99.45,99.46,109.15,50.0,11287104,"1,122,619,909.45",49472,99.45,-0.0055151806881106324
9,12-Feb-2021,EQ,98.9,99.4,96.55,99.45,97.0,97.0,97.56,109.15,50.0,18187705,"1,774,355,259.25",76650,97.0,-0.02494402679659835
10,15-Feb-2021,EQ,97.0,99.25,95.6,97.0,98.5,98.45,97.62,107.9,50.0,26118576,"2,549,771,841.55",105502,98.45,0.014837826581751479
11,16-Feb-2021,EQ,99.25,104.85,99.25,98.45,103.35,103.75,103.22,107.9,50.0,76236798,"7,868,996,147.10",280197,103.75,0.052435354025673675
12,17-Feb-2021,EQ,102.0,103.5,100.8,103.75,101.95,102.25,102.45,107.9,50.0,21014091,"2,152,942,169.20",77475,102.25,-0.01456336418789661
13,18-Feb-2021,EQ,103.7,115.5,103.35,102.25,110.05,110.7,109.74,115.5,50.0,110000964,"12,071,348,507.85",355787,110.7,0.07940304479167981
14,19-Feb-2021,EQ,110.7,112.2,103.85,110.7,105.1,105.1,108.7,115.5,50.0,48225988,"5,242,129,567.15",180663,105.1,-0.05191156183168566
15,22-Feb-2021,EQ,105.9,108.55,105.3,105.1,106.15,106.3,107.17,115.5,50.0,36592043,"3,921,751,150.50",141651,106.3,0.011353007464996345
16,23-Feb-2021,EQ,109.75,114.4,109.45,106.3,112.3,112.2,112.82,115.5,50.0,90860972,"10,250,609,480.35",311280,112.2,0.054017707740694476
17,24-Feb-2021,EQ,114.0,115.35,111.0,112.2,113.6,113.6,113.12,115.5,50.0,26071364,"2,949,137,498.35",105101,113.6,0.01240051319845481
18,25-Feb-2021,EQ,116.0,120.5,115.35,113.6,118.75,119.05,118.23,120.5,50.0,62038881,"7,334,656,684.90",231523,119.05,0.046860066645820986
19,26-Feb-2021,EQ,115.5,118.4,110.05,119.05,111.45,111.0,114.34,120.5,50.0,55154985,"6,306,645,886.75",218480,111.0,-0.07001337162053822
20,01-Mar-2021,EQ,114.3,117.65,113.5,111.0,117.65,117.05,116.16,120.5,50.0,41672980,"4,840,829,840.65",183751,117.05,0.05307099262458603
21,02-Mar-2021,EQ,115.9,116.65,112.75,117.05,114.05,113.5,114.28,120.5,50.0,36303917,"4,148,689,056.70",151356,113.5,-0.030798357015462408
22,03-Mar-2021,EQ,114.05,115.8,113.2,113.5,114.25,114.0,114.16,120.5,50.0,19434630,"2,218,672,253.15",86582,114.0,0.00439561147303813
23,04-Mar-2021,EQ,113.95,117.0,112.3,114.0,113.0,112.7,114.36,120.5,50.0,38272786,"4,376,958,104.45",146333,112.7,-0.011469027348764982
24,05-Mar-2021,EQ,116.25,118.25,113.5,112.7,115.4,114.95,116.15,120.5,50.0,57756103,"6,708,495,623.75",229240,114.95,0.01976783016345962
25,08-Mar-2021,EQ,118.95,122.35,117.2,114.95,118.75,118.25,119.79,122.35,50.0,63866178,"7,650,564,076.65",266985,118.25,0.0283037761628524
26,09-Mar-2021,EQ,119.4,119.55,114.2,118.25,117.0,116.75,116.38,122.35,50.0,26817643,"3,120,927,611.90",113160,116.75,-0.012766130823036015
27,10-Mar-2021,EQ,116.9,117.0,113.6,116.75,114.6,114.4,114.45,122.35,50.0,23841269,"2,728,720,944.55",101031,114.4,-0.020333817603309434
28,12-Mar-2021,EQ,116.75,117.4,114.0,114.4,115.2,115.05,115.69,122.35,50.0,20691698,"2,393,731,284.40",92636,115.05,0.005665737535677451
29,15-Mar-2021,EQ,116.0,116.85,112.8,115.05,114.2,114.35,114.49,122.35,57.5,19679958,"2,253,246,041.70",82735,114.35,-0.006102896012584402
30,16-Mar-2021,EQ,113.8,116.3,113.45,114.35,115.4,115.1,115.13,122.35,57.5,20680669,"2,380,930,910.25",74281,115.1,0.006537395259046619
31,17-Mar-2021,EQ,114.8,114.85,108.75,115.1,109.65,109.35,111.78,122.35,57.5,31017863,"3,467,086,652.70",129182,109.35,-0.05124756860505997
32,18-Mar-2021,EQ,110.0,112.2,107.5,109.35,109.85,110.2,110.05,122.35,57.5,26710696,"2,939,545,484.05",100601,110.2,0.007743149596037391
33,19-Mar-2021,EQ,106.25,113.25,104.45,110.2,110.4,110.5,109.09,122.35,57.5,50386785,"5,496,927,528.85",179428,110.5,0.0027186242389936055
34,22-Mar-2021,EQ,110.5,111.25,108.55,110.5,109.5,109.6,109.84,122.35,59.65,15825065,"1,738,189,222.35",69006,109.6,-0.008178146443892587
35,23-Mar-2021,EQ,109.6,110.3,106.6,109.6,107.35,107.15,108.35,122.35,59.65,15815643,"1,713,609,187.65",84665,107.15,-0.022607652594329508
36,24-Mar-2021,EQ,105.0,106.0,102.85,107.15,105.5,104.8,104.39,122.35,59.65,31083656,"3,244,710,960.80",137209,104.8,-0.022175950032644387
37,25-Mar-2021,EQ,106.0,107.7,101.3,104.8,102.0,102.0,104.42,122.35,59.65,37295495,"3,894,388,987.30",145265,102.0,-0.02708095860267079
38,26-Mar-2021,EQ,103.0,104.0,100.25,102.0,102.65,102.4,101.99,122.35,59.65,26637085,"2,716,713,225.05",119045,102.4,0.003913899321136505
39,30-Mar-2021,EQ,104.05,106.3,102.6,102.4,103.7,103.5,104.4,122.35,60.1,31843605,"3,324,336,585.00",110924,103.5,0.010684900100016215
40,31-Mar-2021,EQ,102.8,104.2,101.9,103.5,102.2,102.15,102.8,122.35,60.1,19587582,"2,013,606,804.75",82697,102.15,-0.013129291441792645
