,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,239.2,242.75,234.7,237.0,241.7,240.65,238.75,280.75,170.4,5197736,"1,240,975,034.70",55936,240.65,
1,02-Feb-2021,EQ,243.05,248.8,242.0,240.65,247.0,246.45,245.83,280.75,170.4,4355693,"1,070,768,829.35",38696,246.45,0.023815537402268383
2,03-Feb-2021,EQ,248.0,251.4,244.65,246.45,247.2,247.85,248.03,280.75,170.4,3412928,"846,506,211.05",25851,247.85,0.005664591315196255
3,04-Feb-2021,EQ,248.0,254.0,248.0,247.85,250.4,250.4,251.17,280.75,170.4,4366527,"1,096,721,167.20",40675,250.4,0.010235914759360476
4,05-Feb-2021,EQ,252.7,252.8,242.85,250.4,244.0,243.75,246.53,280.75,170.4,2586977,"637,770,411.85",29617,243.75,-0.026916529347986717
5,08-Feb-2021,EQ,245.1,247.0,240.75,243.75,242.0,242.05,242.27,280.75,170.4,3882652,"940,643,194.00",34070,242.05,-0.006998793492253519
6,09-Feb-2021,EQ,244.4,245.45,241.8,242.05,242.25,242.35,243.37,280.75,170.4,3824465,"930,771,416.45",25239,242.35,0.001238645905681679
7,10-Feb-2021,EQ,244.0,244.0,237.15,242.35,241.0,240.9,239.4,280.75,170.4,5449342,"1,304,571,519.65",62577,240.9,-0.006001052670558948
8,11-Feb-2021,EQ,241.4,243.75,239.0,240.9,243.1,242.8,241.61,280.75,170.4,4601213,"1,111,690,250.05",31126,242.8,0.007856149564517523
9,12-Feb-2021,EQ,247.5,247.5,238.55,242.8,242.55,242.2,241.82,280.75,170.4,5308401,"1,283,654,028.40",41331,242.2,-0.002474228066351003
10,15-Feb-2021,EQ,244.5,246.05,239.2,242.2,240.3,239.95,241.39,280.75,170.4,2755123,"665,065,375.60",32412,239.95,-0.009333262814737786
11,16-Feb-2021,EQ,241.65,245.9,241.5,239.95,243.0,242.8,243.55,280.75,170.4,4523573,"1,101,720,881.40",56702,242.8,0.011807490881088789
12,17-Feb-2021,EQ,243.5,244.35,239.1,242.8,239.95,240.3,242.02,280.75,170.4,6758811,"1,635,793,172.85",27175,240.3,-0.010349916442920382
13,18-Feb-2021,EQ,243.0,249.95,242.0,240.3,246.7,246.1,246.16,280.75,170.4,13992508,"3,444,374,348.90",86159,246.1,0.023849814654587576
14,19-Feb-2021,EQ,247.5,256.25,247.0,246.1,253.3,252.25,252.49,280.75,170.4,14721972,"3,717,182,391.10",116989,252.25,0.024682701836708176
15,22-Feb-2021,EQ,258.0,258.0,250.4,252.25,251.95,251.9,252.89,280.75,170.4,8453078,"2,137,733,842.00",69590,251.9,-0.001388475875153894
16,23-Feb-2021,EQ,252.0,255.55,250.0,251.9,252.05,251.4,252.78,280.75,170.4,5269453,"1,332,016,315.25",76622,251.4,-0.0019868872024177975
17,24-Feb-2021,EQ,252.95,257.5,250.3,251.4,252.85,251.9,254.58,280.75,170.4,4807487,"1,223,893,207.65",57643,251.9,0.0019868872024177975
18,25-Feb-2021,EQ,253.95,260.95,252.85,251.9,259.2,258.7,258.57,280.75,170.4,9327946,"2,411,900,430.40",50054,258.7,0.026636905833418822
19,26-Feb-2021,EQ,257.4,259.0,251.5,258.7,257.9,255.15,254.65,280.75,170.4,6178062,"1,573,222,160.10",72877,255.15,-0.013817481682003141
20,01-Mar-2021,EQ,259.1,260.0,250.45,255.15,251.6,251.4,252.69,280.75,170.4,3466435,"875,929,789.10",31856,251.4,-0.014806311353833479
21,02-Mar-2021,EQ,254.0,257.45,252.1,251.4,256.5,256.75,254.86,280.75,170.4,3465975,"883,350,340.40",37250,256.75,0.02105755265252096
22,03-Mar-2021,EQ,260.5,260.5,253.8,256.75,255.25,255.55,256.41,280.75,170.4,4436834,"1,137,646,948.65",38145,255.55,-0.004684763594378971
23,04-Mar-2021,EQ,253.0,260.3,252.75,255.55,254.5,255.15,256.9,280.75,170.4,4444141,"1,141,689,700.25",38056,255.15,-0.001566477704308511
24,05-Mar-2021,EQ,255.0,256.95,250.5,255.15,252.0,252.1,253.47,280.75,170.4,2997193,"759,710,467.65",24722,252.1,-0.012025773316106658
25,08-Mar-2021,EQ,253.4,256.9,251.75,252.1,253.0,252.3,253.49,280.75,170.4,2635274,"668,026,927.85",22989,252.3,0.0007930214531386426
26,09-Mar-2021,EQ,253.0,256.5,248.0,252.3,250.55,251.0,252.42,280.75,170.4,3416718,"862,446,946.20",25956,251.0,-0.005165916515228908
27,10-Mar-2021,EQ,252.0,253.3,246.0,251.0,246.35,246.6,248.44,280.75,170.4,2541063,"631,308,267.30",22538,246.6,-0.01768534840153979
28,12-Mar-2021,EQ,244.5,248.8,240.25,246.6,242.0,242.05,244.25,280.75,170.4,4108486,"1,003,513,337.15",32745,242.05,-0.018623274344540697
29,15-Mar-2021,EQ,243.9,243.9,237.2,242.05,240.3,239.5,239.59,280.75,170.4,3387729,"811,678,885.25",45813,239.5,-0.010590899534733467
30,16-Mar-2021,EQ,241.0,241.6,236.45,239.5,236.9,236.8,237.47,280.75,170.4,3677162,"873,204,135.25",31008,236.8,-0.01133751384111914
31,17-Mar-2021,EQ,237.05,237.8,228.2,236.8,229.05,228.85,232.85,280.75,170.4,5285782,"1,230,769,072.35",49871,228.85,-0.034149135910199746
32,18-Mar-2021,EQ,230.0,230.85,222.55,228.85,226.0,225.6,226.97,280.75,170.4,7222957,"1,639,419,216.30",65454,225.6,-0.014303247475746517
33,19-Mar-2021,EQ,225.35,227.35,221.25,225.6,224.35,224.1,224.78,280.75,170.4,7375780,"1,657,937,822.45",51789,224.1,-0.006671138817022637
34,22-Mar-2021,EQ,226.6,231.5,225.25,224.1,228.9,228.75,228.46,280.75,170.4,5012225,"1,145,115,206.25",44679,228.75,0.02053732334874958
35,23-Mar-2021,EQ,230.25,233.5,228.2,228.75,229.8,229.5,229.88,280.75,170.4,2751034,"632,412,751.70",23229,229.5,0.003273325344968825
36,24-Mar-2021,EQ,228.0,236.0,224.0,229.5,224.5,224.85,227.26,280.75,170.4,3396546,"771,887,263.15",33831,224.85,-0.020469516283883493
37,25-Mar-2021,EQ,224.85,228.05,220.0,224.85,220.9,220.75,223.41,280.75,170.4,4487560,"1,002,548,734.10",43062,220.75,-0.01840267373264659
38,26-Mar-2021,EQ,223.0,226.4,222.4,220.75,224.0,224.05,224.59,280.75,170.4,3014213,"676,951,508.95",27237,224.05,0.014838401748082042
39,30-Mar-2021,EQ,226.1,230.9,225.75,224.05,227.0,226.95,228.29,280.75,186.55,3915487,"893,860,119.85",39850,226.95,0.012860487670322662
40,31-Mar-2021,EQ,228.4,229.35,224.0,226.95,224.55,224.65,225.46,280.75,186.55,3305825,"745,330,179.45",46589,224.65,-0.010186093386305828
41,01-Apr-2021,EQ,226.8,228.75,225.55,224.65,228.0,227.75,227.42,280.75,186.55,1617459,"367,837,772.15",23577,227.75,0.01370490062389873
42,05-Apr-2021,EQ,228.5,228.5,222.65,227.75,227.1,227.4,225.77,280.75,196.0,3222576,"727,552,831.55",27764,227.4,-0.0015379548236316154
43,06-Apr-2021,EQ,228.0,230.3,225.55,227.4,228.85,228.15,228.32,280.75,196.0,2454664,"560,447,163.10",29136,228.15,0.0032927260569755035
44,07-Apr-2021,EQ,228.8,232.5,228.15,228.15,231.05,230.9,231.12,280.75,196.0,2420861,"559,516,175.75",22629,230.9,0.011981408987038478
45,08-Apr-2021,EQ,232.0,232.45,229.05,230.9,229.4,230.3,230.68,280.75,196.0,1822310,"420,366,046.50",27423,230.3,-0.0026019095338103426
46,09-Apr-2021,EQ,230.0,230.3,226.5,230.3,228.0,228.15,228.07,280.75,196.0,2775862,"633,099,853.95",40655,228.15,-0.009379499453228135
47,12-Apr-2021,EQ,223.15,226.0,218.15,228.15,221.85,221.75,221.63,280.75,203.85,5237740,"1,160,861,211.65",42660,221.75,-0.028452686183722875
48,13-Apr-2021,EQ,222.15,226.0,220.2,221.75,225.2,224.95,223.55,280.75,203.85,3842269,"858,929,280.50",32733,224.95,0.0143275340974931
49,15-Apr-2021,EQ,224.0,227.6,221.45,224.95,222.3,222.1,223.13,280.75,203.85,3971829,"886,218,335.25",28972,222.1,-0.012750424386799963
50,16-Apr-2021,EQ,224.75,224.75,219.5,222.1,219.9,220.55,221.18,280.75,203.85,5628509,"1,244,934,731.45",30363,220.55,-0.0070033043494328595
51,19-Apr-2021,EQ,218.0,218.0,214.5,220.55,215.2,215.0,215.86,280.75,207.25,3353526,"723,876,730.60",37244,215.0,-0.02548639842328626
52,20-Apr-2021,EQ,216.95,221.0,215.55,215.0,219.8,219.85,218.87,280.75,207.25,3392176,"742,452,836.90",40714,219.85,0.022307467499156353
53,22-Apr-2021,EQ,222.1,230.4,220.35,219.85,229.65,229.85,227.31,280.75,207.25,7395833,"1,681,135,430.00",47955,229.85,0.044481426625417875
54,23-Apr-2021,EQ,229.25,235.75,227.0,229.85,234.4,235.2,233.29,280.75,207.25,6302997,"1,470,395,056.60",71241,235.2,0.02300929377223504
55,26-Apr-2021,EQ,236.0,239.0,233.3,235.2,237.85,238.05,236.52,280.75,207.25,4246146,"1,004,307,600.70",43624,238.05,0.012044519616056348
56,27-Apr-2021,EQ,239.9,240.8,236.5,238.05,238.9,239.3,239.04,280.75,207.25,2941839,"703,230,186.05",28382,239.3,0.005237259273799921
57,28-Apr-2021,EQ,240.8,240.8,235.65,239.3,236.9,237.1,238.04,280.75,207.25,2714344,"646,120,050.50",25724,237.1,-0.009236001842968022
58,29-Apr-2021,EQ,237.6,239.65,234.5,237.1,234.85,234.85,236.48,280.75,207.25,2231672,"527,738,718.90",19748,234.85,-0.00953498059835578
59,30-Apr-2021,EQ,234.5,243.65,234.2,234.85,239.7,239.95,241.01,280.75,207.25,3756006,"905,252,227.20",40629,239.95,0.02148355583125028
60,03-May-2021,EQ,236.0,239.4,235.15,239.95,238.7,237.7,236.93,280.75,207.25,1526726,"361,722,660.10",19814,237.7,-0.009421193938106143
61,04-May-2021,EQ,240.0,240.85,236.6,237.7,238.5,238.2,238.75,280.75,207.25,1649784,"393,880,083.20",17236,238.2,0.0021012825550510428
62,05-May-2021,EQ,239.5,243.85,238.55,238.2,243.7,242.65,241.91,280.75,207.25,3487710,"843,709,498.65",30064,242.65,0.018509418930025667
63,06-May-2021,EQ,244.0,245.9,241.75,242.65,243.7,243.65,243.78,280.75,207.25,2826124,"688,958,458.35",27512,243.65,0.004112693438290016
64,07-May-2021,EQ,245.0,245.0,241.9,243.65,242.0,242.9,243.27,280.75,207.25,1563958,"380,466,558.40",21263,242.9,-0.0030829332813882004
65,10-May-2021,EQ,243.0,244.95,240.85,242.9,241.15,241.2,242.05,280.75,207.25,1775899,"429,853,100.55",18960,241.2,-0.007023371155096214
66,11-May-2021,EQ,241.2,246.5,240.5,241.2,245.95,245.85,244.57,280.75,207.25,2220540,"543,076,013.05",39970,245.85,0.019095129004917943
67,12-May-2021,EQ,246.8,249.7,244.45,245.85,248.0,247.8,247.49,280.75,207.25,4236694,"1,048,549,998.25",60717,247.8,0.007900375337093202
