,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,111.2,117.1,108.45,109.8,117.05,116.4,112.84,133.4,74.15,7132451,"804,809,263.55",32344,116.4,
1,02-Feb-2021,EQ,117.55,121.0,117.1,116.4,119.25,118.95,119.31,133.4,74.15,5872278,"700,619,643.45",35387,118.95,0.021670701451628638
2,03-Feb-2021,EQ,120.25,125.95,118.8,118.95,125.15,124.95,123.15,133.4,74.15,10862840,"1,337,744,638.55",48043,124.95,0.049210420531995425
3,04-Feb-2021,EQ,125.5,127.4,124.95,124.95,126.8,126.85,126.32,133.4,74.15,7014155,"886,041,401.70",34178,126.85,0.015091628764329457
4,05-Feb-2021,EQ,127.75,132.2,125.4,126.85,126.4,126.15,129.06,133.4,74.15,12652086,"1,632,898,436.10",52921,126.15,-0.005533610958224244
5,08-Feb-2021,EQ,126.5,128.45,126.3,126.15,127.95,128.1,127.53,133.4,74.15,6044291,"770,810,655.25",26304,128.1,0.01533953381562192
6,09-Feb-2021,EQ,128.0,128.5,125.2,128.1,126.5,125.95,127.09,133.4,74.15,5335432,"678,097,661.45",25452,125.95,-0.016926206104069585
7,10-Feb-2021,EQ,125.95,128.25,125.25,125.95,127.45,127.15,127.14,133.4,74.15,7931113,"1,008,329,921.25",36895,127.15,0.009482489069509548
8,11-Feb-2021,EQ,127.1,128.4,126.1,127.15,126.8,127.5,127.48,133.4,74.15,6265809,"798,742,955.20",28236,127.5,0.002748872730352403
9,12-Feb-2021,EQ,128.0,128.15,125.3,127.5,126.4,126.45,126.66,133.4,74.15,4868928,"616,679,741.05",20692,126.45,-0.00826939148250716
10,15-Feb-2021,EQ,127.15,132.0,126.65,126.45,131.4,131.1,130.55,133.4,74.15,11622876,"1,517,422,997.50",53837,131.1,0.036113417653679925
11,16-Feb-2021,EQ,132.45,135.9,131.9,131.1,133.95,133.7,134.2,135.9,74.15,8526216,"1,144,226,134.45",48828,133.7,0.0196380933382434
12,17-Feb-2021,EQ,132.95,133.75,129.55,133.7,130.25,130.0,131.29,135.9,74.15,7009615,"920,297,540.70",30350,130.0,-0.028064033652315246
13,18-Feb-2021,EQ,130.75,132.95,129.9,130.0,131.25,131.0,131.18,135.9,74.15,8284927,"1,086,822,479.15",26233,131.0,0.007662872745568983
14,19-Feb-2021,EQ,131.5,131.7,123.0,131.0,124.7,124.3,126.85,135.9,74.15,9242042,"1,172,336,452.95",33124,124.3,-0.05249932468448559
15,22-Feb-2021,EQ,124.55,126.65,120.6,124.3,121.0,121.65,123.14,135.9,74.15,5680695,"699,503,507.55",25722,121.65,-0.02154992928713373
16,23-Feb-2021,EQ,121.9,124.4,119.75,121.65,122.0,121.8,122.34,135.9,74.15,6195403,"757,930,206.50",25346,121.8,0.0012322860462647967
17,24-Feb-2021,EQ,122.8,125.7,122.4,121.8,124.05,124.4,123.92,135.9,74.15,3099798,"384,125,468.15",16792,124.4,0.02112182502928217
18,25-Feb-2021,EQ,125.5,130.95,124.75,124.4,130.0,129.75,128.45,135.9,74.15,10842652,"1,392,778,759.75",40405,129.75,0.04210734174091879
19,26-Feb-2021,EQ,127.75,127.75,123.45,129.75,124.1,124.0,125.21,135.9,74.15,8603748,"1,077,255,051.00",35184,124.0,-0.04532795644096055
20,01-Mar-2021,EQ,125.4,127.5,123.2,124.0,127.3,126.85,125.87,135.9,74.15,7275527,"915,800,959.30",30113,126.85,0.02272372044025417
21,02-Mar-2021,EQ,127.95,131.65,127.55,126.85,129.2,129.6,130.11,135.9,74.15,7525391,"979,102,451.05",38486,129.6,0.021447497872882693
22,03-Mar-2021,EQ,130.0,134.35,129.55,129.6,134.1,133.55,132.11,135.9,74.15,7643071,"1,009,692,549.10",33087,133.55,0.030023155637795895
23,04-Mar-2021,EQ,132.4,138.7,132.0,133.55,132.95,133.7,135.68,138.7,74.15,17466298,"2,369,881,218.50",75679,133.7,0.0011225445519276178
24,05-Mar-2021,EQ,132.95,132.95,127.45,133.7,129.55,128.55,130.18,138.7,74.15,9324501,"1,213,819,632.75",42097,128.55,-0.03928055039599876
25,08-Mar-2021,EQ,129.45,135.0,129.15,128.55,134.4,133.75,132.3,138.7,74.15,9572482,"1,266,482,845.40",42144,133.75,0.039654452064216805
26,09-Mar-2021,EQ,135.3,135.8,131.0,133.75,132.35,132.45,133.35,138.7,74.15,7227225,"963,777,034.70",32820,132.45,-0.009767170058037067
27,10-Mar-2021,EQ,133.6,135.45,133.0,132.45,134.75,134.4,134.18,138.7,74.15,5184523,"695,671,243.50",25043,134.4,0.014615212370970632
28,12-Mar-2021,EQ,136.25,140.5,134.5,134.4,138.45,137.7,137.82,140.5,74.15,25608930,"3,529,458,642.80",131108,137.7,0.02425697764556034
29,15-Mar-2021,EQ,139.7,140.1,134.5,137.7,136.9,136.85,136.19,140.5,74.15,16044441,"2,185,113,204.45",76815,136.85,-0.006191970247921397
30,16-Mar-2021,EQ,138.0,139.65,137.2,136.85,139.1,138.9,138.4,140.5,74.15,8352065,"1,155,965,513.20",50651,138.9,0.014868814273610198
