,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"11,307.00","11,350.55","11,150.20","11,306.15","11,281.00","11,296.15","11,260.46","11,900.00","8,400.00",3877,"43,656,801.85",1816,11296.15,
1,02-Feb-2021,EQ,"11,289.95","11,354.05","11,100.00","11,296.15","11,142.00","11,120.75","11,279.30","11,900.00","8,400.00",20784,"234,429,065.65",2230,11120.75,-0.015649227108326613
2,03-Feb-2021,EQ,"11,211.85","11,443.95","11,100.00","11,120.75","11,360.00","11,359.85","11,293.26","11,900.00","8,400.00",9983,"112,740,635.30",2404,11359.85,0.021272476389256667
3,04-Feb-2021,EQ,"12,319.85","12,600.00","11,800.00","11,359.85","12,268.00","12,292.85","12,318.45","12,600.00","8,400.00",131452,"1,619,285,448.30",31735,12292.85,0.07893258356406463
4,05-Feb-2021,EQ,"12,401.00","12,454.45","12,100.00","12,292.85","12,250.00","12,356.65","12,237.01","12,600.00","8,400.00",23783,"291,032,855.60",6945,12356.65,0.005176587149511747
5,08-Feb-2021,EQ,"12,356.65","12,799.00","12,355.65","12,356.65","12,780.00","12,708.80","12,540.78","12,799.00","8,400.00",15820,"198,395,136.80",5029,12708.8,0.0281002872026761
6,09-Feb-2021,EQ,"12,800.00","12,985.40","12,735.00","12,708.80","12,760.00","12,762.95","12,853.51","12,985.40","8,400.00",39465,"507,263,923.90",7157,12762.95,0.004251775521911583
7,10-Feb-2021,EQ,"12,780.00","12,885.25","12,501.00","12,762.95","12,565.00","12,533.70","12,640.01","12,985.40","8,400.00",7296,"92,221,542.90",3058,12533.7,-0.01812542579968124
8,11-Feb-2021,EQ,"12,600.00","13,173.25","12,600.00","12,533.70","13,095.00","13,022.55","12,976.81","13,173.25","8,400.00",34527,"448,050,165.10",9520,13022.55,0.03826145351942145
9,12-Feb-2021,EQ,"13,180.00","13,600.00","13,000.00","13,022.55","13,400.00","13,454.45","13,300.02","13,600.00","8,400.00",19946,"265,282,173.60",5620,13454.45,0.032627436207601335
10,15-Feb-2021,EQ,"13,455.00","13,799.95","13,450.40","13,454.45","13,475.20","13,529.85","13,637.72","13,799.95","8,400.00",11080,"151,105,951.80",3828,13529.85,0.005588449300757858
11,16-Feb-2021,EQ,"13,530.00","13,800.00","13,006.55","13,529.85","13,150.00","13,109.35","13,438.74","13,800.00","8,400.00",9423,"126,633,220.15",4230,13109.35,-0.03157263957320566
12,17-Feb-2021,EQ,"13,323.00","13,478.35","12,855.10","13,109.35","13,300.00","13,224.25","13,177.54","13,800.00","8,400.00",11865,"156,351,497.35",3755,13224.25,0.008726549287663588
13,18-Feb-2021,EQ,"13,398.00","13,499.00","13,140.00","13,224.25","13,250.00","13,232.35","13,348.45","13,800.00","8,400.00",6951,"92,785,097.25",1954,13232.35,0.000612323598126352
14,19-Feb-2021,EQ,"13,232.00","13,348.75","12,850.00","13,232.35","12,970.00","12,926.70","13,094.38","13,800.00","8,400.00",11608,"151,999,526.50",2942,12926.7,-0.02336964916746531
15,22-Feb-2021,EQ,"12,980.00","13,150.00","12,850.25","12,926.70","13,099.95","13,051.25","12,983.49","13,800.00","8,400.00",8869,"115,150,576.25",2828,13051.25,0.009588974830323949
16,23-Feb-2021,EQ,"13,139.80","13,139.80","12,870.00","13,051.25","13,044.00","12,977.05","13,049.24","13,800.00","8,400.00",7409,"96,681,803.20",3009,12977.05,-0.005701501903873307
17,24-Feb-2021,EQ,"13,119.10","13,120.00","12,800.00","12,977.05","12,936.00","12,983.95","12,997.50","13,800.00","8,400.00",1776,"23,083,561.05",711,12983.95,0.0005315665931586722
18,25-Feb-2021,EQ,"13,023.95","13,144.15","12,868.10","12,983.95","13,030.00","13,028.55","13,011.95","13,800.00","8,400.00",5923,"77,069,788.45",1572,13028.55,0.003429123975308812
19,26-Feb-2021,EQ,"13,028.00","13,100.00","12,851.55","13,028.55","13,028.35","12,919.10","12,989.78","13,800.00","8,400.00",4744,"61,623,500.95",2533,12919.1,-0.008436266801378878
20,01-Mar-2021,EQ,"13,096.80","13,096.80","12,946.75","12,919.10","13,029.35","13,016.75","13,031.17","13,800.00","8,400.00",4084,"53,219,318.20",1818,13016.75,0.007530153160349329
21,02-Mar-2021,EQ,"13,070.60","13,149.00","13,021.35","13,016.75","13,051.00","13,090.75","13,100.19","13,800.00","8,400.00",7291,"95,513,451.25",3887,13090.75,0.005668884280257913
22,03-Mar-2021,EQ,"13,060.00","13,105.00","12,902.00","13,090.75","12,993.95","12,976.80","13,020.50","13,800.00","8,400.00",6903,"89,880,525.35",2116,12976.8,-0.00874272617223859
23,04-Mar-2021,EQ,"13,049.00","13,136.95","12,958.65","12,976.80","13,014.00","13,031.00","13,047.98","13,800.00","8,400.00",3957,"51,630,847.00",2135,13031.0,0.004167986409001401
