,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"2,046.05","2,048.95","1,991.05","2,018.70","2,000.00","1,999.25","2,009.41","2,650.00",970.10,386676,"776,992,172.10",39079,1999.25,
1,02-Feb-2021,EQ,"2,019.25","2,088.45","1,981.00","1,999.25","2,075.00","2,063.60","2,025.13","2,650.00",970.10,730737,"1,479,838,266.25",54137,2063.6,0.031679920158495634
2,03-Feb-2021,EQ,"2,154.00","2,304.00","2,145.10","2,063.60","2,249.30","2,250.15","2,247.25","2,650.00",970.10,1990754,"4,473,721,972.90",113244,2250.15,0.08654485027251457
3,04-Feb-2021,EQ,"2,269.00","2,339.90","2,188.00","2,250.15","2,248.00","2,251.70","2,251.31","2,650.00",970.10,1232639,"2,775,056,929.05",73630,2251.7,0.0006886058226047709
4,05-Feb-2021,EQ,"2,258.00","2,294.00","2,217.05","2,251.70","2,244.00","2,246.50","2,245.45","2,650.00",970.10,296164,"665,022,677.35",30137,2246.5,-0.002312036955399499
5,08-Feb-2021,EQ,"2,254.00","2,290.00","2,223.00","2,246.50","2,238.00","2,236.90","2,243.17","2,650.00",970.10,298374,"669,303,182.60",26027,2236.9,-0.004282470746147737
6,09-Feb-2021,EQ,"2,253.85","2,254.90","2,200.00","2,236.90","2,224.00","2,222.80","2,228.29","2,650.00",970.10,538995,"1,201,037,467.15",26885,2222.8,-0.006323316358300524
7,10-Feb-2021,EQ,"2,230.00","2,241.65","2,203.00","2,222.80","2,230.00","2,229.55","2,221.49","2,650.00",970.10,150288,"333,863,110.35",18675,2229.55,0.0030321089633327247
8,11-Feb-2021,EQ,"2,225.00","2,242.00","2,208.20","2,229.55","2,233.00","2,228.20","2,225.16","2,650.00",970.10,94325,"209,888,622.30",9703,2228.2,-0.0006056867438832825
9,12-Feb-2021,EQ,"2,234.00","2,259.00","2,215.00","2,228.20","2,224.50","2,225.00","2,239.98","2,650.00",970.10,135102,"302,625,684.80",13416,2225.0,-0.0014371690248751179
10,15-Feb-2021,EQ,"2,235.00","2,260.00","2,200.00","2,225.00","2,207.00","2,211.20","2,230.88","2,650.00",970.10,255157,"569,224,229.75",20543,2211.2,-0.00622156102699023
11,16-Feb-2021,EQ,"2,217.20","2,259.50","2,210.25","2,211.20","2,230.50","2,226.70","2,234.42","2,650.00",970.10,293562,"655,942,016.45",27773,2226.7,0.006985314237061502
12,17-Feb-2021,EQ,"2,225.00","2,250.00","2,212.95","2,226.70","2,217.00","2,223.10","2,225.49","2,650.00",970.10,503596,"1,120,746,664.50",21457,2223.1,-0.0016180506024658925
13,18-Feb-2021,EQ,"2,229.00","2,294.35","2,217.15","2,223.10","2,266.90","2,267.50","2,253.99","2,650.00",970.10,391250,"881,873,208.60",21763,2267.5,0.01977528478134527
14,19-Feb-2021,EQ,"2,277.05","2,289.65","2,242.95","2,267.50","2,259.00","2,260.60","2,266.77","2,650.00",970.10,163921,"371,571,552.60",18208,2260.6,-0.0030476382326609652
15,22-Feb-2021,EQ,"2,269.35","2,269.50","2,218.00","2,260.60","2,231.95","2,234.90","2,236.04","2,650.00",970.10,136301,"304,773,988.00",17589,2234.9,-0.011433780439253027
16,23-Feb-2021,EQ,"2,236.00","2,270.00","2,235.00","2,234.90","2,253.00","2,259.10","2,250.82","2,650.00",970.10,223161,"502,295,325.90",21351,2259.1,0.010770019545799592
17,24-Feb-2021,EQ,"2,263.00","2,263.20","2,207.00","2,259.10","2,254.90","2,252.30","2,235.85","2,650.00",970.10,79895,"178,633,111.20",5778,2252.3,-0.0030145875558442725
18,25-Feb-2021,EQ,"2,241.00","2,280.00","2,211.00","2,252.30","2,214.40","2,216.45","2,224.46","2,650.00",970.10,398066,"885,483,676.05",27651,2216.45,-0.016045099463736
19,26-Feb-2021,EQ,"2,200.00","2,243.60","2,137.10","2,216.45","2,140.20","2,177.10","2,193.86","2,650.00",970.10,332076,"728,529,143.35",28143,2177.1,-0.01791310089139575
20,01-Mar-2021,EQ,"2,150.85","2,196.00","2,150.85","2,177.10","2,175.95","2,174.70","2,171.95","2,650.00",970.10,236941,"514,624,181.30",23111,2174.7,-0.001102991977258938
21,02-Mar-2021,EQ,"2,184.00","2,320.00","2,170.15","2,174.70","2,273.60","2,275.20","2,270.59","2,650.00",970.10,651820,"1,480,013,401.00",50700,2275.2,0.04517723663397977
22,03-Mar-2021,EQ,"2,286.30","2,330.00","2,270.00","2,275.20","2,290.00","2,279.25","2,297.81","2,650.00",970.10,389444,"894,869,007.85",24677,2279.25,0.0017784808560907805
23,04-Mar-2021,EQ,"2,273.00","2,327.80","2,228.15","2,279.25","2,268.00","2,268.15","2,269.29","2,650.00",970.10,338416,"767,963,398.75",25357,2268.15,-0.004881920238224424
24,05-Mar-2021,EQ,"2,270.00","2,357.95","2,228.05","2,268.15","2,239.95","2,263.30","2,301.47","2,650.00",970.10,758946,"1,746,689,022.75",46764,2263.3,-0.00214059599110783
25,08-Mar-2021,EQ,"2,264.30","2,302.10","2,245.10","2,263.30","2,270.00","2,268.40","2,272.33","2,650.00",970.10,179847,"408,671,461.25",14343,2268.4,0.002250811904192851
26,09-Mar-2021,EQ,"2,285.90","2,293.25","2,251.85","2,268.40","2,266.00","2,280.80","2,273.30","2,650.00",970.10,202692,"460,780,637.70",13500,2280.8,0.00545152145858907
