,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,33.75,36.0,33.1,33.35,35.75,35.75,34.42,59.4,26.3,200145354,"6,888,068,371.15",160239,35.75,
1,02-Feb-2021,EQ,36.1,36.85,35.55,35.75,36.1,36.2,36.2,59.4,26.3,199832087,"7,233,085,992.20",152307,36.2,0.012508849691708956
2,03-Feb-2021,EQ,36.45,38.75,35.7,36.2,38.55,38.35,37.36,59.4,26.3,260980002,"9,749,818,424.50",202016,38.35,0.057695408981539575
3,04-Feb-2021,EQ,38.5,41.0,38.0,38.35,40.3,40.5,39.61,59.4,26.3,384813812,"15,244,391,687.50",318181,40.5,0.05454744629922814
4,05-Feb-2021,EQ,41.3,42.75,39.7,40.5,40.1,40.15,41.4,59.4,26.3,329090924,"13,623,145,486.95",328278,40.15,-0.00867953371972252
5,08-Feb-2021,EQ,40.95,41.2,37.75,40.15,38.1,38.0,38.81,58.9,26.3,208191094,"8,078,911,229.80",245997,38.0,-0.05503628066638511
6,09-Feb-2021,EQ,38.25,41.05,37.35,38.0,38.85,39.05,39.64,58.9,26.3,376625747,"14,930,513,973.60",349764,39.05,0.02725671655930917
7,10-Feb-2021,EQ,38.8,39.95,38.65,39.05,39.5,39.45,39.33,58.9,26.3,213081321,"8,381,329,282.85",177856,39.45,0.010191171006188604
8,11-Feb-2021,EQ,39.45,40.1,38.6,39.45,38.7,38.75,39.23,58.9,26.3,151510830,"5,943,882,898.90",119968,38.75,-0.01790329149252745
9,12-Feb-2021,EQ,39.0,39.65,38.4,38.75,38.85,38.8,38.97,58.9,26.3,158520381,"6,177,626,270.10",120773,38.8,0.0012894908298717311
10,15-Feb-2021,EQ,39.25,40.05,39.0,38.8,39.65,39.55,39.43,54.35,26.3,127928424,"5,044,676,758.90",106995,39.55,0.01914544758443526
11,16-Feb-2021,EQ,40.0,40.65,39.1,39.55,39.55,39.5,39.81,54.35,26.3,187520683,"7,465,971,234.55",131120,39.5,-0.0012650223065868715
12,17-Feb-2021,EQ,39.5,42.5,39.3,39.5,41.35,41.7,41.58,54.35,26.3,466579666,"19,398,815,583.55",388759,41.7,0.05420045689767994
13,18-Feb-2021,EQ,42.0,44.3,41.8,41.7,43.95,43.8,43.38,54.35,26.3,365119300,"15,838,005,286.95",331081,43.8,0.04913268857764441
14,19-Feb-2021,EQ,44.25,46.35,41.2,43.8,42.35,42.05,43.98,54.35,26.3,429882183,"18,905,356,570.90",382470,42.05,-0.040774430963443464
15,22-Feb-2021,EQ,42.55,42.85,40.2,42.05,40.85,41.05,41.51,51.85,26.3,207909169,"8,631,100,050.85",190212,41.05,-0.024068550520520038
16,23-Feb-2021,EQ,41.3,42.2,40.65,41.05,41.15,41.0,41.49,51.85,26.3,217940163,"9,042,728,042.80",157228,41.0,-0.001218769194128999
17,24-Feb-2021,EQ,41.45,42.1,41.25,41.0,41.85,41.8,41.68,51.85,26.3,76642692,"3,194,313,832.60",69250,41.8,0.019324272826402478
18,25-Feb-2021,EQ,42.25,42.65,41.75,41.8,42.05,41.9,42.2,51.85,26.3,133293103,"5,624,918,395.50",102836,41.9,0.00238948739738154
19,26-Feb-2021,EQ,41.0,41.7,40.35,41.9,40.75,40.85,41.02,51.85,26.3,191695436,"7,863,491,124.65",162938,40.85,-0.025379005622080175
20,01-Mar-2021,EQ,41.4,41.45,40.55,40.85,40.9,40.8,41.0,46.6,26.3,120923262,"4,958,246,457.45",99230,40.8,-0.0012247398958957767
21,02-Mar-2021,EQ,41.15,41.65,40.7,40.8,41.15,41.0,41.08,46.6,26.3,115358594,"4,738,812,153.15",82606,41.0,0.004889985294191934
22,03-Mar-2021,EQ,41.4,43.9,41.25,41.0,43.55,43.55,42.87,46.6,26.3,238140740,"10,210,028,519.05",193714,43.55,0.06033763659420366
23,04-Mar-2021,EQ,43.0,44.3,42.45,43.55,43.5,43.6,43.72,46.6,26.3,215065585,"9,402,602,988.10",170288,43.6,0.00114744705647718
