,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"1,238.35","1,259.00","1,202.50","1,222.90","1,252.90","1,250.35","1,243.25","1,324.95",570.00,421178,"523,629,380.20",21966,1250.35,
1,02-Feb-2021,EQ,"1,260.00","1,277.95","1,231.55","1,250.35","1,274.90","1,270.45","1,268.64","1,324.95",570.00,591972,"750,998,789.15",34670,1270.45,0.0159476562973353
2,03-Feb-2021,EQ,"1,275.00","1,313.00","1,255.55","1,270.45","1,300.00","1,295.95","1,291.77","1,324.95",570.00,786932,"1,016,531,289.95",29719,1295.95,0.01987284852007143
3,04-Feb-2021,EQ,"1,300.00","1,327.00","1,283.90","1,295.95","1,321.45","1,319.80","1,311.34","1,327.00",570.00,861383,"1,129,561,739.15",29752,1319.8,0.018236193028251968
4,05-Feb-2021,EQ,"1,330.30","1,330.35","1,260.00","1,319.80","1,285.00","1,285.40","1,304.14","1,330.35",570.00,252502,"329,298,526.30",17549,1285.4,-0.026410256012135314
5,08-Feb-2021,EQ,"1,296.95","1,325.00","1,282.00","1,285.40","1,319.00","1,317.15","1,310.40","1,330.35",570.00,251290,"329,291,543.10",17576,1317.15,0.02440035753692804
6,09-Feb-2021,EQ,"1,324.95","1,324.95","1,290.20","1,317.15","1,299.00","1,297.15","1,310.39","1,330.35",570.00,134094,"175,715,751.35",10480,1297.15,-0.015300761341320523
7,10-Feb-2021,EQ,"1,299.95","1,308.00","1,270.00","1,297.15","1,304.00","1,301.15","1,294.27","1,330.35",570.00,259528,"335,898,916.00",15677,1301.15,0.003078938659857755
8,11-Feb-2021,EQ,"1,302.90","1,340.00","1,290.00","1,301.15","1,324.50","1,324.85","1,324.89","1,340.00",570.00,641855,"850,388,256.95",20046,1324.85,0.018050756672042922
9,12-Feb-2021,EQ,"1,329.95","1,339.85","1,315.00","1,324.85","1,335.55","1,328.95","1,331.18","1,340.00",570.00,353695,"470,832,997.95",20030,1328.95,0.003089911268430612
10,15-Feb-2021,EQ,"1,349.90","1,349.90","1,312.40","1,328.95","1,325.00","1,320.15","1,338.15","1,349.90",570.00,509004,"681,122,425.15",16224,1320.15,-0.0066437902451941255
11,16-Feb-2021,EQ,"1,328.95","1,340.00","1,311.00","1,320.15","1,321.00","1,326.40","1,327.00","1,349.90",570.00,228193,"302,813,132.40",12818,1326.4,0.004723138893099943
12,17-Feb-2021,EQ,"1,328.00","1,364.00","1,321.05","1,326.40","1,351.45","1,353.65","1,346.05","1,364.00",570.00,482906,"650,015,538.25",18292,1353.65,0.02033614232299641
13,18-Feb-2021,EQ,"1,352.00","1,360.80","1,336.10","1,353.65","1,349.00","1,347.60","1,353.12","1,364.00",570.00,317284,"429,323,044.05",20238,1347.6,-0.0044794151716294195
14,19-Feb-2021,EQ,"1,358.40","1,359.00","1,301.00","1,347.60","1,335.00","1,329.35","1,337.95","1,364.00",570.00,181098,"242,300,277.95",10443,1329.35,-0.01363513158453511
15,22-Feb-2021,EQ,"1,317.00","1,387.95","1,296.55","1,329.35","1,338.10","1,338.85","1,346.52","1,387.95",570.00,518096,"697,627,653.45",26459,1338.85,0.007120935569732367
16,23-Feb-2021,EQ,"1,339.85","1,360.00","1,325.00","1,338.85","1,345.00","1,346.40","1,345.57","1,387.95",570.00,120712,"162,426,459.15",6735,1346.4,0.005623327359001173
17,24-Feb-2021,EQ,"1,350.00","1,376.80","1,321.80","1,346.40","1,350.00","1,351.20","1,354.00","1,387.95",570.00,108632,"147,088,103.60",5176,1351.2,0.003558722616993748
18,25-Feb-2021,EQ,"1,357.00","1,372.00","1,347.60","1,351.20","1,358.90","1,355.05","1,366.84","1,387.95",570.00,484835,"662,690,989.40",15799,1355.05,0.002845267508413407
19,26-Feb-2021,EQ,"1,340.00","1,360.00","1,315.60","1,355.05","1,339.00","1,337.10","1,339.69","1,387.95",570.00,189651,"254,074,043.80",12252,1337.1,-0.013335264381383993
20,01-Mar-2021,EQ,"1,360.00","1,362.50","1,339.85","1,337.10","1,355.00","1,350.20","1,350.79","1,387.95",570.00,89642,"121,087,197.35",6469,1350.2,0.009749639987150616
21,02-Mar-2021,EQ,"1,356.00","1,374.80","1,342.00","1,350.20","1,361.00","1,365.80","1,360.59","1,387.95",570.00,191834,"261,007,792.60",11913,1365.8,0.011487607919218767
22,03-Mar-2021,EQ,"1,375.00","1,375.00","1,345.80","1,365.80","1,354.15","1,353.35","1,358.72","1,387.95",570.00,317651,"431,598,910.60",23455,1353.35,-0.009157337404216648
23,04-Mar-2021,EQ,"1,347.50","1,361.50","1,345.05","1,353.35","1,352.00","1,350.80","1,351.85","1,387.95",570.00,138212,"186,842,205.35",6332,1350.8,-0.0018859906113597447
24,05-Mar-2021,EQ,"1,351.00","1,357.00","1,338.00","1,350.80","1,352.90","1,350.25","1,349.00","1,387.95",570.00,140978,"190,178,778.25",5764,1350.25,-0.00040724903841216076
25,08-Mar-2021,EQ,"1,350.00","1,358.00","1,331.25","1,350.25","1,354.00","1,352.35","1,351.22","1,387.95",570.00,82898,"112,013,160.40",5569,1352.35,0.0015540593670113623
26,09-Mar-2021,EQ,"1,359.95","1,362.30","1,345.05","1,352.35","1,353.05","1,360.15","1,355.62","1,387.95",570.00,99124,"134,374,345.05",5079,1360.15,0.005751167925784451
27,10-Mar-2021,EQ,"1,360.00","1,377.00","1,352.00","1,360.15","1,361.05","1,366.35","1,368.99","1,387.95",570.00,434354,"594,625,783.45",9614,1366.35,0.00454796309313199
28,12-Mar-2021,EQ,"1,369.95","1,377.00","1,346.10","1,366.35","1,355.00","1,359.60","1,365.51","1,387.95",570.00,327169,"446,754,141.65",18353,1359.6,-0.004952412036967502
29,15-Mar-2021,EQ,"1,363.60","1,376.90","1,335.55","1,359.60","1,359.95","1,357.10","1,361.34","1,387.95",570.00,214232,"291,642,677.55",12637,1357.1,-0.0018404687346356141
30,16-Mar-2021,EQ,"1,363.80","1,375.90","1,345.00","1,357.10","1,355.00","1,355.20","1,360.54","1,387.95",570.00,140179,"190,718,465.00",8724,1355.2,-0.001401025189535332
31,17-Mar-2021,EQ,"1,358.00","1,359.95","1,340.10","1,355.20","1,352.05","1,352.35","1,350.20","1,387.95",570.00,94211,"127,203,567.30",7016,1352.35,-0.002105225057777993
32,18-Mar-2021,EQ,"1,352.35","1,379.00","1,295.00","1,352.35","1,306.65","1,312.35","1,356.46","1,387.95",570.00,532541,"722,369,383.55",27071,1312.35,-0.030024396619628746
33,19-Mar-2021,EQ,"1,312.00","1,370.00","1,247.25","1,312.35","1,357.25","1,353.10","1,329.50","1,387.95",570.00,360422,"479,180,999.35",26138,1353.1,0.030578833049215604
34,22-Mar-2021,EQ,"1,355.00","1,377.00","1,345.00","1,353.10","1,350.85","1,352.70","1,369.47","1,387.95",570.00,326202,"446,722,794.85",13089,1352.7,-0.00029566117445067874
35,23-Mar-2021,EQ,"1,354.90","1,375.00","1,348.15","1,352.70","1,375.00","1,373.35","1,367.22","1,387.95",570.00,220444,"301,396,352.90",15244,1373.35,0.015150415429005193
36,24-Mar-2021,EQ,"1,378.00","1,378.00","1,126.10","1,373.35","1,373.80","1,371.55","1,362.03","1,387.95",570.00,234622,"319,561,948.65",14403,1371.55,-0.0013115233764544598
37,25-Mar-2021,EQ,"1,365.00","1,375.00","1,338.00","1,371.55","1,368.40","1,364.35","1,361.52","1,387.95",570.00,293099,"399,059,942.55",18658,1364.35,-0.005263362419519524
