,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,269.0,282.6,268.95,267.5,278.75,278.8,277.81,386.25,133.65,823543,"228,789,309.60",17674,278.8,
1,02-Feb-2021,EQ,283.8,286.8,278.0,278.8,286.8,284.25,281.59,386.25,133.65,391758,"110,316,258.25",8820,284.25,0.0193594537442765
2,03-Feb-2021,EQ,287.9,293.9,282.6,284.25,290.75,290.25,290.67,386.25,133.65,441741,"128,401,879.50",12733,290.25,0.02088848794735565
3,04-Feb-2021,EQ,290.85,291.25,282.0,290.25,283.0,282.7,287.13,386.25,133.65,738709,"212,106,100.45",12031,282.7,-0.026356355878456306
4,05-Feb-2021,EQ,285.4,286.25,278.0,282.7,280.65,281.1,281.58,386.25,133.65,456129,"128,435,163.15",10760,281.1,-0.005675786787058712
5,08-Feb-2021,EQ,282.4,288.0,280.05,281.1,283.05,283.3,282.0,383.5,133.65,230051,"64,873,766.40",6247,283.3,0.0077959289239846186
6,09-Feb-2021,EQ,286.0,290.5,281.55,283.3,282.7,282.65,286.8,383.5,133.65,478569,"137,251,662.70",6090,282.65,-0.0022970237151707096
7,10-Feb-2021,EQ,284.0,293.5,280.5,282.65,290.55,291.7,289.22,383.5,133.65,762885,"220,641,440.95",11443,291.7,0.03151649375237575
8,11-Feb-2021,EQ,293.7,293.7,285.0,291.7,287.0,286.75,287.9,383.5,133.65,490876,"141,321,668.45",7042,286.75,-0.017115120864195532
9,12-Feb-2021,EQ,286.0,287.0,280.5,286.75,286.9,286.3,284.6,383.5,133.65,330179,"93,969,300.15",4394,286.3,-0.0015705439054105597
10,15-Feb-2021,EQ,289.75,293.0,285.0,286.3,291.05,291.1,290.25,372.0,133.65,580416,"168,464,484.85",13733,291.1,0.016626638647507797
11,16-Feb-2021,EQ,291.1,293.7,283.2,291.1,285.75,284.9,286.85,372.0,133.65,421650,"120,950,210.35",14645,284.9,-0.02152860924771538
12,17-Feb-2021,EQ,289.95,299.7,285.6,284.9,295.5,294.95,292.94,372.0,133.65,570937,"167,251,331.70",10662,294.95,0.03466760894522203
13,18-Feb-2021,EQ,297.8,315.0,297.0,294.95,312.0,311.75,309.89,372.0,133.65,2011887,"623,456,404.05",32739,311.75,0.05539573411106158
14,19-Feb-2021,EQ,312.0,313.0,292.6,311.75,298.0,297.55,303.48,372.0,133.65,366284,"111,159,374.85",8986,297.55,-0.04661930646928436
15,22-Feb-2021,EQ,297.55,301.3,280.0,297.55,283.4,282.05,287.07,365.7,133.65,409442,"117,537,927.55",8170,282.05,-0.05349791790487579
16,23-Feb-2021,EQ,284.9,307.9,283.95,282.05,298.8,298.4,300.18,365.7,133.65,1680365,"504,416,563.85",28535,298.4,0.05635050814361975
17,24-Feb-2021,EQ,300.7,309.5,297.0,298.4,306.0,306.85,303.46,365.7,133.65,1253802,"380,473,609.15",9464,306.85,0.02792416050550095
18,25-Feb-2021,EQ,309.0,311.85,301.1,306.85,306.3,308.15,306.52,365.7,133.65,582885,"178,666,005.30",11087,308.15,0.004227648573145615
19,26-Feb-2021,EQ,299.6,303.5,290.1,308.15,298.65,298.1,295.93,365.7,133.65,1444646,"427,520,643.85",13778,298.1,-0.03315767672422609
20,01-Mar-2021,EQ,300.5,307.65,298.75,298.1,305.15,303.35,301.44,332.0,133.65,726733,"219,062,774.35",7115,303.35,0.017458253704281113
21,02-Mar-2021,EQ,305.8,309.95,298.1,303.35,303.25,302.85,304.38,332.0,133.65,1084361,"330,054,599.20",18699,302.85,-0.001649620961350351
22,03-Mar-2021,EQ,305.75,308.0,298.5,302.85,302.5,301.25,304.07,332.0,133.65,894325,"271,941,333.65",9529,301.25,-0.005297148622092074
