,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,783.65,838.80,768.30,781.00,836.00,836.45,808.48,903.30,455.0,889893,"719,456,359.30",24287,836.45,
1,02-Feb-2021,EQ,848.00,885.00,841.05,836.45,883.00,877.30,868.12,903.30,455.0,1447847,"1,256,903,973.20",36275,877.3,0.04768226335704817
2,03-Feb-2021,EQ,889.45,889.45,851.00,877.30,862.00,860.70,864.83,903.30,455.0,2128033,"1,840,392,437.55",57749,860.7,-0.019102997478909423
3,04-Feb-2021,EQ,870.00,879.00,853.20,860.70,866.20,867.40,866.53,903.30,455.0,953916,"826,600,713.75",25751,867.4,0.007754219745836899
4,05-Feb-2021,EQ,873.40,898.00,861.00,867.40,875.05,871.55,879.63,903.30,455.0,1073429,"944,222,903.35",26221,871.55,0.004773004259608804
5,08-Feb-2021,EQ,880.00,938.25,875.20,871.55,932.10,931.45,912.60,938.25,455.0,2513091,"2,293,442,828.75",57714,931.45,0.06646927607484354
6,09-Feb-2021,EQ,938.45,941.50,922.50,931.45,930.00,929.95,931.69,941.50,455.0,1329531,"1,238,714,471.40",39254,929.95,-0.0016116904745819838
7,10-Feb-2021,EQ,933.80,946.05,914.95,929.95,926.70,928.10,929.94,946.05,455.0,1024413,"952,639,758.85",27557,928.1,-0.0019913356597891507
8,11-Feb-2021,EQ,925.00,949.00,920.25,928.10,941.70,941.65,940.03,949.00,455.0,586738,"551,554,081.00",16149,941.65,0.014494170039409227
9,12-Feb-2021,EQ,940.00,965.30,933.50,941.65,960.50,956.80,953.18,965.30,455.0,721064,"687,300,499.90",26043,956.8,0.015960727555611065
10,15-Feb-2021,EQ,969.00,980.75,959.70,956.80,975.00,976.65,970.85,980.75,455.0,1060131,"1,029,223,029.80",26704,976.65,0.020533965154613476
11,16-Feb-2021,EQ,979.00,"1,001.70",974.05,976.65,990.00,989.95,988.53,"1,001.70",455.0,1210065,"1,196,181,284.10",29571,989.95,0.013526088451727425
12,17-Feb-2021,EQ,985.00,997.50,975.40,989.95,981.00,978.85,987.68,"1,001.70",455.0,451592,"446,030,179.85",16121,978.85,-0.011276023580156114
13,18-Feb-2021,EQ,990.00,990.00,963.65,978.85,974.00,968.15,976.59,"1,001.70",455.0,475869,"464,728,344.85",20455,968.15,-0.010991379273144197
14,19-Feb-2021,EQ,972.00,972.00,943.65,968.15,961.00,962.20,962.63,"1,001.70",455.0,407966,"392,720,414.05",11608,962.2,-0.0061647046840542785
15,22-Feb-2021,EQ,963.10,975.90,932.40,962.20,939.00,944.45,955.70,"1,001.70",455.0,402365,"384,540,569.05",15197,944.45,-0.018619581787524986
16,23-Feb-2021,EQ,942.40,966.45,931.50,944.45,962.00,960.20,952.52,"1,001.70",455.0,705725,"672,215,061.25",28042,960.2,0.016538848619011226
