,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,215.95,244.85,212.3,213.8,238.1,236.85,223.95,346.95,101.55,29981324,"6,714,226,064.60",167739,236.85,
1,02-Feb-2021,EQ,242.1,249.35,238.0,236.85,242.0,242.4,243.2,346.95,101.55,29105457,"7,078,549,489.25",156747,242.4,0.023162224825398425
2,03-Feb-2021,EQ,243.9,262.4,239.0,242.4,255.8,256.55,255.02,346.95,101.55,35216299,"8,980,748,509.55",195574,256.55,0.05673432319281435
3,04-Feb-2021,EQ,253.95,258.95,251.0,256.55,257.15,257.3,256.26,346.95,101.55,18416736,"4,719,500,986.45",177539,257.3,0.0029191418997251972
4,05-Feb-2021,EQ,259.0,268.8,248.8,257.3,250.5,251.1,258.02,346.95,101.55,29235565,"7,543,370,657.20",184104,251.1,-0.024391453124159135
5,08-Feb-2021,EQ,254.0,257.95,246.0,251.1,247.6,247.4,250.65,346.95,101.55,12412595,"3,111,196,580.95",74442,247.4,-0.014844806205151606
6,09-Feb-2021,EQ,248.5,250.85,243.25,247.4,245.85,246.35,247.48,346.95,101.55,12309755,"3,046,393,332.90",77329,246.35,-0.004253170968415709
7,10-Feb-2021,EQ,246.35,248.8,239.3,246.35,243.3,243.05,243.58,346.95,101.55,15882144,"3,868,546,785.00",90067,243.05,-0.013486105498508039
8,11-Feb-2021,EQ,243.05,246.25,241.1,243.05,244.25,243.8,243.75,346.95,101.55,9300430,"2,266,986,518.15",56911,243.8,0.0030810335557074353
9,12-Feb-2021,EQ,244.2,247.4,240.1,243.8,241.05,241.45,243.51,346.95,101.55,16784618,"4,087,271,303.90",131294,241.45,-0.009685804727620706
10,15-Feb-2021,EQ,244.0,256.45,243.3,241.45,254.75,254.0,250.25,319.5,101.55,16898930,"4,228,879,506.25",109937,254.0,0.05067185469898572
11,16-Feb-2021,EQ,255.7,262.0,249.45,254.0,257.6,258.5,256.01,319.5,101.55,22630711,"5,793,652,961.45",140791,258.5,0.01756142692994711
12,17-Feb-2021,EQ,257.6,258.35,251.2,258.5,251.75,253.15,254.9,319.5,101.55,11880397,"3,028,315,501.00",69639,253.15,-0.020913495532565385
13,18-Feb-2021,EQ,254.0,256.9,249.0,253.15,250.1,250.15,253.02,319.5,101.55,10919837,"2,762,923,857.30",67369,250.15,-0.011921460481704393
14,19-Feb-2021,EQ,250.0,259.9,243.25,250.15,247.2,246.25,252.55,319.5,101.55,20676117,"5,221,844,399.30",118280,246.25,-0.015713457882015724
15,22-Feb-2021,EQ,246.9,248.05,233.8,246.25,235.6,236.5,239.66,317.85,101.55,13378881,"3,206,320,001.45",85601,236.5,-0.0403990721202101
16,23-Feb-2021,EQ,238.6,239.35,231.3,236.5,236.5,236.05,236.41,317.85,101.55,13036265,"3,081,876,475.90",80748,236.05,-0.001904560939692601
17,24-Feb-2021,EQ,237.0,249.0,230.05,236.05,246.5,246.55,241.25,317.85,101.55,11200680,"2,702,110,712.00",65660,246.55,0.04352116567783959
18,25-Feb-2021,EQ,250.25,256.8,247.1,246.55,249.5,248.95,251.22,317.85,101.55,19598751,"4,923,687,117.30",132707,248.95,0.009687260418056454
19,26-Feb-2021,EQ,238.4,241.85,234.2,248.95,235.45,235.6,237.54,317.85,101.55,22815361,"5,419,553,501.90",141660,235.6,-0.05511662131076012
20,01-Mar-2021,EQ,239.0,239.7,232.05,235.6,236.3,236.05,236.04,308.1,101.55,14473106,"3,416,200,684.75",81248,236.05,0.0019081952148640724
21,02-Mar-2021,EQ,237.0,241.0,233.8,236.05,237.1,236.75,237.21,308.1,101.55,11756320,"2,788,673,635.20",66233,236.75,0.0029610850738919225
22,03-Mar-2021,EQ,238.9,251.0,238.0,236.75,248.6,248.95,245.68,308.1,101.55,19666574,"4,831,715,041.80",96521,248.95,0.05024734102200412
23,04-Mar-2021,EQ,243.8,254.15,241.05,248.95,249.5,249.35,247.77,308.1,101.55,16439825,"4,073,308,873.10",83592,249.35,0.00160545890394026
24,05-Mar-2021,EQ,248.0,248.0,238.3,249.35,242.55,242.35,243.73,308.1,101.55,13885483,"3,384,338,402.75",72831,242.35,-0.028474569700747132
25,08-Mar-2021,EQ,244.75,249.5,243.1,242.35,243.8,244.3,245.81,274.3,101.55,7687041,"1,889,547,756.20",47222,244.3,0.008014015972309885
26,09-Mar-2021,EQ,246.7,253.7,242.05,244.3,245.0,245.45,248.53,274.3,101.55,18766370,"4,663,987,435.05",108394,245.45,0.004696282240367111
27,10-Mar-2021,EQ,248.65,249.05,239.5,245.45,241.75,241.9,243.02,274.3,101.55,13512341,"3,283,739,767.40",88658,241.9,-0.014568842888079914
28,12-Mar-2021,EQ,245.0,249.25,241.6,241.9,243.0,243.1,245.26,274.3,101.55,11277623,"2,765,966,464.55",70668,243.1,0.004948463706095474
29,15-Mar-2021,EQ,243.55,244.0,230.8,243.1,238.3,238.25,235.88,274.3,101.55,15694956,"3,702,105,770.90",97830,238.25,-0.020152338787765345
30,16-Mar-2021,EQ,239.9,240.25,233.55,238.25,234.8,235.1,235.63,274.3,101.55,9124566,"2,150,036,746.30",52271,235.1,-0.01330958698828777
31,17-Mar-2021,EQ,235.0,236.3,222.0,235.1,222.2,223.4,228.33,274.3,101.55,16440990,"3,753,968,020.65",104166,223.4,-0.0510470689109237
32,18-Mar-2021,EQ,227.3,229.5,217.25,223.4,223.0,222.95,224.4,274.3,101.55,11280094,"2,531,244,109.30",73067,222.95,-0.0020163555616150575
33,19-Mar-2021,EQ,220.25,229.5,214.4,222.95,228.45,228.55,221.25,274.3,101.55,19513845,"4,317,512,430.40",126640,228.55,0.024807473704267835
34,22-Mar-2021,EQ,228.1,230.6,223.1,228.55,225.25,225.25,226.11,274.3,101.55,11332389,"2,562,407,643.15",86713,225.25,-0.014544108289306301
35,23-Mar-2021,EQ,226.0,231.0,224.1,225.25,226.5,226.8,227.48,274.3,101.55,11435932,"2,601,422,514.80",67388,226.8,0.006857675365150584
36,24-Mar-2021,EQ,224.85,225.45,215.0,226.8,216.3,215.9,219.72,274.3,101.55,13757546,"3,022,857,837.90",106349,215.9,-0.049253234332836016
37,25-Mar-2021,EQ,217.0,217.0,203.75,215.9,210.75,210.05,208.94,274.3,101.55,18673108,"3,901,564,252.95",127705,210.05,-0.027469739905370716
38,26-Mar-2021,EQ,213.9,215.4,210.15,210.05,211.0,211.1,212.3,274.3,101.55,10330808,"2,193,224,097.90",61483,211.1,0.004986357238884409
39,30-Mar-2021,EQ,213.0,214.4,206.95,211.1,208.8,208.05,209.72,274.3,101.55,10298178,"2,159,746,140.40",66254,208.05,-0.014553519425325234
40,31-Mar-2021,EQ,208.7,210.35,203.75,208.05,207.35,207.55,207.08,274.3,101.55,12364637,"2,560,473,887.65",71195,207.55,-0.0024061609299019793
41,01-Apr-2021,EQ,210.9,217.0,208.35,207.55,216.2,216.2,212.27,274.3,101.55,11026676,"2,340,654,677.95",68003,216.2,0.04083163070605966
42,05-Apr-2021,EQ,214.95,215.0,203.0,216.2,206.65,206.25,207.43,274.3,101.55,13462130,"2,792,463,242.30",83855,206.25,-0.047114879990317604
43,06-Apr-2021,EQ,210.0,213.4,206.65,206.25,212.35,212.1,210.74,274.3,101.55,15440146,"3,253,834,875.35",89711,212.1,0.02796883635584635
44,07-Apr-2021,EQ,212.0,217.9,210.0,212.1,215.35,216.2,215.32,274.3,101.55,14081437,"3,031,974,955.75",76913,216.2,0.019146043634471255
45,08-Apr-2021,EQ,217.75,218.7,212.4,216.2,213.05,213.25,215.44,274.3,101.55,11379973,"2,451,753,770.30",64760,213.25,-0.013738718833319119
46,09-Apr-2021,EQ,212.0,215.6,209.0,213.25,211.0,211.05,212.46,274.3,101.55,8170548,"1,735,925,118.85",49608,211.05,-0.010370114143280595
47,12-Apr-2021,EQ,205.0,205.8,183.0,211.05,189.35,188.65,189.58,274.3,101.55,41805861,"7,925,420,707.50",242022,188.65,-0.11220162581818816
48,13-Apr-2021,EQ,191.4,195.3,186.65,188.65,193.3,193.65,191.77,274.3,101.55,22156872,"4,249,053,258.30",141431,193.65,0.026158959550441452
49,15-Apr-2021,EQ,192.3,197.5,184.2,193.65,189.5,189.7,189.45,274.3,101.55,20657818,"3,913,575,648.50",133988,189.7,-0.0206085290197926
50,16-Apr-2021,EQ,190.5,192.0,187.0,189.7,187.2,187.75,189.36,274.3,101.55,13085937,"2,477,930,083.15",72564,187.75,-0.010332586296724067
51,19-Apr-2021,EQ,180.0,181.0,173.3,187.75,175.3,175.6,175.47,274.3,101.55,25127670,"4,409,229,566.50",138319,175.6,-0.06690260944322812
52,20-Apr-2021,EQ,179.0,179.95,172.6,175.6,174.0,174.55,176.78,274.3,101.55,17558354,"3,103,907,507.15",80454,174.55,-0.0059974476499711216
